,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Charley Hoffman,47.84,155,324
1,2,2,Brian Gay,46.49,159,342
2,3,3,Brian Davis,45.37,147,324
3,4,4,J.B. Holmes,44.91,194,432
4,T5,T5,Zach Johnson,44.44,168,378
5,T5,T5,Pat Perez,44.44,144,324
6,7,7,Daniel Chopra,43.83,71,162
7,8,8,Ryan Palmer,43.65,110,252
8,9,9,Rory Sabbatini,43.59,102,234
9,10,10,Ben Crane,43.52,141,324
10,11,11,Marc Leishman,43.46,133,306
11,12,12,Padraig Harrington,43.43,86,198
12,13,13,Luke Donald,43.33,117,270
13,14,14,David Toms,43.21,140,324
14,15,15,John Mallinger,42.93,85,198
15,T16,T16,Stewart Cink,42.9,139,324
16,T16,T16,Steve Stricker,42.9,139,324
17,18,18,Webb Simpson,42.81,131,306
18,19,19,Aaron Baddeley,42.78,154,360
19,20,20,Michael Sim,42.59,92,216
20,21,21,Stuart Appleby,42.4,145,342
21,22,22,Ryan Moore,42.22,114,270
22,23,23,Greg Chalmers,42.11,144,342
23,24,24,Hunter Mahan,41.98,136,324
24,25,25,Rory McIlroy,41.92,83,198
25,26,26,Tim Clark,41.81,143,342
26,T27,T27,Ian Poulter,41.67,75,180
27,T27,T27,Scott Verplank,41.67,120,288
28,29,29,Jeff Quinney,41.32,119,288
29,30,30,Paul Goydos,41.27,104,252
30,31,31,James Driscoll,41.2,89,216
31,32,32,Mike Weir,41.11,74,180
32,33,33,Jim Furyk,40.85,125,306
33,T34,T34,Tom Gillis,40.74,154,378
34,T34,T34,Justin Leonard,40.74,132,324
35,T34,T34,George McNeill,40.74,88,216
36,T34,T34,Brandt Snedeker,40.74,132,324
37,T38,T38,Ryuji Imada,40.28,116,288
38,T38,T38,Joe Ogilvie,40.28,116,288
39,T38,T38,Rod Pampling,40.28,87,216
40,41,41,Nick Watney,40.21,152,378
41,42,42,Bo Van Pelt,40.1,166,414
42,43,43,Spencer Levin,40.05,173,432
43,44,44,Jason Bohn,39.93,115,288
44,T45,T45,Matt Kuchar,39.9,158,396
45,T45,T45,Brett Wetterich,39.9,79,198
46,47,47,Jason Dufner,39.81,129,324
47,T48,T48,Tim Petrovic,39.72,143,360
48,T48,T48,Charlie Wi,39.72,143,360
49,T50,T50,J.P. Hayes,39.68,100,252
50,T50,T50,Troy Matteson,39.68,100,252
51,T52,T52,Blake Adams,39.58,114,288
52,T52,T52,Sean O'Hair,39.58,114,288
53,54,54,Phil Mickelson,39.51,128,324
54,55,55,Chris Couch,39.44,71,180
55,56,56,Freddie Jacobson,39.24,113,288
56,T57,T57,K.J. Choi,38.89,133,342
57,T57,T57,Brad Faxon,38.89,42,108
58,T57,T57,Will MacKenzie,38.89,91,234
59,T57,T57,Chris Riley,38.89,84,216
60,T57,T57,Andres Romero,38.89,105,270
61,T57,T57,Kevin Streelman,38.89,119,306
62,T57,T57,Camilo Villegas,38.89,119,306
63,64,64,Rickie Fowler,38.62,146,378
64,T65,T65,Chad Campbell,38.61,139,360
65,T65,T65,Kevin Na,38.61,139,360
66,67,67,Bryce Molder,38.54,111,288
67,T68,T68,Vijay Singh,38.52,104,270
68,T68,T68,Garrett Willis,38.52,104,270
69,T70,T70,Ricky Barnes,38.38,152,396
70,T70,T70,Lee Janzen,38.38,76,198
71,72,72,Josh Teater,38.3,131,342
72,73,73,Steve Marino,38.24,117,306
73,74,74,Cliff Kresge,38.19,55,144
74,75,75,Mathew Goggin,38.1,96,252
75,76,76,Matt Bettencourt,38.03,89,234
76,77,77,Martin Laird,38.01,130,342
77,T78,T78,Matt Every,37.96,82,216
78,T78,T78,Troy Merritt,37.96,82,216
79,80,80,Retief Goosen,37.91,116,306
80,81,81,David Duval,37.88,75,198
81,T82,T82,Justin Rose,37.58,115,306
82,T82,T82,Vaughn Taylor,37.58,115,306
83,84,84,Ernie Els,37.5,108,288
84,85,85,Charles Howell III,37.44,155,414
85,86,86,Chris DiMarco,37.43,128,342
86,87,87,Mark Wilson,37.41,101,270
87,88,88,D.J. Trahan,37.35,121,324
88,89,89,Robert Allenby,37.25,114,306
89,90,90,Jeev Milkha Singh,37.22,67,180
90,T91,T91,Nathan Green,37.15,107,288
91,T91,T91,Michael Letzig,37.15,107,288
92,93,93,Carl Pettersson,36.94,133,360
93,94,94,John Rollins,36.9,93,252
94,95,95,Martin Flores,36.87,73,198
95,96,96,Dustin Johnson,36.84,126,342
