,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,1,1,Sergio Garcia,58,"2' 0""",405,814.4169999999999
1,T2,T2,Ricky Barnes,103,"2' 1""",901,1844.6670000000001
2,T2,T2,Jason Bohn,84,"2' 1""",806,1683.0
3,T2,T2,Ben Curtis,78,"2' 1""",740,1532.8329999999999
4,T2,T2,Brendon de Jonge,114,"2' 1""",1023,2167.917
5,T2,T2,Chris DiMarco,88,"2' 1""",841,1771.4170000000001
6,T2,T2,Ernie Els,72,"2' 1""",577,1208.25
7,T2,T2,Jim Furyk,76,"2' 1""",624,1320.25
8,T2,T2,Retief Goosen,75,"2' 1""",549,1164.0
9,T2,T2,Bill Haas,87,"2' 1""",837,1769.3329999999999
10,T2,T2,Padraig Harrington,57,"2' 1""",444,942.25
11,T2,T2,J.J. Henry,92,"2' 1""",903,1868.5829999999999
12,T2,T2,Charles Howell III,103,"2' 1""",974,2024.0
13,T2,T2,Carl Pettersson,99,"2' 1""",845,1792.8329999999999
14,T2,T2,Jeev Milkha Singh,59,"2' 1""",561,1157.167
15,T2,T2,Kevin Stadler,86,"2' 1""",799,1636.0
16,T2,T2,Kevin Sutherland,86,"2' 1""",911,1909.25
17,T18,T18,Craig Bowden,56,"2' 2""",535,1180.5
18,T18,T18,Chad Campbell,94,"2' 2""",910,1938.25
19,T18,T18,Paul Casey,64,"2' 2""",462,1003.75
20,T18,T18,Stewart Cink,84,"2' 2""",697,1522.75
21,T18,T18,Luke Donald,71,"2' 2""",529,1138.333
22,T18,T18,Joe Durant,67,"2' 2""",654,1438.0829999999999
23,T18,T18,Bob Estes,79,"2' 2""",791,1730.25
24,T18,T18,Trevor Immelman,55,"2' 2""",484,1031.333
25,T18,T18,Matt Jones,89,"2' 2""",830,1813.0
26,T18,T18,Justin Leonard,89,"2' 2""",765,1633.3329999999999
27,T18,T18,Spencer Levin,110,"2' 2""",1079,2295.917
28,T18,T18,Jarrod Lyle,54,"2' 2""",500,1098.25
29,T18,T18,Rocco Mediate,71,"2' 2""",711,1553.4170000000001
30,T18,T18,John Merrick,109,"2' 2""",1060,2271.75
31,T18,T18,Tim Petrovic,105,"2' 2""",1035,2280.833
32,T18,T18,Chris Riley,73,"2' 2""",675,1448.4170000000001
33,T18,T18,Adam Scott,70,"2' 2""",578,1258.583
34,T18,T18,Vijay Singh,75,"2' 2""",632,1345.6670000000001
35,T18,T18,Steve Stricker,73,"2' 2""",581,1266.667
36,T18,T18,Roger Tambellini,77,"2' 2""",746,1645.4170000000001
37,T18,T18,Camilo Villegas,78,"2' 2""",605,1329.6670000000001
38,T18,T18,Mike Weir,59,"2' 2""",385,822.75
39,T40,T40,Robert Allenby,76,"2' 3""",665,1519.0829999999999
40,T40,T40,Stuart Appleby,101,"2' 3""",937,2107.667
41,T40,T40,Michael Bradley,77,"2' 3""",765,1711.5
42,T40,T40,Jonathan Byrd,85,"2' 3""",909,2046.4170000000001
43,T40,T40,Greg Chalmers,93,"2' 3""",892,2043.3329999999999
44,T40,T40,Chad Collins,87,"2' 3""",769,1704.0
45,T40,T40,Steve Elkington,74,"2' 3""",650,1467.6670000000001
46,T40,T40,Matt Every,60,"2' 3""",537,1220.917
47,T40,T40,Rickie Fowler,98,"2' 3""",891,2019.0829999999999
48,T40,T40,Brian Gay,101,"2' 3""",804,1783.9170000000001
49,T40,T40,Jeff Gove,57,"2' 3""",530,1176.75
50,T40,T40,J.P. Hayes,79,"2' 3""",734,1665.0829999999999
51,T40,T40,Ryuji Imada,90,"2' 3""",851,1917.9170000000001
52,T40,T40,Lee Janzen,77,"2' 3""",768,1740.5829999999999
53,T40,T40,Zach Johnson,93,"2' 3""",768,1706.5829999999999
54,T40,T40,Richard Johnson,90,"2' 3""",825,1887.75
55,T40,T40,Dustin Johnson,83,"2' 3""",667,1503.3329999999999
56,T40,T40,Jerry Kelly,99,"2' 3""",920,2055.25
57,T40,T40,Marc Leishman,87,"2' 3""",766,1719.6670000000001
58,T40,T40,Davis Love III,79,"2' 3""",765,1738.3329999999999
59,T40,T40,Steve Lowery,67,"2' 3""",648,1483.25
60,T40,T40,Scott McCarron,90,"2' 3""",890,2003.0829999999999
61,T40,T40,Andrew McLardy,52,"2' 3""",495,1124.917
62,T40,T40,Bryce Molder,84,"2' 3""",765,1749.8329999999999
63,T40,T40,Ryan Moore,80,"2' 3""",655,1470.5829999999999
64,T40,T40,Garth Mulroy,53,"2' 3""",486,1112.0
65,T40,T40,Greg Owen,69,"2' 3""",720,1632.1670000000001
66,T40,T40,Rod Pampling,77,"2' 3""",780,1765.25
67,T40,T40,Cameron Percy,73,"2' 3""",682,1551.1670000000001
68,T40,T40,John Senden,103,"2' 3""",1008,2292.0
69,T40,T40,Michael Sim,64,"2' 3""",543,1203.167
70,T40,T40,Webb Simpson,98,"2' 3""",973,2154.583
71,T40,T40,Brandt Snedeker,89,"2' 3""",740,1674.5
72,T40,T40,Paul Stankowski,62,"2' 3""",588,1312.6670000000001
73,T40,T40,Kevin Streelman,90,"2' 3""",863,1907.75
74,T40,T40,Brian Stuard,81,"2' 3""",778,1773.1670000000001
75,T40,T40,Vaughn Taylor,87,"2' 3""",875,1943.1670000000001
76,T40,T40,David Toms,86,"2' 3""",732,1641.4170000000001
77,T40,T40,D.J. Trahan,92,"2' 3""",933,2100.583
78,T40,T40,Omar Uresti,74,"2' 3""",704,1561.5829999999999
79,T40,T40,Vance Veazey,58,"2' 3""",527,1181.833
80,T40,T40,Jimmy Walker,82,"2' 3""",755,1695.5
81,T40,T40,Jay Williamson,76,"2' 3""",687,1568.8329999999999
82,T40,T40,Mark Wilson,87,"2' 3""",895,2029.9170000000001
83,T40,T40,Y.E. Yang,72,"2' 3""",616,1403.25
84,T85,T85,Stephen Ames,75,"2' 4""",745,1734.6670000000001
85,T85,T85,Aaron Baddeley,94,"2' 4""",915,2163.583
86,T85,T85,Briny Baird,87,"2' 4""",890,2048.833
87,T85,T85,Rich Barcelo,70,"2' 4""",629,1493.5
88,T85,T85,Henrik Bjornstad,72,"2' 4""",696,1640.3329999999999
89,T85,T85,Justin Bolli,55,"2' 4""",481,1140.5
90,T85,T85,Ángel Cabrera,64,"2' 4""",558,1281.917
91,T85,T85,Alex Cejka,81,"2' 4""",766,1803.5829999999999
92,T85,T85,K.J. Choi,82,"2' 4""",651,1512.75
93,T85,T85,Tim Clark,88,"2' 4""",711,1657.1670000000001
94,T85,T85,Brent Delahoussaye,57,"2' 4""",533,1237.5
95,T85,T85,Jason Dufner,87,"2' 4""",772,1798.0829999999999
96,T85,T85,David Duval,71,"2' 4""",610,1448.25
97,T85,T85,Brad Faxon,58,"2' 4""",513,1214.917
98,T85,T85,Tom Gillis,97,"2' 4""",932,2206.167
99,T85,T85,Lucas Glover,75,"2' 4""",649,1540.0829999999999
100,T85,T85,Charley Hoffman,85,"2' 4""",806,1875.4170000000001
101,T85,T85,Freddie Jacobson,83,"2' 4""",814,1928.5829999999999
102,T85,T85,Kevin Johnson,62,"2' 4""",550,1267.0
103,T85,T85,Skip Kendall,58,"2' 4""",524,1208.833
104,T85,T85,Matt Kuchar,97,"2' 4""",775,1807.25
105,T85,T85,David Lutterus,69,"2' 4""",633,1463.5
106,T85,T85,Hunter Mahan,85,"2' 4""",730,1684.6670000000001
107,T85,T85,John Mallinger,78,"2' 4""",707,1646.3329999999999
108,T85,T85,Steve Marino,81,"2' 4""",676,1581.25
109,T85,T85,Troy Matteson,84,"2' 4""",937,2178.333
110,T85,T85,Kevin Na,94,"2' 4""",777,1795.0
111,T85,T85,Ryan Palmer,84,"2' 4""",738,1743.0
112,T85,T85,Pat Perez,90,"2' 4""",866,2015.3329999999999
113,T85,T85,Tom Pernice Jr.,74,"2' 4""",642,1472.8329999999999
114,T85,T85,Alex Prugh,88,"2' 4""",893,2076.5
115,T85,T85,Brett Quigley,96,"2' 4""",1009,2343.083
116,T85,T85,John Rollins,81,"2' 4""",836,1959.5829999999999
117,T85,T85,Heath Slocum,97,"2' 4""",788,1833.4170000000001
118,T85,T85,Chris Stroud,90,"2' 4""",811,1884.3329999999999
119,T85,T85,Cameron Tringale,55,"2' 4""",528,1243.25
120,T85,T85,Jerod Turner,54,"2' 4""",424,998.9169999999999
121,T85,T85,Scott Verplank,74,"2' 4""",573,1322.9170000000001
122,T85,T85,Johnson Wagner,85,"2' 4""",824,1889.0829999999999
123,T85,T85,Charles Warren,64,"2' 4""",628,1484.0
124,T85,T85,Bubba Watson,77,"2' 4""",744,1710.6670000000001
125,T85,T85,Boo Weekley,88,"2' 4""",848,1987.5829999999999
126,T85,T85,Brett Wetterich,54,"2' 4""",605,1403.1670000000001
127,T85,T85,Charlie Wi,95,"2' 4""",905,2098.25
128,T85,T85,Dean Wilson,54,"2' 4""",497,1170.167
129,T130,T130,Kris Blanks,91,"2' 5""",877,2121.833
130,T130,T130,Daniel Chopra,74,"2' 5""",712,1734.0
131,T130,T130,Michael Connell,89,"2' 5""",816,1959.4170000000001
132,T130,T130,Chris Couch,66,"2' 5""",624,1484.5
133,T130,T130,John Daly,63,"2' 5""",520,1277.5
134,T130,T130,Brian Davis,101,"2' 5""",928,2261.917
135,T130,T130,Steve Flesch,78,"2' 5""",693,1654.75
136,T130,T130,Martin Flores,75,"2' 5""",694,1663.9170000000001
137,T130,T130,Mathew Goggin,85,"2' 5""",904,2216.583
138,T130,T130,Paul Goydos,78,"2' 5""",699,1698.8329999999999
139,T130,T130,Tim Herron,79,"2' 5""",746,1781.6670000000001
140,T130,T130,J.B. Holmes,100,"2' 5""",916,2249.0
141,T130,T130,Cliff Kresge,50,"2' 5""",516,1267.167
142,T130,T130,Derek Lamely,81,"2' 5""",690,1673.8329999999999
143,T130,T130,Michael Letzig,84,"2' 5""",872,2073.5
144,T130,T130,Will MacKenzie,72,"2' 5""",759,1803.9170000000001
145,T130,T130,Jeff Maggert,76,"2' 5""",697,1690.0829999999999
146,T130,T130,Billy Mayfair,78,"2' 5""",770,1845.4170000000001
147,T130,T130,Rory McIlroy,54,"2' 5""",428,1026.0
148,T130,T130,Shaun Micheel,70,"2' 5""",559,1347.6670000000001
149,T130,T130,Phil Mickelson,76,"2' 5""",604,1451.25
150,T130,T130,Joe Ogilvie,99,"2' 5""",930,2278.5
151,T130,T130,Brenden Pappas,66,"2' 5""",614,1483.5
152,T130,T130,Kenny Perry,69,"2' 5""",641,1550.1670000000001
153,T130,T130,Scott Piercy,88,"2' 5""",877,2147.417
154,T130,T130,Aron Price,70,"2' 5""",695,1694.6670000000001
155,T130,T130,Ted Purdy,86,"2' 5""",839,2014.4170000000001
156,T130,T130,Jeff Quinney,91,"2' 5""",830,2009.25
157,T130,T130,Josh Teater,101,"2' 5""",1039,2502.417
158,T130,T130,Nicholas Thompson,88,"2' 5""",891,2117.667
159,T130,T130,Chris Tidland,77,"2' 5""",739,1788.9170000000001
160,T130,T130,Bo Van Pelt,104,"2' 5""",935,2229.25
161,T130,T130,Garrett Willis,82,"2' 5""",799,1939.1670000000001
162,T163,T163,Blake Adams,84,"2' 6""",823,2038.0
163,T163,T163,Cameron Beckman,68,"2' 6""",659,1628.5
164,T163,T163,Matt Bettencourt,91,"2' 6""",705,1753.0829999999999
165,T163,T163,Ben Crane,85,"2' 6""",695,1728.0829999999999
166,T163,T163,Jason Day,82,"2' 6""",756,1872.5
167,T163,T163,James Driscoll,78,"2' 6""",812,2008.6670000000001
168,T163,T163,Nathan Green,86,"2' 6""",850,2130.0
169,T163,T163,Mathias Grönberg,61,"2' 6""",546,1382.9170000000001
170,T163,T163,Greg Kraft,52,"2' 6""",431,1070.583
171,T163,T163,George McNeill,79,"2' 6""",750,1898.5
172,T163,T163,James Nitties,92,"2' 6""",869,2207.5
173,T163,T163,Jeff Overton,89,"2' 6""",738,1865.75
174,T163,T163,Ian Poulter,55,"2' 6""",347,860.5830000000001
175,T163,T163,Justin Rose,78,"2' 6""",722,1784.1670000000001
176,T163,T163,Rory Sabbatini,79,"2' 6""",706,1750.3329999999999
177,T163,T163,Roland Thatcher,72,"2' 6""",763,1895.4170000000001
178,T163,T163,Nick Watney,91,"2' 6""",743,1849.8329999999999
179,T163,T163,Chris Wilson,65,"2' 6""",578,1444.5
180,T181,T181,Woody Austin,93,"2' 7""",908,2382.25
181,T181,T181,Graham DeLaet,88,"2' 7""",856,2230.417
182,T181,T181,Robert Garrigus,71,"2' 7""",687,1799.6670000000001
183,T181,T181,Martin Laird,91,"2' 7""",875,2233.25
184,T181,T181,Sean O'Hair,84,"2' 7""",731,1867.9170000000001
185,T181,T181,Geoff Ogilvy,62,"2' 7""",531,1354.8329999999999
186,T181,T181,D.A. Points,90,"2' 7""",892,2284.917
187,T181,T181,Steve Wheatcroft,74,"2' 7""",633,1625.0
188,T189,T189,Bill Lunde,79,"2' 8""",750,1975.5
189,T189,T189,Troy Merritt,86,"2' 8""",810,2168.417
190,T191,T191,Mark Calcavecchia,50,"2' 9""",370,1003.6669999999999
191,T191,T191,Andres Romero,73,"2' 9""",766,2083.583
