,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Paul Casey,64,90.67,772,700
1,2,2,Retief Goosen,75,90.14,943,850
2,3,3,Luke Donald,71,89.88,939,844
3,4,4,Charles Howell III,103,89.85,1625,1460
4,5,5,Brian Gay,101,89.83,1465,1316
5,6,6,Greg Chalmers,93,89.52,1555,1392
6,7,7,Jim Furyk,76,89.43,1079,965
7,8,8,Michael Sim,64,89.41,963,861
8,9,9,Zach Johnson,93,89.36,1335,1193
9,10,10,Scott McCarron,90,89.24,1505,1343
10,11,11,Steve Elkington,74,89.13,1076,959
11,12,12,Carl Pettersson,99,89.11,1479,1318
12,13,13,Dean Wilson,54,89.1,844,752
13,14,14,Matt Jones,89,89.09,1457,1298
14,15,15,Skip Kendall,58,89.04,885,788
15,16,16,Pat Perez,90,89.02,1503,1338
16,17,17,Chad Collins,87,88.99,1344,1196
17,18,18,Chris Riley,73,88.91,1145,1018
18,19,19,Paul Stankowski,62,88.74,968,859
19,20,20,Blake Adams,84,88.73,1357,1204
20,21,21,Matt Kuchar,97,88.69,1353,1200
21,22,22,Ernie Els,72,88.67,997,884
22,23,23,Richard Johnson,90,88.6,1324,1173
23,24,24,Brett Quigley,96,88.59,1630,1444
24,25,25,Steve Stricker,73,88.52,1002,887
25,26,26,Alex Prugh,88,88.51,1479,1309
26,27,27,Webb Simpson,98,88.47,1665,1473
27,28,28,James Driscoll,78,88.45,1359,1202
28,29,29,Nathan Green,86,88.43,1478,1307
29,30,30,Ian Poulter,55,88.38,628,555
30,31,31,Ryan Moore,80,88.35,1116,986
31,32,32,Shaun Micheel,70,88.33,960,848
32,33,33,Briny Baird,87,88.3,1462,1291
33,T34,T34,J.J. Henry,92,88.28,1467,1295
34,T34,T34,Ryuji Imada,90,88.28,1536,1356
35,T34,T34,Geoff Ogilvy,62,88.28,896,791
36,37,37,Trevor Immelman,55,88.26,792,699
37,38,38,Jeff Quinney,91,88.24,1462,1290
38,39,39,Spencer Levin,110,88.21,1824,1609
39,40,40,Troy Merritt,86,88.2,1390,1226
40,T41,T41,Justin Leonard,89,88.19,1304,1150
41,T41,T41,Ryan Palmer,84,88.19,1270,1120
42,43,43,Ben Curtis,78,88.18,1218,1074
43,44,44,Brandt Snedeker,89,88.17,1361,1200
44,45,45,Kevin Na,94,88.14,1358,1197
45,46,46,Brent Delahoussaye,57,88.07,855,753
46,47,47,Aaron Baddeley,94,88.06,1599,1408
47,48,48,Ricky Barnes,103,88.04,1538,1354
48,T49,T49,Stewart Cink,84,88.01,1184,1042
49,T49,T49,David Toms,86,88.01,1284,1130
50,51,51,Daniel Chopra,74,88.0,1242,1093
51,52,52,Tim Clark,88,87.99,1241,1092
52,T53,T53,Ángel Cabrera,64,87.93,953,838
53,T53,T53,Andres Romero,73,87.93,1301,1144
54,55,55,Heath Slocum,97,87.89,1362,1197
55,56,56,Tim Petrovic,105,87.86,1738,1527
56,57,57,John Senden,103,87.85,1622,1425
57,58,58,George McNeill,79,87.84,1275,1120
58,59,59,Jerod Turner,54,87.83,748,657
59,60,60,Sergio Garcia,58,87.82,673,591
60,T61,T61,Rich Barcelo,70,87.76,1062,932
61,T61,T61,Mark Wilson,87,87.76,1454,1276
62,63,63,Hunter Mahan,85,87.71,1245,1092
63,64,64,Matt Bettencourt,91,87.7,1293,1134
64,T65,T65,Brad Faxon,58,87.69,877,769
65,T65,T65,Justin Rose,78,87.69,1275,1118
66,67,67,Jason Bohn,84,87.63,1358,1190
67,68,68,Steve Marino,81,87.62,1163,1019
68,69,69,John Merrick,109,87.59,1724,1510
69,T70,T70,Brian Stuard,81,87.57,1295,1134
70,T70,T70,Kevin Sutherland,86,87.57,1448,1268
71,T70,T70,Bubba Watson,77,87.57,1247,1092
72,73,73,Scott Piercy,88,87.53,1475,1291
73,74,74,Michael Connell,89,87.52,1410,1234
74,75,75,Jimmy Walker,82,87.49,1287,1126
75,76,76,Padraig Harrington,57,87.48,823,720
76,77,77,Chad Campbell,94,87.46,1507,1318
77,78,78,Stephen Ames,75,87.45,1243,1087
78,79,79,John Rollins,81,87.44,1385,1211
79,80,80,Charlie Wi,95,87.43,1623,1419
80,81,81,Brenden Pappas,66,87.41,1017,889
81,82,82,Freddie Jacobson,83,87.38,1411,1233
82,83,83,Y.E. Yang,72,87.37,1061,927
83,84,84,Chris Couch,66,87.36,1060,926
84,85,85,Henrik Bjornstad,72,87.35,1107,967
85,T86,T86,Brendon de Jonge,114,87.32,1688,1474
86,T86,T86,Martin Laird,91,87.32,1491,1302
87,88,88,Phil Mickelson,76,87.29,1078,941
88,89,89,Jarrod Lyle,54,87.27,872,761
89,90,90,J.B. Holmes,100,87.26,1640,1431
90,91,91,Robert Allenby,76,87.23,1096,956
91,92,92,Mike Weir,59,87.2,742,647
92,T93,T93,Bill Haas,87,87.19,1397,1218
93,T93,T93,Chris Stroud,90,87.19,1335,1164
94,95,95,Troy Matteson,84,87.18,1466,1278
95,96,96,Rickie Fowler,98,87.16,1527,1331
96,97,97,Bryce Molder,84,87.14,1330,1159
97,T98,T98,Tom Pernice Jr.,74,87.13,1088,948
98,T98,T98,Chris Tidland,77,87.13,1243,1083
99,T98,T98,Brett Wetterich,54,87.13,987,860
100,101,101,Jeff Overton,89,87.07,1307,1138
101,T102,T102,Jonathan Byrd,85,87.03,1519,1322
102,T102,T102,Jeev Milkha Singh,59,87.03,979,852
103,104,104,Sean O'Hair,84,87.01,1209,1052
104,T105,T105,Mathew Goggin,85,87.0,1438,1251
105,T105,T105,Ted Purdy,86,87.0,1400,1218
106,107,107,Bob Estes,79,86.99,1322,1150
107,108,108,Scott Verplank,74,86.97,1036,901
108,T109,T109,Tim Herron,79,86.94,1286,1118
109,T109,T109,Aron Price,70,86.94,1164,1012
110,111,111,David Duval,71,86.93,1025,891
111,T112,T112,K.J. Choi,82,86.92,1124,977
112,T112,T112,Jason Day,82,86.92,1300,1130
113,T112,T112,Marc Leishman,87,86.92,1361,1183
114,115,115,Tom Gillis,97,86.9,1633,1419
115,T116,T116,James Nitties,92,86.89,1503,1306
116,T116,T116,Joe Ogilvie,99,86.89,1594,1385
117,118,118,Nick Watney,91,86.81,1296,1125
118,T119,T119,Dustin Johnson,83,86.79,1181,1025
119,T119,T119,John Mallinger,78,86.79,1211,1051
120,121,121,Cameron Beckman,68,86.78,1097,952
121,122,122,Roland Thatcher,72,86.77,1285,1115
122,123,123,Cameron Percy,73,86.68,1126,976
123,124,124,Lee Janzen,77,86.67,1313,1138
124,125,125,Kevin Streelman,90,86.66,1492,1293
125,126,126,Michael Letzig,84,86.64,1489,1290
126,127,127,Robert Garrigus,71,86.61,1143,990
127,128,128,Garrett Willis,82,86.6,1321,1144
128,T129,T129,Kris Blanks,91,86.59,1402,1214
129,T129,T129,Steve Wheatcroft,74,86.59,1081,936
130,131,131,Steve Flesch,78,86.58,1207,1045
131,132,132,Kevin Johnson,62,86.56,930,805
132,T133,T133,Josh Teater,101,86.55,1747,1512
133,T133,T133,Camilo Villegas,78,86.55,1063,920
134,135,135,Paul Goydos,78,86.52,1231,1065
135,136,136,Bill Lunde,79,86.51,1260,1090
136,137,137,Joe Durant,67,86.5,1059,916
137,T138,T138,Stuart Appleby,101,86.48,1649,1426
138,T138,T138,Michael Bradley,77,86.48,1280,1107
139,T138,T138,Charley Hoffman,85,86.48,1442,1247
140,141,141,Vaughn Taylor,87,86.46,1484,1283
141,142,142,Ben Crane,85,86.44,1195,1033
142,143,143,Chris DiMarco,88,86.36,1481,1279
143,144,144,Davis Love III,79,86.35,1231,1063
144,145,145,Graham DeLaet,88,86.33,1427,1232
145,146,146,Rod Pampling,77,86.3,1343,1159
146,147,147,Jerry Kelly,99,86.27,1544,1332
147,148,148,Greg Kraft,52,86.24,727,627
148,149,149,Jason Dufner,87,86.23,1307,1127
149,150,150,Andrew McLardy,52,86.21,834,719
150,151,151,Johnson Wagner,85,86.2,1377,1187
151,152,152,Bo Van Pelt,104,86.1,1619,1394
152,153,153,Derek Lamely,81,86.07,1199,1032
153,154,154,Cliff Kresge,50,86.06,868,747
154,155,155,Jay Williamson,76,86.04,1132,974
155,156,156,Lucas Glover,75,86.03,1117,961
156,157,157,Garth Mulroy,53,86.02,801,689
157,T158,T158,Woody Austin,93,85.96,1546,1329
158,T158,T158,Boo Weekley,88,85.96,1403,1206
159,160,160,Jeff Maggert,76,85.9,1177,1011
160,161,161,Rory Sabbatini,79,85.83,1270,1090
161,162,162,Justin Bolli,55,85.77,808,693
162,163,163,Steve Lowery,67,85.66,1060,908
163,164,164,Matt Every,60,85.65,934,800
164,165,165,Kevin Stadler,86,85.61,1369,1172
165,166,166,Kenny Perry,69,85.58,1061,908
166,167,167,Brian Davis,101,85.54,1680,1437
167,T168,T168,J.P. Hayes,79,85.47,1273,1088
168,T168,T168,Rory McIlroy,54,85.47,750,641
169,170,170,Roger Tambellini,77,85.4,1199,1024
170,171,171,D.A. Points,90,85.35,1481,1264
171,T172,T172,D.J. Trahan,92,85.33,1561,1332
172,T172,T172,Omar Uresti,74,85.33,1186,1012
173,174,174,Rocco Mediate,71,85.32,1172,1000
174,T175,T175,Craig Bowden,56,85.31,912,778
175,T175,T175,Cameron Tringale,55,85.31,858,732
176,177,177,Martin Flores,75,85.3,1204,1027
177,178,178,Charles Warren,64,85.22,1062,905
178,179,179,Alex Cejka,81,85.18,1309,1115
179,180,180,Vance Veazey,58,85.1,913,777
180,T181,T181,Will MacKenzie,72,85.07,1299,1105
181,T181,T181,Vijay Singh,75,85.07,1105,940
182,183,183,David Lutterus,69,85.06,1071,911
183,184,184,Mathias Grönberg,61,84.98,952,809
184,185,185,Jeff Gove,57,84.83,857,727
185,186,186,Greg Owen,69,84.82,1186,1006
