,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Padraig Harrington,57,1.39,14,1008
1,2,2,Chad Collins,87,1.53,24,1566
2,3,3,Carl Pettersson,99,1.57,28,1782
3,4,4,Charles Howell III,103,1.62,30,1854
4,5,5,Luke Donald,71,1.63,20,1224
5,6,6,Retief Goosen,75,1.72,22,1278
6,7,7,Steve Elkington,74,1.73,23,1332
7,8,8,Dean Wilson,54,1.75,17,972
8,9,9,Brian Gay,101,1.87,33,1764
9,T10,T10,Aaron Baddeley,94,1.89,32,1692
10,T10,T10,Zach Johnson,93,1.89,31,1638
11,12,12,Steve Stricker,73,1.93,25,1296
12,13,13,Michael Sim,64,1.94,22,1134
13,14,14,Matt Kuchar,97,1.99,34,1710
14,15,15,Brandt Snedeker,89,2.0,32,1602
15,16,16,Greg Chalmers,93,2.03,34,1674
16,17,17,J.J. Henry,92,2.05,34,1656
17,18,18,Brendon de Jonge,114,2.1,43,2052
18,19,19,Rich Barcelo,70,2.14,27,1260
19,20,20,Paul Stankowski,62,2.15,24,1116
20,21,21,J.P. Hayes,79,2.18,31,1422
21,22,22,Skip Kendall,58,2.2,23,1044
22,23,23,Brent Delahoussaye,57,2.24,23,1026
23,24,24,Webb Simpson,98,2.27,40,1764
24,25,25,Justin Rose,78,2.28,32,1404
25,26,26,Tim Clark,88,2.29,35,1530
26,27,27,Rod Pampling,77,2.31,32,1386
27,T28,T28,Matt Bettencourt,91,2.32,38,1638
28,T28,T28,Spencer Levin,110,2.32,46,1980
29,30,30,Ernie Els,72,2.38,30,1260
30,31,31,Paul Casey,64,2.39,25,1044
31,T32,T32,Chris DiMarco,88,2.4,38,1584
32,T32,T32,Jim Furyk,76,2.4,32,1332
33,34,34,Ryuji Imada,90,2.41,39,1620
34,35,35,Matt Jones,89,2.43,39,1602
35,T36,T36,Jason Bohn,84,2.45,37,1512
36,T36,T36,Kevin Na,94,2.45,41,1674
37,T36,T36,Ryan Palmer,84,2.45,37,1512
38,39,39,Stephen Ames,75,2.48,33,1332
39,40,40,Ian Poulter,55,2.49,22,882
40,41,41,Chris Riley,73,2.51,33,1314
41,42,42,Mike Weir,59,2.53,26,1026
42,43,43,Charley Hoffman,85,2.55,39,1530
43,T44,T44,James Driscoll,78,2.56,36,1404
44,T44,T44,Jeff Quinney,91,2.56,42,1638
45,46,46,Jarrod Lyle,54,2.57,25,972
46,T47,T47,David Duval,71,2.58,33,1278
47,T47,T47,Jeev Milkha Singh,59,2.58,26,1008
48,T49,T49,Stuart Appleby,101,2.59,47,1818
49,T49,T49,Brad Faxon,58,2.59,27,1044
50,T49,T49,Richard Johnson,90,2.59,42,1620
