,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Spencer Levin,110,347,676,51.3
1,2,2,Brian Davis,101,339,656,51.7
2,3,3,Ryuji Imada,90,338,647,52.2
3,T4,T4,J.B. Holmes,100,337,648,52.0
4,T4,T4,Webb Simpson,98,337,662,50.9
5,T6,T6,Aaron Baddeley,94,332,645,51.5
6,T6,T6,Brian Gay,101,332,655,50.7
7,8,8,Greg Chalmers,93,331,661,50.1
8,9,9,Charles Howell III,103,328,626,52.4
9,T10,T10,Tom Gillis,97,324,659,49.2
10,T10,T10,Charlie Wi,95,324,687,47.2
11,12,12,Tim Petrovic,105,323,636,50.8
12,13,13,Stuart Appleby,101,321,627,51.2
13,14,14,Josh Teater,101,310,604,51.3
14,T15,T15,Joe Ogilvie,99,307,599,51.3
15,T15,T15,Bo Van Pelt,104,307,618,49.7
16,T17,T17,Pat Perez,90,306,614,49.8
17,T17,T17,Carl Pettersson,99,306,628,48.7
18,19,19,John Merrick,109,305,588,51.9
19,20,20,Nathan Green,86,304,597,50.9
20,21,21,Scott McCarron,90,301,584,51.5
21,22,22,Jeff Quinney,91,300,598,50.2
22,23,23,Matt Jones,89,299,593,50.4
23,24,24,Rickie Fowler,98,298,586,50.9
24,25,25,Brendon de Jonge,114,296,602,49.2
25,26,26,Brandt Snedeker,89,292,590,49.5
26,T27,T27,Woody Austin,93,288,573,50.3
27,T27,T27,Charley Hoffman,85,288,565,51.0
28,29,29,Kevin Na,94,287,571,50.3
29,30,30,Matt Bettencourt,91,286,545,52.5
30,31,31,Chad Collins,87,285,565,50.4
31,T32,T32,Ricky Barnes,103,281,577,48.7
32,T32,T32,Kevin Streelman,90,281,562,50.0
33,T34,T34,Chris DiMarco,88,280,549,51.0
34,T34,T34,Freddie Jacobson,83,280,557,50.3
35,T36,T36,Brett Quigley,96,279,563,49.6
36,T36,T36,Heath Slocum,97,279,513,54.4
37,38,38,Jerry Kelly,99,276,532,51.9
38,T39,T39,Jonathan Byrd,85,275,547,50.3
39,T39,T39,Matt Kuchar,97,275,560,49.1
40,T39,T39,Marc Leishman,87,275,518,53.1
41,T39,T39,Michael Letzig,84,275,554,49.6
42,T39,T39,James Nitties,92,275,578,47.6
43,44,44,Blake Adams,84,274,506,54.2
44,45,45,Graham DeLaet,88,271,500,54.2
45,T46,T46,Chad Campbell,94,270,522,51.7
46,T46,T46,Martin Laird,91,270,535,50.5
47,T46,T46,Scott Piercy,88,270,559,48.3
48,T49,T49,Zach Johnson,93,268,567,47.3
49,T49,T49,Justin Rose,78,268,519,51.6
50,51,51,David Toms,86,266,519,51.3
51,T52,T52,Alex Prugh,88,265,536,49.4
52,T52,T52,D.J. Trahan,92,265,528,50.2
53,54,54,James Driscoll,78,264,506,52.2
54,55,55,Bill Haas,87,263,501,52.5
55,T56,T56,Briny Baird,87,262,519,50.5
56,T56,T56,Ted Purdy,86,262,500,52.4
57,T58,T58,Rod Pampling,77,261,466,56.0
58,T58,T58,John Senden,103,261,536,48.7
59,60,60,Troy Merritt,86,259,561,46.2
60,T61,T61,Jason Bohn,84,258,512,50.4
61,T61,T61,Justin Leonard,89,258,515,50.1
62,63,63,Michael Connell,89,256,557,46.0
63,T64,T64,Jason Dufner,87,254,458,55.5
64,T64,T64,Jeff Overton,89,254,527,48.2
65,T64,T64,Vaughn Taylor,87,254,531,47.8
66,T64,T64,Johnson Wagner,85,254,500,50.8
67,68,68,Ryan Palmer,84,253,522,48.5
68,69,69,Lee Janzen,77,252,473,53.3
69,T70,T70,Jason Day,82,251,500,50.2
70,T70,T70,Bryce Molder,84,251,528,47.5
71,T72,T72,Andres Romero,73,248,507,48.9
72,T72,T72,Jimmy Walker,82,248,493,50.3
73,T74,T74,Daniel Chopra,74,247,477,51.8
74,T74,T74,Rory Sabbatini,79,247,489,50.5
75,76,76,John Rollins,81,246,493,49.9
76,T77,T77,J.J. Henry,92,245,508,48.2
77,T77,T77,Bill Lunde,79,245,447,54.8
78,T79,T79,Kevin Stadler,86,244,488,50.0
79,T79,T79,Mark Wilson,87,244,511,47.7
80,T81,T81,Tim Herron,79,243,487,49.9
81,T81,T81,Kevin Sutherland,86,243,477,50.9
