,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
124,125,125,Dustin Johnson,83,16.5,103,17
125,126,126,Woody Austin,93,16.47,170,28
126,127,127,Charles Howell III,103,16.46,158,26
127,128,128,Lucas Glover,75,16.42,134,22
128,129,129,Stewart Cink,84,16.41,128,21
129,130,130,Spencer Levin,110,16.34,202,33
130,131,131,Chris Wilson,65,16.33,98,16
131,132,132,Dean Wilson,54,16.28,86,14
132,133,133,Webb Simpson,98,16.18,173,28
133,134,134,Briny Baird,87,16.13,155,25
134,T135,T135,Andres Romero,73,16.11,149,24
135,T135,T135,Vaughn Taylor,87,16.11,149,24
136,137,137,Zach Johnson,93,16.06,137,22
137,138,138,Steve Stricker,73,15.97,119,19
138,139,139,J.J. Henry,92,15.92,157,25
139,140,140,Chad Campbell,94,15.76,165,26
140,141,141,Martin Laird,91,15.75,146,23
141,142,142,Jason Dufner,87,15.69,153,24
142,143,143,Bill Lunde,79,15.67,134,21
143,144,144,Andrew McLardy,52,15.63,96,15
144,145,145,Y.E. Yang,72,15.6,109,17
145,146,146,Kevin Stadler,86,15.56,135,21
146,T147,T147,Marc Leishman,87,15.45,123,19
147,T147,T147,Steve Wheatcroft,74,15.45,110,17
148,149,149,Rod Pampling,77,15.44,149,23
149,150,150,Chris DiMarco,88,15.43,162,25
150,T151,T151,Ben Curtis,78,15.38,130,20
151,T151,T151,Steve Elkington,74,15.38,104,16
152,153,153,Scott Piercy,88,15.24,164,25
153,154,154,Brent Delahoussaye,57,15.13,119,18
154,155,155,Paul Casey,64,15.12,86,13
155,156,156,Rocco Mediate,71,14.96,127,19
156,157,157,Rory McIlroy,54,14.81,81,12
157,158,158,Omar Uresti,74,14.6,137,20
158,159,159,Will MacKenzie,72,14.52,124,18
159,160,160,Vijay Singh,75,14.41,111,16
160,161,161,J.B. Holmes,100,14.39,139,20
161,T162,T162,Richard Johnson,90,14.29,161,23
162,T162,T162,Tom Pernice Jr.,74,14.29,119,17
163,T162,T162,Kenny Perry,69,14.29,105,15
164,165,165,Steve Lowery,67,14.17,127,18
165,166,166,Rich Barcelo,70,14.15,106,15
166,167,167,Paul Stankowski,62,14.04,114,16
167,168,168,Jeev Milkha Singh,59,14.02,107,15
168,169,169,Ted Purdy,86,14.0,150,21
169,170,170,Jeff Gove,57,13.89,108,15
170,T171,T171,Mark Calcavecchia,50,13.79,58,8
171,T171,T171,Troy Matteson,84,13.79,174,24
172,173,173,Padraig Harrington,57,13.75,80,11
173,174,174,Charles Warren,64,13.64,110,15
174,T175,T175,Ricky Barnes,103,13.45,171,23
175,T175,T175,Jerry Kelly,99,13.45,171,23
176,177,177,Phil Mickelson,76,13.39,112,15
177,178,178,Boo Weekley,88,13.16,152,20
178,179,179,Mathew Goggin,85,12.96,162,21
179,180,180,Craig Bowden,56,12.9,93,12
180,181,181,John Daly,63,12.77,94,12
181,182,182,Kris Blanks,91,12.33,146,18
182,183,183,Alex Cejka,81,12.21,131,16
183,184,184,John Merrick,109,11.68,197,23
184,185,185,David Lutterus,69,11.54,104,12
185,186,186,Roland Thatcher,72,11.46,157,18
186,187,187,Jerod Turner,54,11.24,89,10
187,188,188,Brett Quigley,96,10.77,195,21
188,189,189,Sergio Garcia,58,10.34,58,6
189,190,190,Henrik Bjornstad,72,10.16,128,13
190,191,191,Heath Slocum,97,9.74,154,15
191,192,192,Cliff Kresge,50,8.89,90,8
