,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,T1,T1,Tom Gillis,97,32.93,378,1148
1,T1,T1,Charley Hoffman,85,32.93,327,993
2,3,3,Phil Mickelson,76,32.81,291,887
3,4,4,Brandt Snedeker,89,32.73,326,996
4,5,5,Dustin Johnson,83,32.57,325,998
5,6,6,Chris Couch,66,32.32,254,786
6,7,7,Ryan Palmer,84,32.19,318,988
7,8,8,Rory Sabbatini,79,32.13,293,912
8,9,9,Bubba Watson,77,32.03,303,946
9,T10,T10,Matt Every,60,31.95,216,676
10,T10,T10,Troy Merritt,86,31.95,315,986
11,12,12,J.B. Holmes,100,31.8,374,1176
12,13,13,Aaron Baddeley,94,31.65,344,1087
13,14,14,Nick Watney,91,31.57,347,1099
14,15,15,Geoff Ogilvy,62,31.46,230,731
15,16,16,Paul Casey,64,31.38,225,717
16,17,17,Kevin Streelman,90,31.36,323,1030
17,18,18,Robert Garrigus,71,31.31,247,789
18,19,19,Matt Bettencourt,91,31.28,280,895
19,20,20,Matt Kuchar,97,31.22,369,1182
20,21,21,Jeff Quinney,91,31.02,318,1025
21,22,22,Matt Jones,89,30.87,322,1043
22,23,23,Jeff Overton,89,30.85,315,1021
23,24,24,Steve Stricker,73,30.8,272,883
24,25,25,Paul Stankowski,62,30.77,212,689
25,26,26,Justin Rose,78,30.75,286,930
26,27,27,Pat Perez,90,30.73,343,1116
27,28,28,Scott Piercy,88,30.65,328,1070
28,29,29,Zach Johnson,93,30.58,333,1089
29,30,30,George McNeill,79,30.56,286,936
30,31,31,Bo Van Pelt,104,30.4,394,1296
31,T32,T32,Steve Marino,81,30.31,297,980
32,T32,T32,Kevin Na,94,30.31,334,1102
33,34,34,Alex Prugh,88,30.25,321,1061
34,35,35,Y.E. Yang,72,30.24,251,830
35,36,36,David Toms,86,30.17,312,1034
36,37,37,Lucas Glover,75,30.1,270,897
37,38,38,Michael Letzig,84,30.05,308,1025
38,39,39,J.P. Hayes,79,29.95,266,888
39,40,40,Ben Crane,85,29.94,300,1002
40,41,41,Ryan Moore,80,29.92,283,946
41,42,42,Charles Warren,64,29.91,224,749
42,43,43,John Daly,63,29.89,194,649
43,44,44,Webb Simpson,98,29.86,347,1162
44,T45,T45,Carl Pettersson,99,29.82,311,1043
45,T45,T45,Michael Sim,64,29.82,221,741
46,T47,T47,James Nitties,92,29.77,306,1028
47,T47,T47,Kevin Stadler,86,29.77,284,954
48,49,49,Steve Wheatcroft,74,29.75,224,753
49,50,50,Graham DeLaet,88,29.71,312,1050
50,51,51,Retief Goosen,75,29.69,250,842
51,T52,T52,Padraig Harrington,57,29.65,185,624
52,T52,T52,D.J. Trahan,92,29.65,349,1177
53,T54,T54,Vaughn Taylor,87,29.64,316,1066
54,T54,T54,Charlie Wi,95,29.64,337,1137
55,56,56,Adam Scott,70,29.52,250,847
56,57,57,Ernie Els,72,29.51,252,854
57,58,58,Paul Goydos,78,29.47,272,923
58,59,59,Robert Allenby,76,29.46,266,903
59,60,60,John Rollins,81,29.39,291,990
60,61,61,Stewart Cink,84,29.37,289,984
61,62,62,Ryuji Imada,90,29.34,306,1043
62,63,63,Brendon de Jonge,114,29.31,391,1334
63,64,64,Brad Faxon,58,29.27,168,574
64,65,65,Jimmy Walker,82,29.22,270,924
65,T66,T66,Bill Haas,87,29.21,319,1092
66,T66,T66,Justin Leonard,89,29.21,300,1027
67,68,68,Greg Chalmers,93,29.19,322,1103
68,69,69,Michael Connell,89,29.16,284,974
69,70,70,Martin Flores,75,29.14,241,827
70,T71,T71,Brian Gay,101,29.12,325,1116
71,T71,T71,Freddie Jacobson,83,29.12,295,1013
72,73,73,Aron Price,70,29.1,236,811
73,74,74,Jason Bohn,84,29.03,297,1023
74,75,75,Camilo Villegas,78,29.01,248,855
75,76,76,Marc Leishman,87,28.95,302,1043
76,77,77,Daniel Chopra,74,28.94,237,819
77,78,78,K.J. Choi,82,28.93,278,961
78,79,79,Martin Laird,91,28.92,321,1110
79,80,80,Andres Romero,73,28.91,246,851
80,81,81,Brett Wetterich,54,28.9,191,661
81,T82,T82,Jason Day,82,28.89,288,997
82,T82,T82,Jerod Turner,54,28.89,141,488
83,T84,T84,Joe Ogilvie,99,28.88,318,1101
84,T84,T84,Garrett Willis,82,28.88,283,980
85,T86,T86,Chad Collins,87,28.87,259,897
86,T86,T86,David Duval,71,28.87,237,821
87,88,88,Ángel Cabrera,64,28.86,215,745
88,89,89,Ricky Barnes,103,28.84,364,1262
89,T90,T90,Spencer Levin,110,28.76,369,1283
90,T90,T90,Rory McIlroy,54,28.76,178,619
91,T90,T90,Vijay Singh,75,28.76,262,911
92,T90,T90,Scott Verplank,74,28.76,241,838
93,94,94,Bryce Molder,84,28.68,269,938
94,95,95,Stuart Appleby,101,28.61,315,1101
95,96,96,Luke Donald,71,28.54,228,799
96,97,97,Shaun Micheel,70,28.51,205,719
97,98,98,Mike Weir,59,28.47,168,590
98,99,99,Blake Adams,84,28.44,279,981
99,100,100,Tim Clark,88,28.39,289,1018
100,101,101,Jim Furyk,76,28.33,253,893
101,T102,T102,James Driscoll,78,28.31,265,936
102,T102,T102,Hunter Mahan,85,28.31,293,1035
103,104,104,Woody Austin,93,28.29,307,1085
104,105,105,Rich Barcelo,70,28.21,200,709
105,106,106,Sergio Garcia,58,28.2,174,617
106,107,107,Scott McCarron,90,28.15,299,1062
107,T108,T108,Chris Tidland,77,28.13,245,871
108,T108,T108,Johnson Wagner,85,28.13,279,992
109,110,110,Rickie Fowler,98,28.09,345,1228
110,111,111,Nathan Green,86,28.07,274,976
111,112,112,Jonathan Byrd,85,28.06,300,1069
112,113,113,Dean Wilson,54,28.02,167,596
113,114,114,Derek Lamely,81,27.97,233,833
114,115,115,Mark Calcavecchia,50,27.94,138,494
115,116,116,Tim Petrovic,105,27.93,350,1253
116,117,117,Steve Flesch,78,27.92,232,831
117,T118,T118,Mathias Grönberg,61,27.84,184,661
118,T118,T118,Tim Herron,79,27.84,243,873
119,T120,T120,Henrik Bjornstad,72,27.8,228,820
120,T120,T120,John Merrick,109,27.8,355,1277
121,122,122,Ted Purdy,86,27.78,262,943
122,123,123,Jason Dufner,87,27.76,289,1041
123,124,124,Stephen Ames,75,27.72,250,902
124,125,125,Brian Davis,101,27.69,317,1145
125,126,126,Josh Teater,101,27.64,338,1223
126,127,127,Brett Quigley,96,27.57,330,1197
127,128,128,John Mallinger,78,27.48,252,917
128,129,129,Charles Howell III,103,27.46,335,1220
129,130,130,Brian Stuard,81,27.45,241,878
130,131,131,Garth Mulroy,53,27.35,169,618
131,132,132,Will MacKenzie,72,27.31,242,886
132,133,133,Chris Stroud,90,27.3,279,1022
133,134,134,Davis Love III,79,27.29,271,993
134,135,135,Nicholas Thompson,88,27.19,279,1026
135,136,136,Cameron Percy,73,27.18,234,861
136,137,137,Chris Riley,73,27.13,220,811
137,138,138,Joe Durant,67,27.03,213,788
138,139,139,D.A. Points,90,27.01,296,1096
139,140,140,Brenden Pappas,66,26.89,199,740
140,141,141,Jerry Kelly,99,26.87,309,1150
141,142,142,Lee Janzen,77,26.84,251,935
142,143,143,Bob Estes,79,26.79,258,963
143,144,144,Sean O'Hair,84,26.77,269,1005
144,145,145,Jeff Maggert,76,26.75,218,815
145,T146,T146,Chad Campbell,94,26.69,308,1154
146,T146,T146,Jay Williamson,76,26.69,225,843
147,T148,T148,Jarrod Lyle,54,26.67,144,540
148,T148,T148,Greg Owen,69,26.67,228,855
149,150,150,Chris DiMarco,88,26.65,271,1017
150,T151,T151,Steve Elkington,74,26.61,223,838
151,T151,T151,Heath Slocum,97,26.61,310,1165
152,153,153,Vance Veazey,58,26.5,155,585
153,154,154,Skip Kendall,58,26.47,149,563
154,155,155,Alex Cejka,81,26.41,249,943
155,156,156,Chris Wilson,65,26.27,176,670
156,157,157,Kevin Sutherland,86,26.26,292,1112
157,158,158,Michael Bradley,77,26.19,236,901
158,159,159,Ian Poulter,55,26.13,144,551
159,160,160,Steve Lowery,67,26.05,193,741
160,161,161,J.J. Henry,92,25.97,269,1036
161,162,162,Jeev Milkha Singh,59,25.94,158,609
162,163,163,Bill Lunde,79,25.93,230,887
163,164,164,John Senden,103,25.84,347,1343
164,165,165,Tom Pernice Jr.,74,25.81,214,829
165,166,166,Cliff Kresge,50,25.77,142,551
166,167,167,Boo Weekley,88,25.72,259,1007
