,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Ryuji Imada,90,44.05,222,504
1,2,2,Scott McCarron,90,43.87,229,522
2,3,3,Charlie Wi,95,43.83,213,486
3,T4,T4,Geoff Ogilvy,62,43.52,141,324
4,T4,T4,Mike Weir,59,43.52,141,324
5,6,6,Matt Jones,89,42.8,208,486
6,7,7,Brandt Snedeker,89,42.52,199,468
7,8,8,Kevin Na,94,42.44,191,450
8,9,9,Paul Casey,64,42.36,122,288
9,10,10,Ian Poulter,55,42.06,106,252
10,11,11,Jonathan Byrd,85,41.45,194,468
11,T12,T12,Nathan Green,86,41.36,201,486
12,T12,T12,Pat Perez,90,41.36,201,486
13,14,14,Padraig Harrington,57,41.18,126,306
14,T15,T15,Ángel Cabrera,64,41.05,133,324
15,T15,T15,Steve Stricker,73,41.05,133,324
16,T17,T17,Daniel Chopra,74,40.87,206,504
17,T17,T17,Scott Piercy,88,40.87,206,504
18,19,19,Jeff Quinney,91,40.61,212,522
19,20,20,Paul Goydos,78,40.44,182,450
20,21,21,Retief Goosen,75,40.43,131,324
21,22,22,Michael Sim,64,40.35,138,342
22,23,23,Tom Gillis,97,40.33,196,486
23,24,24,Brian Davis,101,40.28,232,576
24,25,25,Bryce Molder,84,40.17,188,468
25,26,26,Justin Rose,78,40.15,159,396
26,27,27,Matt Every,60,40.12,130,324
27,28,28,Luke Donald,71,40.06,137,342
28,29,29,Bob Estes,79,39.96,187,468
29,30,30,Bo Van Pelt,104,39.88,201,504
30,31,31,Brian Gay,101,39.85,208,522
31,32,32,David Toms,86,39.81,172,432
32,33,33,Matt Kuchar,97,39.78,179,450
33,T34,T34,Michael Letzig,84,39.74,186,468
34,T34,T34,Jeff Overton,89,39.74,186,468
35,36,36,K.J. Choi,82,39.65,157,396
36,37,37,Chris Couch,66,39.61,164,414
37,38,38,Zach Johnson,93,39.58,171,432
38,T39,T39,Chad Collins,87,39.32,184,468
39,T39,T39,Roland Thatcher,72,39.32,184,468
40,41,41,Ryan Palmer,84,39.3,191,486
41,42,42,Carl Pettersson,99,39.27,205,522
42,43,43,Rory McIlroy,54,39.26,106,270
43,44,44,Andres Romero,73,39.15,148,378
44,45,45,Michael Connell,89,39.11,176,450
45,46,46,Martin Laird,91,39.1,183,468
46,T47,T47,Aaron Baddeley,94,38.89,182,468
47,T47,T47,Jason Day,82,38.89,161,414
48,T47,T47,Steve Flesch,78,38.89,175,450
49,T47,T47,Bubba Watson,77,38.89,154,396
