,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Brian Gay,101,43.93,775,1764
1,2,2,Brandt Snedeker,89,43.88,703,1602
2,3,3,Ryuji Imada,90,42.84,694,1620
3,4,4,Charlie Wi,95,42.69,730,1710
4,5,5,Mike Weir,59,42.5,436,1026
5,6,6,Greg Chalmers,93,42.0,703,1674
6,7,7,Padraig Harrington,57,41.57,419,1008
7,8,8,Michael Sim,64,41.18,467,1134
8,9,9,Luke Donald,71,41.09,503,1224
9,10,10,Kevin Na,94,41.04,687,1674
10,11,11,Matt Jones,89,40.89,655,1602
11,12,12,Pat Perez,90,40.8,661,1620
12,13,13,Scott Verplank,74,40.79,536,1314
13,14,14,J.B. Holmes,100,40.67,732,1800
14,15,15,David Toms,86,40.65,622,1530
15,16,16,Nathan Green,86,40.57,628,1548
16,17,17,Zach Johnson,93,40.48,663,1638
17,18,18,Aaron Baddeley,94,40.43,684,1692
18,T19,T19,Tom Gillis,97,40.38,705,1746
19,T19,T19,Justin Rose,78,40.38,567,1404
20,21,21,Brian Davis,101,40.32,733,1818
21,22,22,Matt Kuchar,97,40.23,688,1710
22,23,23,Ryan Palmer,84,40.21,608,1512
23,24,24,Webb Simpson,98,40.19,709,1764
24,25,25,Freddie Jacobson,83,40.09,599,1494
25,26,26,Steve Stricker,73,40.05,519,1296
26,27,27,Jeff Quinney,91,39.99,655,1638
27,28,28,Tim Clark,88,39.93,611,1530
28,29,29,Phil Mickelson,76,39.91,546,1368
29,30,30,Geoff Ogilvy,62,39.81,430,1080
30,31,31,Jim Furyk,76,39.64,528,1332
31,32,32,Daniel Chopra,74,39.56,527,1332
32,33,33,Paul Goydos,78,39.53,555,1404
33,34,34,Charley Hoffman,85,39.48,604,1530
34,35,35,Ben Crane,85,39.43,582,1476
35,36,36,Ryan Moore,80,39.38,560,1422
36,37,37,Justin Leonard,89,39.27,622,1584
37,38,38,Scott McCarron,90,39.26,636,1620
38,T39,T39,Troy Merritt,86,39.21,607,1548
39,T39,T39,Bo Van Pelt,104,39.21,734,1872
40,41,41,Andres Romero,73,39.19,515,1314
41,42,42,Paul Casey,64,39.18,409,1044
42,43,43,Chris Couch,66,39.14,465,1188
43,44,44,Retief Goosen,75,39.12,500,1278
44,45,45,Rory McIlroy,54,39.1,366,936
45,46,46,Matt Bettencourt,91,39.07,640,1638
46,47,47,Ian Poulter,55,39.0,344,882
47,48,48,Stuart Appleby,101,38.94,708,1818
48,49,49,Rory Sabbatini,79,38.82,545,1404
49,50,50,Y.E. Yang,72,38.65,487,1260
50,51,51,Michael Letzig,84,38.56,583,1512
51,T52,T52,Carl Pettersson,99,38.5,686,1782
52,T52,T52,Camilo Villegas,78,38.5,499,1296
53,54,54,Ernie Els,72,38.49,485,1260
54,55,55,Jason Day,82,38.48,568,1476
55,56,56,George McNeill,79,38.33,545,1422
56,T57,T57,Chad Collins,87,38.31,600,1566
57,T57,T57,Marc Leishman,87,38.31,600,1566
58,59,59,Bryce Molder,84,38.29,579,1512
59,60,60,Dustin Johnson,83,38.28,565,1476
60,61,61,Rickie Fowler,98,38.27,675,1764
61,62,62,Jeff Overton,89,38.2,612,1602
62,63,63,Scott Piercy,88,38.19,605,1584
63,64,64,Matt Every,60,38.15,412,1080
64,65,65,Nick Watney,91,38.13,604,1584
65,66,66,Ricky Barnes,103,38.08,706,1854
66,T67,T67,Stephen Ames,75,38.06,507,1332
67,T67,T67,Stewart Cink,84,38.06,548,1440
68,69,69,Tim Petrovic,105,38.04,719,1890
69,70,70,James Driscoll,78,37.75,530,1404
70,71,71,Kevin Streelman,90,37.72,611,1620
71,72,72,Jason Bohn,84,37.7,570,1512
72,73,73,John Mallinger,78,37.61,528,1404
73,74,74,Lee Janzen,77,37.59,521,1386
74,75,75,K.J. Choi,82,37.47,553,1476
75,76,76,Ángel Cabrera,64,37.39,424,1134
76,77,77,Steve Marino,81,37.38,545,1458
77,78,78,Vaughn Taylor,87,37.36,585,1566
78,79,79,Bob Estes,79,37.34,531,1422
79,80,80,Martin Laird,91,37.24,610,1638
80,81,81,Bubba Watson,77,37.23,516,1386
81,T82,T82,Brad Faxon,58,37.16,388,1044
82,T82,T82,Bill Haas,87,37.16,582,1566
83,84,84,Jimmy Walker,82,37.13,548,1476
84,85,85,Hunter Mahan,85,37.1,561,1512
85,86,86,J.P. Hayes,79,37.06,527,1422
86,87,87,Jason Dufner,87,37.04,580,1566
87,88,88,James Nitties,92,37.02,613,1656
88,89,89,Robert Allenby,76,37.01,493,1332
89,90,90,Blake Adams,84,36.97,559,1512
90,91,91,Chris DiMarco,88,36.93,585,1584
91,92,92,Ben Curtis,78,36.89,518,1404
92,93,93,Lucas Glover,75,36.79,490,1332
93,T94,T94,Jonathan Byrd,85,36.73,562,1530
94,T94,T94,Charles Howell III,103,36.73,681,1854
95,96,96,Sean O'Hair,84,36.65,541,1476
96,97,97,Steve Flesch,78,36.61,514,1404
97,T98,T98,John Rollins,81,36.56,533,1458
98,T98,T98,Vijay Singh,75,36.56,487,1332
99,100,100,Alex Prugh,88,36.55,579,1584
100,101,101,Rod Pampling,77,36.44,505,1386
101,102,102,Roland Thatcher,72,36.42,472,1296
102,103,103,Joe Ogilvie,99,36.36,648,1782
103,104,104,Woody Austin,93,36.32,608,1674
104,T105,T105,Will MacKenzie,72,36.27,470,1296
105,T105,T105,Johnson Wagner,85,36.27,555,1530
106,107,107,Michael Connell,89,36.2,580,1602
107,108,108,David Duval,71,36.15,462,1278
108,T109,T109,Shaun Micheel,70,36.11,455,1260
109,T109,T109,Jeev Milkha Singh,59,36.11,364,1008
110,111,111,Josh Teater,101,35.97,654,1818
111,112,112,Dean Wilson,54,35.91,349,972
112,113,113,Tim Herron,79,35.86,510,1422
113,114,114,Derek Lamely,81,35.8,522,1458
114,115,115,Adam Scott,70,35.78,438,1224
115,116,116,Chris Riley,73,35.77,470,1314
116,117,117,Trevor Immelman,55,35.76,354,990
117,118,118,Chad Campbell,94,35.66,597,1674
118,119,119,Martin Flores,75,35.63,481,1350
119,120,120,Heath Slocum,97,35.62,622,1746
120,121,121,Brian Stuard,81,35.6,519,1458
121,122,122,Chris Tidland,77,35.57,493,1386
122,123,123,Spencer Levin,110,35.56,704,1980
123,124,124,Brett Wetterich,54,35.49,345,972
124,125,125,Ted Purdy,86,35.47,549,1548
125,126,126,D.A. Points,90,35.37,573,1620
126,127,127,Rich Barcelo,70,35.32,445,1260
127,128,128,Sergio Garcia,58,35.26,330,936
128,129,129,Brett Quigley,96,35.24,609,1728
129,130,130,Kenny Perry,69,35.21,431,1224
130,131,131,Bill Lunde,79,35.16,500,1422
131,132,132,D.J. Trahan,92,35.14,582,1656
132,133,133,Garrett Willis,82,34.96,516,1476
133,134,134,Steve Elkington,74,34.91,465,1332
134,T135,T135,Michael Bradley,77,34.78,482,1386
135,T135,T135,Greg Owen,69,34.78,432,1242
136,137,137,Briny Baird,87,34.74,544,1566
137,138,138,Alex Cejka,81,34.71,506,1458
138,139,139,Steve Wheatcroft,74,34.68,462,1332
139,140,140,Kevin Sutherland,86,34.63,536,1548
140,141,141,Kevin Stadler,86,34.5,534,1548
141,142,142,Cameron Beckman,68,34.4,421,1224
142,143,143,Mark Wilson,87,34.29,537,1566
143,144,144,Jerry Kelly,99,34.23,610,1782
144,145,145,Brendon de Jonge,114,34.16,701,2052
145,146,146,Brenden Pappas,66,34.09,405,1188
146,147,147,Vance Veazey,58,34.0,355,1044
147,148,148,Mathias Grönberg,61,33.97,373,1098
148,149,149,Graham DeLaet,88,33.96,538,1584
149,150,150,Jerod Turner,54,33.95,330,972
150,151,151,Aron Price,70,33.89,427,1260
151,152,152,Skip Kendall,58,33.72,352,1044
152,153,153,Robert Garrigus,71,33.65,430,1278
153,154,154,Davis Love III,79,33.61,478,1422
154,155,155,Chris Wilson,65,33.5,392,1170
155,156,156,Jeff Maggert,76,33.48,458,1368
156,157,157,Craig Bowden,56,33.43,337,1008
157,158,158,John Senden,103,33.39,619,1854
