,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Tim Clark,88,"79' 0""",79.0,1,79,79
1,2,2,Greg Kraft,52,"46' 8""",46.667,1,47,47
2,3,3,Blake Adams,84,"41' 8""",83.25,2,51,32
3,4,4,Mark Wilson,87,"38' 3""",76.417,2,46,31
4,5,5,Stephen Ames,75,"37' 2""",111.583,3,80,8
5,6,6,John Rollins,81,"36' 8""",110.0,3,55,18
6,7,7,J.P. Hayes,79,"36' 6""",109.417,3,55,18
7,8,8,Jeff Gove,57,"35' 5""",35.417,1,35,35
8,9,9,Cameron Percy,73,"35' 2""",70.333,2,54,16
9,10,10,Martin Flores,75,"34' 7""",103.833,3,51,6
10,11,11,Chad Collins,87,"34' 1""",34.083,1,34,34
11,12,12,Ian Poulter,55,"33' 3""",66.417,2,54,12
12,13,13,Brian Gay,101,"33' 2""",33.167,1,33,33
13,14,14,Ben Crane,85,"32' 10""",65.667,2,49,17
14,15,15,Chris Stroud,90,"31' 0""",31.0,1,31,31
15,16,16,Brett Quigley,96,"30' 10""",123.417,4,56,8
16,17,17,Kris Blanks,91,"30' 4""",30.333000000000002,1,30,30
17,T18,T18,Jim Furyk,76,"29' 10""",59.583,2,34,26
18,T18,T18,Geoff Ogilvy,62,"29' 10""",29.833000000000002,1,30,30
19,20,20,Jerod Turner,54,"28' 11""",57.75,2,49,9
20,21,21,Mathew Goggin,85,"28' 3""",141.417,5,66,6
21,22,22,Chad Campbell,94,"27' 11""",55.833,2,29,27
22,T23,T23,Jason Day,82,"27' 3""",81.833,3,36,21
23,T23,T23,Richard Johnson,90,"27' 3""",163.25,6,61,2
24,25,25,Jeff Quinney,91,"27' 1""",81.25,3,54,8
25,T26,T26,Brenden Pappas,66,"26' 11""",26.916999999999998,1,27,27
26,T26,T26,Scott Verplank,74,"26' 11""",53.833,2,50,4
27,28,28,Vance Veazey,58,"26' 7""",26.583000000000002,1,27,27
28,29,29,Lee Janzen,77,"26' 6""",53.0,2,38,16
29,30,30,Michael Sim,64,"25' 5""",25.416999999999998,1,25,25
30,T31,T31,Justin Leonard,89,"25' 4""",25.333000000000002,1,25,25
31,T31,T31,Troy Merritt,86,"25' 4""",76.083,3,46,14
32,33,33,Kevin Johnson,62,"24' 11""",24.916999999999998,1,25,25
33,T34,T34,Ben Curtis,78,"24' 4""",48.583,2,34,15
34,T34,T34,Adam Scott,70,"24' 4""",97.167,4,45,9
35,36,36,Scott McCarron,90,"24' 3""",121.083,5,51,8
36,37,37,Charlie Wi,95,"23' 9""",95.083,4,48,10
37,T38,T38,Aaron Baddeley,94,"23' 8""",141.917,6,48,3
38,T38,T38,Ryuji Imada,90,"23' 8""",47.25,2,38,10
39,T40,T40,Jeff Overton,89,"23' 6""",94.0,4,59,1
40,T40,T40,Josh Teater,101,"23' 6""",117.417,5,51,12
41,42,42,Jay Williamson,76,"23' 2""",46.25,2,39,7
42,43,43,Freddie Jacobson,83,"23' 1""",46.083,2,27,19
43,44,44,Kevin Stadler,86,"23' 0""",160.833,7,64,4
44,T45,T45,John Mallinger,78,"22' 8""",67.917,3,29,17
45,T45,T45,Camilo Villegas,78,"22' 8""",90.583,4,42,8
