,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Jerod Turner,54,1.3719999999999999,1334,972
1,2,2,Jarrod Lyle,54,1.3840000000000001,1345,972
2,3,3,Skip Kendall,58,1.39,1451,1044
3,4,4,Mark Calcavecchia,50,1.401,1261,900
4,5,5,Shaun Micheel,70,1.416,1784,1260
5,6,6,Paul Stankowski,62,1.42,1585,1116
6,7,7,Dean Wilson,54,1.422,1382,972
7,8,8,Chad Collins,87,1.4269999999999998,2234,1566
8,T9,T9,Matt Bettencourt,91,1.442,2362,1638
9,T9,T9,Carl Pettersson,99,1.442,2570,1782
10,11,11,John Daly,63,1.444,1638,1134
11,12,12,Steve Wheatcroft,74,1.456,1940,1332
12,13,13,Tom Pernice Jr.,74,1.4609999999999999,1946,1332
13,14,14,Greg Kraft,52,1.464,1370,936
14,15,15,Rich Barcelo,70,1.4709999999999999,1854,1260
15,16,16,Jeff Maggert,76,1.472,2014,1368
16,T17,T17,Michael Connell,89,1.473,2359,1602
17,T17,T17,Vance Veazey,58,1.473,1538,1044
18,19,19,Brent Delahoussaye,57,1.476,1514,1026
19,20,20,Jay Williamson,76,1.4769999999999999,2021,1368
20,21,21,Kevin Johnson,62,1.4780000000000002,1650,1116
21,22,22,Chris Riley,73,1.479,1943,1314
22,23,23,Steve Elkington,74,1.485,1978,1332
23,24,24,Kevin Stadler,86,1.4880000000000002,2303,1548
24,25,25,Chris Wilson,65,1.4909999999999999,1744,1170
25,26,26,Craig Bowden,56,1.494,1506,1008
26,27,27,Justin Bolli,55,1.495,1480,990
27,28,28,Mathias Grönberg,61,1.496,1643,1098
28,29,29,Richard Johnson,90,1.4980000000000002,2427,1620
29,30,30,Jeev Milkha Singh,59,1.5,1512,1008
30,T31,T31,Brad Faxon,58,1.501,1567,1044
31,T31,T31,Derek Lamely,81,1.501,2188,1458
32,T33,T33,J.J. Henry,92,1.507,2495,1656
33,T33,T33,Tim Herron,79,1.507,2143,1422
34,T33,T33,Chris Stroud,90,1.507,2441,1620
35,T33,T33,Cameron Tringale,55,1.507,1492,990
36,37,37,Aron Price,70,1.508,1900,1260
37,38,38,Spencer Levin,110,1.511,2992,1980
38,39,39,Joe Durant,67,1.5119999999999998,1823,1206
39,40,40,Boo Weekley,88,1.5130000000000001,2396,1584
40,T41,T41,David Lutterus,69,1.514,1881,1242
41,T41,T41,Brian Stuard,81,1.514,2207,1458
42,43,43,Bryce Molder,84,1.518,2295,1512
43,T44,T44,Robert Garrigus,71,1.52,1943,1278
44,T44,T44,James Nitties,92,1.52,2517,1656
45,T44,T44,Omar Uresti,74,1.52,2025,1332
46,T47,T47,Cliff Kresge,50,1.521,1369,900
47,T47,T47,Billy Mayfair,78,1.521,2135,1404
48,T49,T49,Andrew McLardy,52,1.5219999999999998,1425,936
49,T49,T49,Jeff Quinney,91,1.5219999999999998,2493,1638
50,T51,T51,Brendon de Jonge,114,1.524,3128,2052
51,T51,T51,Charles Warren,64,1.524,1756,1152
52,53,53,Joe Ogilvie,99,1.525,2718,1782
53,54,54,J.P. Hayes,79,1.527,2171,1422
54,55,55,Roger Tambellini,77,1.5290000000000001,2119,1386
55,56,56,Steve Flesch,78,1.538,2160,1404
56,T57,T57,Henrik Bjornstad,72,1.5390000000000001,1994,1296
57,T57,T57,Chris Tidland,77,1.5390000000000001,2133,1386
58,T59,T59,Brenden Pappas,66,1.54,1829,1188
59,T59,T59,Jimmy Walker,82,1.54,2273,1476
60,T61,T61,Jeff Gove,57,1.541,1581,1026
61,T61,T61,John Merrick,109,1.541,3024,1962
62,T61,T61,Jeff Overton,89,1.541,2468,1602
63,64,64,Kevin Streelman,90,1.5430000000000001,2500,1620
64,65,65,K.J. Choi,82,1.545,2280,1476
65,T66,T66,Chris DiMarco,88,1.546,2449,1584
66,T66,T66,Charles Howell III,103,1.546,2867,1854
67,68,68,Martin Flores,75,1.547,2088,1350
68,69,69,Cameron Beckman,68,1.548,1895,1224
69,70,70,Garth Mulroy,53,1.55,1479,954
70,71,71,Kris Blanks,91,1.551,2540,1638
71,T72,T72,Matt Every,60,1.554,1678,1080
72,T72,T72,Brandt Snedeker,89,1.554,2489,1602
73,T74,T74,Graham DeLaet,88,1.557,2466,1584
74,T74,T74,Brian Gay,101,1.557,2746,1764
75,T76,T76,Charley Hoffman,85,1.5590000000000002,2385,1530
76,T76,T76,Cameron Percy,73,1.5590000000000002,2049,1314
77,78,78,Michael Bradley,77,1.56,2162,1386
78,79,79,Johnson Wagner,85,1.5630000000000002,2391,1530
79,80,80,Mike Weir,59,1.564,1605,1026
80,81,81,Garrett Willis,82,1.567,2313,1476
81,82,82,Ted Purdy,86,1.568,2428,1548
82,83,83,Steve Lowery,67,1.569,1892,1206
83,84,84,Bill Lunde,79,1.57,2233,1422
84,85,85,Woody Austin,93,1.571,2630,1674
85,T86,T86,Briny Baird,87,1.5719999999999998,2461,1566
86,T86,T86,Padraig Harrington,57,1.5719999999999998,1585,1008
87,T86,T86,Troy Merritt,86,1.5719999999999998,2433,1548
88,89,89,Stuart Appleby,101,1.5730000000000002,2860,1818
89,90,90,Mark Wilson,87,1.575,2466,1566
90,T91,T91,Ryuji Imada,90,1.578,2556,1620
91,T91,T91,Heath Slocum,97,1.578,2755,1746
92,93,93,Jerry Kelly,99,1.58,2815,1782
93,94,94,Luke Donald,71,1.581,1935,1224
94,95,95,Blake Adams,84,1.5830000000000002,2394,1512
95,96,96,Greg Chalmers,93,1.585,2653,1674
96,T97,T97,Aaron Baddeley,94,1.587,2686,1692
97,T97,T97,Kevin Na,94,1.587,2657,1674
98,T99,T99,John Mallinger,78,1.588,2229,1404
99,T99,T99,Charlie Wi,95,1.588,2715,1710
100,101,101,Rory Sabbatini,79,1.589,2231,1404
101,102,102,Justin Rose,78,1.591,2234,1404
