,Putting_from_6_RANK THIS WEEK,Putting_from_6_RANK LAST WEEK,Putting_from_6_PLAYER NAME,Putting_from_6_ROUNDS,Putting_from_6_% MADE,Putting_from_6_ATTEMPTS,Putting_from_6_PUTTS MADE
0,1,1,Brian Gay,101,89.16,83,74
1,2,2,Charles Howell III,103,85.37,82,70
2,3,3,Daniel Chopra,74,85.07,67,57
3,4,4,Retief Goosen,75,83.33,60,50
4,5,5,Dean Wilson,54,82.98,47,39
5,6,6,Skip Kendall,58,82.61,46,38
6,7,7,Jim Furyk,76,81.36,59,48
7,8,8,Kevin Johnson,62,81.25,48,39
8,9,9,Matt Bettencourt,91,80.52,77,62
9,10,10,Matt Kuchar,97,80.0,65,52
10,11,11,Aaron Baddeley,94,79.52,83,66
11,12,12,Tim Clark,88,79.45,73,58
12,T13,T13,J.J. Henry,92,79.31,87,69
13,T13,T13,John Senden,103,79.31,87,69
14,15,15,J.B. Holmes,100,78.79,99,78
15,16,16,Greg Chalmers,93,78.5,107,84
16,17,17,Brett Quigley,96,78.31,83,65
17,18,18,Robert Garrigus,71,78.26,69,54
18,T19,T19,Ernie Els,72,77.78,45,35
19,T19,T19,Brenden Pappas,66,77.78,45,35
20,T19,T19,Y.E. Yang,72,77.78,63,49
21,22,22,Cliff Kresge,50,77.55,49,38
22,T23,T23,Mathias Grönberg,61,77.5,40,31
23,T23,T23,Rory Sabbatini,79,77.5,80,62
24,25,25,Sergio Garcia,58,77.42,31,24
25,26,26,Chad Collins,87,77.38,84,65
26,T27,T27,Trevor Immelman,55,76.92,39,30
27,T27,T27,Sean O'Hair,84,76.92,78,60
28,T29,T29,Matt Jones,89,76.6,94,72
29,T29,T29,Tom Pernice Jr.,74,76.6,47,36
30,31,31,Michael Sim,64,76.47,68,52
31,32,32,Ricky Barnes,103,76.34,93,71
32,33,33,Steve Stricker,73,76.27,59,45
33,34,34,George McNeill,79,76.25,80,61
34,35,35,Blake Adams,84,76.19,63,48
35,36,36,Bryce Molder,84,76.06,71,54
36,37,37,Scott Piercy,88,75.76,99,75
37,38,38,Spencer Levin,110,75.7,107,81
38,39,39,Heath Slocum,97,75.68,74,56
39,T40,T40,Luke Donald,71,75.51,49,37
40,T40,T40,Nathan Green,86,75.51,98,74
41,T42,T42,Justin Bolli,55,75.0,56,42
42,T42,T42,Brent Delahoussaye,57,75.0,48,36
43,T42,T42,Carl Pettersson,99,75.0,68,51
44,T42,T42,Alex Prugh,88,75.0,92,69
45,46,46,Chris Couch,66,74.55,55,41
46,T47,T47,Jason Bohn,84,74.32,74,55
47,T47,T47,Chris DiMarco,88,74.32,74,55
48,49,49,Roland Thatcher,72,74.12,85,63
49,50,50,Matt Every,60,74.07,54,40
50,T51,T51,John Rollins,81,73.86,88,65
51,T51,T51,Kevin Streelman,90,73.86,88,65
52,53,53,Paul Casey,64,73.81,42,31
53,54,54,James Driscoll,78,73.68,76,56
54,55,55,Jeff Quinney,91,73.33,90,66
55,T56,T56,Paul Stankowski,62,73.21,56,41
56,T56,T56,Scott Verplank,74,73.21,56,41
57,58,58,Andrew McLardy,52,73.17,41,30
58,59,59,Garrett Willis,82,72.97,74,54
59,60,60,Padraig Harrington,57,72.92,48,35
60,61,61,Brandt Snedeker,89,72.82,103,75
61,T62,T62,Ian Poulter,55,72.73,44,32
62,T62,T62,Chris Stroud,90,72.73,77,56
63,T62,T62,Brett Wetterich,54,72.73,55,40
64,65,65,Pat Perez,90,72.63,95,69
65,66,66,Jason Dufner,87,72.58,62,45
66,67,67,Johnson Wagner,85,72.5,80,58
67,68,68,Kevin Stadler,86,72.37,76,55
68,69,69,Freddie Jacobson,83,72.34,94,68
69,70,70,Steve Wheatcroft,74,72.29,83,60
70,71,71,Mathew Goggin,85,72.09,86,62
71,72,72,Troy Merritt,86,72.04,93,67
72,T73,T73,Kenny Perry,69,72.0,75,54
73,T73,T73,Andres Romero,73,72.0,75,54
74,75,75,Zach Johnson,93,71.95,82,59
75,T76,T76,Steve Flesch,78,71.79,78,56
76,T76,T76,Mike Weir,59,71.79,39,28
77,78,78,Tim Petrovic,105,71.74,92,66
78,79,79,Phil Mickelson,76,71.67,60,43
79,80,80,David Toms,86,71.64,67,48
80,81,81,Jeff Overton,89,71.62,74,53
81,T82,T82,Martin Laird,91,71.43,112,80
82,T82,T82,Justin Leonard,89,71.43,56,40
83,84,84,Troy Matteson,84,71.23,73,52
84,85,85,Jeff Gove,57,71.11,45,32
85,86,86,Michael Letzig,84,70.93,86,61
86,87,87,Chris Wilson,65,70.91,55,39
87,T88,T88,Brad Faxon,58,70.83,48,34
88,T88,T88,Chris Tidland,77,70.83,72,51
89,90,90,Lee Janzen,77,70.77,65,46
90,91,91,Vaughn Taylor,87,70.71,99,70
91,92,92,Brian Stuard,81,70.67,75,53
92,93,93,Ted Purdy,86,70.51,78,55
93,T94,T94,Ryan Moore,80,70.49,61,43
94,T94,T94,Kevin Na,94,70.49,61,43
95,T96,T96,Marc Leishman,87,70.37,81,57
96,T96,T96,Jay Williamson,76,70.37,54,38
97,98,98,Rory McIlroy,54,70.21,47,33
98,99,99,Cameron Percy,73,70.0,50,35
99,100,100,Chris Riley,73,69.86,73,51
100,T101,T101,Tim Herron,79,69.74,76,53
101,T101,T101,Ryan Palmer,84,69.74,76,53
102,103,103,Steve Elkington,74,69.57,46,32
103,104,104,Garth Mulroy,53,69.44,36,25
104,105,105,Shaun Micheel,70,69.39,49,34
105,106,106,Bo Van Pelt,104,69.31,101,70
106,107,107,Bill Lunde,79,69.23,65,45
107,108,108,Josh Teater,101,69.15,94,65
108,109,109,John Mallinger,78,69.12,68,47
109,110,110,Webb Simpson,98,69.07,97,67
110,T111,T111,Bob Estes,79,68.92,74,51
111,T111,T111,J.P. Hayes,79,68.92,74,51
112,T113,T113,Ryuji Imada,90,68.89,90,62
113,T113,T113,Hunter Mahan,85,68.89,90,62
114,T115,T115,Ben Crane,85,68.85,61,42
115,T115,T115,Will MacKenzie,72,68.85,61,42
116,117,117,Robert Allenby,76,68.63,51,35
117,118,118,Dustin Johnson,83,68.57,70,48
118,119,119,Mark Wilson,87,68.54,89,61
119,120,120,Rich Barcelo,70,68.49,73,50
120,121,121,Alex Cejka,81,68.35,79,54
121,122,122,Rod Pampling,77,68.29,82,56
122,123,123,Michael Bradley,77,68.24,85,58
123,124,124,Scott McCarron,90,68.13,91,62
124,125,125,Jonathan Byrd,85,68.06,72,49
125,126,126,Briny Baird,87,67.95,78,53
126,T127,T127,Charley Hoffman,85,67.9,81,55
127,T127,T127,Nick Watney,91,67.9,81,55
128,T129,T129,Cameron Beckman,68,67.86,56,38
129,T129,T129,David Lutterus,69,67.86,56,38
130,131,131,Derek Lamely,81,67.65,68,46
131,132,132,Charlie Wi,95,67.57,111,75
132,133,133,John Merrick,109,67.29,107,72
133,134,134,David Duval,71,67.21,61,41
134,135,135,Henrik Bjornstad,72,67.19,64,43
135,136,136,Graham DeLaet,88,67.12,73,49
136,T137,T137,Stuart Appleby,101,66.67,108,72
137,T137,T137,Mark Calcavecchia,50,66.67,39,26
138,T137,T137,Michael Connell,89,66.67,78,52
139,T137,T137,Jarrod Lyle,54,66.67,51,34
140,T137,T137,Geoff Ogilvy,62,66.67,57,38
141,T137,T137,Justin Rose,78,66.67,84,56
142,T137,T137,Bubba Watson,77,66.67,66,44
143,144,144,Boo Weekley,88,66.2,71,47
144,T145,T145,Greg Owen,69,66.04,53,35
145,T145,T145,Adam Scott,70,66.04,53,35
146,147,147,Jeev Milkha Singh,59,66.0,50,33
147,148,148,James Nitties,92,65.98,97,64
148,149,149,Greg Kraft,52,65.91,44,29
149,T150,T150,Joe Ogilvie,99,65.85,82,54
150,T150,T150,Jerod Turner,54,65.85,41,27
151,152,152,Paul Goydos,78,65.75,73,48
152,153,153,D.A. Points,90,65.71,105,69
153,T154,T154,Steve Marino,81,65.63,64,42
154,T154,T154,Vance Veazey,58,65.63,64,42
155,156,156,Ángel Cabrera,64,65.52,58,38
156,157,157,Joe Durant,67,65.45,55,36
157,158,158,Brendon de Jonge,114,65.0,100,65
158,159,159,Tom Gillis,97,64.95,97,63
159,160,160,Richard Johnson,90,64.62,65,42
160,161,161,Jeff Maggert,76,64.52,62,40
161,162,162,Woody Austin,93,64.13,92,59
162,163,163,Bill Haas,87,64.0,75,48
163,164,164,Lucas Glover,75,63.77,69,44
164,165,165,Rickie Fowler,98,63.75,80,51
165,T166,T166,Kris Blanks,91,63.64,77,49
166,T166,T166,K.J. Choi,82,63.64,55,35
167,168,168,Ben Curtis,78,63.49,63,40
168,169,169,Craig Bowden,56,63.41,41,26
169,170,170,D.J. Trahan,92,63.29,79,50
170,171,171,Kevin Sutherland,86,63.08,65,41
171,172,172,Brian Davis,101,63.0,100,63
172,173,173,Davis Love III,79,62.9,62,39
173,174,174,Jimmy Walker,82,62.71,59,37
174,175,175,John Daly,63,62.5,48,30
175,176,176,Stephen Ames,75,62.34,77,48
176,177,177,Omar Uresti,74,62.32,69,43
177,T178,T178,Stewart Cink,84,61.54,65,40
178,T178,T178,Billy Mayfair,78,61.54,78,48
179,180,180,Nicholas Thompson,88,60.82,97,59
180,181,181,Jerry Kelly,99,60.49,81,49
181,182,182,Charles Warren,64,60.29,68,41
182,T183,T183,Chad Campbell,94,60.0,80,48
183,T183,T183,Jason Day,82,60.0,80,48
184,T183,T183,Vijay Singh,75,60.0,60,36
185,186,186,Camilo Villegas,78,59.62,52,31
186,187,187,Rocco Mediate,71,59.46,74,44
187,188,188,Martin Flores,75,59.02,61,36
188,189,189,Roger Tambellini,77,58.44,77,45
