,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,1,Bubba Watson,73,17.0
1,2,2,Retief Goosen,74,16.0
2,3,3,John Senden,100,15.0
3,4,4,Zach Johnson,94,14.0
4,T5,T5,Charley Hoffman,97,13.0
5,T5,T5,Dustin Johnson,85,13.0
6,T5,T5,Chris Stroud,88,13.0
7,T8,T8,Robert Garrigus,83,12.0
8,T8,T8,Pat Perez,74,12.0
9,T8,T8,Chris Riley,77,12.0
10,T8,T8,Kevin Stadler,65,12.0
11,T8,T8,Jimmy Walker,74,12.0
12,T8,T8,Nick Watney,86,12.0
13,T14,T14,Jonathan Byrd,89,11.0
14,T14,T14,Ben Crane,93,11.0
15,T14,T14,Harrison Frazar,93,11.0
16,T14,T14,J.J. Henry,97,11.0
17,T14,T14,Michael Letzig,96,11.0
18,T14,T14,Bill Lunde,83,11.0
19,T14,T14,Nicholas Thompson,96,11.0
20,T14,T14,D.J. Trahan,96,11.0
21,T22,T22,Cameron Beckman,87,10.0
22,T22,T22,Daniel Chopra,89,10.0
23,T22,T22,Martin Laird,72,10.0
24,T22,T22,Davis Love III,89,10.0
25,T22,T22,John Mallinger,90,10.0
26,T22,T22,Troy Matteson,95,10.0
27,T22,T22,Phil Mickelson,66,10.0
28,T22,T22,Kevin Na,91,10.0
29,T22,T22,Tag Ridings,50,10.0
30,T22,T22,John Rollins,92,10.0
31,T22,T22,Webb Simpson,94,10.0
32,T22,T22,Camilo Villegas,76,10.0
33,T22,T22,Mike Weir,85,10.0
34,T22,T22,Tiger Woods,64,10.0
35,T22,T22,Y.E. Yang,83,10.0
36,T37,T37,Aaron Baddeley,66,9.0
37,T37,T37,Rich Beem,77,9.0
38,T37,T37,Chad Campbell,90,9.0
39,T37,T37,Steve Elkington,70,9.0
40,T37,T37,Bill Haas,91,9.0
41,T37,T37,Marc Leishman,91,9.0
42,T37,T37,John Merrick,91,9.0
43,T37,T37,Greg Owen,97,9.0
44,T37,T37,Brett Quigley,92,9.0
45,T37,T37,Johnson Wagner,81,9.0
46,T47,T47,Brad Adamonis,70,8.0
47,T47,T47,Robert Allenby,71,8.0
48,T47,T47,Briny Baird,89,8.0
49,T47,T47,Matt Bettencourt,98,8.0
50,T47,T47,Stewart Cink,79,8.0
51,T47,T47,Ken Duke,87,8.0
52,T47,T47,Bob Estes,78,8.0
53,T47,T47,Sergio Garcia,59,8.0
54,T47,T47,Tim Herron,87,8.0
55,T47,T47,Matt Jones,56,8.0
56,T47,T47,Jeff Overton,92,8.0
57,T47,T47,Ryan Palmer,78,8.0
58,T47,T47,Carl Pettersson,86,8.0
59,T47,T47,D.A. Points,99,8.0
60,T47,T47,Ted Purdy,101,8.0
61,T47,T47,Andres Romero,58,8.0
62,T47,T47,Heath Slocum,95,8.0
63,T47,T47,Kevin Streelman,97,8.0
64,T47,T47,Kevin Sutherland,96,8.0
65,T47,T47,David Toms,98,8.0
66,T47,T47,Bo Van Pelt,100,8.0
67,T47,T47,Matt Weibring,65,8.0
68,T47,T47,Charlie Wi,92,8.0
69,T70,T70,Jason Day,61,7.0
70,T70,T70,Ernie Els,70,7.0
71,T70,T70,Todd Hamilton,83,7.0
72,T70,T70,Steve Marino,98,7.0
73,T70,T70,George McNeill,82,7.0
74,T70,T70,Rocco Mediate,79,7.0
75,T70,T70,James Nitties,86,7.0
76,T70,T70,Sean O'Hair,80,7.0
77,T70,T70,Nick O'Hern,90,7.0
78,T70,T70,Rory Sabbatini,81,7.0
79,T70,T70,Vaughn Taylor,88,7.0
80,T70,T70,Peter Tomasulo,61,7.0
81,T70,T70,Scott Verplank,88,7.0
82,T83,T83,Michael Allen,73,6.0
83,T83,T83,Stephen Ames,77,6.0
84,T83,T83,Ricky Barnes,67,6.0
85,T83,T83,Jason Bohn,88,6.0
86,T83,T83,Tim Clark,81,6.0
87,T83,T83,Jason Dufner,90,6.0
88,T83,T83,Derek Fathauer,63,6.0
89,T83,T83,Steve Flesch,77,6.0
90,T83,T83,Mathew Goggin,76,6.0
91,T83,T83,Paul Goydos,79,6.0
92,T83,T83,Anthony Kim,76,6.0
93,T83,T83,Steve Lowery,83,6.0
94,T83,T83,Billy Mayfair,83,6.0
95,T83,T83,Scott McCarron,91,6.0
96,T83,T83,Joe Ogilvie,85,6.0
97,T83,T83,Leif Olson,51,6.0
98,T83,T83,Tom Pernice Jr.,82,6.0
99,T83,T83,Kenny Perry,92,6.0
100,T83,T83,Scott Piercy,85,6.0
101,T83,T83,Chez Reavie,81,6.0
102,T83,T83,Steve Stricker,81,6.0
103,T83,T83,Mark Wilson,99,6.0
104,T83,T83,Casey Wittenberg,71,6.0
105,T106,T106,Woody Austin,84,5.0
106,T106,T106,Kris Blanks,60,5.0
107,T106,T106,Greg Chalmers,85,5.0
108,T106,T106,Fred Couples,54,5.0
109,T106,T106,Brian Davis,103,5.0
110,T106,T106,Chris DiMarco,97,5.0
111,T106,T106,David Duval,56,5.0
112,T106,T106,Jim Furyk,86,5.0
113,T106,T106,Jason Gore,74,5.0
114,T106,T106,Padraig Harrington,66,5.0
115,T106,T106,Jerry Kelly,90,5.0
116,T106,T106,Justin Leonard,95,5.0
117,T106,T106,Jarrod Lyle,65,5.0
118,T106,T106,Bryce Molder,69,5.0
119,T106,T106,Rod Pampling,72,5.0
120,T106,T106,Corey Pavin,73,5.0
121,T106,T106,Aron Price,89,5.0
122,T106,T106,Justin Rose,71,5.0
123,T106,T106,Vijay Singh,71,5.0
124,T106,T106,Brandt Snedeker,81,5.0
125,T106,T106,Kirk Triplett,60,5.0
126,T106,T106,Brian Vranesh,51,5.0
127,T106,T106,Charles Warren,63,5.0
128,T129,T129,Alex Cejka,82,4.0
129,T129,T129,Glen Day,79,4.0
130,T129,T129,Nathan Green,104,4.0
131,T129,T129,J.B. Holmes,74,4.0
132,T129,T129,Lee Janzen,74,4.0
133,T129,T129,Kent Jones,73,4.0
134,T129,T129,Colt Knost,71,4.0
135,T129,T129,Matt Kuchar,82,4.0
136,T129,T129,Peter Lonard,86,4.0
137,T129,T129,Hunter Mahan,94,4.0
138,T129,T129,David Mathis,82,4.0
139,T129,T129,Ryan Moore,89,4.0
140,T129,T129,Geoff Ogilvy,78,4.0
141,T129,T129,Tim Petrovic,97,4.0
142,T129,T129,Jeff Quinney,78,4.0
143,T129,T129,Darron Stiles,52,4.0
144,T129,T129,Boo Weekley,79,4.0
145,T129,T129,Jay Williamson,69,4.0
146,T129,T129,Dean Wilson,81,4.0
147,T148,T148,Tommy Armour III,58,3.0
148,T148,T148,Eric Axley,71,3.0
149,T148,T148,Mark Brooks,55,3.0
150,T148,T148,Ben Curtis,63,3.0
151,T148,T148,Charles Howell III,99,3.0
152,T148,T148,Ryuji Imada,85,3.0
153,T148,T148,Jeff Klauk,97,3.0
154,T148,T148,Spencer Levin,75,3.0
155,T148,T148,Jeff Maggert,79,3.0
156,T148,T148,Parker McLachlin,71,3.0
157,T148,T148,Rick Price,54,3.0
158,T148,T148,Adam Scott,53,3.0
159,T148,T148,Patrick Sheehan,51,3.0
160,T148,T148,Brendon Todd,53,3.0
161,T162,T162,Stuart Appleby,79,2.0
162,T162,T162,Brian Bateman,55,2.0
163,T162,T162,Bart Bryant,58,2.0
164,T162,T162,Ángel Cabrera,55,2.0
165,T162,T162,Mark Calcavecchia,72,2.0
166,T162,T162,Brendon de Jonge,90,2.0
167,T162,T162,Luke Donald,79,2.0
168,T162,T162,Joe Durant,62,2.0
169,T162,T162,Brad Faxon,59,2.0
170,T162,T162,Lucas Glover,93,2.0
171,T162,T162,Richard Johnson,85,2.0
172,T162,T162,Cliff Kresge,78,2.0
173,T162,T162,Will MacKenzie,69,2.0
174,T162,T162,Ian Poulter,59,2.0
175,T162,T162,Marc Turnesa,77,2.0
176,T162,T162,Gary Woodland,53,2.0
177,T178,T178,K.J. Choi,65,1.0
178,T178,T178,Brian Gay,96,1.0
179,T178,T178,Bob Heintz,59,1.0
180,T178,T178,Tom Lehman,55,1.0
181,T178,T178,Scott Sterling,51,1.0
182,T183,T183,Freddie Jacobson,83,
183,T183,T183,Greg Kraft,51,
