,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Tiger Woods,64,2.05,267,130
1,2,2,Steve Stricker,81,1.74,322,185
2,3,3,Tim Clark,81,1.54,313,203
3,4,4,Jim Furyk,86,1.53,317,207
4,5,5,Justin Leonard,95,1.5,367,245
5,6,6,Zach Johnson,94,1.49,357,239
6,7,7,David Toms,98,1.48,370,250
7,T8,T8,Greg Chalmers,85,1.47,330,225
8,T8,T8,Matt Kuchar,82,1.47,313,213
9,10,10,Jonathan Byrd,89,1.46,375,257
10,11,11,Kevin Na,91,1.45,344,238
11,12,12,Jason Day,61,1.44,247,172
12,13,13,Charley Hoffman,97,1.43,385,270
13,14,14,Hunter Mahan,94,1.42,382,269
14,15,15,Matt Jones,56,1.41,215,152
15,T16,T16,Steve Marino,98,1.4,368,263
16,T16,T16,Kenny Perry,92,1.4,344,245
17,T16,T16,Bo Van Pelt,100,1.4,403,288
18,T16,T16,Scott Verplank,88,1.4,331,237
19,20,20,John Senden,100,1.39,369,266
20,T21,T21,Stephen Ames,77,1.38,311,226
21,T21,T21,Jerry Kelly,90,1.38,343,249
22,T23,T23,Robert Garrigus,83,1.37,317,232
23,T23,T23,Dustin Johnson,85,1.37,354,259
24,T23,T23,Ryan Moore,89,1.37,340,248
25,T23,T23,Chris Riley,77,1.37,288,210
26,T23,T23,Mark Wilson,99,1.37,358,262
27,T28,T28,Chad Campbell,90,1.36,333,244
28,T28,T28,Scott McCarron,91,1.36,326,240
29,T28,T28,Tim Petrovic,97,1.36,350,257
30,T31,T31,Brian Gay,96,1.35,338,251
31,T31,T31,Nick Watney,86,1.35,341,253
32,T33,T33,Ben Crane,93,1.33,351,264
33,T33,T33,Luke Donald,79,1.33,278,209
34,T33,T33,Harrison Frazar,93,1.33,376,282
35,T33,T33,Bill Haas,91,1.33,346,261
36,T33,T33,Bryce Molder,69,1.33,249,187
37,T38,T38,Lucas Glover,93,1.32,367,279
38,T38,T38,Geoff Ogilvy,78,1.32,279,212
39,T38,T38,D.J. Trahan,96,1.32,372,281
40,T38,T38,Charlie Wi,92,1.32,348,263
41,42,42,Patrick Sheehan,51,1.31,179,137
42,T43,T43,Jason Dufner,90,1.3,335,257
43,T43,T43,Greg Owen,97,1.3,356,273
44,T45,T45,Anthony Kim,76,1.29,310,240
45,T45,T45,Spencer Levin,75,1.29,247,191
46,T45,T45,Scott Piercy,85,1.29,336,260
47,T45,T45,Matt Weibring,65,1.29,254,197
48,T49,T49,Bob Heintz,59,1.28,211,165
49,T49,T49,Jeff Klauk,97,1.28,330,258
50,T49,T49,Brandt Snedeker,81,1.28,289,226
51,T52,T52,Woody Austin,84,1.27,305,240
52,T52,T52,Bob Estes,78,1.27,273,215
53,T52,T52,Scott Sterling,51,1.27,175,138
54,T55,T55,Briny Baird,89,1.26,325,258
55,T55,T55,Jason Bohn,88,1.26,321,254
56,T55,T55,Michael Letzig,96,1.26,364,289
57,T55,T55,Troy Matteson,95,1.26,337,268
58,T55,T55,Phil Mickelson,66,1.26,248,197
59,T55,T55,Sean O'Hair,80,1.26,297,235
60,T55,T55,Kevin Stadler,65,1.26,221,175
61,T55,T55,Kevin Sutherland,96,1.26,345,274
62,T55,T55,Mike Weir,85,1.26,307,243
63,T64,T64,George McNeill,82,1.25,305,244
64,T64,T64,Tom Pernice Jr.,82,1.25,282,225
65,T64,T64,Webb Simpson,94,1.25,348,279
66,T64,T64,Vaughn Taylor,88,1.25,335,269
67,T64,T64,Charles Warren,63,1.25,234,187
68,T64,T64,Dean Wilson,81,1.25,318,254
69,T64,T64,Y.E. Yang,83,1.25,315,253
70,T71,T71,Kris Blanks,60,1.24,229,185
71,T71,T71,Brian Davis,103,1.24,397,319
72,T71,T71,Nick O'Hern,90,1.24,313,253
73,T71,T71,Joe Ogilvie,85,1.24,322,259
74,T71,T71,Tag Ridings,50,1.24,193,156
75,T76,T76,Chris DiMarco,97,1.23,326,265
76,T76,T76,Steve Elkington,70,1.23,241,196
77,T76,T76,Charles Howell III,99,1.23,354,287
78,T76,T76,Rod Pampling,72,1.23,264,214
79,T76,T76,Rory Sabbatini,81,1.23,305,248
80,T81,T81,Michael Allen,73,1.22,264,217
81,T81,T81,Fred Couples,54,1.22,220,180
82,T81,T81,Joe Durant,62,1.22,242,198
83,T81,T81,Freddie Jacobson,83,1.22,298,245
84,T81,T81,Bill Lunde,83,1.22,292,239
85,T81,T81,Ian Poulter,59,1.22,194,159
86,T81,T81,Ted Purdy,101,1.22,393,322
87,T81,T81,Chris Stroud,88,1.22,336,275
88,T81,T81,Camilo Villegas,76,1.22,275,226
89,T90,T90,Ernie Els,70,1.21,237,196
90,T90,T90,D.A. Points,99,1.21,369,304
91,T90,T90,Brett Quigley,92,1.21,329,271
92,T90,T90,Jeff Quinney,78,1.21,283,234
93,T90,T90,Kevin Streelman,97,1.21,376,312
94,T95,T95,Alex Cejka,82,1.2,299,250
95,T95,T95,Daniel Chopra,89,1.2,359,298
96,T95,T95,J.J. Henry,97,1.2,327,273
97,T95,T95,John Merrick,91,1.2,337,282
98,T95,T95,Corey Pavin,73,1.2,256,214
99,T95,T95,Pat Perez,74,1.2,270,225
100,T95,T95,Justin Rose,71,1.2,264,220
101,T95,T95,Heath Slocum,95,1.2,330,275
102,T103,T103,Lee Janzen,74,1.19,266,223
103,T103,T103,Marc Leishman,91,1.19,337,283
104,T105,T105,Tommy Armour III,58,1.18,200,170
105,T105,T105,Rich Beem,77,1.18,273,231
106,T105,T105,Sergio Garcia,59,1.18,203,172
107,T105,T105,Padraig Harrington,66,1.18,225,191
108,T105,T105,Davis Love III,89,1.18,311,263
109,T110,T110,Cameron Beckman,87,1.17,300,257
110,T110,T110,Tim Herron,87,1.17,317,270
