,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Tiger Woods,64,68.89,1309,19
1,2,2,Tim Clark,81,68.95,2551,37
2,3,3,Steve Stricker,81,69.03,2140,31
3,4,4,Mark Wilson,99,69.67,3414,49
4,T5,T5,Jonathan Byrd,89,69.68,3066,44
5,T5,T5,Charley Hoffman,97,69.68,3275,47
6,7,7,Matt Kuchar,82,69.7,2300,33
7,8,8,Scott Verplank,88,69.73,2859,41
8,9,9,David Toms,98,69.8,3211,46
9,10,10,James Nitties,86,69.81,2513,36
10,11,11,Corey Pavin,73,69.83,2863,41
11,12,12,Scott Piercy,85,69.84,2584,37
12,13,13,Zach Johnson,94,69.85,2794,40
13,T14,T14,J.J. Henry,97,69.9,3565,51
14,T14,T14,Justin Leonard,95,69.9,2866,41
15,T14,T14,Kenny Perry,92,69.9,2726,39
16,T17,T17,Bill Lunde,83,69.94,3287,47
17,T17,T17,Nick O'Hern,90,69.94,3287,47
18,T19,T19,Brandt Snedeker,81,69.95,2798,40
19,T19,T19,Nick Watney,86,69.95,2658,38
20,21,21,Jim Furyk,86,69.97,2589,37
21,22,22,Robert Garrigus,83,70.0,2870,41
22,23,23,Bryce Molder,69,70.03,2101,30
23,24,24,Troy Matteson,95,70.04,3362,48
24,25,25,Greg Chalmers,85,70.06,2522,36
25,26,26,Kevin Stadler,65,70.07,2102,30
26,27,27,Lucas Glover,93,70.1,2734,39
27,28,28,Bo Van Pelt,100,70.12,3576,51
28,T29,T29,Geoff Ogilvy,78,70.13,2244,32
29,T29,T29,Tim Petrovic,97,70.13,3226,46
30,T31,T31,Jason Bohn,88,70.15,3367,48
31,T31,T31,John Senden,100,70.15,3367,48
32,33,33,Kevin Streelman,97,70.18,3439,49
33,34,34,Bob Estes,78,70.2,2808,40
34,T35,T35,Ben Crane,93,70.21,3370,48
35,T35,T35,Kevin Na,91,70.21,3019,43
36,T35,T35,Scott Sterling,51,70.21,1966,28
37,38,38,George McNeill,82,70.23,3090,44
38,T39,T39,Harrison Frazar,93,70.24,3442,49
39,T39,T39,Greg Owen,97,70.24,3442,49
40,41,41,Matt Jones,56,70.26,2178,31
41,42,42,Hunter Mahan,94,70.27,3162,45
42,T43,T43,Marc Leishman,91,70.28,3233,46
43,T43,T43,Steve Marino,98,70.28,3022,43
44,45,45,Spencer Levin,75,70.29,2952,42
45,T46,T46,Woody Austin,84,70.3,3023,43
46,T46,T46,Chris Stroud,88,70.3,3023,43
47,T46,T46,Vaughn Taylor,88,70.3,3023,43
48,T49,T49,Chris DiMarco,97,70.32,3938,56
49,T49,T49,D.J. Trahan,96,70.32,3516,50
50,T51,T51,Joe Ogilvie,85,70.33,3024,43
51,T51,T51,Rod Pampling,72,70.33,2321,33
52,T53,T53,Stephen Ames,77,70.34,2251,32
53,T53,T53,Jason Day,61,70.34,2040,29
54,T53,T53,Davis Love III,89,70.34,3095,44
55,56,56,Charlie Wi,92,70.36,3096,44
56,57,57,Bill Haas,91,70.37,3026,43
57,T58,T58,Jerry Kelly,90,70.38,3167,45
58,T58,T58,Matt Weibring,65,70.38,2393,34
59,60,60,Dustin Johnson,85,70.39,2675,38
60,61,61,Robert Allenby,71,70.44,2395,34
61,62,62,Chad Campbell,90,70.45,3593,51
62,T63,T63,Joe Durant,62,70.47,2396,34
63,T63,T63,Anthony Kim,76,70.47,2255,32
64,65,65,Mike Weir,85,70.5,3102,44
65,T66,T66,Jeff Maggert,79,70.51,2750,39
66,T66,T66,Chris Riley,77,70.51,2891,41
67,68,68,Tim Herron,87,70.52,3103,44
