,Par_4_Performance_RANK THIS WEEK,Par_4_Performance_RANK LAST WEEK,Par_4_Performance_PLAYER NAME,Par_4_Performance_ROUNDS,Par_4_Performance_STATUS,Par_4_Performance_PAR 4 AVG,Par_4_Performance_TOTAL PAR
0,1,1,Justin Leonard,95,-22,3.98,4008
1,2,2,Tiger Woods,64,-21,3.97,2704
2,T3,T3,Jim Furyk,86,-19,3.98,3592
3,T3,T3,David Toms,98,-19,3.98,4304
4,5,5,Tim Clark,81,-18,3.98,3416
5,T6,T6,Zach Johnson,94,-8,3.99,4064
6,T6,T6,Steve Stricker,81,-8,3.99,3408
7,8,8,Greg Chalmers,85,-6,3.99,3704
8,9,9,Charlie Wi,92,E,4.0,3968
9,10,10,Greg Owen,97,+1,4.0,4240
10,T11,T11,Jason Bohn,88,+2,4.0,3784
11,T11,T11,Ben Crane,93,+2,4.0,4020
12,13,13,Scott Verplank,88,+3,4.0,3920
13,T14,T14,Chris Riley,77,+4,4.0,3376
14,T14,T14,Brandt Snedeker,81,+4,4.0,3520
15,T16,T16,Jonathan Byrd,89,+5,4.01,3752
16,T16,T16,Mark Wilson,99,+5,4.0,4296
17,T18,T18,Joe Durant,62,+6,4.01,2608
18,T18,T18,Troy Matteson,95,+6,4.01,4096
19,T18,T18,Bo Van Pelt,100,+6,4.01,4304
20,T21,T21,Bob Estes,78,+7,4.01,3372
21,T21,T21,Matt Kuchar,82,+7,4.01,3504
22,T21,T21,Ian Poulter,59,+7,4.01,2424
23,T24,T24,Jason Dufner,90,+8,4.01,3872
24,T24,T24,Bob Heintz,59,+8,4.01,2560
25,T24,T24,Hunter Mahan,94,+8,4.01,4040
26,T27,T27,Stephen Ames,77,+10,4.01,3216
27,T27,T27,Heath Slocum,95,+10,4.01,4168
28,29,29,Kenny Perry,92,+11,4.01,3984
29,30,30,Jerry Kelly,90,+12,4.01,3948
30,31,31,Charley Hoffman,97,+13,4.01,4152
31,T32,T32,Chad Campbell,90,+14,4.01,3928
32,T32,T32,Glen Day,79,+14,4.02,3400
33,T34,T34,Michael Allen,73,+15,4.02,3128
34,T34,T34,Jason Day,61,+15,4.02,2616
35,T34,T34,Scott Sterling,51,+15,4.03,2192
36,T37,T37,Bill Haas,91,+16,4.02,3928
37,T37,T37,Marc Leishman,91,+16,4.02,4000
38,T37,T37,Sean O'Hair,80,+16,4.02,3352
39,T37,T37,Kevin Stadler,65,+16,4.02,2808
40,41,41,Woody Austin,84,+17,4.02,3608
41,T42,T42,Tommy Armour III,58,+18,4.03,2480
42,T42,T42,Jeff Klauk,97,+18,4.02,4144
43,T44,T44,Lucas Glover,93,+19,4.02,4088
44,T44,T44,Dustin Johnson,85,+19,4.02,3616
45,T44,T44,Bryce Molder,69,+19,4.02,3096
46,T44,T44,Kevin Na,91,+19,4.02,3896
47,T44,T44,Webb Simpson,94,+19,4.02,4056
48,49,49,Nick O'Hern,90,+20,4.02,3960
49,T50,T50,Fred Couples,54,+21,4.04,2328
50,T50,T50,Steve Marino,98,+21,4.02,4328
51,T50,T50,Matt Weibring,65,+21,4.03,2840
52,T53,T53,Luke Donald,79,+22,4.03,3312
53,T53,T53,Scott McCarron,91,+22,4.02,3920
54,T53,T53,Corey Pavin,73,+22,4.03,3136
55,T53,T53,Andres Romero,58,+22,4.04,2488
56,T53,T53,Rory Sabbatini,81,+22,4.03,3464
57,T53,T53,Kevin Streelman,97,+22,4.02,4264
58,T59,T59,Spencer Levin,75,+24,4.03,3232
59,T59,T59,John Merrick,91,+24,4.02,3952
60,T61,T61,Rich Beem,77,+25,4.03,3304
61,T61,T61,Steve Elkington,70,+25,4.03,2936
62,T61,T61,Sergio Garcia,59,+25,4.04,2576
63,T61,T61,Anthony Kim,76,+25,4.03,3264
64,T61,T61,George McNeill,82,+25,4.03,3600
65,T61,T61,Justin Rose,71,+25,4.03,3072
66,T61,T61,John Senden,100,+25,4.02,4344
67,T68,T68,Harrison Frazar,93,+26,4.03,4088
68,T68,T68,Michael Letzig,96,+26,4.03,4124
69,T68,T68,Tag Ridings,50,+26,4.05,2192
70,T71,T71,Brian Gay,96,+28,4.03,4264
71,T71,T71,Kent Jones,73,+28,4.04,3152
72,T71,T71,Bill Lunde,83,+28,4.03,3632
73,T71,T71,Ryan Moore,89,+28,4.03,3840
74,T75,T75,Ted Purdy,101,+29,4.03,4408
75,T75,T75,Kevin Sutherland,96,+29,4.03,4040
76,77,77,Joe Ogilvie,85,+30,4.03,3640
77,T78,T78,Briny Baird,89,+31,4.03,3880
78,T78,T78,Camilo Villegas,76,+31,4.04,3140
79,T80,T80,Robert Garrigus,83,+32,4.04,3584
80,T80,T80,Rod Pampling,72,+32,4.04,3064
81,T82,T82,Chris DiMarco,97,+33,4.03,4264
82,T82,T82,Charles Howell III,99,+33,4.03,4296
83,T82,T82,Tim Petrovic,97,+33,4.03,4160
84,T82,T82,Patrick Sheehan,51,+33,4.06,2200
85,T86,T86,John Mallinger,90,+34,4.04,3840
86,T86,T86,Boo Weekley,79,+34,4.04,3416
87,88,88,D.J. Trahan,96,+35,4.03,4152
88,T89,T89,Phil Mickelson,66,+36,4.05,2712
89,T89,T89,John Rollins,92,+36,4.04,3920
90,T89,T89,Charles Warren,63,+36,4.05,2672
91,T92,T92,Kris Blanks,60,+37,4.06,2576
92,T92,T92,Ernie Els,70,+37,4.05,2904
93,T92,T92,Lee Janzen,74,+37,4.05,3176
94,T92,T92,Jarrod Lyle,65,+37,4.05,2800
95,T96,T96,Tim Herron,87,+38,4.04,3800
96,T96,T96,James Nitties,86,+38,4.04,3800
97,T96,T96,Nick Watney,86,+38,4.04,3664
98,T96,T96,Y.E. Yang,83,+38,4.04,3592
99,100,100,Ryan Palmer,78,+39,4.05,3352
100,T101,T101,J.J. Henry,97,+40,4.04,4296
101,T101,T101,Jeff Maggert,79,+40,4.05,3432
102,T103,T103,Padraig Harrington,66,+41,4.06,2808
103,T103,T103,Colt Knost,71,+41,4.05,3048
104,T105,T105,Matt Jones,56,+42,4.07,2384
105,T105,T105,Cliff Kresge,78,+42,4.05,3396
106,T105,T105,Scott Piercy,85,+42,4.05,3624
107,T108,T108,Robert Allenby,71,+43,4.06,3088
108,T108,T108,Ángel Cabrera,55,+43,4.07,2400
109,T108,T108,Steve Flesch,77,+43,4.05,3260
110,T108,T108,Geoff Ogilvy,78,+43,4.05,3144
111,T108,T108,Vaughn Taylor,88,+43,4.04,3864
112,T108,T108,Nicholas Thompson,96,+43,4.04,4088
113,T114,T114,Will MacKenzie,69,+45,4.06,2952
114,T114,T114,Chris Stroud,88,+45,4.05,3852
115,T116,T116,Mark Brooks,55,+46,4.08,2352
116,T116,T116,Brian Davis,103,+46,4.04,4504
117,T116,T116,Mike Weir,85,+46,4.05,3680
118,T119,T119,Richard Johnson,85,+47,4.05,3712
119,T119,T119,Chez Reavie,81,+47,4.05,3552
120,121,121,Tom Lehman,55,+48,4.08,2408
121,T122,T122,Bubba Watson,73,+49,4.06,3112
122,T122,T122,Dean Wilson,81,+49,4.06,3464
123,124,124,Pat Perez,74,+50,4.06,3088
124,T125,T125,Davis Love III,89,+51,4.05,3808
125,T125,T125,D.A. Points,99,+51,4.05,4272
126,T127,T127,Brian Bateman,55,+52,4.09,2360
127,T127,T127,Alex Cejka,82,+52,4.06,3528
128,T127,T127,Mathew Goggin,76,+52,4.07,3180
129,T127,T127,Retief Goosen,74,+52,4.07,3152
130,T127,T127,Brett Quigley,92,+52,4.05,3952
131,T127,T127,Jay Williamson,69,+52,4.07,2984
132,T133,T133,Aaron Baddeley,66,+53,4.08,2808
133,T133,T133,Cameron Beckman,87,+53,4.06,3800
134,T133,T133,Jeff Quinney,78,+53,4.06,3320
135,T133,T133,Darron Stiles,52,+53,4.09,2240
136,T133,T133,Johnson Wagner,81,+53,4.06,3504
137,T138,T138,Brendon de Jonge,90,+54,4.06,3848
138,T138,T138,Freddie Jacobson,83,+54,4.06,3664
139,T140,T140,Ricky Barnes,67,+55,4.07,2984
140,T140,T140,K.J. Choi,65,+55,4.08,2728
141,T140,T140,David Mathis,82,+55,4.06,3544
142,T140,T140,Kirk Triplett,60,+55,4.09,2544
143,144,144,Casey Wittenberg,71,+56,4.07,3056
144,T145,T145,Stewart Cink,79,+57,4.07,3272
145,T145,T145,Jason Gore,74,+57,4.07,3176
146,T147,T147,Mark Calcavecchia,72,+58,4.07,3104
147,T147,T147,Adam Scott,53,+58,4.1,2296
148,T147,T147,Vijay Singh,71,+58,4.08,3056
149,T150,T150,Bart Bryant,58,+59,4.09,2552
150,T150,T150,Rocco Mediate,79,+59,4.07,3432
151,T152,T152,Martin Laird,72,+60,4.08,3128
152,T152,T152,Steve Lowery,83,+60,4.07,3560
153,154,154,Brian Vranesh,51,+61,4.11,2216
154,T155,T155,Paul Goydos,79,+62,4.07,3480
155,T155,T155,Aron Price,89,+62,4.06,3844
156,157,157,Tom Pernice Jr.,82,+63,4.07,3464
157,158,158,Daniel Chopra,89,+65,4.07,3840
158,T159,T159,Ben Curtis,63,+66,4.1,2648
159,T159,T159,Ken Duke,87,+66,4.07,3680
160,T161,T161,Brad Adamonis,70,+67,4.09,3008
161,T161,T161,Rick Price,54,+67,4.12,2272
162,T163,T163,Carl Pettersson,86,+69,4.07,3792
163,T163,T163,Jimmy Walker,74,+69,4.09,3188
164,165,165,Peter Tomasulo,61,+70,4.11,2616
165,166,166,Derek Fathauer,63,+72,4.11,2712
166,167,167,Ryuji Imada,85,+75,4.08,3688
167,168,168,Todd Hamilton,83,+76,4.08,3592
168,169,169,Leif Olson,51,+78,4.14,2204
169,170,170,Jeff Overton,92,+79,4.08,3968
170,171,171,Nathan Green,104,+81,4.07,4544
171,172,172,Marc Turnesa,77,+83,4.1,3368
172,T173,T173,Stuart Appleby,79,+84,4.1,3384
173,T173,T173,Brad Faxon,59,+84,4.13,2528
174,T175,T175,David Duval,56,+87,4.14,2412
175,T175,T175,Peter Lonard,86,+87,4.09,3744
176,T175,T175,Brendon Todd,53,+87,4.15,2312
177,178,178,Gary Woodland,53,+89,4.15,2328
178,179,179,J.B. Holmes,74,+93,4.12,3216
179,180,180,Matt Bettencourt,98,+96,4.09,4232
180,181,181,Parker McLachlin,71,+97,4.13,3016
181,182,182,Greg Kraft,51,+98,4.18,2208
182,183,183,Billy Mayfair,83,+111,4.12,3584
183,184,184,Eric Axley,71,+132,4.17,3024
