,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Tiger Woods,64,23.92,267,1116,16
1,T2,T2,Jonathan Byrd,89,23.41,375,1602,2
2,T2,T2,Dustin Johnson,85,23.41,354,1512,80
3,4,4,Anthony Kim,76,23.27,310,1332,164
4,5,5,Hunter Mahan,94,23.07,382,1656,19
5,6,6,Stephen Ames,77,23.04,311,1350,30
6,7,7,Steve Stricker,81,22.64,322,1422,57
7,8,8,Fred Couples,54,22.63,220,972,42
8,9,9,Jason Day,61,22.5,247,1098,117
9,10,10,Harrison Frazar,93,22.46,376,1674,87
10,T11,T11,Daniel Chopra,89,22.41,359,1602,152
11,T11,T11,Justin Leonard,95,22.41,367,1638,45
12,13,13,Bo Van Pelt,100,22.39,403,1800,54
13,14,14,Tim Clark,81,22.29,313,1404,48
14,15,15,Charley Hoffman,97,22.05,385,1746,53
15,16,16,Nick Watney,86,22.03,341,1548,78
16,17,17,Martin Laird,72,21.99,285,1296,67
17,18,18,Scott Piercy,85,21.96,336,1530,74
18,19,19,Lucas Glover,93,21.92,367,1674,88
19,20,20,Phil Mickelson,66,21.87,248,1134,127
20,21,21,Dean Wilson,81,21.81,318,1458,109
21,T22,T22,Sean O'Hair,80,21.71,297,1368,27
22,T22,T22,Matt Weibring,65,21.71,254,1170,90
23,24,24,Joe Durant,62,21.68,242,1116,3
24,25,25,Ted Purdy,101,21.62,393,1818,71
25,26,26,Bubba Watson,73,21.61,284,1314,132
26,27,27,Greg Chalmers,85,21.57,330,1530,100
27,28,28,Zach Johnson,94,21.56,357,1656,28
28,T29,T29,Geoff Ogilvy,78,21.53,279,1296,128
29,T29,T29,Kevin Streelman,97,21.53,376,1746,61
30,T29,T29,D.J. Trahan,96,21.53,372,1728,7
31,32,32,Tag Ridings,50,21.44,193,900,65
32,33,33,Brian Davis,103,21.41,397,1854,121
33,34,34,Matt Jones,56,21.33,215,1008,38
34,T35,T35,Jim Furyk,86,21.22,317,1494,98
35,T35,T35,Robert Garrigus,83,21.22,317,1494,4
36,T35,T35,Ryan Moore,89,21.22,340,1602,77
37,T38,T38,Matt Kuchar,82,21.21,313,1476,132
38,T38,T38,Chris Stroud,88,21.21,336,1584,12
39,T40,T40,Matt Bettencourt,98,21.2,374,1764,155
40,T40,T40,Kris Blanks,60,21.2,229,1080,70
41,42,42,Rory Sabbatini,81,21.18,305,1440,96
42,43,43,Jerry Kelly,90,21.17,343,1620,124
43,44,44,Vaughn Taylor,88,21.15,335,1584,110
44,45,45,Bill Haas,91,21.12,346,1638,34
45,46,46,Y.E. Yang,83,21.08,315,1494,76
46,47,47,Michael Letzig,96,21.06,364,1728,126
47,48,48,Joe Ogilvie,85,21.05,322,1530,171
48,49,49,Charlie Wi,92,21.01,348,1656,120
49,T50,T50,Kevin Na,91,21.0,344,1638,131
50,T50,T50,Kenny Perry,92,21.0,344,1638,36
51,52,52,David Toms,98,20.98,370,1764,20
52,53,53,Ben Crane,93,20.97,351,1674,113
53,54,54,Justin Rose,71,20.95,264,1260,83
54,T55,T55,Brendon de Jonge,90,20.93,339,1620,57
55,T55,T55,Camilo Villegas,76,20.93,275,1314,57
56,57,57,Scott Verplank,88,20.9,331,1584,47
57,58,58,Nicholas Thompson,96,20.89,361,1728,42
58,59,59,Steve Marino,98,20.86,368,1764,21
59,T60,T60,Mark Calcavecchia,72,20.83,270,1296,100
60,T60,T60,Pat Perez,74,20.83,270,1296,151
61,62,62,Chris Riley,77,20.78,288,1386,115
62,63,63,Andres Romero,58,20.76,213,1026,112
63,64,64,D.A. Points,99,20.71,369,1782,71
64,65,65,Jason Dufner,90,20.68,335,1620,49
65,T66,T66,George McNeill,82,20.66,305,1476,142
66,T66,T66,Rod Pampling,72,20.66,264,1278,85
67,68,68,Gary Woodland,53,20.65,197,954,107
68,69,69,Charles Warren,63,20.63,234,1134,14
69,T70,T70,Marc Leishman,91,20.57,337,1638,39
70,T70,T70,John Merrick,91,20.57,337,1638,111
71,T70,T70,Webb Simpson,94,20.57,348,1692,166
72,73,73,Chad Campbell,90,20.56,333,1620,9
73,74,74,John Senden,100,20.44,368,1800,1
74,75,75,Aaron Baddeley,66,20.43,239,1170,181
75,76,76,Greg Owen,97,20.39,356,1746,6
76,77,77,Ángel Cabrera,55,20.37,198,972,169
77,T78,T78,Luke Donald,79,20.32,278,1368,157
78,T78,T78,Paul Goydos,79,20.32,289,1422,145
79,80,80,Mike Weir,85,20.3,307,1512,156
80,T81,T81,Briny Baird,89,20.29,325,1602,10
81,T81,T81,Jeff Overton,92,20.29,336,1656,174
82,83,83,Jason Bohn,88,20.27,321,1584,8
83,84,84,Alex Cejka,82,20.26,299,1476,63
84,85,85,Tim Herron,87,20.24,317,1566,138
85,86,86,James Nitties,86,20.22,313,1548,147
86,87,87,Kevin Sutherland,96,20.18,345,1710,54
87,88,88,Woody Austin,84,20.17,305,1512,106
88,89,89,Jeff Quinney,78,20.16,283,1404,146
89,T90,T90,Michael Allen,73,20.09,264,1314,37
90,T90,T90,Ryan Palmer,78,20.09,282,1404,104
91,T90,T90,Mark Wilson,99,20.09,358,1782,64
92,T93,T93,Bryce Molder,69,20.05,249,1242,40
93,T93,T93,Tim Petrovic,97,20.05,350,1746,102
94,95,95,Boo Weekley,79,19.99,277,1386,52
95,96,96,Lee Janzen,74,19.97,266,1332,136
96,T97,T97,Ernie Els,70,19.95,237,1188,79
97,T97,T97,Freddie Jacobson,83,19.95,298,1494,148
98,T97,T97,Steve Lowery,83,19.95,298,1494,135
99,100,100,Scott McCarron,91,19.9,326,1638,104
100,T101,T101,Bob Heintz,59,19.87,211,1062,121
101,T101,T101,Charles Howell III,99,19.87,354,1782,41
102,T101,T101,Brett Quigley,92,19.87,329,1656,82
103,104,104,Davis Love III,89,19.86,311,1566,50
104,105,105,Brandt Snedeker,81,19.82,289,1458,138
105,106,106,Kirk Triplett,60,19.72,213,1080,29
106,107,107,Troy Matteson,95,19.71,337,1710,18
107,108,108,Rich Beem,77,19.7,273,1386,17
108,109,109,John Mallinger,90,19.69,319,1620,115
