,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Bryce Molder,69,68.76,1169,17
1,2,2,Tim Clark,81,68.96,1655,24
2,3,3,Kevin Stadler,65,69.15,1383,20
3,4,4,Justin Leonard,95,69.22,1592,23
4,5,5,Scott Piercy,85,69.24,1454,21
5,6,6,Greg Chalmers,85,69.3,1386,20
6,7,7,Tiger Woods,64,69.33,416,6
7,8,8,Fred Couples,54,69.36,763,11
8,9,9,Charley Hoffman,97,69.44,2500,36
9,10,10,Geoff Ogilvy,78,69.47,1181,17
10,11,11,Bo Van Pelt,100,69.57,2435,35
11,12,12,Scott Verplank,88,69.67,1881,27
12,13,13,Chris Stroud,88,69.68,1324,19
13,14,14,Matt Kuchar,82,69.74,1604,23
14,15,15,Bob Heintz,59,69.81,1117,16
15,16,16,Corey Pavin,73,69.85,1886,27
16,17,17,Steve Stricker,81,69.88,1118,16
17,18,18,Robert Allenby,71,69.92,1748,25
18,T19,T19,Ben Crane,93,69.93,2098,30
19,T19,T19,Davis Love III,89,69.93,2098,30
20,21,21,James Nitties,86,69.95,1399,20
21,T22,T22,Nick O'Hern,90,69.96,1959,28
22,T22,T22,Matt Weibring,65,69.96,1679,24
23,T24,T24,Jason Bohn,88,70.0,2520,36
24,T24,T24,Zach Johnson,94,70.0,1610,23
25,T24,T24,Joe Ogilvie,85,70.0,1680,24
26,T24,T24,David Toms,98,70.0,1680,24
27,T24,T24,Nick Watney,86,70.0,1610,23
28,T29,T29,Jeff Maggert,79,70.05,1471,21
29,T29,T29,Kenny Perry,92,70.05,1541,22
30,31,31,Kevin Na,91,70.08,1822,26
31,32,32,Alex Cejka,82,70.09,1542,22
32,33,33,Jonathan Byrd,89,70.11,1963,28
33,34,34,Brandt Snedeker,81,70.12,1823,26
34,35,35,Lucas Glover,93,70.14,1543,22
35,36,36,Kevin Streelman,97,70.15,1824,26
36,37,37,Robert Garrigus,83,70.18,1544,22
37,38,38,Mark Wilson,99,70.2,2106,30
38,T39,T39,J.J. Henry,97,70.21,1685,24
39,T39,T39,Steve Marino,98,70.21,2036,29
40,41,41,Greg Owen,97,70.22,1896,27
41,42,42,Jerry Kelly,90,70.23,2177,31
42,T43,T43,Joe Durant,62,70.26,1335,19
43,T43,T43,John Senden,100,70.26,2459,35
44,T45,T45,Dustin Johnson,85,70.27,1546,22
45,T45,T45,Scott Sterling,51,70.27,1054,15
46,47,47,Chris DiMarco,97,70.33,2743,39
47,T48,T48,Matt Bettencourt,98,70.36,2533,36
48,T48,T48,George McNeill,82,70.36,1759,25
49,50,50,Bill Lunde,83,70.37,2111,30
50,51,51,Spencer Levin,75,70.38,2252,32
51,52,52,Woody Austin,84,70.39,2323,33
52,53,53,Tim Petrovic,97,70.4,1760,25
53,54,54,Bob Estes,78,70.43,2113,30
54,55,55,Ken Duke,87,70.46,2466,35
55,56,56,Ernie Els,70,70.47,1339,19
56,T57,T57,Marc Leishman,91,70.48,2185,31
57,T57,T57,Johnson Wagner,81,70.48,1480,21
58,59,59,Brendon de Jonge,90,70.5,2115,30
59,60,60,Charles Warren,63,70.52,1481,21
60,T61,T61,Troy Matteson,95,70.53,2116,30
61,T61,T61,Casey Wittenberg,71,70.53,1340,19
62,63,63,Sean O'Hair,80,70.54,1975,28
63,T64,T64,Rich Beem,77,70.56,1905,27
64,T64,T64,Luke Donald,79,70.56,2258,32
65,T64,T64,Bill Haas,91,70.56,1764,25
66,T64,T64,Justin Rose,71,70.56,1764,25
67,68,68,Stephen Ames,77,70.58,1694,24
68,T69,T69,Richard Johnson,85,70.59,2400,34
69,T69,T69,Nicholas Thompson,96,70.59,2400,34
70,T69,T69,Dean Wilson,81,70.59,1906,27
71,72,72,Aron Price,89,70.62,2401,34
72,T73,T73,Chad Campbell,90,70.63,2260,32
73,T73,T73,Derek Fathauer,63,70.63,1342,19
74,T73,T73,Y.E. Yang,83,70.63,2119,30
75,76,76,Chris Riley,77,70.64,1554,22
76,77,77,Brian Davis,103,70.65,2402,34
77,78,78,Matt Jones,56,70.67,1484,21
