,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,68.4,1026,15
1,2,2,Tim Petrovic,69.06,1174,17
2,3,3,Justin Rose,69.21,969,14
3,4,4,Aaron Baddeley,69.36,763,11
4,5,5,Hunter Mahan,69.45,1528,22
5,6,6,Ben Crane,69.47,1320,19
6,T7,T7,Tim Clark,69.5,1251,18
7,T7,T7,Bill Haas,69.5,1112,16
8,9,9,Ernie Els,69.53,1043,15
9,10,10,Greg Chalmers,69.56,1113,16
10,T11,T11,Stephen Ames,69.67,1045,15
11,T11,T11,Jay Williamson,69.67,836,12
12,13,13,Kevin Stadler,69.69,906,13
13,14,14,Kevin Streelman,69.7,1394,20
14,15,15,Brian Gay,69.71,1464,21
15,16,16,Matt Weibring,69.73,767,11
16,17,17,Jerry Kelly,69.74,1325,19
17,T18,T18,Jim Furyk,69.75,1395,20
18,T18,T18,Tim Herron,69.75,1116,16
19,T18,T18,Rory Sabbatini,69.75,1116,16
20,21,21,Nick O'Hern,69.83,1257,18
21,22,22,Mathew Goggin,69.85,908,13
22,23,23,Matt Kuchar,69.88,1188,17
23,24,24,Tag Ridings,69.9,699,10
24,T25,T25,Harrison Frazar,69.94,1189,17
25,T25,T25,Greg Owen,69.94,1259,18
26,T25,T25,D.J. Trahan,69.94,1259,18
27,T28,T28,Andres Romero,70.0,700,10
28,T28,T28,Brian Vranesh,70.0,420,6
29,T28,T28,Nick Watney,70.0,1330,19
30,31,31,Kevin Na,70.05,1401,20
31,32,32,Jason Day,70.07,981,14
32,T33,T33,Jeff Quinney,70.08,911,13
33,T33,T33,Jimmy Walker,70.08,911,13
34,T35,T35,Charles Howell III,70.1,1472,21
35,T35,T35,Zach Johnson,70.1,1472,21
36,T37,T37,Chris DiMarco,70.11,1332,19
37,T37,T37,Dustin Johnson,70.11,1262,18
38,39,39,Brandt Snedeker,70.13,1052,15
39,T40,T40,J.J. Henry,70.15,1403,20
40,T40,T40,Corey Pavin,70.15,912,13
41,42,42,Scott Verplank,70.16,1333,19
42,43,43,Matt Jones,70.17,842,12
43,T44,T44,John Senden,70.2,1404,20
44,T44,T44,Scott Sterling,70.2,702,10
45,46,46,Steve Stricker,70.22,1264,18
46,T47,T47,Spencer Levin,70.23,913,13
47,T47,T47,David Toms,70.23,1545,22
48,49,49,K.J. Choi,70.27,773,11
49,50,50,Cliff Kresge,70.3,703,10
50,51,51,Kris Blanks,70.33,633,9
51,52,52,Chris Riley,70.35,1196,17
52,53,53,Martin Laird,70.36,774,11
53,54,54,Adam Scott,70.38,563,8
54,55,55,Ken Duke,70.43,986,14
55,56,56,Chris Stroud,70.44,1127,16
56,T57,T57,Ángel Cabrera,70.45,775,11
57,T57,T57,Brian Davis,70.45,1409,20
58,59,59,Mark Wilson,70.48,1480,21
59,T60,T60,Bob Heintz,70.5,705,10
60,T60,T60,Jeff Klauk,70.5,1410,20
61,T62,T62,Sean O'Hair,70.53,1199,17
62,T62,T62,Carl Pettersson,70.53,1058,15
63,T64,T64,Rich Beem,70.54,917,13
64,T64,T64,Sergio Garcia,70.54,917,13
65,66,66,Bob Estes,70.56,1129,16
66,T67,T67,Chad Campbell,70.58,1341,19
67,T67,T67,Mike Weir,70.58,1341,19
68,69,69,Cameron Beckman,70.59,1200,17
69,70,70,Vijay Singh,70.6,1059,15
70,71,71,Dean Wilson,70.62,918,13
71,72,72,David Mathis,70.64,989,14
72,73,73,Bo Van Pelt,70.65,1413,20
73,T74,T74,Steve Elkington,70.67,848,12
74,T74,T74,George McNeill,70.67,1060,15
75,T74,T74,Charlie Wi,70.67,1272,18
76,T77,T77,Ryan Moore,70.71,1202,17
77,T77,T77,Johnson Wagner,70.71,990,14
78,T79,T79,Luke Donald,70.72,1273,18
79,T79,T79,Davis Love III,70.72,1273,18
80,T81,T81,Brad Adamonis,70.73,778,11
81,T81,T81,Robert Allenby,70.73,1061,15
82,83,83,Steve Marino,70.74,1344,19
83,T84,T84,Justin Leonard,70.75,1415,20
84,T84,T84,Ian Poulter,70.75,849,12
85,86,86,Kenny Perry,70.78,1628,23
86,87,87,Bryce Molder,70.79,991,14
87,88,88,Alex Cejka,70.81,1133,16
88,T89,T89,Fred Couples,70.82,779,11
89,T89,T89,Nicholas Thompson,70.82,1204,17
90,T91,T91,Glen Day,70.86,992,14
91,T91,T91,Ted Purdy,70.86,1488,21
92,93,93,Pat Perez,70.87,1063,15
93,T94,T94,Troy Matteson,70.88,1205,17
94,T94,T94,Brett Quigley,70.88,1205,17
95,T94,T94,Camilo Villegas,70.88,1205,17
96,97,97,Scott McCarron,70.89,1347,19
97,98,98,Patrick Sheehan,70.91,780,11
98,99,99,Peter Lonard,70.92,851,12
99,100,100,Webb Simpson,70.94,1206,17
100,101,101,D.A. Points,70.95,1419,20
101,T102,T102,Ricky Barnes,71.0,781,11
102,T102,T102,Jason Bohn,71.0,1349,19
103,T102,T102,Joe Durant,71.0,781,11
104,T102,T102,Steve Lowery,71.0,994,14
105,T102,T102,Jeff Maggert,71.0,852,12
106,T102,T102,Casey Wittenberg,71.0,781,11
107,108,108,Jason Dufner,71.05,1350,19
108,T109,T109,Bill Lunde,71.07,1066,15
109,T109,T109,James Nitties,71.07,1066,15
110,T109,T109,Joe Ogilvie,71.07,995,14
111,112,112,Mark Brooks,71.1,711,10
112,113,113,Y.E. Yang,71.11,1351,19
113,114,114,Phil Mickelson,71.13,1067,15
114,T115,T115,Steve Flesch,71.15,925,13
115,T115,T115,Lee Janzen,71.15,925,13
116,117,117,Derek Fathauer,71.17,427,6
117,T118,T118,Tommy Armour III,71.18,783,11
118,T118,T118,Mark Calcavecchia,71.18,783,11
119,120,120,Leif Olson,71.2,356,5
120,121,121,Marc Leishman,71.22,1282,18
121,T122,T122,Robert Garrigus,71.24,1211,17
122,T122,T122,Kevin Sutherland,71.24,1496,21
123,T122,T122,Boo Weekley,71.24,1211,17
124,125,125,Brendon de Jonge,71.25,1140,16
125,T126,T126,Tom Pernice Jr.,71.27,1069,15
126,T126,T126,Scott Piercy,71.27,1069,15
127,128,128,John Mallinger,71.28,1283,18
128,129,129,Lucas Glover,71.3,1426,20
129,130,130,Jonathan Byrd,71.32,1355,19
130,131,131,Ryuji Imada,71.35,1213,17
131,132,132,Bubba Watson,71.38,928,13
132,T133,T133,Woody Austin,71.41,1214,17
133,T133,T133,Heath Slocum,71.41,1214,17
134,135,135,Michael Allen,71.43,1000,14
