,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,64,68.05199999999999,4268,- 48.780,62
1,2,2,Steve Stricker,81,69.286,5491,- 17.378,79
2,3,3,Jim Furyk,86,69.477,5812,- 45.439,83
3,4,4,Zach Johnson,94,69.601,6423,- 19.726,92
4,5,5,Tim Clark,81,69.658,5435,- 1.690,78
5,6,6,Hunter Mahan,94,69.691,6450,- 38.440,92
6,7,7,David Toms,98,69.73,6836,- 2.507,98
7,8,8,Kenny Perry,92,69.789,6383,- 32.207,91
8,9,9,Steve Marino,98,69.903,6869,- 18.506,98
9,10,10,Sean O'Hair,80,69.947,5354,- 38.029,76
10,11,11,Retief Goosen,74,69.961,5162,- 54.826,73
11,12,12,Lucas Glover,93,69.97,6542,- 34.776,93
12,13,13,Luke Donald,79,70.012,5356,- 35.103,76
13,14,14,Scott Verplank,88,70.03699999999999,6159,4.290,88
14,15,15,Sergio Garcia,59,70.056,4096,- 32.725,58
15,16,16,John Senden,100,70.057,7018,- 12.341,100
16,17,17,Robert Allenby,71,70.067,4957,- 52.290,70
17,18,18,Nick Watney,86,70.071,6053,- 26.896,86
18,19,19,Justin Leonard,95,70.094,6362,16.583,91
19,20,20,Ian Poulter,59,70.101,3967,- 41.367,56
20,21,21,Matt Kuchar,82,70.112,5748,1.222,82
21,22,22,Jerry Kelly,90,70.119,6301,9.748,90
22,23,23,Kevin Na,91,70.128,6389,- 7.330,91
23,24,24,Jason Day,61,70.132,4275,3.069,61
24,25,25,Ángel Cabrera,55,70.175,3842,- 52.536,54
25,26,26,Bryce Molder,69,70.208,4838,6.336,69
26,27,27,Ernie Els,70,70.212,4670,- 36.006,66
27,28,28,Phil Mickelson,66,70.218,4462,- 38.258,63
28,T29,T29,George McNeill,82,70.22800000000001,5774,- 15.337,82
29,T29,T29,Mike Weir,85,70.22800000000001,5915,- 15.882,84
30,31,31,Padraig Harrington,66,70.229,4618,- 53.110,65
31,32,32,Stephen Ames,77,70.248,5264,4.598,75
32,33,33,Camilo Villegas,76,70.29,5170,- 38.845,73
33,34,34,Jason Dufner,90,70.307,6343,- 15.387,90
34,35,35,Mark Wilson,99,70.313,6951,10.025,99
35,36,36,Geoff Ogilvy,78,70.316,5089,- 26.223,72
36,37,37,Bo Van Pelt,100,70.357,7012,23.705,100
37,38,38,J.J. Henry,97,70.362,6833,- 7.894,97
38,39,39,Ben Crane,93,70.376,6542,3.011,93
39,40,40,Justin Rose,71,70.389,4955,- 27.767,70
40,41,41,Brian Gay,96,70.4,6753,5.381,96
41,42,42,Dustin Johnson,85,70.414,5920,- 5.202,84
42,43,43,Boo Weekley,79,70.42699999999999,5458,- 35.131,77
43,44,44,Nick O'Hern,90,70.429,6335,3.591,90
44,45,45,Chad Campbell,90,70.43,6328,10.671,90
45,46,46,Charley Hoffman,97,70.438,6821,11.500,97
46,47,47,Charles Howell III,99,70.459,6991,- 15.605,99
47,48,48,Y.E. Yang,83,70.46,5870,- 21.819,83
48,49,49,Stewart Cink,79,70.465,5190,- 46.076,73
49,50,50,Brandt Snedeker,81,70.47399999999999,5716,- 7.591,81
50,T51,T51,Greg Chalmers,85,70.507,5949,44.061,85
51,T51,T51,Anthony Kim,76,70.507,5226,- 8.492,74
52,53,53,Woody Austin,84,70.527,5937,- 12.698,84
53,54,54,Bill Haas,91,70.53,6403,15.235,91
54,55,55,Chris Riley,77,70.535,5400,31.193,77
55,56,56,Harrison Frazar,93,70.538,6528,32.011,93
56,57,57,Rory Sabbatini,81,70.544,5649,- 5.518,80
57,58,58,Davis Love III,89,70.55,6150,- 12.162,87
58,59,59,Kevin Sutherland,96,70.561,6717,- 13.698,95
59,60,60,Bob Estes,78,70.568,5498,6.301,78
60,61,61,Marc Leishman,91,70.587,6425,- 1.596,91
61,62,62,Kevin Streelman,97,70.59100000000001,6839,8.311,97
62,63,63,Ryan Moore,89,70.598,6271,12.200,89
63,64,64,Rod Pampling,72,70.607,5030,- 16.933,71
64,65,65,Bubba Watson,73,70.61,5170,- 15.474,73
65,66,66,Heath Slocum,95,70.612,6700,8.128,95
66,67,67,Freddie Jacobson,83,70.617,5864,- 2.772,83
67,68,68,Bill Lunde,83,70.623,5846,15.707,83
68,69,69,James Nitties,86,70.637,6078,- 3.209,86
69,70,70,Briny Baird,89,70.641,6267,20.071,89
70,71,71,Charlie Wi,92,70.657,6482,18.454,92
71,72,72,Tom Lehman,55,70.661,3928,- 41.639,55
72,T73,T73,Jonathan Byrd,89,70.66199999999999,6258,30.928,89
73,T73,T73,Vijay Singh,71,70.66199999999999,4908,- 32.301,69
74,75,75,Fred Couples,54,70.664,3815,.858,54
75,T76,T76,Paul Goydos,79,70.683,5612,- 28.019,79
76,T76,T76,Scott Sterling,51,70.683,3596,8.839,51
77,T78,T78,Brian Davis,103,70.688,7265,15.817,103
78,T78,T78,Chris DiMarco,97,70.688,6837,19.781,97
79,80,80,Tag Ridings,50,70.696,3516,18.808,50
80,81,81,Michael Letzig,96,70.708,6769,18.972,96
81,82,82,Greg Owen,97,70.711,6821,38.002,97
