,Round_3_Scoring_Average_RANK THIS WEEK,Round_3_Scoring_Average_RANK LAST WEEK,Round_3_Scoring_Average_PLAYER NAME,Round_3_Scoring_Average_AVG,Round_3_Scoring_Average_TOTAL STROKES,Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,68.4,1026,15
1,2,2,Zach Johnson,68.43,1437,21
2,3,3,Fred Couples,68.73,756,11
3,4,4,Steve Stricker,68.78,1238,18
4,5,5,Brandt Snedeker,69.07,1036,15
5,6,6,George McNeill,69.13,1037,15
6,7,7,Joe Durant,69.18,761,11
7,8,8,Lucas Glover,69.25,1385,20
8,9,9,Marc Leishman,69.28,1247,18
9,10,10,Justin Leonard,69.3,1386,20
10,11,11,Charlie Wi,69.33,1248,18
11,T12,T12,Bryce Molder,69.36,971,14
12,T12,T12,David Toms,69.36,1526,22
13,T14,T14,Tim Clark,69.39,1249,18
14,T14,T14,D.J. Trahan,69.39,1249,18
15,16,16,Steve Marino,69.45,1389,20
16,17,17,Matt Kuchar,69.53,1182,17
17,T18,T18,Jonathan Byrd,69.55,1391,20
18,T18,T18,Charley Hoffman,69.55,1530,22
19,20,20,Nick O'Hern,69.56,1252,18
20,T21,T21,Geoff Ogilvy,69.59,1183,17
21,T21,T21,Chris Riley,69.59,1183,17
22,23,23,Scott Piercy,69.6,1044,15
23,24,24,Corey Pavin,69.64,975,14
24,25,25,Charles Warren,69.67,836,12
25,26,26,Darron Stiles,69.71,488,7
26,27,27,Matt Weibring,69.73,767,11
27,28,28,Jason Bohn,69.79,1326,19
28,T29,T29,Bill Lunde,69.8,1047,15
29,T29,T29,Kevin Streelman,69.8,1396,20
30,T29,T29,Bo Van Pelt,69.8,1396,20
31,T32,T32,Leif Olson,69.83,419,6
32,T32,T32,Brendon Todd,69.83,419,6
33,34,34,Spencer Levin,69.85,908,13
34,35,35,Briny Baird,69.88,1118,16
35,T36,T36,Ryan Palmer,69.92,909,13
36,T36,T36,Chez Reavie,69.92,909,13
37,38,38,Matt Bettencourt,69.95,1329,19
38,T39,T39,Stephen Ames,70.0,1050,15
39,T39,T39,Chad Campbell,70.0,1330,19
40,T39,T39,Bob Estes,70.0,1190,17
41,T39,T39,Harrison Frazar,70.0,1330,19
42,T39,T39,Mathew Goggin,70.0,910,13
43,T39,T39,Jeff Klauk,70.0,1400,20
44,T39,T39,Martin Laird,70.0,840,12
45,T39,T39,John Mallinger,70.0,1260,18
46,T39,T39,Webb Simpson,70.0,1190,17
47,T39,T39,Mark Wilson,70.0,1540,22
48,T49,T49,Hunter Mahan,70.04,1611,23
49,T49,T49,Kenny Perry,70.04,1611,23
50,T51,T51,Brian Davis,70.05,1471,21
51,T51,T51,Brett Quigley,70.05,1331,19
52,T51,T51,Scott Verplank,70.05,1401,20
53,54,54,Luke Donald,70.06,1261,18
54,55,55,Joe Ogilvie,70.07,1051,15
55,56,56,J.B. Holmes,70.08,911,13
56,T57,T57,Woody Austin,70.11,1262,18
57,T57,T57,Davis Love III,70.11,1332,19
58,T59,T59,Brendon de Jonge,70.13,1122,16
59,T59,T59,Anthony Kim,70.13,1122,16
60,61,61,Kevin Na,70.14,1473,21
61,62,62,Y.E. Yang,70.16,1333,19
62,63,63,Greg Chalmers,70.18,1193,17
63,64,64,Bill Haas,70.19,1123,16
64,65,65,Michael Allen,70.2,1053,15
65,66,66,Richard Johnson,70.24,1194,17
66,67,67,Vaughn Taylor,70.25,1124,16
67,T68,T68,Robert Garrigus,70.29,1195,17
68,T68,T68,Heath Slocum,70.29,1195,17
69,70,70,Kirk Triplett,70.3,703,10
70,71,71,Jerry Kelly,70.32,1336,19
71,72,72,Cliff Kresge,70.33,844,12
72,T73,T73,Cameron Beckman,70.35,1196,17
73,T73,T73,Freddie Jacobson,70.35,1196,17
74,T75,T75,Kris Blanks,70.36,774,11
75,T75,T75,Casey Wittenberg,70.36,774,11
76,77,77,Dustin Johnson,70.37,1337,19
77,78,78,John Senden,70.38,1478,21
78,79,79,Bob Heintz,70.4,704,10
79,80,80,Jason Dufner,70.42,1338,19
80,T81,T81,David Duval,70.43,493,7
81,T81,T81,Ted Purdy,70.43,1479,21
82,83,83,Greg Owen,70.45,1409,20
83,T84,T84,Jeff Maggert,70.46,916,13
84,T84,T84,Dean Wilson,70.46,916,13
85,86,86,John Rollins,70.47,1339,19
86,T87,T87,Jason Day,70.5,987,14
87,T87,T87,Justin Rose,70.5,987,14
88,89,89,Michael Letzig,70.52,1481,21
89,T90,T90,Lee Janzen,70.53,1058,15
90,T90,T90,John Merrick,70.53,1199,17
91,T90,T90,Carl Pettersson,70.53,1058,15
