,First_Tee_Early_Round_4_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_4_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_4_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_4_Scoring_Average_AVG,First_Tee_Early_Round_4_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Bryce Molder,65.0,130,2
1,T2,T2,Brendon Todd,66.0,66,1
2,T2,T2,Tiger Woods,66.0,132,2
3,4,4,Greg Chalmers,67.0,134,2
4,5,5,Tim Petrovic,67.57,473,7
5,6,6,Justin Rose,67.6,338,5
6,7,7,Peter Lonard,67.67,203,3
7,8,8,Alex Cejka,67.75,271,4
8,T9,T9,Matt Kuchar,68.0,272,4
9,T9,T9,Corey Pavin,68.0,408,6
10,11,11,Tim Clark,68.2,341,5
11,12,12,Scott Piercy,68.33,410,6
12,13,13,Matt Weibring,68.5,274,4
13,T14,T14,K.J. Choi,68.67,206,3
14,T14,T14,Kevin Streelman,68.67,412,6
15,T14,T14,Scott Verplank,68.67,412,6
16,17,17,Ben Crane,68.9,689,10
17,T18,T18,Aaron Baddeley,69.0,414,6
18,T18,T18,Mathew Goggin,69.0,345,5
19,T18,T18,Bob Heintz,69.0,138,2
20,T18,T18,Joe Ogilvie,69.0,414,6
21,T18,T18,Greg Owen,69.0,621,9
22,T18,T18,Rory Sabbatini,69.0,414,6
23,T18,T18,Vijay Singh,69.0,276,4
24,T18,T18,Jay Williamson,69.0,345,5
25,26,26,Ernie Els,69.14,484,7
26,27,27,Kevin Stadler,69.17,415,6
27,28,28,Dustin Johnson,69.2,346,5
28,29,29,Lucas Glover,69.25,277,4
29,30,30,Bubba Watson,69.29,485,7
30,31,31,Nicholas Thompson,69.3,693,10
31,T32,T32,Tim Herron,69.33,416,6
32,T32,T32,Jerry Kelly,69.33,416,6
33,T32,T32,Cliff Kresge,69.33,208,3
34,T32,T32,Davis Love III,69.33,416,6
35,T36,T36,Johnson Wagner,69.5,417,6
36,T36,T36,Nick Watney,69.5,417,6
37,38,38,Jason Bohn,69.6,696,10
38,39,39,Chris DiMarco,69.63,557,8
39,40,40,Jeff Maggert,69.67,209,3
40,T41,T41,Nick O'Hern,69.71,488,7
41,T41,T41,Chris Stroud,69.71,488,7
42,T43,T43,Jonathan Byrd,69.75,558,8
43,T43,T43,Glen Day,69.75,279,4
44,T43,T43,Spencer Levin,69.75,558,8
45,46,46,Bo Van Pelt,69.8,349,5
46,47,47,Chris Riley,69.86,489,7
47,T48,T48,Kris Blanks,70.0,350,5
48,T48,T48,Fred Couples,70.0,210,3
49,T48,T48,Brendon de Jonge,70.0,560,8
50,T48,T48,Joe Durant,70.0,280,4
51,T48,T48,James Nitties,70.0,210,3
52,T48,T48,Rod Pampling,70.0,210,3
53,T48,T48,Kenny Perry,70.0,560,8
54,T48,T48,Brandt Snedeker,70.0,280,4
55,T48,T48,David Toms,70.0,350,5
56,T57,T57,Mark Brooks,70.17,421,6
57,T57,T57,Todd Hamilton,70.17,421,6
58,T57,T57,Kent Jones,70.17,421,6
59,T57,T57,Scott Sterling,70.17,421,6
60,T61,T61,D.A. Points,70.2,702,10
61,T61,T61,Webb Simpson,70.2,351,5
62,63,63,Ken Duke,70.22,632,9
63,T64,T64,Stephen Ames,70.25,281,4
64,T64,T64,Ángel Cabrera,70.25,281,4
65,T64,T64,Ryan Moore,70.25,281,4
66,T67,T67,Hunter Mahan,70.29,492,7
67,T67,T67,Dean Wilson,70.29,492,7
68,T69,T69,Bob Estes,70.33,422,6
69,T69,T69,Casey Wittenberg,70.33,211,3
70,T71,T71,Steve Elkington,70.4,352,5
71,T71,T71,Zach Johnson,70.4,352,5
72,T71,T71,D.J. Trahan,70.4,352,5
73,T74,T74,J.J. Henry,70.44,634,9
74,T74,T74,Scott McCarron,70.44,634,9
75,T76,T76,Tommy Armour III,70.5,423,6
76,T76,T76,Colt Knost,70.5,282,4
77,T76,T76,Steve Marino,70.5,141,2
78,T76,T76,Ted Purdy,70.5,705,10
79,T76,T76,Andres Romero,70.5,423,6
80,T76,T76,Boo Weekley,70.5,423,6
81,T82,T82,Troy Matteson,70.57,494,7
82,T82,T82,John Senden,70.57,494,7
83,84,84,Carl Pettersson,70.6,353,5
84,T85,T85,Briny Baird,70.67,212,3
85,T85,T85,Mark Wilson,70.67,636,9
86,87,87,Brian Davis,70.7,707,10
87,88,88,George McNeill,70.71,495,7
88,T89,T89,Ricky Barnes,70.75,283,4
89,T89,T89,Harrison Frazar,70.75,566,8
90,T89,T89,Kevin Na,70.75,283,4
91,T92,T92,Brian Gay,70.8,708,10
92,T92,T92,Jeff Klauk,70.8,354,5
93,94,94,Steve Lowery,70.89,638,9
94,T95,T95,Robert Allenby,71.0,426,6
95,T95,T95,Rich Beem,71.0,568,8
96,T95,T95,Matt Bettencourt,71.0,497,7
97,T95,T95,Ben Curtis,71.0,426,6
98,T95,T95,Jason Day,71.0,213,3
99,T95,T95,Luke Donald,71.0,426,6
100,T95,T95,Robert Garrigus,71.0,355,5
101,T95,T95,Jason Gore,71.0,426,6
102,T95,T95,Justin Leonard,71.0,284,4
103,T95,T95,Camilo Villegas,71.0,497,7
104,T95,T95,Mike Weir,71.0,497,7
105,106,106,Aron Price,71.09,782,11
106,107,107,Michael Letzig,71.11,640,9
107,108,108,Nathan Green,71.13,569,8
108,109,109,Jeff Overton,71.14,498,7
109,T110,T110,Mark Calcavecchia,71.17,427,6
110,T110,T110,Lee Janzen,71.17,427,6
111,T112,T112,Brad Adamonis,71.2,356,5
112,T112,T112,Charley Hoffman,71.2,356,5
113,114,114,Pat Perez,71.25,285,4
114,T115,T115,Steve Flesch,71.29,499,7
115,T115,T115,Jimmy Walker,71.29,499,7
116,117,117,Heath Slocum,71.3,713,10
117,118,118,Kevin Sutherland,71.31,927,13
118,T119,T119,Brad Faxon,71.33,214,3
119,T119,T119,Brett Quigley,71.33,428,6
120,T119,T119,Brian Vranesh,71.33,214,3
121,T122,T122,Sean O'Hair,71.4,357,5
122,T122,T122,Geoff Ogilvy,71.4,357,5
123,T122,T122,Adam Scott,71.4,357,5
124,T125,T125,Stewart Cink,71.43,500,7
125,T125,T125,Ryuji Imada,71.43,500,7
126,T125,T125,Tom Pernice Jr.,71.43,500,7
127,T125,T125,Y.E. Yang,71.43,500,7
128,129,129,Chad Campbell,71.45,786,11
129,130,130,Peter Tomasulo,71.5,143,2
130,131,131,Sergio Garcia,71.57,501,7
131,T132,T132,Bill Haas,71.67,215,3
132,T132,T132,Jeff Quinney,71.67,430,6
133,134,134,Richard Johnson,71.71,502,7
134,T135,T135,Jim Furyk,71.75,287,4
135,T135,T135,Matt Jones,71.75,287,4
136,T135,T135,Vaughn Taylor,71.75,287,4
137,138,138,Michael Allen,71.83,431,6
138,139,139,Cameron Beckman,71.86,503,7
139,140,140,Jason Dufner,71.89,647,9
140,T141,T141,Brian Bateman,72.0,72,1
141,T141,T141,David Duval,72.0,144,2
142,T141,T141,Martin Laird,72.0,216,3
143,T141,T141,Marc Leishman,72.0,504,7
144,T141,T141,David Mathis,72.0,504,7
145,T141,T141,Parker McLachlin,72.0,432,6
146,T141,T141,Rick Price,72.0,144,2
147,T141,T141,John Rollins,72.0,720,10
148,T141,T141,Patrick Sheehan,72.0,216,3
149,T141,T141,Darron Stiles,72.0,72,1
150,T141,T141,Charlie Wi,72.0,360,5
151,152,152,Chez Reavie,72.14,505,7
152,153,153,Rocco Mediate,72.17,866,12
153,T154,T154,Woody Austin,72.2,361,5
154,T154,T154,Ryan Palmer,72.2,361,5
155,T156,T156,Anthony Kim,72.25,578,8
156,T156,T156,Marc Turnesa,72.25,289,4
157,158,158,John Mallinger,72.27,795,11
158,159,159,Bill Lunde,72.29,506,7
159,160,160,Billy Mayfair,72.33,434,6
160,161,161,Charles Howell III,72.5,435,6
161,162,162,Bart Bryant,72.6,363,5
162,163,163,Derek Fathauer,72.67,218,3
163,164,164,John Merrick,72.83,437,6
164,165,165,Freddie Jacobson,72.86,510,7
165,T166,T166,Greg Kraft,73.0,146,2
166,T166,T166,Leif Olson,73.0,73,1
167,T166,T166,Tag Ridings,73.0,73,1
168,169,169,Jarrod Lyle,73.17,439,6
169,T170,T170,Stuart Appleby,73.2,366,5
170,T170,T170,Retief Goosen,73.2,366,5
171,T170,T170,Paul Goydos,73.2,366,5
172,T173,T173,Phil Mickelson,73.25,586,8
173,T173,T173,Charles Warren,73.25,293,4
174,175,175,Daniel Chopra,73.4,367,5
175,176,176,Will MacKenzie,73.5,294,4
176,177,177,J.B. Holmes,73.67,442,6
177,T178,T178,Padraig Harrington,73.75,295,4
178,T178,T178,Tom Lehman,73.75,295,4
179,180,180,Ian Poulter,74.0,74,1
180,181,181,Gary Woodland,74.33,223,3
181,182,182,Kirk Triplett,74.67,224,3
182,183,183,Eric Axley,74.75,299,4
183,184,184,Steve Stricker,75.5,151,2
