,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Tiger Woods,64,68.0,68,1
1,2,2,Bubba Watson,73,68.33,820,12
2,3,3,Fred Couples,54,68.43,479,7
3,4,4,Mike Weir,85,68.64,755,11
4,T5,T5,Sergio Garcia,59,68.67,206,3
5,T5,T5,Boo Weekley,79,68.67,618,9
6,7,7,Matt Jones,56,68.9,689,10
7,8,8,Steve Marino,98,68.94,1241,18
8,9,9,Geoff Ogilvy,78,69.0,138,2
9,10,10,David Toms,98,69.13,553,8
10,11,11,Zach Johnson,94,69.17,415,6
11,12,12,Cameron Beckman,87,69.26,1593,23
12,13,13,Padraig Harrington,66,69.33,208,3
13,14,14,Greg Chalmers,85,69.35,1387,20
14,15,15,Jerry Kelly,90,69.39,1249,18
15,16,16,Ben Crane,93,69.4,1041,15
16,17,17,Bob Heintz,59,69.5,834,12
17,18,18,Scott McCarron,91,69.56,1113,16
18,19,19,Bo Van Pelt,100,69.57,1461,21
19,20,20,Vaughn Taylor,88,69.61,1253,18
20,21,21,Freddie Jacobson,83,69.64,975,14
21,22,22,Spencer Levin,75,69.65,1184,17
22,23,23,Chris Riley,77,69.67,1045,15
23,24,24,Justin Leonard,95,69.71,488,7
24,25,25,Greg Owen,97,69.73,1046,15
25,T26,T26,Sean O'Hair,80,69.75,837,12
26,T26,T26,Steve Stricker,81,69.75,279,4
27,28,28,Kevin Na,91,69.77,907,13
28,29,29,Patrick Sheehan,51,69.8,698,10
29,30,30,Camilo Villegas,76,69.83,419,6
30,31,31,Brett Quigley,92,69.85,1886,27
31,32,32,Scott Verplank,88,69.87,1048,15
32,33,33,Dustin Johnson,85,69.89,629,9
33,34,34,Briny Baird,89,69.91,769,11
34,35,35,Steve Lowery,83,69.94,1259,18
35,36,36,Jason Dufner,90,69.95,1329,19
36,T37,T37,Kris Blanks,60,70.0,1050,15
37,T37,T37,Chad Campbell,90,70.0,980,14
38,T37,T37,Steve Elkington,70,70.0,910,13
39,T37,T37,Phil Mickelson,66,70.0,210,3
40,T37,T37,Ryan Moore,89,70.0,1470,21
41,T37,T37,Ian Poulter,59,70.0,420,6
42,T37,T37,Matt Weibring,65,70.0,910,13
43,44,44,John Senden,100,70.05,1401,20
44,T45,T45,Rocco Mediate,79,70.07,981,14
45,T45,T45,Tag Ridings,50,70.07,981,14
46,47,47,Justin Rose,71,70.08,841,12
47,T48,T48,Troy Matteson,95,70.2,1053,15
48,T48,T48,Bryce Molder,69,70.2,1053,15
49,T50,T50,Luke Donald,79,70.21,983,14
50,T50,T50,Pat Perez,74,70.21,1334,19
51,52,52,Tim Herron,87,70.22,1264,18
52,T53,T53,Rich Beem,77,70.25,1124,16
53,T53,T53,Jonathan Byrd,89,70.25,1124,16
54,T53,T53,Todd Hamilton,83,70.25,1124,16
55,56,56,David Mathis,82,70.27,1054,15
56,57,57,Ted Purdy,101,70.28,1265,18
57,58,58,Retief Goosen,74,70.29,492,7
58,59,59,Harrison Frazar,93,70.31,914,13
59,T60,T60,Brian Gay,96,70.33,1055,15
60,T60,T60,Charles Howell III,99,70.33,1477,21
61,62,62,Daniel Chopra,89,70.35,1407,20
62,63,63,Charley Hoffman,97,70.36,1548,22
63,T64,T64,Robert Allenby,71,70.4,704,10
64,T64,T64,Nathan Green,104,70.4,1408,20
65,66,66,Hunter Mahan,94,70.43,493,7
66,T67,T67,Steve Flesch,77,70.44,1127,16
67,T67,T67,Jay Williamson,69,70.44,1127,16
68,T69,T69,Jeff Overton,92,70.45,775,11
69,T69,T69,Charles Warren,63,70.45,775,11
70,71,71,Kevin Stadler,65,70.46,916,13
71,72,72,Richard Johnson,85,70.47,1198,17
72,T73,T73,Ricky Barnes,67,70.5,1410,20
73,T73,T73,Brian Bateman,55,70.5,846,12
74,T73,T73,Joe Durant,62,70.5,846,12
75,T73,T73,Cliff Kresge,78,70.5,1128,16
76,T73,T73,Tim Petrovic,97,70.5,1128,16
77,78,78,Chris DiMarco,97,70.54,1693,24
78,79,79,Casey Wittenberg,71,70.6,1059,15
79,80,80,D.A. Points,99,70.61,1271,18
80,81,81,Lucas Glover,93,70.62,918,13
81,82,82,Stephen Ames,77,70.63,1130,16
82,T83,T83,Kent Jones,73,70.69,1131,16
83,T83,T83,John Merrick,91,70.69,1131,16
84,85,85,Rory Sabbatini,81,70.7,707,10
85,86,86,Chris Stroud,88,70.73,778,11
86,87,87,Michael Letzig,96,70.74,1344,19
87,88,88,Ernie Els,70,70.75,283,4
88,89,89,Jason Bohn,88,70.77,1557,22
89,T90,T90,Alex Cejka,82,70.79,991,14
90,T90,T90,Ryuji Imada,85,70.79,991,14
91,T90,T90,Lee Janzen,74,70.79,991,14
92,T93,T93,Bart Bryant,58,70.8,1062,15
93,T93,T93,Bill Haas,91,70.8,1062,15
94,95,95,Matt Kuchar,82,70.82,1204,17
95,T96,T96,Marc Leishman,91,70.83,1275,18
96,T96,T96,Nick Watney,86,70.83,850,12
97,T96,T96,Dean Wilson,81,70.83,1275,18
98,99,99,Charlie Wi,92,70.85,1417,20
99,100,100,John Rollins,92,70.86,1488,21
100,101,101,Jason Day,61,70.88,567,8
101,102,102,Colt Knost,71,70.89,1276,18
102,103,103,Jarrod Lyle,65,70.91,780,11
103,104,104,Stuart Appleby,79,70.93,993,14
104,105,105,Ryan Palmer,78,70.94,1206,17
105,106,106,J.B. Holmes,74,70.95,1490,21
106,T107,T107,Mark Calcavecchia,72,71.0,1207,17
107,T107,T107,Jeff Klauk,97,71.0,1207,17
108,T107,T107,Martin Laird,72,71.0,923,13
109,T107,T107,Bill Lunde,83,71.0,1278,18
110,T107,T107,Rod Pampling,72,71.0,852,12
111,T107,T107,Tom Pernice Jr.,82,71.0,852,12
112,T107,T107,Johnson Wagner,81,71.0,1065,15
113,114,114,Nicholas Thompson,96,71.05,1492,21
114,115,115,Mark Wilson,99,71.06,1208,17
115,116,116,Heath Slocum,95,71.07,995,14
116,117,117,Tim Clark,81,71.08,924,13
117,118,118,Brendon de Jonge,90,71.1,1493,21
118,119,119,Anthony Kim,76,71.13,569,8
119,120,120,Chez Reavie,81,71.14,996,14
120,121,121,Robert Garrigus,83,71.15,925,13
121,122,122,Bob Estes,78,71.16,1352,19
122,T123,T123,Jason Gore,74,71.2,1424,20
123,T123,T123,Rick Price,54,71.2,712,10
124,T123,T123,Y.E. Yang,83,71.2,1068,15
125,126,126,Kevin Sutherland,96,71.21,997,14
126,127,127,Matt Bettencourt,98,71.24,1781,25
127,T128,T128,Mark Brooks,55,71.27,784,11
128,T128,T128,Aron Price,89,71.27,1069,15
129,T130,T130,Kenny Perry,92,71.29,499,7
130,T130,T130,Jeff Quinney,78,71.29,998,14
131,132,132,Brad Adamonis,70,71.32,1355,19
132,T133,T133,Woody Austin,84,71.33,1498,21
133,T133,T133,James Nitties,86,71.33,1284,18
134,135,135,Glen Day,79,71.35,1427,20
135,T136,T136,Andres Romero,58,71.36,785,11
136,T136,T136,Webb Simpson,94,71.36,999,14
137,T138,T138,J.J. Henry,97,71.38,928,13
138,T138,T138,Kirk Triplett,60,71.38,928,13
139,140,140,Peter Tomasulo,61,71.4,714,10
140,T141,T141,Tommy Armour III,58,71.42,857,12
141,T141,T141,K.J. Choi,65,71.42,857,12
142,143,143,D.J. Trahan,96,71.44,1286,18
143,144,144,Darron Stiles,52,71.45,786,11
144,T145,T145,Michael Allen,73,71.47,1072,15
145,T145,T145,Nick O'Hern,90,71.47,1215,17
146,147,147,Joe Ogilvie,85,71.5,1144,16
147,148,148,John Mallinger,90,71.53,1073,15
148,149,149,Aaron Baddeley,66,71.59,1217,17
149,150,150,Jim Furyk,86,71.6,358,5
150,151,151,Peter Lonard,86,71.63,1146,16
151,152,152,Stewart Cink,79,71.67,645,9
152,153,153,Jimmy Walker,74,71.73,1578,22
153,154,154,Ken Duke,87,71.74,1363,19
154,T155,T155,Brian Davis,103,71.75,1148,16
155,T155,T155,Jeff Maggert,79,71.75,861,12
156,T155,T155,Brendon Todd,53,71.75,574,8
157,T158,T158,George McNeill,82,71.78,646,9
158,T158,T158,Carl Pettersson,86,71.78,1938,27
159,160,160,Scott Piercy,85,71.79,1005,14
160,161,161,Marc Turnesa,77,71.86,1581,22
161,T162,T162,Davis Love III,89,71.89,1294,18
162,T162,T162,Kevin Streelman,97,71.89,1294,18
163,164,164,Brian Vranesh,51,71.92,935,13
164,165,165,Leif Olson,51,72.09,793,11
165,166,166,Scott Sterling,51,72.17,433,6
166,167,167,Ben Curtis,63,72.18,794,11
167,168,168,Brandt Snedeker,81,72.2,1083,15
168,169,169,David Duval,56,72.21,1011,14
169,170,170,Paul Goydos,79,72.25,1445,20
170,171,171,Will MacKenzie,69,72.33,651,9
171,172,172,Adam Scott,53,72.4,362,5
172,173,173,Derek Fathauer,63,72.47,1232,17
173,174,174,Tom Lehman,55,72.57,508,7
174,175,175,Billy Mayfair,83,72.63,1380,19
175,176,176,Vijay Singh,71,72.67,436,6
176,177,177,Gary Woodland,53,72.75,873,12
177,178,178,Brad Faxon,59,72.82,1238,17
178,T179,T179,Eric Axley,71,73.0,1387,19
179,T179,T179,Greg Kraft,51,73.0,584,8
180,T179,T179,Parker McLachlin,71,73.0,803,11
181,182,182,Corey Pavin,73,73.08,950,13
182,183,183,Ángel Cabrera,55,73.3,733,10
183,184,184,Mathew Goggin,76,73.36,807,11
