,Back_9_Par_5_Scoring_Average_RANK THIS WEEK,Back_9_Par_5_Scoring_Average_RANK LAST WEEK,Back_9_Par_5_Scoring_Average_PLAYER NAME,Back_9_Par_5_Scoring_Average_ROUNDS,Back_9_Par_5_Scoring_Average_AVG,Back_9_Par_5_Scoring_Average_TOTAL STROKES,Back_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,64,4.34,408,94
1,2,2,John Senden,100,4.47,711,159
2,3,3,Matt Jones,56,4.49,440,98
3,4,4,Nick Watney,86,4.5,652,145
4,5,5,Retief Goosen,74,4.52,538,119
5,T6,T6,Tag Ridings,50,4.53,362,80
6,T6,T6,Steve Stricker,81,4.53,580,128
7,8,8,Padraig Harrington,66,4.54,468,103
8,T9,T9,Jonathan Byrd,89,4.55,700,154
9,T9,T9,Camilo Villegas,76,4.55,560,123
10,T11,T11,Bill Haas,91,4.56,675,148
11,T11,T11,Jerry Kelly,90,4.56,661,145
12,T11,T11,Anthony Kim,76,4.56,529,116
13,T11,T11,Scott McCarron,91,4.56,697,153
14,T11,T11,Scott Piercy,85,4.56,661,145
15,T16,T16,Luke Donald,79,4.57,557,122
16,T16,T16,Sergio Garcia,59,4.57,375,82
17,T16,T16,Dustin Johnson,85,4.57,631,138
18,T16,T16,Pat Perez,74,4.57,581,127
19,T20,T20,Martin Laird,72,4.58,550,120
20,T20,T20,Justin Leonard,95,4.58,623,136
21,T20,T20,Steve Marino,98,4.58,668,146
22,T20,T20,Kevin Na,91,4.58,700,153
23,T20,T20,Johnson Wagner,81,4.58,632,138
24,T20,T20,Mark Wilson,99,4.58,733,160
25,T26,T26,Daniel Chopra,89,4.59,693,151
26,T26,T26,Stewart Cink,79,4.59,468,102
27,T26,T26,Harrison Frazar,93,4.59,670,146
28,T26,T26,Lucas Glover,93,4.59,643,140
29,T26,T26,Zach Johnson,94,4.59,634,138
30,T26,T26,Tom Pernice Jr.,82,4.59,657,143
31,T26,T26,John Rollins,92,4.59,712,155
32,T26,T26,Mike Weir,85,4.59,611,133
33,T34,T34,Rich Beem,77,4.6,593,129
34,T34,T34,Fred Couples,54,4.6,400,87
35,T34,T34,Spencer Levin,75,4.6,566,123
36,T34,T34,John Merrick,91,4.6,690,150
37,T34,T34,Leif Olson,51,4.6,400,87
38,T34,T34,Vaughn Taylor,88,4.6,621,135
