,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Tiger Woods,64,68.84,4268,62
1,2,2,Steve Stricker,81,69.51,5491,79
2,3,3,Tim Clark,81,69.68,5435,78
3,4,4,David Toms,98,69.76,6836,98
4,5,5,Zach Johnson,94,69.82,6423,92
5,6,6,Justin Leonard,95,69.91,6362,91
6,T7,T7,Greg Chalmers,85,69.99,5949,85
7,T7,T7,Scott Verplank,88,69.99,6159,88
8,9,9,Jerry Kelly,90,70.01,6301,90
9,10,10,Jim Furyk,86,70.02,5812,83
10,11,11,Jason Day,61,70.08,4275,61
11,12,12,Steve Marino,98,70.09,6869,98
12,13,13,Matt Kuchar,82,70.1,5748,82
13,14,14,Hunter Mahan,94,70.11,6450,92
14,T15,T15,Bryce Molder,69,70.12,4838,69
15,T15,T15,Bo Van Pelt,100,70.12,7012,100
16,17,17,Chris Riley,77,70.13,5400,77
17,18,18,Kenny Perry,92,70.14,6383,91
18,19,19,John Senden,100,70.18,7018,100
19,T20,T20,Stephen Ames,77,70.19,5264,75
20,T20,T20,Harrison Frazar,93,70.19,6528,93
21,T22,T22,Kevin Na,91,70.21,6389,91
22,T22,T22,Mark Wilson,99,70.21,6951,99
23,T24,T24,Jonathan Byrd,89,70.31,6258,89
24,T24,T24,Chad Campbell,90,70.31,6328,90
25,T26,T26,Charley Hoffman,97,70.32,6821,97
26,T26,T26,Matt Jones,56,70.32,3938,56
27,T26,T26,Greg Owen,97,70.32,6821,97
28,T26,T26,Tag Ridings,50,70.32,3516,50
29,T30,T30,Ben Crane,93,70.34,6542,93
30,T30,T30,Brian Gay,96,70.34,6753,96
31,T30,T30,Lucas Glover,93,70.34,6542,93
32,33,33,Bill Haas,91,70.36,6403,91
33,T34,T34,Nick Watney,86,70.38,6053,86
34,T34,T34,Matt Weibring,65,70.38,4575,65
35,36,36,Nick O'Hern,90,70.39,6335,90
36,T37,T37,Jason Bohn,88,70.41,6196,88
37,T37,T37,George McNeill,82,70.41,5774,82
38,T39,T39,Briny Baird,89,70.42,6267,89
39,T39,T39,Robert Garrigus,83,70.42,5845,83
40,T39,T39,Tim Petrovic,97,70.42,6831,97
41,T39,T39,Mike Weir,85,70.42,5915,84
42,T43,T43,Bill Lunde,83,70.43,5846,83
43,T43,T43,Kevin Stadler,65,70.43,4578,65
44,T45,T45,J.J. Henry,97,70.44,6833,97
45,T45,T45,Spencer Levin,75,70.44,5283,75
46,47,47,Sean O'Hair,80,70.45,5354,76
47,T48,T48,Bob Heintz,59,70.46,4157,59
48,T48,T48,Ryan Moore,89,70.46,6271,89
49,T48,T48,Charlie Wi,92,70.46,6482,92
50,51,51,Luke Donald,79,70.47,5356,76
51,T52,T52,Chris DiMarco,97,70.48,6837,97
52,T52,T52,Jason Dufner,90,70.48,6343,90
53,T52,T52,Dustin Johnson,85,70.48,5920,84
54,T55,T55,Bob Estes,78,70.49,5498,78
55,T55,T55,Patrick Sheehan,51,70.49,3595,51
56,T57,T57,Vaughn Taylor,88,70.5,6204,88
57,T57,T57,D.J. Trahan,96,70.5,6768,96
