,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Phil Mickelson,66,3.87,116,30
1,T1,T1,Bubba Watson,73,3.87,488,126
2,3,3,Sergio Garcia,59,3.88,128,33
3,4,4,Boo Weekley,79,3.9,394,101
4,5,5,Geoff Ogilvy,78,3.91,86,22
5,6,6,Steve Marino,98,3.92,772,197
6,T7,T7,Fred Couples,54,3.93,283,72
7,T7,T7,Kevin Na,91,3.93,534,136
8,T7,T7,Ted Purdy,101,3.93,771,196
9,T7,T7,Steve Stricker,81,3.93,169,43
10,T11,T11,Joe Durant,62,3.94,488,124
11,T11,T11,Scott McCarron,91,3.94,670,170
12,T11,T11,Greg Owen,97,3.94,622,158
13,T14,T14,Bob Heintz,59,3.95,517,131
14,T14,T14,Jerry Kelly,90,3.95,786,199
15,T14,T14,Marc Leishman,91,3.95,787,199
16,T17,T17,Ben Crane,93,3.96,645,163
17,T17,T17,Luke Donald,79,3.96,586,148
18,T17,T17,Justin Leonard,95,3.96,313,79
19,T17,T17,Steve Lowery,83,3.96,777,196
20,T17,T17,Ryan Moore,89,3.96,886,224
21,T17,T17,David Toms,98,3.96,364,92
22,T23,T23,Stephen Ames,77,3.97,683,172
23,T23,T23,Chad Campbell,90,3.97,596,150
24,T23,T23,Tim Herron,87,3.97,762,192
25,T23,T23,Dustin Johnson,85,3.97,381,96
26,T23,T23,Sean O'Hair,80,3.97,528,133
27,T23,T23,Camilo Villegas,76,3.97,266,67
28,T23,T23,Matt Weibring,65,3.97,560,141
29,T30,T30,Rich Beem,77,3.98,704,177
30,T30,T30,Kent Jones,73,3.98,704,177
31,T30,T30,Troy Matteson,95,3.98,653,164
32,T33,T33,Greg Chalmers,85,3.99,882,221
33,T33,T33,Jason Dufner,90,3.99,809,203
34,T33,T33,Steve Flesch,77,3.99,679,170
35,T33,T33,Richard Johnson,85,3.99,754,189
36,T33,T33,Spencer Levin,75,3.99,730,183
37,T33,T33,John Merrick,91,3.99,702,176
38,T33,T33,Kevin Stadler,65,3.99,559,140
39,T33,T33,Scott Verplank,88,3.99,659,165
40,T33,T33,Mike Weir,85,3.99,487,122
41,T42,T42,Padraig Harrington,66,4.0,132,33
42,T42,T42,Charles Howell III,99,4.0,929,232
43,T42,T42,Zach Johnson,94,4.0,268,67
44,T42,T42,D.A. Points,99,4.0,760,190
45,T42,T42,Brett Quigley,92,4.0,1185,296
46,T42,T42,Tag Ridings,50,4.0,600,150
47,T42,T42,Kevin Sutherland,96,4.0,608,152
48,T42,T42,Vaughn Taylor,88,4.0,820,205
49,T42,T42,Bo Van Pelt,100,4.0,900,225
50,T42,T42,Charlie Wi,92,4.0,853,213
51,T42,T42,Tiger Woods,64,4.0,48,12
52,T53,T53,Michael Allen,73,4.01,613,153
53,T53,T53,Cameron Beckman,87,4.01,1006,251
54,T53,T53,Jonathan Byrd,89,4.01,690,172
55,T53,T53,Tim Clark,81,4.01,554,138
56,T53,T53,Steve Elkington,70,4.01,565,141
57,T53,T53,Bob Estes,78,4.01,811,202
58,T53,T53,Lee Janzen,74,4.01,593,148
59,T53,T53,Pat Perez,74,4.01,807,201
60,T53,T53,Justin Rose,71,4.01,538,134
61,T53,T53,Rory Sabbatini,81,4.01,437,109
62,T53,T53,John Senden,100,4.01,874,218
63,T64,T64,Robert Allenby,71,4.02,446,111
64,T64,T64,Jason Bohn,88,4.02,948,236
65,T64,T64,Matt Jones,56,4.02,438,109
66,T64,T64,David Mathis,82,4.02,676,168
67,T64,T64,Tim Petrovic,97,4.02,679,169
68,T64,T64,John Rollins,92,4.02,896,223
69,T64,T64,Dean Wilson,81,4.02,783,195
70,T64,T64,Y.E. Yang,83,4.02,652,162
71,T72,T72,Stuart Appleby,79,4.03,609,151
72,T72,T72,Stewart Cink,79,4.03,395,98
73,T72,T72,Glen Day,79,4.03,879,218
74,T72,T72,Chris DiMarco,97,4.03,1068,265
75,T72,T72,Harrison Frazar,93,4.03,572,142
76,T72,T72,Brian Gay,96,4.03,653,162
77,T72,T72,Todd Hamilton,83,4.03,697,173
78,T72,T72,Charley Hoffman,97,4.03,958,238
79,T72,T72,Ryuji Imada,85,4.03,616,153
80,T72,T72,Freddie Jacobson,83,4.03,616,153
81,T72,T72,Ian Poulter,59,4.03,258,64
82,T72,T72,Chez Reavie,81,4.03,620,154
83,T72,T72,Chris Riley,77,4.03,661,164
84,T72,T72,Andres Romero,58,4.03,484,120
85,T72,T72,Darron Stiles,52,4.03,468,116
86,T72,T72,Johnson Wagner,81,4.03,641,159
87,T72,T72,Jay Williamson,69,4.03,698,173
88,T89,T89,Ricky Barnes,67,4.04,885,219
89,T89,T89,Alex Cejka,82,4.04,594,147
90,T89,T89,Brendon de Jonge,90,4.04,889,220
91,T89,T89,Lucas Glover,93,4.04,582,144
92,T89,T89,J.B. Holmes,74,4.04,889,220
93,T89,T89,Cliff Kresge,78,4.04,715,177
