,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Bo Van Pelt,100,395
1,2,2,Brian Davis,103,392
2,3,3,Ted Purdy,101,385
3,4,4,Hunter Mahan,94,378
4,5,5,Charley Hoffman,97,372
5,6,6,Kevin Streelman,97,368
6,7,7,Matt Bettencourt,98,366
7,T8,T8,Harrison Frazar,93,365
8,T8,T8,Lucas Glover,93,365
9,10,10,Jonathan Byrd,89,364
10,T11,T11,Justin Leonard,95,362
11,T11,T11,David Toms,98,362
12,T13,T13,Steve Marino,98,361
13,T13,T13,D.A. Points,99,361
14,T13,T13,D.J. Trahan,96,361
15,T16,T16,Michael Letzig,96,353
16,T16,T16,John Senden,100,353
17,18,18,Mark Wilson,99,352
18,19,19,Charles Howell III,99,351
19,20,20,Nicholas Thompson,96,350
20,21,21,Daniel Chopra,89,349
21,22,22,Greg Owen,97,347
22,23,23,Tim Petrovic,97,346
23,T24,T24,Nathan Green,104,343
24,T24,T24,Zach Johnson,94,343
25,26,26,Dustin Johnson,85,341
26,T27,T27,Ben Crane,93,340
27,T27,T27,Charlie Wi,92,340
28,T29,T29,Jerry Kelly,90,338
29,T29,T29,Kenny Perry,92,338
30,T29,T29,Webb Simpson,94,338
31,T32,T32,Brendon de Jonge,90,337
32,T32,T32,Brian Gay,96,337
33,T32,T32,Bill Haas,91,337
34,T32,T32,Kevin Sutherland,96,337
35,36,36,Ryan Moore,89,336
36,37,37,Kevin Na,91,334
37,38,38,Scott Piercy,85,330
38,T39,T39,Jason Dufner,90,329
39,T39,T39,Nick Watney,86,329
40,T41,T41,Marc Leishman,91,328
41,T41,T41,John Merrick,91,328
42,T41,T41,Jeff Overton,92,328
43,T41,T41,Vaughn Taylor,88,328
44,T45,T45,Jeff Klauk,97,327
45,T45,T45,Troy Matteson,95,327
46,47,47,Greg Chalmers,85,325
47,T48,T48,Chad Campbell,90,324
48,T48,T48,Scott Verplank,88,324
49,50,50,Chris Stroud,88,323
50,51,51,Heath Slocum,95,322
51,52,52,Chris DiMarco,97,321
52,T53,T53,Scott McCarron,91,320
53,T53,T53,Brett Quigley,92,320
54,55,55,Briny Baird,89,317
55,T56,T56,J.J. Henry,97,316
56,T56,T56,Joe Ogilvie,85,316
57,T56,T56,Steve Stricker,81,316
58,T59,T59,Jason Bohn,88,315
59,T59,T59,John Rollins,92,315
60,61,61,Dean Wilson,81,314
61,62,62,Jim Furyk,86,312
62,T63,T63,Tim Herron,87,309
63,T63,T63,Matt Kuchar,82,309
64,T63,T63,John Mallinger,90,309
65,66,66,Tim Clark,81,307
66,T67,T67,James Nitties,86,306
67,T67,T67,Nick O'Hern,90,306
68,T69,T69,Stephen Ames,77,305
69,T69,T69,Robert Garrigus,83,305
70,T69,T69,Y.E. Yang,83,305
71,72,72,Anthony Kim,76,304
72,73,73,Davis Love III,89,301
73,74,74,Woody Austin,84,300
74,T75,T75,Freddie Jacobson,83,298
75,T75,T75,George McNeill,82,298
76,T75,T75,Rory Sabbatini,81,298
77,78,78,Mike Weir,85,297
78,79,79,Alex Cejka,82,295
79,80,80,Steve Lowery,83,292
80,T81,T81,Cameron Beckman,87,290
81,T81,T81,Sean O'Hair,80,290
