,Par_4_Eagle_Leaders_RANK THIS WEEK,Par_4_Eagle_Leaders_RANK LAST WEEK,Par_4_Eagle_Leaders_PLAYER NAME,Par_4_Eagle_Leaders_ROUNDS,Par_4_Eagle_Leaders_TOTAL,Par_4_Eagle_Leaders_TOTAL PAR 4 HOLES,Par_4_Eagle_Leaders_TOTAL HOLE OUTS
0,T1,T1,Bob Estes,78,4,843,3.0
1,T1,T1,Jeff Overton,92,4,992,
2,T1,T1,Heath Slocum,95,4,1042,4.0
3,T1,T1,Bubba Watson,73,4,778,4.0
4,T5,T5,Steve Elkington,70,3,734,3.0
5,T5,T5,Paul Goydos,79,3,870,2.0
6,T5,T5,Tim Herron,87,3,950,1.0
7,T5,T5,Charley Hoffman,97,3,1038,1.0
8,T5,T5,Zach Johnson,94,3,1016,1.0
9,T5,T5,Dustin Johnson,85,3,904,2.0
10,T5,T5,John Merrick,91,3,988,3.0
11,T5,T5,Greg Owen,97,3,1060,1.0
12,T5,T5,D.A. Points,99,3,1068,1.0
13,T14,T14,Jason Bohn,88,2,946,2.0
14,T14,T14,Jonathan Byrd,89,2,938,1.0
15,T14,T14,Chad Campbell,90,2,982,1.0
16,T14,T14,Stewart Cink,79,2,818,2.0
17,T14,T14,Ben Crane,93,2,1005,2.0
18,T14,T14,Ken Duke,87,2,920,2.0
19,T14,T14,Ernie Els,70,2,726,1.0
20,T14,T14,Jim Furyk,86,2,898,2.0
21,T14,T14,Bill Haas,91,2,982,
22,T14,T14,J.J. Henry,97,2,1074,1.0
23,T14,T14,Jeff Klauk,97,2,1036,2.0
24,T14,T14,Marc Leishman,91,2,1000,2.0
25,T14,T14,Davis Love III,89,2,952,2.0
26,T14,T14,Bill Lunde,83,2,908,1.0
27,T14,T14,Steve Marino,98,2,1082,2.0
28,T14,T14,Troy Matteson,95,2,1024,1.0
29,T14,T14,George McNeill,82,2,900,
30,T14,T14,Sean O'Hair,80,2,838,1.0
31,T14,T14,Scott Piercy,85,2,906,1.0
32,T14,T14,Chez Reavie,81,2,888,2.0
33,T14,T14,Chris Riley,77,2,844,1.0
34,T14,T14,Webb Simpson,94,2,1014,2.0
35,T14,T14,Vijay Singh,71,2,764,1.0
36,T14,T14,Kevin Sutherland,96,2,1010,
37,T14,T14,Camilo Villegas,76,2,785,2.0
38,T14,T14,Jimmy Walker,74,2,797,2.0
39,T14,T14,Charles Warren,63,2,668,2.0
40,T14,T14,Tiger Woods,64,2,676,2.0
41,T42,T42,Aaron Baddeley,66,1,702,1.0
42,T42,T42,Briny Baird,89,1,970,1.0
43,T42,T42,Brian Bateman,55,1,590,1.0
44,T42,T42,Rich Beem,77,1,826,1.0
45,T42,T42,Matt Bettencourt,98,1,1058,
46,T42,T42,Mark Brooks,55,1,588,1.0
47,T42,T42,Bart Bryant,58,1,638,1.0
48,T42,T42,Mark Calcavecchia,72,1,776,
49,T42,T42,Greg Chalmers,85,1,926,
50,T42,T42,Fred Couples,54,1,582,1.0
51,T42,T42,Brian Davis,103,1,1126,1.0
52,T42,T42,Glen Day,79,1,850,
