,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
144,T145,T145,Vaughn Taylor,88,71.41,1928,27
145,T145,T145,Peter Tomasulo,61,71.41,1571,22
146,147,147,Rod Pampling,72,71.42,1857,26
147,148,148,Robert Allenby,71,71.46,1858,26
148,149,149,Billy Mayfair,83,71.47,1358,19
149,150,150,Troy Matteson,95,71.53,2289,32
150,151,151,Richard Johnson,85,71.55,1431,20
151,152,152,Kris Blanks,60,71.6,1074,15
152,153,153,Casey Wittenberg,71,71.62,1504,21
153,T154,T154,Joe Durant,62,71.63,1146,16
154,T154,T154,Parker McLachlin,71,71.63,1361,19
155,T154,T154,Darron Stiles,52,71.63,1146,16
156,157,157,Matt Bettencourt,98,71.65,1648,23
157,158,158,Jay Williamson,69,71.67,860,12
158,T159,T159,Spencer Levin,75,71.69,1147,16
159,T159,T159,Rick Price,54,71.69,1147,16
160,161,161,Rocco Mediate,79,71.7,1434,20
161,162,162,David Mathis,82,71.71,1721,24
162,163,163,Daniel Chopra,89,71.77,1579,22
163,T164,T164,Brian Bateman,55,71.79,1005,14
164,T164,T164,Pat Perez,74,71.79,1364,19
165,166,166,Adam Scott,53,71.81,1508,21
166,167,167,Gary Woodland,53,71.83,862,12
167,168,168,Todd Hamilton,83,71.96,1799,25
168,T169,T169,Aaron Baddeley,66,72.0,864,12
169,T169,T169,Colt Knost,71,72.0,1368,19
170,T169,T169,Bubba Watson,73,72.0,1800,25
171,172,172,Aron Price,89,72.1,1514,21
172,173,173,David Duval,56,72.13,1082,15
173,T174,T174,Brad Adamonis,70,72.33,868,12
174,T174,T174,J.B. Holmes,74,72.33,1085,15
175,176,176,Steve Lowery,83,72.57,1016,14
176,177,177,Eric Axley,71,72.62,944,13
177,178,178,Greg Kraft,51,72.64,1017,14
178,179,179,Ken Duke,87,72.74,1382,19
179,180,180,Stuart Appleby,79,72.8,1820,25
180,181,181,Leif Olson,51,73.07,1023,14
181,182,182,Derek Fathauer,63,73.21,1025,14
182,183,183,Brendon Todd,53,73.72,1327,18
183,184,184,Brad Faxon,59,74.67,672,9
