,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,64,+3.04,68.84,71.88
1,2,2,Steve Stricker,81,+1.77,69.51,71.28
2,3,3,Jim Furyk,86,+1.59,70.02,71.61
3,4,4,Zach Johnson,94,+1.39,69.82,71.21
4,5,5,Hunter Mahan,94,+1.31,70.11,71.42
5,6,6,Tim Clark,81,+1.26,69.68,70.94
6,7,7,Kenny Perry,92,+1.25,70.14,71.39
7,8,8,David Toms,98,+1.14,69.76,70.9
8,9,9,Nick Watney,86,+1.12,70.38,71.5
9,10,10,Retief Goosen,74,+1.11,70.71,71.82
10,11,11,Luke Donald,79,+1.10,70.47,71.57
11,12,12,Ian Poulter,59,+1.08,70.84,71.92
12,13,13,Camilo Villegas,76,+1.07,70.82,71.89
13,T14,T14,Jason Day,61,+1.05,70.08,71.13
14,T14,T14,Sean O'Hair,80,+1.05,70.45,71.5
15,16,16,Matt Kuchar,82,+1.03,70.1,71.13
16,17,17,John Senden,100,+1.00,70.18,71.18
17,T18,T18,Steve Marino,98,+.98,70.09,71.07
18,T18,T18,Phil Mickelson,66,+.98,70.83,71.81
19,20,20,Lucas Glover,93,+.96,70.34,71.3
20,21,21,Kevin Na,91,+.95,70.21,71.16
21,T22,T22,Padraig Harrington,66,+.94,71.05,71.99
22,T22,T22,Justin Leonard,95,+.94,69.91,70.85
23,T24,T24,Robert Allenby,71,+.91,70.81,71.72
24,T24,T24,Ernie Els,70,+.91,70.76,71.67
25,26,26,Geoff Ogilvy,78,+.88,70.68,71.56
26,27,27,Stephen Ames,77,+.87,70.19,71.06
27,T28,T28,Sergio Garcia,59,+.84,70.62,71.46
28,T28,T28,Dustin Johnson,85,+.84,70.48,71.32
29,30,30,Scott Verplank,88,+.80,69.99,70.79
30,31,31,Jerry Kelly,90,+.78,70.01,70.79
31,T32,T32,Jason Dufner,90,+.74,70.48,71.22
32,T32,T32,Mike Weir,85,+.74,70.42,71.16
33,34,34,Charley Hoffman,97,+.72,70.32,71.04
34,35,35,Ángel Cabrera,55,+.71,71.15,71.86
35,36,36,Ben Crane,93,+.69,70.34,71.03
36,37,37,Jonathan Byrd,89,+.67,70.31,70.98
37,38,38,Bo Van Pelt,100,+.66,70.12,70.78
38,T39,T39,George McNeill,82,+.65,70.41,71.06
39,T39,T39,Kevin Sutherland,96,+.65,70.71,71.36
40,T39,T39,Y.E. Yang,83,+.65,70.72,71.37
41,T42,T42,Justin Rose,71,+.64,70.79,71.43
42,T42,T42,Mark Wilson,99,+.64,70.21,70.85
43,44,44,Bubba Watson,73,+.62,70.82,71.44
44,T45,T45,Woody Austin,84,+.59,70.68,71.27
45,T45,T45,Charles Howell III,99,+.59,70.62,71.21
46,T47,T47,Anthony Kim,76,+.58,70.62,71.2
47,T47,T47,Davis Love III,89,+.58,70.69,71.27
48,T47,T47,Brandt Snedeker,81,+.58,70.57,71.15
49,50,50,Chad Campbell,90,+.57,70.31,70.88
50,T51,T51,Bryce Molder,69,+.54,70.12,70.66
51,T51,T51,Rod Pampling,72,+.54,70.85,71.39
52,53,53,Rory Sabbatini,81,+.53,70.61,71.14
53,54,54,Bill Haas,91,+.51,70.36,70.87
54,55,55,Bob Estes,78,+.49,70.49,70.98
55,T56,T56,Ryan Moore,89,+.48,70.46,70.94
56,T56,T56,Boo Weekley,79,+.48,70.88,71.36
57,58,58,J.J. Henry,97,+.47,70.44,70.91
58,59,59,Brian Gay,96,+.46,70.34,70.8
59,60,60,Fred Couples,54,+.44,70.65,71.09
60,61,61,Stewart Cink,79,+.43,71.1,71.53
61,62,62,Greg Chalmers,85,+.41,69.99,70.4
62,63,63,Charlie Wi,92,+.40,70.46,70.86
63,T64,T64,Michael Allen,73,+.39,70.74,71.13
64,T64,T64,Nick O'Hern,90,+.39,70.39,70.78
65,T64,T64,Jeff Overton,92,+.39,71.1,71.49
66,T67,T67,Matt Jones,56,+.37,70.32,70.69
67,T67,T67,Chris Riley,77,+.37,70.13,70.5
68,T69,T69,John Mallinger,90,+.36,70.77,71.13
69,T69,T69,Tim Petrovic,97,+.36,70.42,70.78
70,71,71,Vijay Singh,71,+.35,71.13,71.48
71,72,72,Ben Curtis,63,+.34,71.63,71.97
72,T73,T73,Harrison Frazar,93,+.33,70.19,70.52
73,T73,T73,Pat Perez,74,+.33,70.82,71.15
74,T75,T75,Briny Baird,89,+.32,70.42,70.74
75,T75,T75,Freddie Jacobson,83,+.32,70.65,70.97
76,T75,T75,Marc Leishman,91,+.32,70.6,70.92
77,T75,T75,Michael Letzig,96,+.32,70.51,70.83
78,T75,T75,Scott McCarron,91,+.32,70.56,70.88
79,T80,T80,Jeff Klauk,97,+.31,70.57,70.88
80,T80,T80,Kevin Stadler,65,+.31,70.43,70.74
81,82,82,Scott Sterling,51,+.30,70.51,70.81
82,83,83,Troy Matteson,95,+.29,70.57,70.86
83,84,84,Greg Owen,97,+.28,70.32,70.6
84,T85,T85,Robert Garrigus,83,+.27,70.42,70.69
85,T85,T85,Kevin Streelman,97,+.27,70.51,70.78
86,T87,T87,James Nitties,86,+.25,70.67,70.92
87,T87,T87,Scott Piercy,85,+.25,70.69,70.94
88,T87,T87,D.J. Trahan,96,+.25,70.5,70.75
89,90,90,Jason Bohn,88,+.24,70.41,70.65
90,T91,T91,Brian Davis,103,+.23,70.53,70.76
91,T91,T91,Mathew Goggin,76,+.23,71.07,71.3
92,T91,T91,Paul Goydos,79,+.23,71.04,71.27
93,T91,T91,Webb Simpson,94,+.23,70.71,70.94
94,95,95,Bill Lunde,83,+.22,70.43,70.65
95,T96,T96,Tom Lehman,55,+.21,71.42,71.63
96,T96,T96,Ted Purdy,101,+.21,70.68,70.89
97,T96,T96,Brett Quigley,92,+.21,70.68,70.89
98,T96,T96,Heath Slocum,95,+.21,70.53,70.74
99,T96,T96,Charles Warren,63,+.21,70.87,71.08
100,T101,T101,Corey Pavin,73,+.20,70.58,70.78
101,T101,T101,Patrick Sheehan,51,+.20,70.49,70.69
102,103,103,Chris DiMarco,97,+.18,70.48,70.66
103,T104,T104,K.J. Choi,65,+.17,71.52,71.69
104,T104,T104,Spencer Levin,75,+.17,70.44,70.61
105,T106,T106,John Merrick,91,+.16,70.84,71.0
106,T106,T106,D.A. Points,99,+.16,70.73,70.89
107,T106,T106,Matt Weibring,65,+.16,70.38,70.54
108,T109,T109,Alex Cejka,82,+.15,70.8,70.95
109,T109,T109,Lee Janzen,74,+.15,70.72,70.87
110,T109,T109,Chris Stroud,88,+.15,70.52,70.67
111,112,112,Tag Ridings,50,+.14,70.32,70.46
112,T113,T113,Steve Elkington,70,+.10,70.69,70.79
113,T113,T113,Steve Flesch,77,+.10,71.04,71.14
114,115,115,Vaughn Taylor,88,+.09,70.5,70.59
115,116,116,Cameron Beckman,87,+.07,70.68,70.75
116,117,117,Tom Pernice Jr.,82,+.05,70.79,70.84
117,T118,T118,Aaron Baddeley,66,+.04,71.31,71.35
118,T118,T118,Joe Ogilvie,85,+.04,70.59,70.63
119,120,120,Dean Wilson,81,+.02,70.69,70.71
120,T121,T121,Rich Beem,77,E,70.74,70.74
121,T121,T121,Ryuji Imada,85,E,71.16,71.16
122,T121,T121,John Rollins,92,E,71.17,71.17
123,124,124,Tim Herron,87,-.01,70.59,70.58
124,125,125,Cliff Kresge,78,-.03,70.86,70.83
125,126,126,Bob Heintz,59,-.09,70.46,70.37
126,127,127,Rocco Mediate,79,-.10,71.25,71.15
127,128,128,Daniel Chopra,89,-.11,71.03,70.92
128,129,129,Joe Durant,62,-.12,70.77,70.65
129,T130,T130,Tommy Armour III,58,-.13,71.09,70.96
130,T130,T130,Richard Johnson,85,-.13,70.88,70.75
131,132,132,Martin Laird,72,-.14,70.94,70.8
132,133,133,Brendon de Jonge,90,-.16,70.93,70.77
133,134,134,Nicholas Thompson,96,-.17,71.06,70.89
134,135,135,Jeff Quinney,78,-.21,71.01,70.8
135,T136,T136,Andres Romero,58,-.23,71.42,71.19
136,T136,T136,Johnson Wagner,81,-.23,70.93,70.7
137,138,138,Jeff Maggert,79,-.24,70.84,70.6
138,139,139,Nathan Green,104,-.25,71.05,70.8
139,140,140,Ryan Palmer,78,-.26,71.1,70.84
140,141,141,Chez Reavie,81,-.28,70.94,70.66
141,142,142,Jarrod Lyle,65,-.31,71.12,70.81
142,T143,T143,Aron Price,89,-.32,71.04,70.72
143,T143,T143,Jimmy Walker,74,-.32,70.95,70.63
144,T145,T145,Matt Bettencourt,98,-.33,71.22,70.89
145,T145,T145,Ken Duke,87,-.33,71.32,70.99
146,T145,T145,David Mathis,82,-.33,71.07,70.74
147,148,148,Mark Calcavecchia,72,-.34,71.14,70.8
148,149,149,Bart Bryant,58,-.35,71.33,70.98
149,150,150,J.B. Holmes,74,-.36,71.99,71.63
150,151,151,Stuart Appleby,79,-.38,71.78,71.4
151,152,152,Kris Blanks,60,-.39,70.7,70.31
152,153,153,Jay Williamson,69,-.41,70.97,70.56
153,154,154,Todd Hamilton,83,-.42,71.54,71.12
154,155,155,Kent Jones,73,-.43,71.21,70.78
155,156,156,Glen Day,79,-.44,70.99,70.55
156,157,157,Steve Lowery,83,-.46,71.18,70.72
157,158,158,Casey Wittenberg,71,-.48,71.04,70.56
158,159,159,Will MacKenzie,69,-.50,71.55,71.05
159,T160,T160,Brad Adamonis,70,-.52,71.27,70.75
160,T160,T160,Mark Brooks,55,-.52,71.11,70.59
161,T160,T160,Carl Pettersson,86,-.52,71.51,70.99
162,T163,T163,Ricky Barnes,67,-.53,71.31,70.78
163,T163,T163,Kirk Triplett,60,-.53,71.1,70.57
164,165,165,Jason Gore,74,-.59,71.26,70.67
165,166,166,Colt Knost,71,-.60,71.2,70.6
