,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Tiger Woods,64,23.92,267,1116
1,T2,T2,Jonathan Byrd,89,23.41,375,1602
2,T2,T2,Dustin Johnson,85,23.41,354,1512
3,4,4,Anthony Kim,76,23.27,310,1332
4,5,5,Hunter Mahan,94,23.07,382,1656
5,6,6,Stephen Ames,77,23.04,311,1350
6,7,7,Steve Stricker,81,22.64,322,1422
7,8,8,Fred Couples,54,22.63,220,972
8,9,9,Jason Day,61,22.5,247,1098
9,10,10,Harrison Frazar,93,22.46,376,1674
10,T11,T11,Daniel Chopra,89,22.41,359,1602
11,T11,T11,Justin Leonard,95,22.41,367,1638
12,13,13,Bo Van Pelt,100,22.39,403,1800
13,14,14,Tim Clark,81,22.29,313,1404
14,15,15,Charley Hoffman,97,22.05,385,1746
15,16,16,Nick Watney,86,22.03,341,1548
16,17,17,Martin Laird,72,21.99,285,1296
17,18,18,Scott Piercy,85,21.96,336,1530
18,19,19,Lucas Glover,93,21.92,367,1674
19,20,20,Phil Mickelson,66,21.87,248,1134
20,21,21,Dean Wilson,81,21.81,318,1458
21,T22,T22,Sean O'Hair,80,21.71,297,1368
22,T22,T22,Matt Weibring,65,21.71,254,1170
23,24,24,Joe Durant,62,21.68,242,1116
24,25,25,Ted Purdy,101,21.62,393,1818
25,26,26,Bubba Watson,73,21.61,284,1314
26,27,27,Greg Chalmers,85,21.57,330,1530
27,28,28,Zach Johnson,94,21.56,357,1656
28,T29,T29,Geoff Ogilvy,78,21.53,279,1296
29,T29,T29,Kevin Streelman,97,21.53,376,1746
30,T29,T29,D.J. Trahan,96,21.53,372,1728
31,32,32,Tag Ridings,50,21.44,193,900
32,33,33,Brian Davis,103,21.41,397,1854
33,34,34,Matt Jones,56,21.33,215,1008
34,T35,T35,Jim Furyk,86,21.22,317,1494
35,T35,T35,Robert Garrigus,83,21.22,317,1494
36,T35,T35,Ryan Moore,89,21.22,340,1602
37,T38,T38,Matt Kuchar,82,21.21,313,1476
38,T38,T38,Chris Stroud,88,21.21,336,1584
39,T40,T40,Matt Bettencourt,98,21.2,374,1764
40,T40,T40,Kris Blanks,60,21.2,229,1080
41,42,42,Rory Sabbatini,81,21.18,305,1440
42,43,43,Jerry Kelly,90,21.17,343,1620
43,44,44,Vaughn Taylor,88,21.15,335,1584
44,45,45,Bill Haas,91,21.12,346,1638
45,46,46,Y.E. Yang,83,21.08,315,1494
46,47,47,Michael Letzig,96,21.06,364,1728
47,48,48,Joe Ogilvie,85,21.05,322,1530
48,49,49,Charlie Wi,92,21.01,348,1656
49,T50,T50,Kevin Na,91,21.0,344,1638
50,T50,T50,Kenny Perry,92,21.0,344,1638
51,52,52,David Toms,98,20.98,370,1764
52,53,53,Ben Crane,93,20.97,351,1674
53,54,54,Justin Rose,71,20.95,264,1260
54,T55,T55,Brendon de Jonge,90,20.93,339,1620
55,T55,T55,Camilo Villegas,76,20.93,275,1314
56,57,57,Scott Verplank,88,20.9,331,1584
57,58,58,Nicholas Thompson,96,20.89,361,1728
58,59,59,Steve Marino,98,20.86,368,1764
59,T60,T60,Mark Calcavecchia,72,20.83,270,1296
60,T60,T60,Pat Perez,74,20.83,270,1296
61,62,62,Chris Riley,77,20.78,288,1386
62,63,63,Andres Romero,58,20.76,213,1026
63,64,64,D.A. Points,99,20.71,369,1782
64,65,65,Jason Dufner,90,20.68,335,1620
65,T66,T66,George McNeill,82,20.66,305,1476
66,T66,T66,Rod Pampling,72,20.66,264,1278
67,68,68,Gary Woodland,53,20.65,197,954
68,69,69,Charles Warren,63,20.63,234,1134
69,T70,T70,Marc Leishman,91,20.57,337,1638
70,T70,T70,John Merrick,91,20.57,337,1638
71,T70,T70,Webb Simpson,94,20.57,348,1692
72,73,73,Chad Campbell,90,20.56,333,1620
73,74,74,John Senden,100,20.44,368,1800
74,75,75,Aaron Baddeley,66,20.43,239,1170
75,76,76,Greg Owen,97,20.39,356,1746
76,77,77,Ángel Cabrera,55,20.37,198,972
77,T78,T78,Luke Donald,79,20.32,278,1368
78,T78,T78,Paul Goydos,79,20.32,289,1422
79,80,80,Mike Weir,85,20.3,307,1512
80,T81,T81,Briny Baird,89,20.29,325,1602
81,T81,T81,Jeff Overton,92,20.29,336,1656
82,83,83,Jason Bohn,88,20.27,321,1584
83,84,84,Alex Cejka,82,20.26,299,1476
84,85,85,Tim Herron,87,20.24,317,1566
85,86,86,James Nitties,86,20.22,313,1548
86,87,87,Kevin Sutherland,96,20.18,345,1710
87,88,88,Woody Austin,84,20.17,305,1512
88,89,89,Jeff Quinney,78,20.16,283,1404
89,T90,T90,Michael Allen,73,20.09,264,1314
90,T90,T90,Ryan Palmer,78,20.09,282,1404
91,T90,T90,Mark Wilson,99,20.09,358,1782
92,T93,T93,Bryce Molder,69,20.05,249,1242
93,T93,T93,Tim Petrovic,97,20.05,350,1746
94,95,95,Boo Weekley,79,19.99,277,1386
95,96,96,Lee Janzen,74,19.97,266,1332
96,T97,T97,Ernie Els,70,19.95,237,1188
97,T97,T97,Freddie Jacobson,83,19.95,298,1494
98,T97,T97,Steve Lowery,83,19.95,298,1494
99,100,100,Scott McCarron,91,19.9,326,1638
100,T101,T101,Bob Heintz,59,19.87,211,1062
101,T101,T101,Charles Howell III,99,19.87,354,1782
102,T101,T101,Brett Quigley,92,19.87,329,1656
103,104,104,Davis Love III,89,19.86,311,1566
104,105,105,Brandt Snedeker,81,19.82,289,1458
105,106,106,Kirk Triplett,60,19.72,213,1080
106,107,107,Troy Matteson,95,19.71,337,1710
107,108,108,Rich Beem,77,19.7,273,1386
108,109,109,John Mallinger,90,19.69,319,1620
109,110,110,John Rollins,92,19.63,325,1656
110,111,111,J.B. Holmes,74,19.59,261,1332
111,112,112,Brian Gay,96,19.56,338,1728
112,113,113,Bill Lunde,83,19.54,292,1494
113,114,114,Patrick Sheehan,51,19.5,179,918
114,115,115,Corey Pavin,73,19.48,256,1314
115,T116,T116,Bob Estes,78,19.44,273,1404
116,T116,T116,Sergio Garcia,59,19.44,203,1044
117,T116,T116,Cliff Kresge,78,19.44,273,1404
118,T119,T119,Colt Knost,71,19.41,248,1278
119,T119,T119,Johnson Wagner,81,19.41,283,1458
120,121,121,Mathew Goggin,76,19.37,258,1332
121,122,122,Nick O'Hern,90,19.32,313,1620
122,123,123,Heath Slocum,95,19.3,330,1710
123,124,124,Jimmy Walker,74,19.29,257,1332
124,125,125,Leif Olson,51,19.28,177,918
125,T126,T126,Retief Goosen,74,19.25,253,1314
126,T126,T126,Ian Poulter,59,19.25,194,1008
127,128,128,Vijay Singh,71,19.24,239,1242
128,129,129,Padraig Harrington,66,19.23,225,1170
129,130,130,Jeff Maggert,79,19.2,273,1422
130,T131,T131,Tommy Armour III,58,19.16,200,1044
131,T131,T131,Cameron Beckman,87,19.16,300,1566
132,133,133,Steve Elkington,70,19.13,241,1260
133,134,134,Tom Pernice Jr.,82,19.11,282,1476
134,135,135,Scott Sterling,51,19.06,175,918
135,T136,T136,Ryuji Imada,85,19.02,291,1530
136,T136,T136,Richard Johnson,85,19.02,291,1530
137,138,138,Jason Gore,74,18.99,253,1332
138,139,139,David Duval,56,18.95,191,1008
139,140,140,Parker McLachlin,71,18.94,242,1278
140,141,141,Will MacKenzie,69,18.92,235,1242
141,142,142,Jeff Klauk,97,18.9,330,1746
142,143,143,Kevin Stadler,65,18.89,221,1170
143,144,144,J.J. Henry,97,18.73,327,1746
144,145,145,Chris DiMarco,97,18.67,326,1746
145,146,146,Derek Fathauer,63,18.61,211,1134
146,147,147,Jay Williamson,69,18.6,231,1242
147,T148,T148,Adam Scott,53,18.59,174,936
148,T148,T148,Darron Stiles,52,18.59,174,936
149,150,150,Nathan Green,104,18.54,347,1872
150,151,151,Peter Tomasulo,61,18.49,203,1098
151,152,152,Carl Pettersson,86,18.48,286,1548
152,153,153,David Mathis,82,18.43,272,1476
153,154,154,Brian Vranesh,51,18.41,169,918
154,155,155,Chez Reavie,81,18.38,268,1458
155,T156,T156,Glen Day,79,18.35,261,1422
156,T156,T156,Rocco Mediate,79,18.35,261,1422
157,T156,T156,Aron Price,89,18.35,294,1602
158,159,159,Steve Flesch,77,18.33,254,1386
159,160,160,Spencer Levin,75,18.3,247,1350
160,T161,T161,Stewart Cink,79,18.26,240,1314
161,T161,T161,Kent Jones,73,18.26,240,1314
162,163,163,Robert Allenby,71,18.25,230,1260
163,164,164,K.J. Choi,65,18.06,208,1152
164,165,165,Casey Wittenberg,71,17.92,229,1278
165,166,166,Bart Bryant,58,17.91,187,1044
166,167,167,Mark Brooks,55,17.88,177,990
167,168,168,Ken Duke,87,17.82,279,1566
168,169,169,Rick Price,54,17.8,173,972
169,170,170,Brad Adamonis,70,17.7,223,1260
170,171,171,Todd Hamilton,83,17.67,264,1494
171,172,172,Ben Curtis,63,17.56,196,1116
172,173,173,Peter Lonard,86,17.51,271,1548
173,174,174,Ricky Barnes,67,17.5,211,1206
174,175,175,Brian Bateman,55,17.27,171,990
175,176,176,Billy Mayfair,83,17.2,257,1494
176,177,177,Stuart Appleby,79,16.95,238,1404
177,178,178,Eric Axley,71,16.9,216,1278
178,179,179,Jarrod Lyle,65,16.67,195,1170
179,180,180,Brendon Todd,53,16.35,156,954
180,181,181,Marc Turnesa,77,16.09,223,1386
181,182,182,Greg Kraft,51,15.9,146,918
182,183,183,Tom Lehman,55,15.56,154,990
183,184,184,Brad Faxon,59,15.54,165,1062
