,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Tiger Woods,17,1.98,123,62
1,2,2,Steve Stricker,22,2.14,169,79
2,3,3,Jim Furyk,23,2.2,183,83
3,4,4,Kevin Na,26,2.27,207,91
4,5,5,Scott McCarron,27,2.3,209,91
5,T6,T6,Brian Gay,27,2.32,223,96
6,T6,T6,Spencer Levin,25,2.32,174,75
7,8,8,Chad Campbell,26,2.33,210,90
8,9,9,Matt Jones,17,2.34,131,56
9,10,10,Charley Hoffman,27,2.35,228,97
10,11,11,Greg Chalmers,26,2.36,201,85
11,T12,T12,Robert Garrigus,25,2.37,197,83
12,T12,T12,Zach Johnson,26,2.37,218,92
13,T14,T14,Tim Clark,23,2.38,186,78
14,T14,T14,Jarrod Lyle,21,2.38,155,65
15,T14,T14,Steve Marino,29,2.38,233,98
16,T14,T14,David Toms,27,2.38,233,98
17,T18,T18,Matt Kuchar,24,2.39,196,82
18,T18,T18,Bryce Molder,21,2.39,165,69
19,T20,T20,Chris Riley,22,2.4,185,77
20,T20,T20,Mark Wilson,28,2.4,238,99
21,T22,T22,Tim Petrovic,31,2.41,234,97
22,T22,T22,John Senden,29,2.41,241,100
23,T24,T24,Jeff Klauk,29,2.42,235,97
24,T24,T24,Ryan Moore,27,2.42,215,89
25,26,26,Justin Leonard,26,2.43,221,91
26,T27,T27,Chris DiMarco,29,2.44,237,97
27,T27,T27,Tom Pernice Jr.,26,2.44,200,82
28,T27,T27,Scott Verplank,24,2.44,215,88
29,T30,T30,Kevin Stadler,20,2.45,159,65
30,T30,T30,Scott Sterling,16,2.45,125,51
31,T32,T32,Kenny Perry,24,2.46,224,91
32,T32,T32,Brandt Snedeker,26,2.46,199,81
33,34,34,Luke Donald,21,2.47,188,76
34,T35,T35,Patrick Sheehan,15,2.49,127,51
35,T35,T35,Charlie Wi,28,2.49,229,92
36,37,37,Bob Estes,23,2.5,195,78
37,T38,T38,Woody Austin,24,2.51,211,84
38,T38,T38,Jay Williamson,22,2.51,173,69
39,T38,T38,Casey Wittenberg,25,2.51,178,71
40,T41,T41,Tommy Armour III,19,2.52,146,58
41,T41,T41,Troy Matteson,30,2.52,239,95
42,43,43,Jonathan Byrd,25,2.53,225,89
43,T44,T44,Geoff Ogilvy,20,2.54,183,72
44,T44,T44,Ian Poulter,17,2.54,142,56
45,T46,T46,Ben Crane,27,2.55,237,93
46,T46,T46,J.J. Henry,28,2.55,247,97
47,T46,T46,Bill Lunde,27,2.55,212,83
48,T46,T46,Greg Owen,30,2.55,247,97
49,T46,T46,Jeff Quinney,26,2.55,199,78
50,T46,T46,Kirk Triplett,20,2.55,153,60
51,T46,T46,Jimmy Walker,24,2.55,189,74
52,T53,T53,Mark Brooks,17,2.56,141,55
53,T53,T53,Jason Dufner,26,2.56,230,90
54,T53,T53,Bill Haas,29,2.56,233,91
55,T53,T53,Bob Heintz,20,2.56,151,59
56,T53,T53,Jerry Kelly,26,2.56,230,90
57,T53,T53,Nick O'Hern,27,2.56,230,90
58,T59,T59,Jason Day,18,2.57,157,61
59,T59,T59,Steve Elkington,23,2.57,180,70
60,T59,T59,Webb Simpson,30,2.57,242,94
61,T59,T59,D.J. Trahan,30,2.57,247,96
62,63,63,Padraig Harrington,20,2.58,168,65
63,T64,T64,Hunter Mahan,25,2.59,238,92
64,T64,T64,Heath Slocum,30,2.59,246,95
65,T64,T64,Bo Van Pelt,30,2.59,259,100
66,67,67,Charles Warren,20,2.6,164,63
67,T68,T68,Ben Curtis,18,2.61,162,62
68,T68,T68,Jeff Maggert,28,2.61,206,79
69,T70,T70,Ernie Els,19,2.62,173,66
70,T70,T70,Rod Pampling,23,2.62,186,71
71,T72,T72,Cameron Beckman,26,2.63,229,87
72,T72,T72,Brett Quigley,28,2.63,242,92
73,T72,T72,Nick Watney,24,2.63,226,86
74,T72,T72,Mike Weir,24,2.63,221,84
75,T72,T72,Y.E. Yang,23,2.63,218,83
76,T77,T77,Briny Baird,28,2.64,235,89
77,T77,T77,Steve Flesch,27,2.64,203,77
78,T77,T77,Sergio Garcia,17,2.64,153,58
79,T77,T77,Richard Johnson,26,2.64,224,85
80,T77,T77,Dustin Johnson,25,2.64,222,84
81,T77,T77,Tom Lehman,16,2.64,145,55
82,T77,T77,Aron Price,27,2.64,235,89
83,T77,T77,Chez Reavie,27,2.64,214,81
84,T77,T77,Kevin Sutherland,27,2.64,251,95
85,T86,T86,Harrison Frazar,28,2.65,246,93
86,T86,T86,Lucas Glover,26,2.65,246,93
87,T86,T86,Freddie Jacobson,25,2.65,220,83
88,T86,T86,Michael Letzig,28,2.65,254,96
89,T90,T90,Brad Adamonis,25,2.66,186,70
90,T90,T90,Rich Beem,26,2.66,205,77
91,T90,T90,Charles Howell III,29,2.66,263,99
92,T90,T90,George McNeill,26,2.66,218,82
93,T90,T90,Vaughn Taylor,28,2.66,234,88
94,T90,T90,Matt Weibring,22,2.66,173,65
95,T96,T96,Glen Day,26,2.67,211,79
96,T96,T96,Phil Mickelson,18,2.67,168,63
97,98,98,Johnson Wagner,26,2.68,217,81
98,99,99,Scott Piercy,28,2.69,229,85
99,100,100,John Merrick,28,2.7,246,91
100,T101,T101,Kris Blanks,20,2.72,163,60
101,T101,T101,Chris Stroud,28,2.72,239,88
102,103,103,Brian Davis,32,2.73,281,103
103,T104,T104,Michael Allen,22,2.74,200,73
104,T104,T104,Jason Bohn,25,2.74,241,88
105,T104,T104,Alex Cejka,25,2.74,225,82
106,T104,T104,Stewart Cink,22,2.74,200,73
107,T104,T104,Nathan Green,30,2.74,285,104
108,T104,T104,David Mathis,27,2.74,225,82
109,T104,T104,Justin Rose,22,2.74,192,70
