,Late_Round_1_Scoring_Average_RANK THIS WEEK,Late_Round_1_Scoring_Average_RANK LAST WEEK,Late_Round_1_Scoring_Average_PLAYER NAME,Late_Round_1_Scoring_Average_AVG,Late_Round_1_Scoring_Average_TOTAL STROKES,Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,68.14,477,7
1,2,2,Camilo Villegas,68.17,409,6
2,3,3,Sergio Garcia,68.75,550,8
3,4,4,Padraig Harrington,68.78,619,9
4,5,5,Scott Verplank,68.8,688,10
5,6,6,Lee Janzen,69.0,621,9
6,7,7,Briny Baird,69.09,760,11
7,8,8,Boo Weekley,69.1,691,10
8,9,9,Bo Van Pelt,69.2,692,10
9,10,10,David Toms,69.36,763,11
10,11,11,Jason Day,69.44,625,9
11,12,12,Scott McCarron,69.56,626,9
12,13,13,Mike Weir,69.67,627,9
13,14,14,Jim Furyk,69.7,697,10
14,15,15,John Senden,69.71,976,14
15,T16,T16,Jonathan Byrd,69.75,837,12
16,T16,T16,Michael Letzig,69.75,837,12
17,T16,T16,Greg Owen,69.75,1116,16
18,T16,T16,Vaughn Taylor,69.75,837,12
19,20,20,Steve Marino,69.76,1186,17
20,21,21,Steve Stricker,69.78,628,9
21,22,22,Chris Riley,69.8,698,10
22,23,23,Pat Perez,69.82,768,11
23,24,24,Tommy Armour III,69.86,489,7
24,T25,T25,Jason Dufner,69.87,1048,15
25,T25,T25,Zach Johnson,69.87,1048,15
26,27,27,Rod Pampling,69.88,559,8
27,28,28,Dustin Johnson,69.92,909,13
28,29,29,Nathan Green,69.93,1049,15
29,T30,T30,Lucas Glover,70.0,1050,15
30,T30,T30,Richard Johnson,70.0,770,11
31,T30,T30,George McNeill,70.0,700,10
32,T30,T30,Bryce Molder,70.0,700,10
33,34,34,Ted Purdy,70.06,1261,18
34,35,35,Kenny Perry,70.07,1051,15
35,36,36,Heath Slocum,70.08,911,13
36,37,37,Justin Leonard,70.09,771,11
37,38,38,Greg Chalmers,70.14,982,14
