,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Tiger Woods,64,68.81,2959,43
1,2,2,Jerry Kelly,90,69.64,3134,45
2,3,3,Chris Riley,77,69.69,2509,36
3,4,4,David Toms,98,69.71,3625,52
4,5,5,Zach Johnson,94,69.79,3629,52
5,6,6,Steve Stricker,81,69.81,3351,48
6,7,7,Jason Day,61,69.84,2235,32
7,8,8,Ryan Moore,89,69.86,3493,50
8,9,9,Phil Mickelson,66,69.87,2166,31
9,10,10,Justin Leonard,95,69.92,3496,50
10,T11,T11,Jason Dufner,90,69.93,3077,44
11,T11,T11,Tag Ridings,50,69.93,1888,27
12,13,13,Greg Chalmers,85,69.94,3427,49
13,14,14,Steve Marino,98,69.95,3847,55
14,15,15,Hunter Mahan,94,69.96,3288,47
15,16,16,Brian Gay,96,69.98,3009,43
16,17,17,Freddie Jacobson,83,70.0,2660,38
17,T18,T18,Stephen Ames,77,70.07,3013,43
18,T18,T18,Jim Furyk,86,70.07,3223,46
19,20,20,Bo Van Pelt,100,70.12,3436,49
20,21,21,Chad Campbell,90,70.13,2735,39
21,22,22,Harrison Frazar,93,70.14,3086,44
22,23,23,Padraig Harrington,66,70.15,2385,34
23,24,24,Luke Donald,79,70.16,2666,38
24,25,25,Bryce Molder,69,70.18,2737,39
25,26,26,Cameron Beckman,87,70.2,2878,41
26,T27,T27,Kevin Na,91,70.21,3370,48
27,T27,T27,John Senden,100,70.21,3651,52
28,T27,T27,Scott Verplank,88,70.21,3300,47
29,30,30,Briny Baird,89,70.27,3654,52
30,31,31,Sean O'Hair,80,70.28,3022,43
31,32,32,John Mallinger,90,70.3,2601,37
32,33,33,Heath Slocum,95,70.31,2953,42
33,34,34,Bob Heintz,59,70.32,1969,28
34,T35,T35,Brian Davis,103,70.33,3235,46
35,T35,T35,Jeff Klauk,97,70.33,3376,48
36,T35,T35,Scott McCarron,91,70.33,2743,39
37,T35,T35,Tom Pernice Jr.,82,70.33,2813,40
38,T35,T35,Kenny Perry,92,70.33,3657,52
39,T35,T35,Mike Weir,85,70.33,2813,40
40,41,41,Tim Clark,81,70.34,2884,41
41,T42,T42,Bill Haas,91,70.35,3377,48
42,T42,T42,Michael Letzig,96,70.35,3236,46
43,44,44,Patrick Sheehan,51,70.36,1548,22
44,45,45,Matt Kuchar,82,70.37,3448,49
