,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Steve Stricker,81,68.13,1022,15
1,2,2,Tiger Woods,64,68.69,893,13
2,3,3,Paul Goydos,79,68.8,688,10
3,4,4,Mark Wilson,99,68.84,1308,19
4,5,5,Anthony Kim,76,68.85,895,13
5,6,6,Tim Clark,81,68.92,896,13
6,T7,T7,Jonathan Byrd,89,68.94,1103,16
7,T7,T7,Jim Furyk,86,68.94,1241,18
8,9,9,Chez Reavie,81,69.12,1175,17
9,10,10,Bill Lunde,83,69.18,1176,17
10,11,11,Troy Matteson,95,69.22,1246,18
11,12,12,Hunter Mahan,94,69.25,1385,20
12,13,13,Matt Jones,56,69.4,694,10
13,14,14,Bob Estes,78,69.5,695,10
14,15,15,Charles Howell III,99,69.53,1321,19
15,16,16,Rod Pampling,72,69.57,974,14
16,17,17,Vaughn Taylor,88,69.58,1322,19
17,18,18,David Toms,98,69.59,1531,22
18,T19,T19,Matt Kuchar,82,69.6,696,10
19,T19,T19,Kevin Sutherland,96,69.6,1392,20
20,21,21,Jeff Quinney,78,69.61,1601,23
21,T22,T22,Stephen Ames,77,69.63,557,8
22,T22,T22,Harrison Frazar,93,69.63,1880,27
23,T22,T22,Brian Gay,96,69.63,1114,16
24,T22,T22,J.J. Henry,97,69.63,1880,27
25,T22,T22,James Nitties,86,69.63,1114,16
26,27,27,Brandt Snedeker,81,69.64,975,14
27,28,28,Zach Johnson,94,69.65,1184,17
28,T29,T29,Kris Blanks,60,69.7,697,10
29,T29,T29,Tag Ridings,50,69.7,697,10
30,31,31,Kenny Perry,92,69.71,1185,17
31,T32,T32,Jason Day,61,69.79,977,14
32,T32,T32,Robert Garrigus,83,69.79,1326,19
33,T32,T32,Corey Pavin,73,69.79,977,14
34,T32,T32,Charlie Wi,92,69.79,1326,19
35,T36,T36,Tim Herron,87,69.81,1117,16
36,T36,T36,Tim Petrovic,97,69.81,1466,21
37,T36,T36,D.J. Trahan,96,69.81,1466,21
38,39,39,John Senden,100,69.85,908,13
39,T40,T40,Ángel Cabrera,55,69.86,489,7
40,T40,T40,Scott Verplank,88,69.86,978,14
41,T42,T42,Retief Goosen,74,69.87,1048,15
42,T42,T42,Marc Leishman,91,69.87,1048,15
43,T42,T42,Nick Watney,86,69.87,1048,15
44,45,45,Nick O'Hern,90,69.89,1328,19
45,T46,T46,Mathew Goggin,76,69.93,1049,15
46,T46,T46,Mike Weir,85,69.93,1049,15
47,T48,T48,Woody Austin,84,70.0,700,10
48,T48,T48,Spencer Levin,75,70.0,700,10
49,50,50,George McNeill,82,70.05,1331,19
50,T51,T51,Lucas Glover,93,70.06,1191,17
51,T51,T51,John Mallinger,90,70.06,1261,18
52,53,53,Bill Haas,91,70.11,1262,18
53,T54,T54,Brad Adamonis,70,70.14,982,14
54,T54,T54,Briny Baird,89,70.14,1543,22
55,T54,T54,Colt Knost,71,70.14,982,14
56,57,57,Scott Sterling,51,70.15,912,13
57,58,58,Chad Campbell,90,70.16,1333,19
58,59,59,Sergio Garcia,59,70.17,842,12
59,60,60,Stewart Cink,79,70.2,702,10
60,61,61,Rory Sabbatini,81,70.21,983,14
61,T62,T62,Tommy Armour III,58,70.22,632,9
62,T62,T62,Kevin Streelman,97,70.22,1615,23
63,64,64,David Mathis,82,70.26,1616,23
64,65,65,Greg Owen,97,70.27,1546,22
65,66,66,Chris DiMarco,97,70.29,1195,17
66,67,67,Pat Perez,74,70.3,703,10
67,68,68,Patrick Sheehan,51,70.36,985,14
68,T69,T69,D.A. Points,99,70.37,1337,19
69,T69,T69,Chris Riley,77,70.37,1337,19
70,71,71,Jarrod Lyle,65,70.38,1126,16
71,72,72,Kevin Na,91,70.41,1197,17
72,73,73,Bubba Watson,73,70.42,845,12
73,74,74,Steve Marino,98,70.43,986,14
74,75,75,Charley Hoffman,97,70.45,775,11
75,76,76,Aron Price,89,70.47,1339,19
76,77,77,Jeff Klauk,97,70.48,1621,23
77,T78,T78,Michael Letzig,96,70.5,1269,18
78,T78,T78,Phil Mickelson,66,70.5,987,14
79,T80,T80,Lee Janzen,74,70.54,917,13
80,T80,T80,Camilo Villegas,76,70.54,917,13
81,82,82,Aaron Baddeley,66,70.55,776,11
82,T83,T83,Dustin Johnson,85,70.56,1129,16
83,T83,T83,Heath Slocum,95,70.56,1270,18
84,85,85,Jason Bohn,88,70.58,847,12
85,T86,T86,Daniel Chopra,89,70.6,1412,20
86,T86,T86,Scott McCarron,91,70.6,1412,20
87,88,88,Scott Piercy,85,70.63,1130,16
88,89,89,Steve Elkington,70,70.64,1554,22
89,T90,T90,Ben Crane,93,70.67,1272,18
90,T90,T90,Freddie Jacobson,83,70.67,1060,15
91,92,92,Webb Simpson,94,70.68,1767,25
92,93,93,Nathan Green,104,70.7,1414,20
93,94,94,Jerry Kelly,90,70.71,990,14
94,T95,T95,Stuart Appleby,79,70.73,1061,15
95,T95,T95,Cameron Beckman,87,70.73,1061,15
96,T95,T95,Joe Durant,62,70.73,1061,15
97,98,98,Joe Ogilvie,85,70.74,1344,19
98,99,99,Ted Purdy,101,70.77,1557,22
99,T100,T100,Brian Davis,103,70.78,1628,23
100,T100,T100,Justin Leonard,95,70.78,1274,18
101,102,102,Chris Stroud,88,70.79,1699,24
102,T103,T103,Mark Brooks,55,70.8,708,10
103,T103,T103,Andres Romero,58,70.8,708,10
104,105,105,Johnson Wagner,81,70.81,1487,21
105,106,106,Rocco Mediate,79,70.82,779,11
106,T107,T107,Cliff Kresge,78,70.83,1275,18
107,T107,T107,Tom Pernice Jr.,82,70.83,1629,23
108,T107,T107,Y.E. Yang,83,70.83,850,12
109,110,110,Brett Quigley,92,70.85,921,13
110,111,111,Geoff Ogilvy,78,70.87,1063,15
111,112,112,Vijay Singh,71,70.88,1205,17
112,113,113,Ian Poulter,59,70.9,709,10
113,T114,T114,Steve Flesch,77,70.92,922,13
114,T114,T114,Tom Lehman,55,70.92,922,13
115,T114,T114,Marc Turnesa,77,70.92,851,12
116,T117,T117,Mark Calcavecchia,72,71.0,923,13
