,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,T1,T1,Fred Couples,67.0,134,2
1,T1,T1,Scott Sterling,67.0,67,1
2,3,3,Chris Stroud,67.33,202,3
3,4,4,Mike Weir,68.17,409,6
4,5,5,Geoff Ogilvy,68.33,205,3
5,T6,T6,Ian Poulter,68.5,137,2
6,T6,T6,Johnson Wagner,68.5,274,4
7,T8,T8,Derek Fathauer,68.67,412,6
8,T8,T8,Ryan Moore,68.67,412,6
9,10,10,Matt Bettencourt,68.8,344,5
10,11,11,Tim Clark,68.83,413,6
11,12,12,Rich Beem,68.88,551,8
12,13,13,Sean O'Hair,68.89,620,9
13,T14,T14,Jim Furyk,69.0,276,4
14,T14,T14,Robert Garrigus,69.0,207,3
15,T14,T14,Charley Hoffman,69.0,483,7
16,17,17,Kevin Na,69.11,622,9
17,18,18,Justin Leonard,69.14,484,7
18,19,19,Greg Chalmers,69.17,415,6
19,20,20,John Senden,69.3,693,10
20,T21,T21,Jason Bohn,69.33,416,6
21,T21,T21,Jonathan Byrd,69.33,416,6
22,T21,T21,J.J. Henry,69.33,208,3
23,T24,T24,Jerry Kelly,69.38,555,8
24,T24,T24,James Nitties,69.38,555,8
25,T24,T24,Kevin Stadler,69.38,555,8
26,T27,T27,Jason Day,69.5,278,4
27,T27,T27,Gary Woodland,69.5,139,2
28,29,29,Kevin Streelman,69.57,487,7
29,T30,T30,Michael Allen,69.67,209,3
30,T30,T30,Kenny Perry,69.67,209,3
31,T30,T30,Brandt Snedeker,69.67,418,6
32,33,33,Boo Weekley,69.75,279,4
33,34,34,Marc Leishman,69.78,628,9
34,T35,T35,Bob Estes,69.8,349,5
35,T35,T35,Peter Lonard,69.8,349,5
36,37,37,Chris DiMarco,69.82,768,11
37,38,38,Bob Heintz,69.83,419,6
38,39,39,Stewart Cink,69.86,489,7
39,T40,T40,Bill Lunde,69.89,629,9
40,T40,T40,Dean Wilson,69.89,629,9
41,T42,T42,Woody Austin,69.9,699,10
42,T42,T42,Ken Duke,69.9,699,10
43,T42,T42,Steve Marino,69.9,699,10
44,T45,T45,Robert Allenby,70.0,490,7
45,T45,T45,Bart Bryant,70.0,210,3
46,T45,T45,Ángel Cabrera,70.0,490,7
47,T45,T45,Chad Campbell,70.0,420,6
48,T45,T45,Retief Goosen,70.0,350,5
49,T45,T45,Bill Haas,70.0,630,9
50,T45,T45,Charles Howell III,70.0,630,9
51,T45,T45,Jeff Maggert,70.0,350,5
52,T45,T45,John Merrick,70.0,420,6
53,T45,T45,Tag Ridings,70.0,420,6
54,T45,T45,John Rollins,70.0,350,5
55,T45,T45,Kevin Sutherland,70.0,560,8
56,T45,T45,Nick Watney,70.0,350,5
57,58,58,Martin Laird,70.1,701,10
58,T59,T59,Paul Goydos,70.11,631,9
59,T59,T59,D.A. Points,70.11,631,9
60,T61,T61,Aron Price,70.17,421,6
61,T61,T61,Camilo Villegas,70.17,421,6
62,T63,T63,Glen Day,70.2,351,5
63,T63,T63,Hunter Mahan,70.2,351,5
64,T63,T63,Steve Stricker,70.2,351,5
