,Front_9_Par_4_Scoring_Average_RANK THIS WEEK,Front_9_Par_4_Scoring_Average_RANK LAST WEEK,Front_9_Par_4_Scoring_Average_PLAYER NAME,Front_9_Par_4_Scoring_Average_ROUNDS,Front_9_Par_4_Scoring_Average_AVG,Front_9_Par_4_Scoring_Average_TOTAL STROKES,Front_9_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Bob Estes,78,3.95,1687,427
1,2,2,Tiger Woods,64,3.96,1330,336
2,3,3,Justin Leonard,95,3.97,1982,499
3,T4,T4,Jeff Klauk,97,3.98,2105,529
4,T4,T4,Heath Slocum,95,3.98,2097,527
5,T4,T4,Mark Wilson,99,3.98,2175,547
6,T7,T7,Tim Clark,81,3.99,1724,432
7,T7,T7,Jerry Kelly,90,3.99,2013,504
8,T7,T7,Marc Leishman,91,3.99,2008,503
9,T7,T7,Sean O'Hair,80,3.99,1684,422
10,T7,T7,Scott Verplank,88,3.99,1980,496
11,T12,T12,Stephen Ames,77,4.0,1651,413
12,T12,T12,Briny Baird,89,4.0,1980,495
13,T12,T12,Mark Calcavecchia,72,4.0,1598,400
14,T12,T12,Greg Chalmers,85,4.0,1866,467
15,T12,T12,Jim Furyk,86,4.0,1811,453
16,T12,T12,Charley Hoffman,97,4.0,2114,528
17,T12,T12,Matt Kuchar,82,4.0,1784,446
18,T12,T12,Hunter Mahan,94,4.0,2041,510
19,T12,T12,Nick O'Hern,90,4.0,1991,498
20,T12,T12,Kenny Perry,92,4.0,2013,503
21,T12,T12,Tim Petrovic,97,4.0,2102,525
22,T12,T12,Chris Riley,77,4.0,1716,429
23,T12,T12,Brandt Snedeker,81,4.0,1794,449
24,T12,T12,Steve Stricker,81,4.0,1730,433
25,T12,T12,Kevin Sutherland,96,4.0,2072,518
26,T12,T12,Bo Van Pelt,100,4.0,2192,548
27,T28,T28,Woody Austin,84,4.01,1836,458
28,T28,T28,Ben Crane,93,4.01,2034,507
29,T28,T28,Brian Davis,103,4.01,2290,571
30,T28,T28,Chris DiMarco,97,4.01,2176,542
31,T28,T28,Jason Dufner,90,4.01,1971,492
32,T28,T28,Sergio Garcia,59,4.01,1284,320
33,T28,T28,Robert Garrigus,83,4.01,1820,454
34,T28,T28,J.J. Henry,97,4.01,2179,543
35,T28,T28,Zach Johnson,94,4.01,2035,508
36,T28,T28,Kent Jones,73,4.01,1598,399
37,T28,T28,Troy Matteson,95,4.01,2075,518
38,T28,T28,John Merrick,91,4.01,2018,503
39,T28,T28,Bryce Molder,69,4.01,1585,395
40,T28,T28,James Nitties,86,4.01,1908,476
41,T28,T28,Greg Owen,97,4.01,2132,532
42,T28,T28,Kevin Stadler,65,4.01,1423,355
43,T28,T28,David Toms,98,4.01,2189,546
44,T28,T28,Charlie Wi,92,4.01,2019,504
45,T46,T46,Chad Campbell,90,4.02,2012,501
46,T46,T46,Luke Donald,79,4.02,1681,418
47,T46,T46,Lucas Glover,93,4.02,2069,515
48,T46,T46,Tim Herron,87,4.02,1951,485
49,T46,T46,Charles Howell III,99,4.02,2181,543
50,T46,T46,Anthony Kim,76,4.02,1650,410
51,T46,T46,John Mallinger,90,4.02,1968,490
52,T46,T46,Scott McCarron,91,4.02,2022,503
53,T46,T46,George McNeill,82,4.02,1826,454
54,T46,T46,Kevin Na,91,4.02,1995,496
55,T46,T46,Corey Pavin,73,4.02,1605,399
56,T46,T46,Ted Purdy,101,4.02,2229,555
57,T46,T46,Justin Rose,71,4.02,1528,380
58,T46,T46,Webb Simpson,94,4.02,2081,518
59,T46,T46,Boo Weekley,79,4.02,1694,421
60,T61,T61,Robert Allenby,71,4.03,1555,386
61,T61,T61,Rich Beem,77,4.03,1705,423
62,T61,T61,Jason Bohn,88,4.03,1951,484
63,T61,T61,Daniel Chopra,89,4.03,1961,486
64,T61,T61,Glen Day,79,4.03,1740,432
65,T61,T61,Steve Elkington,70,4.03,1534,381
66,T61,T61,Ernie Els,70,4.03,1452,360
67,T61,T61,Harrison Frazar,93,4.03,2095,520
68,T61,T61,Brian Gay,96,4.03,2159,536
69,T61,T61,Bob Heintz,59,4.03,1319,327
70,T61,T61,Dustin Johnson,85,4.03,1826,453
71,T61,T61,Scott Piercy,85,4.03,1853,460
72,T61,T61,Ian Poulter,59,4.03,1218,302
73,T61,T61,John Rollins,92,4.03,1982,492
74,T61,T61,Kevin Streelman,97,4.03,2179,541
75,T61,T61,Johnson Wagner,81,4.03,1803,447
76,T61,T61,Matt Weibring,65,4.03,1447,359
77,T61,T61,Dean Wilson,81,4.03,1800,447
78,T79,T79,Michael Allen,73,4.04,1589,393
79,T79,T79,Aaron Baddeley,66,4.04,1443,357
80,T79,T79,Stewart Cink,79,4.04,1638,405
81,T79,T79,Jason Day,61,4.04,1344,333
82,T79,T79,Paul Goydos,79,4.04,1767,437
83,T79,T79,Padraig Harrington,66,4.04,1417,351
84,T79,T79,Lee Janzen,74,4.04,1622,401
85,T79,T79,Richard Johnson,85,4.04,1892,468
86,T79,T79,Michael Letzig,96,4.04,2121,525
87,T79,T79,Spencer Levin,75,4.04,1662,411
88,T79,T79,Bill Lunde,83,4.04,1859,460
89,T79,T79,Brett Quigley,92,4.04,2009,497
90,T79,T79,Jeff Quinney,78,4.04,1719,425
91,T79,T79,John Senden,100,4.04,2216,549
92,T79,T79,Scott Sterling,51,4.04,1136,281
93,T94,T94,Tommy Armour III,58,4.05,1283,317
94,T94,T94,Jonathan Byrd,89,4.05,1923,475
95,T94,T94,K.J. Choi,65,4.05,1386,342
96,T94,T94,Fred Couples,54,4.05,1192,294
97,T94,T94,Ben Curtis,63,4.05,1354,334
98,T94,T94,Joe Durant,62,4.05,1354,334
99,T94,T94,Steve Flesch,77,4.05,1675,414
100,T94,T94,Retief Goosen,74,4.05,1625,401
101,T94,T94,Bill Haas,91,4.05,2013,497
102,T94,T94,Steve Marino,98,4.05,2209,546
103,T94,T94,Phil Mickelson,66,4.05,1382,341
104,T94,T94,Ryan Moore,89,4.05,1989,491
105,T94,T94,Rod Pampling,72,4.05,1543,381
106,T94,T94,Chez Reavie,81,4.05,1818,449
107,T94,T94,Andres Romero,58,4.05,1267,313
108,T94,T94,Rory Sabbatini,81,4.05,1773,438
109,T94,T94,Nicholas Thompson,96,4.05,2116,522
110,T94,T94,D.J. Trahan,96,4.05,2130,526
111,T94,T94,Camilo Villegas,76,4.05,1591,393
112,T94,T94,Nick Watney,86,4.05,1887,466
113,T114,T114,Bart Bryant,58,4.06,1324,326
114,T114,T114,Alex Cejka,82,4.06,1806,445
115,T114,T114,Nathan Green,104,4.06,2348,579
116,T114,T114,Freddie Jacobson,83,4.06,1865,459
117,T114,T114,Martin Laird,72,4.06,1624,400
118,T114,T114,Ryan Palmer,78,4.06,1738,428
119,T114,T114,Aron Price,89,4.06,1971,485
120,T114,T114,Adam Scott,53,4.06,1152,284
121,T114,T114,Vijay Singh,71,4.06,1538,379
122,T114,T114,Chris Stroud,88,4.06,1979,488
123,T124,T124,Stuart Appleby,79,4.07,1748,430
124,T124,T124,Ricky Barnes,67,4.07,1535,377
125,T124,T124,Kris Blanks,60,4.07,1331,327
126,T124,T124,Brendon de Jonge,90,4.07,2012,494
127,T124,T124,Ryuji Imada,85,4.07,1899,467
128,T124,T124,Cliff Kresge,78,4.07,1758,432
129,T124,T124,Steve Lowery,83,4.07,1838,452
130,T124,T124,Will MacKenzie,69,4.07,1511,371
131,T124,T124,Jeff Maggert,79,4.07,1769,435
132,T124,T124,Rocco Mediate,79,4.07,1773,436
133,T124,T124,Jeff Overton,92,4.07,2046,503
134,T124,T124,Carl Pettersson,86,4.07,1958,481
135,T124,T124,Jimmy Walker,74,4.07,1667,410
136,T124,T124,Bubba Watson,73,4.07,1615,397
137,T124,T124,Mike Weir,85,4.07,1903,468
138,T139,T139,Cameron Beckman,87,4.08,1961,481
139,T139,T139,Matt Bettencourt,98,4.08,2189,537
140,T139,T139,Ken Duke,87,4.08,1928,472
141,T139,T139,Todd Hamilton,83,4.08,1858,455
142,T139,T139,Colt Knost,71,4.08,1572,385
143,T139,T139,David Mathis,82,4.08,1843,452
144,T139,T139,Pat Perez,74,4.08,1625,398
145,T139,T139,D.A. Points,99,4.08,2209,541
146,T139,T139,Patrick Sheehan,51,4.08,1146,281
147,T139,T139,Vaughn Taylor,88,4.08,1997,490
148,T139,T139,Jay Williamson,69,4.08,1557,382
149,T150,T150,Brad Adamonis,70,4.09,1577,386
150,T150,T150,Mark Brooks,55,4.09,1222,299
151,T150,T150,Mathew Goggin,76,4.09,1653,404
152,T150,T150,Jarrod Lyle,65,4.09,1451,355
153,T150,T150,Joe Ogilvie,85,4.09,1907,466
154,T150,T150,Tom Pernice Jr.,82,4.09,1806,442
155,T150,T150,Darron Stiles,52,4.09,1173,287
156,T150,T150,Kirk Triplett,60,4.09,1350,330
157,T150,T150,Casey Wittenberg,71,4.09,1596,390
158,T150,T150,Y.E. Yang,83,4.09,1851,453
159,T160,T160,Derek Fathauer,63,4.1,1427,348
160,T160,T160,Matt Jones,56,4.1,1243,303
161,T160,T160,Tom Lehman,55,4.1,1250,305
162,T160,T160,Peter Lonard,86,4.1,1951,476
163,T160,T160,Davis Love III,89,4.1,1944,474
164,T160,T160,Geoff Ogilvy,78,4.1,1616,394
165,T160,T160,Peter Tomasulo,61,4.1,1373,335
166,T160,T160,Brian Vranesh,51,4.1,1151,281
167,T160,T160,Charles Warren,63,4.1,1390,339
168,169,169,J.B. Holmes,74,4.11,1676,408
169,T170,T170,Ángel Cabrera,55,4.12,1244,302
170,T170,T170,Jason Gore,74,4.12,1668,405
171,T170,T170,Tag Ridings,50,4.12,1149,279
172,T170,T170,Marc Turnesa,77,4.12,1750,425
173,T174,T174,Brian Bateman,55,4.13,1254,304
174,T174,T174,Rick Price,54,4.13,1197,290
175,T176,T176,Billy Mayfair,83,4.14,1895,458
176,T176,T176,Parker McLachlin,71,4.14,1593,385
177,T178,T178,Brad Faxon,59,4.15,1342,323
178,T178,T178,Greg Kraft,51,4.15,1141,275
179,T178,T178,Leif Olson,51,4.15,1171,282
180,T181,T181,Eric Axley,71,4.16,1611,387
181,T181,T181,David Duval,56,4.16,1285,309
182,183,183,Brendon Todd,53,4.17,1223,293
183,184,184,Gary Woodland,53,4.2,1243,296
