,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Tiger Woods,64,11.65,130,1116
1,2,2,Steve Stricker,81,13.01,185,1422
2,3,3,Jim Furyk,86,13.86,207,1494
3,4,4,Spencer Levin,75,14.15,191,1350
4,5,5,David Toms,98,14.17,250,1764
5,T6,T6,Zach Johnson,94,14.43,239,1656
6,T6,T6,Matt Kuchar,82,14.43,213,1476
7,8,8,Tim Clark,81,14.46,203,1404
8,T9,T9,Brian Gay,96,14.53,251,1728
9,T9,T9,Kevin Na,91,14.53,238,1638
10,11,11,Scott McCarron,91,14.65,240,1638
11,12,12,Mark Wilson,99,14.7,262,1782
12,13,13,Greg Chalmers,85,14.71,225,1530
13,14,14,Tim Petrovic,97,14.72,257,1746
14,T15,T15,Jeff Klauk,97,14.78,258,1746
15,T15,T15,John Senden,100,14.78,266,1800
16,17,17,Steve Marino,98,14.91,263,1764
17,18,18,Patrick Sheehan,51,14.92,137,918
18,T19,T19,Justin Leonard,95,14.96,245,1638
19,T19,T19,Kenny Perry,92,14.96,245,1638
20,T19,T19,Kevin Stadler,65,14.96,175,1170
21,T19,T19,Scott Verplank,88,14.96,237,1584
22,23,23,Scott Sterling,51,15.03,138,918
23,24,24,Jarrod Lyle,65,15.04,176,1170
24,T25,T25,Chad Campbell,90,15.06,244,1620
25,T25,T25,Bryce Molder,69,15.06,187,1242
26,27,27,Matt Jones,56,15.08,152,1008
27,28,28,Chris Riley,77,15.15,210,1386
28,29,29,Chris DiMarco,97,15.18,265,1746
29,30,30,Tom Pernice Jr.,82,15.24,225,1476
30,31,31,Luke Donald,79,15.28,209,1368
31,32,32,Bob Estes,78,15.31,215,1404
32,33,33,Jerry Kelly,90,15.37,249,1620
33,34,34,Charley Hoffman,97,15.46,270,1746
34,35,35,Ryan Moore,89,15.48,248,1602
35,36,36,Brandt Snedeker,81,15.5,226,1458
36,37,37,Robert Garrigus,83,15.53,232,1494
37,38,38,Bob Heintz,59,15.54,165,1062
38,39,39,Steve Elkington,70,15.56,196,1260
39,40,40,Nick O'Hern,90,15.62,253,1620
40,T41,T41,J.J. Henry,97,15.64,273,1746
41,T41,T41,Greg Owen,97,15.64,273,1746
42,43,43,Jason Day,61,15.66,172,1098
43,44,44,Troy Matteson,95,15.67,268,1710
44,T45,T45,Ben Crane,93,15.77,264,1674
45,T45,T45,Ian Poulter,59,15.77,159,1008
46,47,47,Jason Dufner,90,15.86,257,1620
47,48,48,Woody Austin,84,15.87,240,1512
48,49,49,Charlie Wi,92,15.88,263,1656
49,50,50,Bill Haas,91,15.93,261,1638
50,51,51,Casey Wittenberg,71,15.96,204,1278
51,T52,T52,Bill Lunde,83,16.0,239,1494
52,T52,T52,Bo Van Pelt,100,16.0,288,1800
53,T54,T54,Kevin Sutherland,96,16.02,274,1710
54,T54,T54,Jay Williamson,69,16.02,199,1242
55,T56,T56,Jason Bohn,88,16.04,254,1584
56,T56,T56,Jonathan Byrd,89,16.04,257,1602
57,58,58,Mark Brooks,55,16.06,159,990
58,59,59,Mike Weir,85,16.07,243,1512
59,60,60,Heath Slocum,95,16.08,275,1710
60,61,61,Briny Baird,89,16.1,258,1602
61,62,62,Charles Howell III,99,16.11,287,1782
62,63,63,Steve Flesch,77,16.16,224,1386
63,64,64,Hunter Mahan,94,16.24,269,1656
64,T65,T65,Chez Reavie,81,16.26,237,1458
65,T65,T65,D.J. Trahan,96,16.26,281,1728
66,67,67,Tommy Armour III,58,16.28,170,1044
67,68,68,Corey Pavin,73,16.29,214,1314
68,69,69,Padraig Harrington,66,16.32,191,1170
69,70,70,Nick Watney,86,16.34,253,1548
70,T71,T71,Geoff Ogilvy,78,16.36,212,1296
71,T71,T71,Brett Quigley,92,16.36,271,1656
72,73,73,Freddie Jacobson,83,16.4,245,1494
73,74,74,Cameron Beckman,87,16.41,257,1566
74,75,75,Jeff Maggert,79,16.46,234,1422
75,76,76,Sergio Garcia,59,16.48,172,1044
76,T77,T77,Webb Simpson,94,16.49,279,1692
77,T77,T77,Charles Warren,63,16.49,187,1134
78,79,79,Ernie Els,70,16.5,196,1188
79,80,80,Michael Allen,73,16.51,217,1314
80,T81,T81,Glen Day,79,16.53,235,1422
81,T81,T81,George McNeill,82,16.53,244,1476
82,83,83,Richard Johnson,85,16.54,253,1530
83,T84,T84,Rich Beem,77,16.67,231,1386
84,T84,T84,Lucas Glover,93,16.67,279,1674
85,T84,T84,Tom Lehman,55,16.67,165,990
86,T84,T84,Aron Price,89,16.67,267,1602
87,T84,T84,Jeff Quinney,78,16.67,234,1404
88,T84,T84,Jimmy Walker,74,16.67,222,1332
89,90,90,Michael Letzig,96,16.72,289,1728
90,T91,T91,Stephen Ames,77,16.74,226,1350
91,T91,T91,Lee Janzen,74,16.74,223,1332
92,T91,T91,Rod Pampling,72,16.74,214,1278
93,94,94,Davis Love III,89,16.79,263,1566
94,95,95,Matt Weibring,65,16.84,197,1170
95,T96,T96,Harrison Frazar,93,16.85,282,1674
96,T96,T96,John Mallinger,90,16.85,273,1620
97,T98,T98,Brad Adamonis,70,16.9,213,1260
98,T98,T98,Robert Allenby,71,16.9,213,1260
99,T100,T100,Nathan Green,104,16.93,317,1872
100,T100,T100,Joe Ogilvie,85,16.93,259,1530
101,T100,T100,Y.E. Yang,83,16.93,253,1494
102,T103,T103,Alex Cejka,82,16.94,250,1476
103,T103,T103,Ben Curtis,63,16.94,189,1116
104,T103,T103,Kirk Triplett,60,16.94,183,1080
105,106,106,Vaughn Taylor,88,16.98,269,1584
106,107,107,Scott Piercy,85,16.99,260,1530
107,T108,T108,K.J. Choi,65,17.01,196,1152
108,T108,T108,Johnson Wagner,81,17.01,248,1458
109,110,110,D.A. Points,99,17.06,304,1782
110,111,111,David Mathis,82,17.07,252,1476
111,112,112,Retief Goosen,74,17.12,225,1314
112,T113,T113,Kris Blanks,60,17.13,185,1080
113,T113,T113,Dustin Johnson,85,17.13,259,1512
114,115,115,Sean O'Hair,80,17.18,235,1368
115,116,116,Camilo Villegas,76,17.2,226,1314
116,117,117,Brian Davis,103,17.21,319,1854
117,T118,T118,John Merrick,91,17.22,282,1638
118,T118,T118,Rory Sabbatini,81,17.22,248,1440
119,120,120,Tim Herron,87,17.24,270,1566
120,T121,T121,Kent Jones,73,17.28,227,1314
121,T121,T121,Marc Leishman,91,17.28,283,1638
122,123,123,James Nitties,86,17.31,268,1548
123,124,124,Tag Ridings,50,17.33,156,900
124,T125,T125,Pat Perez,74,17.36,225,1296
125,T125,T125,Chris Stroud,88,17.36,275,1584
126,T127,T127,Ken Duke,87,17.37,272,1566
127,T127,T127,Phil Mickelson,66,17.37,197,1134
128,129,129,Ryuji Imada,85,17.39,266,1530
129,130,130,Dean Wilson,81,17.42,254,1458
130,131,131,Stewart Cink,79,17.43,229,1314
131,132,132,Justin Rose,71,17.46,220,1260
132,133,133,Mathew Goggin,76,17.49,233,1332
133,134,134,Ryan Palmer,78,17.59,247,1404
134,135,135,John Rollins,92,17.63,292,1656
135,136,136,Ted Purdy,101,17.71,322,1818
136,137,137,Bart Bryant,58,17.72,185,1044
137,T138,T138,Joe Durant,62,17.74,198,1116
138,T138,T138,Todd Hamilton,83,17.74,265,1494
139,T138,T138,Cliff Kresge,78,17.74,249,1404
140,T138,T138,Steve Lowery,83,17.74,265,1494
141,142,142,Colt Knost,71,17.84,228,1278
142,143,143,Kevin Streelman,97,17.87,312,1746
143,144,144,Nicholas Thompson,96,17.94,310,1728
144,T145,T145,Brendon de Jonge,90,18.02,292,1620
145,T145,T145,Anthony Kim,76,18.02,240,1332
146,T147,T147,Jason Gore,74,18.24,243,1332
147,T147,T147,Jeff Overton,92,18.24,302,1656
148,149,149,Boo Weekley,79,18.25,253,1386
149,T150,T150,Aaron Baddeley,66,18.29,214,1170
150,T150,T150,Mark Calcavecchia,72,18.29,237,1296
151,152,152,Brian Vranesh,51,18.3,168,918
152,153,153,Will MacKenzie,69,18.36,228,1242
153,154,154,Brian Bateman,55,18.38,182,990
154,155,155,Vijay Singh,71,18.44,229,1242
155,156,156,Fred Couples,54,18.52,180,972
156,157,157,Daniel Chopra,89,18.6,298,1602
157,158,158,Rick Price,54,18.62,181,972
158,159,159,Rocco Mediate,79,18.64,265,1422
159,T160,T160,Ángel Cabrera,55,18.72,182,972
