,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Spencer Levin,33.85,440,13
1,2,2,Tiger Woods,33.93,509,15
2,3,3,Joe Ogilvie,34.0,510,15
3,4,4,Steve Marino,34.05,681,20
4,5,5,Matt Weibring,34.18,376,11
5,6,6,D.J. Trahan,34.22,616,18
6,7,7,Ryan Palmer,34.23,445,13
7,8,8,Zach Johnson,34.24,719,21
8,9,9,Jonathan Byrd,34.25,685,20
9,10,10,Kirk Triplett,34.3,343,10
10,11,11,Harrison Frazar,34.32,652,19
11,12,12,Patrick Sheehan,34.36,378,11
12,T13,T13,Matt Kuchar,34.41,585,17
13,T13,T13,Heath Slocum,34.41,585,17
14,15,15,Kris Blanks,34.45,379,11
15,16,16,Kevin Streelman,34.5,690,20
16,17,17,Brandt Snedeker,34.53,518,15
17,18,18,Steve Stricker,34.56,622,18
18,T19,T19,Charles Warren,34.58,415,12
19,T19,T19,Y.E. Yang,34.58,657,19
20,21,21,Cameron Beckman,34.59,588,17
21,22,22,Woody Austin,34.61,623,18
22,T23,T23,Fred Couples,34.64,381,11
23,T23,T23,Bryce Molder,34.64,485,14
24,T23,T23,Casey Wittenberg,34.64,381,11
25,26,26,Colt Knost,34.67,416,12
26,27,27,Brett Quigley,34.68,659,19
27,28,28,Dean Wilson,34.69,451,13
28,29,29,Scott Verplank,34.7,694,20
29,30,30,Charley Hoffman,34.73,764,22
30,31,31,Matt Jones,34.75,417,12
31,32,32,Geoff Ogilvy,34.76,591,17
32,T33,T33,Jeff Maggert,34.77,452,13
33,T33,T33,Chez Reavie,34.77,452,13
34,T35,T35,Nick O'Hern,34.78,626,18
35,T35,T35,Charlie Wi,34.78,626,18
36,37,37,Chad Campbell,34.79,661,19
37,T38,T38,Bob Heintz,34.8,348,10
38,T38,T38,Scott Piercy,34.8,522,15
39,T38,T38,Scott Sterling,34.8,348,10
40,T38,T38,Bo Van Pelt,34.8,696,20
41,42,42,D.A. Points,34.81,731,21
42,T43,T43,Bob Estes,34.82,592,17
43,T43,T43,Chris Riley,34.82,592,17
44,T43,T43,David Toms,34.82,766,22
45,46,46,Luke Donald,34.83,627,18
46,47,47,Steve Elkington,34.85,453,13
47,48,48,Corey Pavin,34.86,488,14
48,T49,T49,Dustin Johnson,34.89,663,19
49,T49,T49,Marc Leishman,34.89,628,18
50,51,51,Lucas Glover,34.9,698,20
51,52,52,Mark Wilson,34.91,768,22
52,T53,T53,Mathew Goggin,34.92,454,13
53,T53,T53,Martin Laird,34.92,419,12
54,55,55,Jason Day,34.93,489,14
55,56,56,Richard Johnson,34.94,594,17
56,T57,T57,Jason Bohn,34.95,664,19
57,T57,T57,Justin Leonard,34.95,699,20
58,T59,T59,Tim Clark,35.0,630,18
59,T59,T59,Jason Dufner,35.0,665,19
60,T59,T59,Jarrod Lyle,35.0,420,12
61,T59,T59,John Merrick,35.0,595,17
62,T59,T59,Kevin Na,35.0,735,21
63,T59,T59,Darron Stiles,35.0,245,7
64,T65,T65,Jim Furyk,35.05,701,20
65,T65,T65,Nick Watney,35.05,666,19
66,T67,T67,Brendon de Jonge,35.06,561,16
67,T67,T67,Bill Haas,35.06,561,16
68,T67,T67,Anthony Kim,35.06,561,16
69,T67,T67,John Mallinger,35.06,631,18
70,T71,T71,Glen Day,35.07,491,14
71,T71,T71,Paul Goydos,35.07,526,15
72,T73,T73,Joe Durant,35.09,386,11
73,T73,T73,Hunter Mahan,35.09,807,23
74,75,75,Ben Crane,35.1,702,20
75,T76,T76,Stephen Ames,35.13,527,15
76,T76,T76,Lee Janzen,35.13,527,15
77,T76,T76,George McNeill,35.13,527,15
78,T79,T79,Padraig Harrington,35.14,492,14
79,T79,T79,Ted Purdy,35.14,738,21
80,T81,T81,Scott McCarron,35.15,703,20
81,T81,T81,Greg Owen,35.15,703,20
82,83,83,John Rollins,35.16,668,19
83,84,84,Cliff Kresge,35.17,422,12
84,T85,T85,James Nitties,35.19,563,16
85,T85,T85,Vaughn Taylor,35.19,563,16
86,T87,T87,Bill Lunde,35.2,528,15
87,T87,T87,Tag Ridings,35.2,352,10
88,89,89,Rod Pampling,35.21,493,14
89,90,90,Brian Davis,35.24,740,21
90,91,91,Tom Lehman,35.25,423,12
91,T92,T92,Matt Bettencourt,35.26,670,19
