,Top_10_Final_Round_Performance_RANK THIS WEEK,Top_10_Final_Round_Performance_RANK LAST WEEK,Top_10_Final_Round_Performance_PLAYER NAME,Top_10_Final_Round_Performance_EVENTS,Top_10_Final_Round_Performance_% TIMES IMPROVED,Top_10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Ricky Barnes,23,100.0,1.0
1,T1,T1,Kris Blanks,20,100.0,1.0
2,T1,T1,Bart Bryant,17,100.0,1.0
3,T1,T1,Daniel Chopra,28,100.0,1.0
4,T1,T1,Fred Couples,16,100.0,3.0
5,T1,T1,Ben Curtis,18,100.0,1.0
6,T1,T1,Brian Davis,32,100.0,3.0
7,T1,T1,David Duval,22,100.0,1.0
8,T1,T1,Sergio Garcia,17,100.0,2.0
9,T1,T1,Mathew Goggin,26,100.0,2.0
10,T1,T1,J.B. Holmes,25,100.0,1.0
11,T1,T1,Charles Howell III,29,100.0,3.0
12,T1,T1,Matt Jones,17,100.0,1.0
13,T1,T1,Jeff Klauk,29,100.0,3.0
14,T1,T1,Martin Laird,24,100.0,2.0
15,T1,T1,Billy Mayfair,28,100.0,1.0
16,T1,T1,Phil Mickelson,18,100.0,5.0
17,T1,T1,Leif Olson,21,100.0,1.0
18,T1,T1,Ryan Palmer,26,100.0,1.0
19,T1,T1,Pat Perez,22,100.0,2.0
20,T1,T1,Tom Pernice Jr.,26,100.0,1.0
21,T1,T1,Andres Romero,20,100.0,1.0
22,T1,T1,Justin Rose,22,100.0,2.0
23,T1,T1,Adam Scott,19,100.0,1.0
24,25,25,Tiger Woods,17,91.7,11.0
25,26,26,Steve Stricker,22,88.9,8.0
26,27,27,Kevin Na,26,87.5,7.0
27,T28,T28,Robert Allenby,21,75.0,3.0
28,T28,T28,Tim Clark,23,75.0,3.0
29,T28,T28,Ben Crane,27,75.0,3.0
30,T28,T28,Jason Dufner,26,75.0,3.0
31,T28,T28,Brian Gay,27,75.0,3.0
32,T28,T28,J.J. Henry,28,75.0,3.0
33,T28,T28,Marc Leishman,28,75.0,3.0
34,T28,T28,Brett Quigley,28,75.0,3.0
35,T28,T28,Nick Watney,24,75.0,3.0
36,T37,T37,Lucas Glover,26,71.4,5.0
37,T37,T37,David Toms,27,71.4,5.0
38,T39,T39,Mark Calcavecchia,23,66.7,2.0
39,T39,T39,Chad Campbell,26,66.7,2.0
40,T39,T39,Greg Chalmers,26,66.7,2.0
41,T39,T39,Jason Day,18,66.7,2.0
42,T39,T39,Bill Lunde,27,66.7,2.0
43,T39,T39,Hunter Mahan,25,66.7,2.0
44,T39,T39,John Mallinger,27,66.7,2.0
45,T39,T39,Tim Petrovic,31,66.7,2.0
46,T39,T39,Jeff Quinney,26,66.7,2.0
47,T39,T39,Heath Slocum,30,66.7,2.0
48,T39,T39,Camilo Villegas,21,66.7,2.0
49,T39,T39,Mark Wilson,28,66.7,2.0
50,T39,T39,Y.E. Yang,23,66.7,2.0
51,T52,T52,Paul Goydos,25,60.0,3.0
52,T52,T52,Dustin Johnson,25,60.0,3.0
53,T52,T52,Anthony Kim,22,60.0,3.0
54,T52,T52,John Rollins,27,60.0,3.0
55,T56,T56,Jim Furyk,23,57.1,4.0
56,T56,T56,Justin Leonard,26,57.1,4.0
57,T56,T56,Sean O'Hair,23,57.1,4.0
58,T56,T56,Kenny Perry,24,57.1,4.0
59,60,60,Zach Johnson,26,55.6,5.0
60,T61,T61,Michael Allen,22,50.0,1.0
61,T61,T61,Woody Austin,24,50.0,2.0
62,T61,T61,Jason Bohn,25,50.0,1.0
63,T61,T61,Ángel Cabrera,17,50.0,2.0
64,T61,T61,K.J. Choi,22,50.0,1.0
65,T61,T61,Retief Goosen,20,50.0,4.0
66,T61,T61,Nathan Green,30,50.0,1.0
67,T61,T61,Padraig Harrington,20,50.0,4.0
68,T61,T61,Bob Heintz,20,50.0,1.0
69,T61,T61,Richard Johnson,26,50.0,1.0
70,T61,T61,Jerry Kelly,26,50.0,3.0
71,T61,T61,Matt Kuchar,24,50.0,3.0
72,T61,T61,Davis Love III,27,50.0,2.0
