,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
147,T147,T147,Rory Sabbatini,81,11.63,20,172
148,149,149,Kirk Triplett,60,11.54,9,78
149,150,150,Aron Price,89,11.52,19,165
150,151,151,Bill Lunde,83,11.51,16,139
151,152,152,Bob Estes,78,11.48,14,122
152,153,153,Chris Riley,77,11.43,12,105
153,154,154,Matt Jones,56,11.4,13,114
154,155,155,Jarrod Lyle,65,11.34,11,97
155,156,156,Jeff Klauk,97,11.29,14,124
156,157,157,Peter Lonard,86,11.21,13,116
157,T158,T158,Chad Campbell,90,11.11,16,144
158,T158,T158,Scott Sterling,51,11.11,9,81
159,160,160,Justin Rose,71,11.0,11,100
160,161,161,Vijay Singh,71,10.75,10,93
161,162,162,Matt Weibring,65,10.71,9,84
162,163,163,John Mallinger,90,10.43,12,115
163,164,164,Leif Olson,51,10.23,9,88
164,165,165,Tom Lehman,55,10.2,5,49
165,166,166,Brendon Todd,53,9.46,7,74
166,167,167,Luke Donald,79,9.35,10,107
167,168,168,Bob Heintz,59,9.09,7,77
168,169,169,Brian Bateman,55,8.93,10,112
169,170,170,Kevin Stadler,65,8.91,9,101
170,171,171,Joe Durant,62,8.77,5,57
171,172,172,Derek Fathauer,63,8.76,12,137
172,173,173,Mark Wilson,99,8.55,13,152
173,174,174,Davis Love III,89,8.44,13,154
174,175,175,Ryan Moore,89,8.33,10,120
175,176,176,Bart Bryant,58,7.89,6,76
176,177,177,Lee Janzen,74,7.77,8,103
177,178,178,Richard Johnson,85,7.69,8,104
178,179,179,Jason Gore,74,7.53,7,93
179,180,180,Brett Quigley,92,7.38,9,122
180,181,181,Johnson Wagner,81,7.03,9,128
181,182,182,Darron Stiles,52,6.56,4,61
182,183,183,Greg Kraft,51,6.25,4,64
183,184,184,Patrick Sheehan,51,5.88,3,51
