,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Patrick Sheehan,51,2.86,257,90
1,T2,T2,Jason Day,61,2.94,382,130
2,T2,T2,Phil Mickelson,66,2.94,368,125
3,4,4,Freddie Jacobson,83,2.95,449,152
4,T5,T5,Mike Weir,85,2.97,478,161
5,T5,T5,Tiger Woods,64,2.97,510,172
6,T7,T7,Cameron Beckman,87,2.98,503,169
7,T7,T7,Matt Weibring,65,2.98,373,125
8,T9,T9,Lee Janzen,74,2.99,457,153
9,T9,T9,Scott Sterling,51,2.99,281,94
10,T11,T11,Richard Johnson,85,3.0,450,150
11,T11,T11,Matt Jones,56,3.0,306,102
12,T11,T11,Matt Kuchar,82,3.0,607,202
13,T11,T11,Bryce Molder,69,3.0,471,157
14,T11,T11,D.A. Points,99,3.0,597,199
15,T11,T11,Chris Riley,77,3.0,441,147
16,T17,T17,Briny Baird,89,3.01,636,211
17,T17,T17,Mark Brooks,55,3.01,247,82
18,T17,T17,J.J. Henry,97,3.01,562,187
19,T17,T17,Jeff Klauk,97,3.01,599,199
20,T17,T17,Ryan Moore,89,3.01,612,203
21,T17,T17,Brett Quigley,92,3.01,578,192
22,T17,T17,Kevin Stadler,65,3.01,431,143
23,T17,T17,Jimmy Walker,74,3.01,415,138
24,T17,T17,Jay Williamson,69,3.01,343,114
25,T17,T17,Casey Wittenberg,71,3.01,446,148
26,T27,T27,Kris Blanks,60,3.02,377,125
27,T27,T27,Brian Gay,96,3.02,523,173
28,T27,T27,Scott McCarron,91,3.02,480,159
29,T27,T27,Jeff Overton,92,3.02,588,195
30,T27,T27,Tom Pernice Jr.,82,3.02,502,166
31,T27,T27,Tag Ridings,50,3.02,338,112
32,T27,T27,David Toms,98,3.02,640,212
33,T27,T27,Scott Verplank,88,3.02,571,189
34,T35,T35,Greg Chalmers,85,3.03,610,201
35,T35,T35,Tim Clark,81,3.03,506,167
36,T35,T35,Steve Flesch,77,3.03,434,143
37,T35,T35,Paul Goydos,79,3.03,476,157
38,T35,T35,Cliff Kresge,78,3.03,503,166
39,T35,T35,Michael Letzig,96,3.03,573,189
40,T35,T35,Ryan Palmer,78,3.03,464,153
41,T35,T35,Kenny Perry,92,3.03,634,209
42,T35,T35,Gary Woodland,53,3.03,297,98
43,T44,T44,Brian Davis,103,3.04,571,188
44,T44,T44,Chris DiMarco,97,3.04,507,167
45,T44,T44,Jason Dufner,90,3.04,545,179
46,T44,T44,Harrison Frazar,93,3.04,548,180
47,T44,T44,Robert Garrigus,83,3.04,517,170
48,T44,T44,Hunter Mahan,94,3.04,575,189
49,T44,T44,David Mathis,82,3.04,480,158
50,T44,T44,Jeff Quinney,78,3.04,414,136
51,T44,T44,Steve Stricker,81,3.04,595,196
52,T44,T44,Johnson Wagner,81,3.04,481,158
53,T54,T54,Stephen Ames,77,3.05,534,175
54,T54,T54,Ricky Barnes,67,3.05,393,129
55,T54,T54,K.J. Choi,65,3.05,409,134
56,T54,T54,Retief Goosen,74,3.05,476,156
57,T54,T54,Nathan Green,104,3.05,603,198
58,T54,T54,Bob Heintz,59,3.05,348,114
59,T54,T54,Tim Herron,87,3.05,543,178
60,T54,T54,Ryuji Imada,85,3.05,473,155
61,T54,T54,Jerry Kelly,90,3.05,562,184
62,T54,T54,Colt Knost,71,3.05,454,149
63,T54,T54,Jarrod Lyle,65,3.05,375,123
64,T54,T54,John Mallinger,90,3.05,470,154
65,T54,T54,Rocco Mediate,79,3.05,421,138
66,T54,T54,Nick O'Hern,90,3.05,534,175
67,T54,T54,Corey Pavin,73,3.05,399,131
68,T54,T54,Tim Petrovic,97,3.05,635,208
69,T54,T54,Bo Van Pelt,100,3.05,616,202
70,T71,T71,Robert Allenby,71,3.06,441,144
71,T71,T71,Bart Bryant,58,3.06,346,113
72,T71,T71,Ángel Cabrera,55,3.06,318,104
73,T71,T71,Jason Gore,74,3.06,428,140
74,T71,T71,Zach Johnson,94,3.06,637,208
75,T71,T71,Justin Leonard,95,3.06,602,197
76,T71,T71,Davis Love III,89,3.06,520,170
77,T71,T71,James Nitties,86,3.06,619,202
78,T71,T71,Darron Stiles,52,3.06,333,109
79,T71,T71,Dean Wilson,81,3.06,435,142
80,T81,T81,Matt Bettencourt,98,3.07,596,194
81,T81,T81,Daniel Chopra,89,3.07,516,168
82,T81,T81,Luke Donald,79,3.07,467,152
83,T81,T81,Ernie Els,70,3.07,420,137
84,T81,T81,Spencer Levin,75,3.07,414,135
85,T81,T81,Peter Lonard,86,3.07,451,147
86,T81,T81,Steve Marino,98,3.07,681,222
87,T81,T81,Billy Mayfair,83,3.07,470,153
88,T81,T81,John Merrick,91,3.07,595,194
89,T81,T81,Aron Price,89,3.07,452,147
90,T81,T81,Chris Stroud,88,3.07,565,184
