,Late_Lowest_Round_RANK THIS WEEK,Late_Lowest_Round_RANK LAST WEEK,Late_Lowest_Round_PLAYER NAME,Late_Lowest_Round_LOW RND
0,1,1,Zach Johnson,60
1,T2,T2,Troy Matteson,61
2,T2,T2,Pat Perez,61
3,T2,T2,Kenny Perry,61
4,T5,T5,Chad Campbell,62
5,T5,T5,Bill Haas,62
6,T5,T5,Martin Laird,62
7,T5,T5,Spencer Levin,62
8,T5,T5,Hunter Mahan,62
9,T5,T5,John Mallinger,62
10,T5,T5,Steve Marino,62
11,T5,T5,Scott McCarron,62
12,T5,T5,Phil Mickelson,62
13,T5,T5,Kevin Na,62
14,T5,T5,Brett Quigley,62
15,T5,T5,Steve Stricker,62
16,T5,T5,Scott Verplank,62
17,T5,T5,Bubba Watson,62
18,T5,T5,Tiger Woods,62
19,T20,T20,Stephen Ames,63
20,T20,T20,Briny Baird,63
21,T20,T20,Jason Dufner,63
22,T20,T20,Jim Furyk,63
23,T20,T20,Ernie Gonzalez,63
24,T20,T20,Paul Goydos,63
25,T20,T20,Tim Herron,63
26,T20,T20,Charles Howell III,63
27,T20,T20,Richard Johnson,63
28,T20,T20,Colt Knost,63
29,T20,T20,Justin Leonard,63
30,T20,T20,Frank Lickliter II,63
31,T20,T20,Jeff Maggert,63
32,T20,T20,Ryan Moore,63
33,T20,T20,Nick O'Hern,63
34,T20,T20,Tom Pernice Jr.,63
35,T20,T20,Rick Price,63
36,T20,T20,Scott Sterling,63
37,T20,T20,Chris Stroud,63
38,T20,T20,Bo Van Pelt,63
39,T20,T20,Camilo Villegas,63
40,T41,T41,Robert Allenby,64
41,T41,T41,Rich Beem,64
42,T41,T41,"David Berganio, Jr.",64
43,T41,T41,Greg Chalmers,64
44,T41,T41,Tim Clark,64
45,T41,T41,Fred Couples,64
46,T41,T41,Ben Curtis,64
47,T41,T41,Brian Davis,64
48,T41,T41,Glen Day,64
49,T41,T41,Ken Duke,64
50,T41,T41,Steve Elkington,64
51,T41,T41,Derek Fathauer,64
52,T41,T41,Rickie Fowler,64
53,T41,T41,Sergio Garcia,64
54,T41,T41,Robert Garrigus,64
55,T41,T41,Brian Gay,64
56,T41,T41,Lucas Glover,64
57,T41,T41,Retief Goosen,64
58,T41,T41,Scott Gutschewski,64
59,T41,T41,Padraig Harrington,64
60,T41,T41,Bob Heintz,64
61,T41,T41,J.J. Henry,64
62,T41,T41,J.B. Holmes,64
63,T41,T41,John Huston,64
64,T41,T41,Freddie Jacobson,64
65,T41,T41,Lee Janzen,64
66,T41,T41,Miguel Angel Jiménez,64
67,T41,T41,Matt Jones,64
68,T41,T41,Jerry Kelly,64
69,T41,T41,Jeff Klauk,64
70,T41,T41,Matt Kuchar,64
71,T41,T41,Jamie Lovemark,64
72,T41,T41,Bryce Molder,64
73,T41,T41,Sean O'Hair,64
74,T41,T41,Ted Purdy,64
75,T41,T41,Chris Riley,64
76,T41,T41,John Rollins,64
77,T41,T41,Rory Sabbatini,64
78,T41,T41,Adam Scott,64
79,T41,T41,John Senden,64
80,T41,T41,Webb Simpson,64
81,T41,T41,Vijay Singh,64
82,T41,T41,Jeev Milkha Singh,64
83,T41,T41,Heath Slocum,64
84,T41,T41,Darron Stiles,64
85,T41,T41,Kevin Streelman,64
86,T41,T41,Nicholas Thompson,64
87,T41,T41,D.J. Trahan,64
88,T41,T41,Jimmy Walker,64
89,T41,T41,Boo Weekley,64
90,T41,T41,Mike Weir,64
91,T41,T41,Charlie Wi,64
92,T41,T41,Casey Wittenberg,64
93,T94,T94,Thomas Aiken,65
94,T94,T94,Michael Allen,65
95,T94,T94,Ricky Barnes,65
96,T94,T94,Matt Bettencourt,65
97,T94,T94,Kris Blanks,65
98,T94,T94,Jason Bohn,65
99,T94,T94,Michael Bradley,65
100,T94,T94,Bart Bryant,65
101,T94,T94,Ángel Cabrera,65
102,T94,T94,Mark Calcavecchia,65
103,T94,T94,Daniel Chopra,65
104,T94,T94,Ben Crane,65
105,T94,T94,Jason Day,65
106,T94,T94,Joe Durant,65
107,T94,T94,Steve Flesch,65
108,T94,T94,Harrison Frazar,65
109,T94,T94,Mathew Goggin,65
110,T94,T94,Jason Gore,65
111,T94,T94,Nathan Green,65
112,T94,T94,Todd Hamilton,65
113,T94,T94,Charley Hoffman,65
114,T94,T94,Ryuji Imada,65
115,T94,T94,Dustin Johnson,65
116,T94,T94,Kenichi Kuboya,65
117,T94,T94,Tom Lehman,65
118,T94,T94,Marc Leishman,65
119,T94,T94,Steve Lowery,65
120,T94,T94,Bill Lunde,65
121,T94,T94,Jarrod Lyle,65
122,T94,T94,Prayad Marksaeng,65
123,T94,T94,Shigeki Maruyama,65
124,T94,T94,David Mathis,65
125,T94,T94,George McNeill,65
126,T94,T94,John Merrick,65
127,T94,T94,Shaun Micheel,65
128,T94,T94,James Nitties,65
129,T94,T94,Geoff Ogilvy,65
130,T94,T94,Jeff Overton,65
131,T94,T94,Greg Owen,65
132,T94,T94,Rod Pampling,65
133,T94,T94,Carl Pettersson,65
134,T94,T94,Scott Piercy,65
135,T94,T94,D.A. Points,65
136,T94,T94,Ian Poulter,65
137,T94,T94,Dicky Pride,65
138,T94,T94,Tag Ridings,65
139,T94,T94,Andres Romero,65
140,T94,T94,Justin Rose,65
141,T94,T94,Brandt Snedeker,65
142,T94,T94,Kevin Sutherland,65
143,T94,T94,Vaughn Taylor,65
144,T94,T94,Nick Taylor,65
145,T94,T94,Justin Thomas,65
146,T94,T94,Peter Tomasulo,65
147,T94,T94,David Toms,65
