,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Kevin Stadler,65,8.87,18,203
1,2,2,Tiger Woods,64,10.47,27,258
2,3,3,Tommy Armour III,58,10.82,21,194
3,4,4,Mark Brooks,55,11.76,20,170
4,5,5,Brian Gay,96,11.8,38,322
5,6,6,Greg Chalmers,85,11.9,37,311
6,7,7,Tim Clark,81,11.95,35,293
7,8,8,Jim Furyk,86,12.04,36,299
8,9,9,Brandt Snedeker,81,12.09,33,273
9,10,10,Matt Jones,56,12.56,25,199
10,11,11,Mike Weir,85,12.59,36,286
11,12,12,Tim Petrovic,97,12.73,42,330
12,13,13,Rod Pampling,72,12.76,31,243
13,14,14,Phil Mickelson,66,12.82,30,234
14,15,15,Steve Stricker,81,12.83,39,304
15,16,16,Charley Hoffman,97,12.98,47,362
16,17,17,Luke Donald,79,13.08,34,260
17,18,18,Jason Day,61,13.1,30,229
18,19,19,David Toms,98,13.31,47,353
19,20,20,Zach Johnson,94,13.39,45,336
20,21,21,Briny Baird,89,13.44,41,305
21,22,22,Padraig Harrington,66,13.49,29,215
22,23,23,Tom Lehman,55,13.51,20,148
23,24,24,Woody Austin,84,13.54,39,288
24,25,25,Charles Howell III,99,13.55,45,332
25,26,26,Chad Campbell,90,13.78,43,312
26,27,27,Chris Riley,77,13.82,38,275
27,28,28,Troy Matteson,95,13.83,43,311
28,T29,T29,K.J. Choi,65,13.85,27,195
29,T29,T29,Webb Simpson,94,13.85,45,325
30,31,31,Geoff Ogilvy,78,13.86,37,267
31,T32,T32,Spencer Levin,75,13.97,32,229
32,T32,T32,Johnson Wagner,81,13.97,38,272
33,34,34,Chez Reavie,81,14.0,35,250
34,35,35,Ryan Moore,89,14.02,46,328
35,36,36,Kevin Na,91,14.06,45,320
36,37,37,Patrick Sheehan,51,14.11,23,163
37,T38,T38,J.J. Henry,97,14.19,44,310
38,T38,T38,Matt Kuchar,82,14.19,42,296
39,40,40,Jason Dufner,90,14.24,45,316
40,41,41,Ian Poulter,59,14.29,26,182
41,42,42,Scott McCarron,91,14.33,44,307
42,43,43,Bob Heintz,59,14.43,29,201
43,T44,T44,Robert Allenby,71,14.49,31,214
44,T44,T44,Casey Wittenberg,71,14.49,31,214
45,46,46,Freddie Jacobson,83,14.54,41,282
46,47,47,Bubba Watson,73,14.61,39,267
47,48,48,Bryce Molder,69,14.66,34,232
48,49,49,Jeff Quinney,78,14.76,40,271
49,50,50,Nick O'Hern,90,14.77,44,298
50,51,51,Jerry Kelly,90,14.78,47,318
51,52,52,Chris Stroud,88,14.83,47,317
52,53,53,Bo Van Pelt,100,14.84,57,384
53,54,54,Brian Vranesh,51,15.0,24,160
54,55,55,Ben Curtis,63,15.03,29,193
55,56,56,Bob Estes,78,15.06,39,259
56,57,57,Tom Pernice Jr.,82,15.15,40,264
57,58,58,Charles Warren,63,15.21,33,217
58,59,59,Tim Herron,87,15.23,46,302
59,T60,T60,Colt Knost,71,15.25,36,236
60,T60,T60,Aron Price,89,15.25,43,282
61,62,62,Jeff Klauk,97,15.29,48,314
62,63,63,Boo Weekley,79,15.33,40,261
63,64,64,Michael Allen,73,15.35,39,254
64,65,65,Mark Wilson,99,15.38,52,338
65,T66,T66,Jonathan Byrd,89,15.47,54,349
66,T66,T66,Lucas Glover,93,15.47,54,349
67,68,68,Jarrod Lyle,65,15.51,29,187
68,69,69,Richard Johnson,85,15.52,43,277
