,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Tiger Woods,64,3.1889999999999996,153.06,110.95,42.108999999999995,48
1,2,2,Steve Stricker,81,1.828,113.323,100.479,12.843,62
2,3,3,Jim Furyk,86,1.69,109.87,63.391999999999996,46.476000000000006,65
3,4,4,Zach Johnson,94,1.545,122.045,92.037,30.009,79
4,5,5,Tim Clark,81,1.261,74.387,58.098,16.287,59
5,6,6,Hunter Mahan,94,1.255,94.113,63.341,30.772,75
6,7,7,Padraig Harrington,66,1.21,58.075,35.192,22.883000000000003,48
7,T8,T8,Kenny Perry,92,1.206,88.009,68.442,19.566,73
8,T8,T8,Ian Poulter,59,1.206,50.648,46.692,3.9560000000000004,42
9,10,10,Sean O'Hair,80,1.17,67.833,75.223,-7.388,58
10,11,11,Matt Kuchar,82,1.158,82.24799999999999,32.708,49.542,71
11,12,12,David Toms,98,1.15,92.03,84.587,7.445,80
12,13,13,Nick Watney,86,1.113,75.667,59.541000000000004,16.125,68
13,14,14,Luke Donald,79,1.069,65.225,8.238,56.986000000000004,61
14,T15,T15,Geoff Ogilvy,78,1.06,61.504,32.934,28.57,58
15,T15,T15,John Senden,100,1.06,97.493,93.95700000000001,3.5380000000000003,92
16,17,17,Steve Marino,98,1.02,85.65700000000001,76.457,9.202,84
17,18,18,Retief Goosen,74,1.011,56.619,30.316999999999997,26.301,56
18,19,19,Robert Allenby,71,0.987,55.293,90.648,-35.353,56
19,20,20,Justin Leonard,95,0.951,71.35300000000001,64.859,6.492999999999999,75
20,21,21,Kevin Na,91,0.938,73.19800000000001,36.023,37.176,78
21,22,22,Ernie Els,70,0.9209999999999999,49.738,70.98899999999999,-21.250999999999998,54
22,23,23,Scott Verplank,88,0.887,70.105,67.633,2.472,79
23,24,24,Jason Day,61,0.871,43.532,18.519000000000002,25.009,50
24,25,25,Dustin Johnson,85,0.853,54.56,52.582,1.9769999999999999,64
25,26,26,Camilo Villegas,76,0.825,46.225,57.583999999999996,-11.357999999999999,56
26,27,27,Brandt Snedeker,81,0.823,53.504,4.07,49.434,65
27,28,28,Phil Mickelson,66,0.816,39.184,46.207,-7.022,48
28,T29,T29,Jerry Kelly,90,0.78,60.047,34.874,25.173000000000002,77
29,T29,T29,Mike Weir,85,0.78,52.233000000000004,20.813000000000002,31.421,67
30,31,31,Ben Crane,93,0.775,61.968999999999994,27.503,34.466,80
31,32,32,Lucas Glover,93,0.768,60.701,48.913999999999994,11.789000000000001,79
32,33,33,Sergio Garcia,59,0.763,33.566,36.427,-2.86,44
33,34,34,Stephen Ames,77,0.754,42.96,18.125,24.834,57
34,35,35,Rory Sabbatini,81,0.713,47.79,69.35,-21.56,67
35,36,36,George McNeill,82,0.7020000000000001,53.316,22.33,30.987,76
36,37,37,Bo Van Pelt,100,0.701,57.473,34.941,22.533,82
37,38,38,Kevin Sutherland,96,0.6920000000000001,50.49,30.791,19.697,73
38,39,39,Rod Pampling,72,0.684,43.778999999999996,35.631,8.149,64
39,40,40,Tim Petrovic,97,0.649,55.825,29.54,26.287,86
40,41,41,Jonathan Byrd,89,0.633,49.988,84.257,-34.268,79
41,42,42,Brian Gay,96,0.632,51.795,-7.755,59.549,82
42,43,43,Jason Dufner,90,0.624,48.699,50.865,-2.162,78
43,44,44,Charley Hoffman,97,0.609,52.957,44.623000000000005,8.333,87
44,45,45,Chad Campbell,90,0.602,42.751999999999995,40.591,2.16,71
45,46,46,Charles Howell III,99,0.601,49.863,52.363,-2.497,83
46,T47,T47,Woody Austin,84,0.552,41.971000000000004,40.518,1.453,76
47,T47,T47,Mark Wilson,99,0.552,48.604,14.673,33.931999999999995,88
48,49,49,Paul Goydos,79,0.55,35.73,26.924,8.802999999999999,65
49,50,50,Bubba Watson,73,0.5479999999999999,31.256,26.706,4.55,57
50,51,51,Ángel Cabrera,55,0.544,20.674,14.133,6.542000000000001,38
