,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Matt Jones,56,42.77,71,166
1,2,2,Charles Warren,63,41.43,87,210
2,T3,T3,Scott Piercy,85,39.74,122,307
3,T3,T3,Tiger Woods,64,39.74,91,229
4,5,5,Jonathan Byrd,89,39.47,135,342
5,6,6,Martin Laird,72,39.44,99,251
6,7,7,Nick Watney,86,38.64,119,308
7,8,8,Tag Ridings,50,38.61,61,158
8,9,9,Brian Vranesh,51,38.16,58,152
9,10,10,Sean O'Hair,80,37.5,99,264
10,11,11,Phil Mickelson,66,37.44,82,219
11,12,12,Peter Tomasulo,61,37.36,65,174
12,13,13,Rod Pampling,72,37.35,93,249
13,14,14,Stephen Ames,77,37.05,83,224
14,15,15,Scott McCarron,91,36.36,120,330
15,16,16,Camilo Villegas,76,36.32,85,234
16,17,17,Kris Blanks,60,36.18,55,152
17,18,18,Anthony Kim,76,36.13,99,274
18,19,19,D.J. Trahan,96,36.06,119,330
19,20,20,Harrison Frazar,93,36.01,112,311
20,21,21,George McNeill,82,35.88,108,301
21,T22,T22,Dustin Johnson,85,35.71,90,252
22,T22,T22,Davis Love III,89,35.71,110,308
23,24,24,Patrick Sheehan,51,35.48,44,124
24,25,25,Geoff Ogilvy,78,35.34,82,232
25,26,26,Ted Purdy,101,35.14,123,350
26,27,27,Bill Haas,91,35.13,111,316
27,28,28,Michael Letzig,96,35.0,112,320
28,29,29,Daniel Chopra,89,34.58,111,321
29,T30,T30,Ryan Moore,89,34.55,114,330
30,T30,T30,Bo Van Pelt,100,34.55,114,330
31,32,32,Matt Bettencourt,98,34.53,115,333
32,33,33,Jason Day,61,34.36,67,195
33,34,34,Jimmy Walker,74,34.3,83,242
34,35,35,Charley Hoffman,97,34.2,119,348
35,36,36,Rory Sabbatini,81,34.15,98,287
36,37,37,Justin Rose,71,33.9,80,236
37,38,38,Matt Weibring,65,33.89,61,180
38,39,39,Matt Kuchar,82,33.82,92,272
39,40,40,Y.E. Yang,83,33.79,98,290
40,41,41,Tim Petrovic,97,33.63,114,339
41,42,42,Leif Olson,51,33.56,50,149
42,43,43,Vijay Singh,71,33.49,71,212
43,44,44,Greg Chalmers,85,33.46,89,266
44,T45,T45,Ángel Cabrera,55,33.33,55,165
45,T45,T45,Kenny Perry,92,33.33,102,306
46,47,47,Mathew Goggin,76,33.21,87,262
47,48,48,Lucas Glover,93,33.12,104,314
48,49,49,Will MacKenzie,69,33.06,81,245
49,50,50,Ryan Palmer,78,32.99,97,294
50,51,51,Andres Romero,58,32.97,61,185
51,52,52,Hunter Mahan,94,32.94,111,337
52,53,53,Greg Owen,97,32.91,104,316
53,54,54,Chris Stroud,88,32.88,97,295
54,55,55,Zach Johnson,94,32.62,106,325
55,56,56,John Senden,100,32.46,124,382
56,57,57,Robert Garrigus,83,32.39,92,284
57,58,58,Troy Matteson,95,32.24,98,304
58,59,59,Nicholas Thompson,96,32.12,115,358
59,60,60,Kevin Sutherland,96,32.09,95,296
60,61,61,Kevin Na,91,32.01,105,328
61,62,62,Gary Woodland,53,31.97,47,147
62,63,63,Adam Scott,53,31.84,57,179
63,64,64,Brendon de Jonge,90,31.73,99,312
64,65,65,John Rollins,92,31.64,106,335
65,66,66,Mark Wilson,99,31.63,99,313
66,T67,T67,Brad Adamonis,70,31.58,66,209
67,T67,T67,Aaron Baddeley,66,31.58,72,228
68,69,69,Kevin Stadler,65,31.46,56,178
69,70,70,David Duval,56,31.33,52,166
70,71,71,Charles Howell III,99,31.29,102,326
71,72,72,Freddie Jacobson,83,31.07,87,280
72,73,73,Steve Marino,98,30.91,102,330
73,74,74,Steve Stricker,81,30.86,79,256
74,75,75,J.B. Holmes,74,30.74,83,270
75,76,76,Michael Allen,73,30.73,63,205
76,77,77,Brian Davis,103,30.71,113,368
77,78,78,Tim Clark,81,30.7,66,215
78,79,79,Jason Dufner,90,30.69,93,303
79,80,80,Briny Baird,89,30.51,83,272
80,81,81,James Nitties,86,30.34,88,290
81,82,82,Retief Goosen,74,30.28,66,218
82,83,83,Jim Furyk,86,30.27,79,261
83,84,84,Rocco Mediate,79,30.24,75,248
84,85,85,Brett Quigley,92,30.21,87,288
85,86,86,Mark Calcavecchia,72,30.13,72,239
86,87,87,John Merrick,91,30.08,71,236
87,88,88,Tim Herron,87,30.07,83,276
88,89,89,Tommy Armour III,58,30.06,52,173
89,T90,T90,Fred Couples,54,30.0,45,150
90,T90,T90,Bob Heintz,59,30.0,48,160
91,T90,T90,Marc Leishman,91,30.0,96,320
92,T90,T90,Jay Williamson,69,30.0,57,190
93,94,94,Kevin Streelman,97,29.91,99,331
94,95,95,Joe Ogilvie,85,29.89,84,281
95,96,96,Steve Lowery,83,29.84,91,305
96,97,97,Ernie Els,70,29.49,69,234
97,98,98,Alex Cejka,82,29.37,79,269
98,99,99,Johnson Wagner,81,29.32,90,307
99,100,100,Todd Hamilton,83,29.26,67,229
100,101,101,Chris Riley,77,29.2,73,250
101,102,102,Jerry Kelly,90,29.15,93,319
102,103,103,Pat Perez,74,29.02,74,255
103,104,104,Kent Jones,73,28.93,57,197
104,T105,T105,Chad Campbell,90,28.83,81,281
105,T105,T105,Jason Gore,74,28.83,64,222
106,107,107,Boo Weekley,79,28.82,83,288
107,108,108,Charlie Wi,92,28.77,82,285
108,109,109,Padraig Harrington,66,28.76,65,226
