,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Justin Rose,18,"$451,704","$8,130,677"
1,2,2,Dustin Johnson,20,"$422,867","$8,457,351"
2,3,3,Brooks Koepka,17,"$417,296","$7,094,047"
3,4,4,Justin Thomas,23,"$378,035","$8,694,821"
4,5,5,Bryson DeChambeau,26,"$311,326","$8,094,489"
5,6,6,Tiger Woods,18,"$302,435","$5,443,840"
6,7,7,Jason Day,20,"$254,373","$5,087,461"
7,8,8,Francesco Molinari,20,"$253,292","$5,065,841"
8,9,9,Rory McIlroy,18,"$245,016","$4,410,296"
9,10,10,Bubba Watson,24,"$241,406","$5,793,747"
10,11,11,Rickie Fowler,20,"$211,761","$4,235,236"
11,12,12,Tommy Fleetwood,19,"$207,113","$3,935,147"
12,13,13,Webb Simpson,26,"$206,785","$5,376,416"
13,14,14,Tony Finau,28,"$200,719","$5,620,138"
14,15,15,Jon Rahm,20,"$199,633","$3,992,677"
15,16,16,Patrick Reed,26,"$192,548","$5,006,266"
16,17,17,Phil Mickelson,24,"$191,466","$4,595,186"
17,18,18,Paul Casey,20,"$182,088","$3,641,770"
18,19,19,Eddie Pepperell,2,"$174,158","$348,316"
19,20,20,Patrick Cantlay,23,"$172,346","$3,963,962"
20,21,21,Henrik Stenson,16,"$167,530","$2,680,486"
21,22,22,Billy Horschel,27,"$159,822","$4,315,199"
22,23,23,Cameron Smith,24,"$150,941","$3,622,606"
23,24,24,Marc Leishman,25,"$150,848","$3,771,220"
24,25,25,Keegan Bradley,27,"$150,720","$4,069,463"
25,26,26,Kyle Stanley,26,"$150,615","$3,916,001"
26,27,27,Alex Noren,18,"$149,952","$2,699,149"
27,28,28,Xander Schauffele,27,"$149,908","$4,047,538"
28,29,29,Sam Horsfield,1,"$137,950","$137,950"
29,30,30,Kevin Na,26,"$137,627","$3,578,316"
30,31,31,Ian Poulter,20,"$135,722","$2,714,449"
31,32,32,Pat Perez,23,"$128,810","$2,962,641"
32,33,33,Hideki Matsuyama,21,"$127,975","$2,687,477"
33,34,34,Rafa Cabrera Bello,20,"$122,493","$2,449,868"
34,35,35,Patton Kizzire,29,"$122,108","$3,541,150"
35,36,36,Tyrrell Hatton,16,"$121,459","$1,943,359"
36,37,37,Jordan Spieth,23,"$121,458","$2,793,536"
37,38,38,Aaron Wise,29,"$120,220","$3,486,406"
38,39,39,Kevin Kisner,25,"$118,891","$2,972,284"
39,40,40,Gary Woodland,27,"$115,144","$3,108,906"
40,41,41,Erik van Rooyen,1,"$109,714","$109,714"
41,42,42,Brian Harman,25,"$109,338","$2,733,462"
42,43,43,Byeong Hun An,24,"$108,302","$2,599,264"
43,44,44,Adam Scott,21,"$106,554","$2,237,641"
44,45,45,Brendan Steele,22,"$104,142","$2,291,127"
45,46,46,Louis Oosthuizen,17,"$101,852","$1,731,492"
46,47,47,Emiliano Grillo,25,"$99,726","$2,493,163"
47,48,48,Brandt Snedeker,25,"$97,958","$2,448,969"
48,49,49,Andrew Landry,27,"$97,858","$2,642,178"
49,50,50,Chez Reavie,28,"$96,429","$2,700,018"
50,51,51,Chase Seiffert,2,"$94,500","$189,000"
51,52,52,Luke List,29,"$93,473","$2,710,736"
52,53,53,Joaquin Niemann,13,"$93,073","$1,209,957"
53,54,54,Chesson Hadley,30,"$92,295","$2,768,863"
54,55,55,Ryan Moore,22,"$90,300","$1,986,607"
55,56,56,Jimmy Walker,23,"$88,144","$2,027,312"
56,57,57,Beau Hossler,28,"$87,489","$2,449,707"
57,58,58,Charl Schwartzel,20,"$85,508","$1,710,178"
58,59,59,Andrew Putnam,28,"$85,263","$2,387,382"
59,60,60,Branden Grace,18,"$84,960","$1,529,288"
60,61,61,Austin Cook,29,"$84,445","$2,448,920"
61,62,62,Graham DeLaet,3,"$83,876","$251,630"
62,63,63,Satoshi Kodaira,18,"$81,747","$1,471,462"
63,64,64,John Oda,7,"$79,955","$559,685"
64,65,65,Matthieu Pavon,1,"$79,200","$79,200"
65,66,66,Zach Johnson,25,"$78,305","$1,957,634"
66,67,67,Charles Howell III,28,"$77,847","$2,179,724"
67,68,68,Ryan Armour,32,"$77,662","$2,485,202"
68,69,69,Adam Hadwin,25,"$77,299","$1,932,487"
69,70,70,Stewart Cink,25,"$75,488","$1,887,208"
70,71,71,Alex Kang,2,"$75,366","$150,733"
71,72,72,Daniel Berger,23,"$74,859","$1,721,763"
72,73,73,Thomas Pieters,11,"$73,929","$813,227"
73,74,74,Si Woo Kim,31,"$73,423","$2,276,113"
74,75,75,J.J. Spaun,27,"$73,292","$1,978,905"
75,76,76,Scott Piercy,26,"$72,397","$1,882,336"
76,77,77,Brian Gay,30,"$71,750","$2,152,500"
77,78,78,Matt Kuchar,24,"$71,670","$1,720,097"
78,79,79,"Ted Potter, Jr.",28,"$70,578","$1,976,197"
79,80,80,Kevin Chappell,23,"$69,927","$1,608,338"
80,81,81,Peter Uihlein,26,"$69,142","$1,797,715"
81,82,82,Jason Dufner,22,"$68,075","$1,497,654"
82,83,83,Ryan Palmer,22,"$67,474","$1,484,444"
83,84,84,J.B. Holmes,24,"$66,497","$1,595,941"
84,85,85,Russell Henley,23,"$65,932","$1,516,437"
85,86,86,Bernhard Langer,2,"$65,100","$130,200"
86,87,87,Whee Kim,30,"$64,011","$1,920,339"
87,T88,T88,K.T. Kim,1,"$62,900","$62,900"
88,T88,T88,Chris Kirk,29,"$62,900","$1,824,111"
89,90,90,C.T. Pan,30,"$62,726","$1,881,787"
90,91,91,Jason Kokrak,29,"$61,876","$1,794,430"
91,92,92,Anirban Lahiri,24,"$60,050","$1,441,204"
92,93,93,Scott Strohmeyer,3,"$59,244","$177,733"
93,94,94,Sergio Garcia,15,"$58,556","$878,353"
94,95,95,Keith Mitchell,29,"$56,595","$1,641,260"
95,96,96,Kevin Streelman,27,"$56,431","$1,523,642"
96,97,97,Charley Hoffman,25,"$56,025","$1,400,637"
97,98,98,Abraham Ancer,30,"$55,889","$1,676,694"
98,99,99,Ryan Yip,1,"$55,888","$55,888"
99,100,100,Chris Paisley,4,"$54,225","$216,900"
100,101,101,Nick Watney,26,"$53,955","$1,402,832"
101,102,102,James Hahn,26,"$53,319","$1,386,301"
102,103,103,Bud Cauley,17,"$52,975","$900,590"
103,104,104,Jamie Lovemark,26,"$52,972","$1,377,286"
104,105,105,Joel Dahmen,28,"$52,744","$1,476,838"
105,106,106,Russell Knox,27,"$52,741","$1,424,030"
106,107,107,Michael Kim,27,"$51,101","$1,379,736"
107,108,108,Oscar Fraustro,1,"$50,804","$50,804"
108,109,109,Sean O'Hair,22,"$50,221","$1,104,864"
109,110,110,Alex Cejka,24,"$49,939","$1,198,540"
110,111,111,Trey Mullinax,24,"$49,343","$1,184,244"
111,112,112,Bronson Burgoon,24,"$49,150","$1,179,616"
112,113,113,Troy Merritt,27,"$49,147","$1,326,988"
113,114,114,Brice Garnett,30,"$48,874","$1,466,224"
114,115,115,Steve Stricker,12,"$48,547","$582,566"
115,116,116,Julian Suri,10,"$48,473","$484,737"
116,117,117,Ollie Schniederjans,27,"$48,281","$1,303,609"
117,118,118,Kelly Kraft,31,"$48,266","$1,496,252"
118,119,119,Grayson Murray,22,"$48,028","$1,056,628"
119,120,120,Martin Laird,22,"$46,253","$1,017,579"
120,121,121,Fred Couples,1,"$46,200","$46,200"
121,122,122,Harold Varner III,27,"$45,298","$1,223,063"
122,123,123,Sam Burns,11,"$45,083","$495,916"
123,T124,T124,Jinho Choi,1,"$44,515","$44,515"
124,T124,T124,Seung-Yul Noh,1,"$44,515","$44,515"
125,126,126,Kevin Tway,31,"$44,501","$1,379,544"
126,127,127,Seungsu Han,3,"$44,201","$132,603"
127,128,128,Jim Furyk,15,"$44,000","$660,009"
128,129,129,Lucas Glover,18,"$43,854","$789,381"
129,130,130,Tom Hoge,31,"$43,823","$1,358,542"
130,131,131,Patrick Rodgers,30,"$42,901","$1,287,040"
131,132,132,Sung Kang,29,"$42,872","$1,243,309"
132,133,133,J.T. Poston,22,"$42,757","$940,660"
133,134,134,Brandon Stone,5,"$42,612","$213,064"
134,135,135,Danny Lee,30,"$42,312","$1,269,386"
135,136,136,Jhonattan Vegas,27,"$42,127","$1,137,444"
136,137,137,Rory Sabbatini,27,"$41,705","$1,126,057"
137,138,138,Masahiro Kawamura,1,"$41,375","$41,375"
138,139,139,A.J. McInerney,4,"$41,230","$164,923"
139,140,140,Sam Ryder,26,"$40,237","$1,046,166"
140,141,141,Ryan Fox,4,"$40,100","$160,403"
141,142,142,Tyler McCumber,1,"$39,000","$39,000"
142,143,143,Vaughn Taylor,25,"$38,627","$965,691"
143,144,144,Brandon Harkins,30,"$38,270","$1,148,114"
144,145,145,Scott Stallings,30,"$38,252","$1,147,573"
145,146,146,Sam Saunders,26,"$37,766","$981,936"
146,147,147,George Cunningham,1,"$37,742","$37,742"
147,148,148,Daisuke Kataoka,2,"$37,731","$75,462"
148,149,149,Matt Wallace,3,"$37,708","$113,125"
149,150,150,Paul Dunne,8,"$37,242","$297,937"
150,151,151,Shane Lowry,19,"$36,678","$696,897"
151,152,152,Jerry Kelly,3,"$36,166","$108,500"
152,153,153,William McGirt,26,"$35,897","$933,326"
153,154,154,Thorbjørn Olesen,5,"$35,413","$177,066"
154,155,155,Ryan Blaum,28,"$35,031","$980,876"
155,156,156,Kiradech Aphibarnrat,14,"$34,623","$484,733"
156,157,157,Matthew Fitzpatrick,13,"$34,478","$448,215"
157,158,158,Andres Romero,6,"$34,460","$206,764"
158,159,159,Dylan Meyer,8,"$34,388","$275,108"
159,160,160,Brian Stuard,32,"$34,055","$1,089,762"
160,161,161,Richy Werenski,32,"$33,790","$1,081,283"
161,162,162,Scott Brown,32,"$33,646","$1,076,677"
162,163,163,John Huh,29,"$33,604","$974,537"
163,164,164,Ben Kern,1,"$33,281","$33,281"
164,165,165,Ross Fisher,13,"$31,765","$412,953"
165,166,166,Johnson Wagner,21,"$31,253","$656,322"
166,167,167,Sean Crocker,1,"$31,000","$31,000"
167,168,168,Jung-gon Hwang,1,"$30,525","$30,525"
168,169,169,Tyler Duncan,31,"$30,452","$944,020"
169,170,170,Martin Piller,28,"$30,260","$847,304"
170,171,171,Dylan Frittelli,11,"$30,106","$331,176"
171,172,172,Nick Taylor,30,"$29,979","$899,373"
172,173,173,Michael Thompson,19,"$29,682","$563,971"
173,174,174,David Hearn,21,"$29,637","$622,382"
174,175,175,Ben Crane,21,"$29,554","$620,646"
175,176,176,Graeme McDowell,20,"$29,051","$581,023"
176,177,177,Chad Campbell,28,"$28,641","$801,959"
177,178,178,Ben Silverman,28,"$28,326","$793,140"
178,179,179,Seamus Power,28,"$28,250","$791,017"
179,180,180,Retief Goosen,20,"$27,268","$545,363"
180,181,181,David Lipsky,3,"$27,066","$81,200"
181,182,182,HaoTong Li,12,"$26,969","$323,630"
182,183,183,Aaron Baddeley,27,"$26,886","$725,927"
183,184,184,Ben Martin,20,"$26,646","$532,936"
184,185,185,Roger Sloan,1,"$26,040","$26,040"
185,186,186,Corey Conners,28,"$26,010","$728,295"
186,187,187,Robert Garrigus,27,"$26,001","$702,030"
187,188,188,Hudson Swafford,22,"$25,881","$569,390"
188,189,189,Harris English,31,"$25,788","$799,449"
189,190,190,Brandon Hagy,3,"$25,605","$76,817"
190,191,191,Bill Haas,25,"$25,536","$638,414"
191,192,192,Chris Naegel,1,"$25,425","$25,425"
192,T193,T193,Marcus Kinhult,1,"$25,317","$25,317"
193,T193,T193,Shaun Norris,1,"$25,317","$25,317"
194,195,195,Derek Fathauer,28,"$25,311","$708,712"
195,196,196,John Peterson,10,"$25,192","$251,924"
196,197,197,Tom Lovelady,28,"$25,027","$700,783"
197,198,198,Calum Hill,1,"$24,692","$24,692"
198,199,199,Chris Wood,3,"$24,651","$73,953"
199,200,200,Tyrone Van Aswegen,31,"$24,631","$763,584"
200,201,201,Jim Knous,1,"$24,480","$24,480"
201,T202,T202,Rhys Enoch,1,"$24,250","$24,250"
202,T202,T202,Zander Lombard,1,"$24,250","$24,250"
203,204,204,Talor Gooch,27,"$24,229","$654,200"
204,205,205,Cameron Percy,16,"$24,225","$387,611"
205,206,206,Cameron Wilson,1,"$23,959","$23,959"
206,207,207,Kyoung-Hoon Lee,1,"$23,759","$23,759"
207,208,208,David Lingmerth,26,"$23,721","$616,757"
208,209,209,Matt Jones,23,"$23,420","$538,680"
