,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Justin Thomas,23,"$8,694,821",3.0
1,2,2,Dustin Johnson,20,"$8,457,352",3.0
2,3,3,Justin Rose,18,"$8,130,678",2.0
3,4,4,Bryson DeChambeau,26,"$8,094,489",3.0
4,5,5,Brooks Koepka,17,"$7,094,047",2.0
5,6,6,Bubba Watson,24,"$5,793,748",3.0
6,7,7,Tony Finau,28,"$5,620,138",
7,8,8,Tiger Woods,18,"$5,443,841",1.0
8,9,9,Webb Simpson,26,"$5,376,417",1.0
9,10,10,Jason Day,20,"$5,087,461",2.0
10,11,11,Francesco Molinari,20,"$5,065,842",2.0
11,12,12,Patrick Reed,26,"$5,006,267",1.0
12,13,13,Phil Mickelson,24,"$4,595,187",1.0
13,14,14,Rory McIlroy,18,"$4,410,296",1.0
14,15,15,Billy Horschel,27,"$4,315,200",1.0
15,16,16,Rickie Fowler,20,"$4,235,237",
16,17,17,Keegan Bradley,27,"$4,069,464",1.0
17,18,18,Xander Schauffele,27,"$4,047,538",
18,19,19,Jon Rahm,20,"$3,992,678",1.0
19,20,20,Patrick Cantlay,23,"$3,963,962",1.0
20,21,21,Tommy Fleetwood,19,"$3,935,147",
21,22,22,Kyle Stanley,26,"$3,916,001",
22,23,23,Marc Leishman,25,"$3,771,221",
23,24,24,Paul Casey,20,"$3,641,771",1.0
24,25,25,Cameron Smith,24,"$3,622,607",
25,26,26,Kevin Na,26,"$3,578,316",1.0
26,27,27,Patton Kizzire,29,"$3,541,151",2.0
27,28,28,Aaron Wise,29,"$3,486,407",1.0
28,29,29,Gary Woodland,27,"$3,108,907",1.0
29,30,30,Kevin Kisner,25,"$2,972,285",
30,31,31,Pat Perez,23,"$2,962,641",1.0
31,32,32,Jordan Spieth,23,"$2,793,536",
32,33,33,Chesson Hadley,30,"$2,768,863",
33,34,34,Brian Harman,25,"$2,733,463",
34,35,35,Ian Poulter,20,"$2,714,450",1.0
35,36,36,Luke List,29,"$2,710,736",
36,37,37,Chez Reavie,28,"$2,700,018",
37,38,38,Alex Noren,18,"$2,699,150",
38,39,39,Hideki Matsuyama,21,"$2,687,477",
39,40,40,Henrik Stenson,16,"$2,680,487",
40,41,41,Andrew Landry,27,"$2,642,179",1.0
41,42,42,Byeong Hun An,24,"$2,599,264",
42,43,43,Emiliano Grillo,25,"$2,493,163",
43,44,44,Ryan Armour,32,"$2,485,203",1.0
44,45,45,Rafa Cabrera Bello,20,"$2,449,869",
45,46,46,Beau Hossler,28,"$2,449,707",
46,47,47,Brandt Snedeker,25,"$2,448,970",1.0
47,48,48,Austin Cook,29,"$2,448,920",1.0
48,49,49,Andrew Putnam,28,"$2,387,382",1.0
49,50,50,Brendan Steele,22,"$2,291,128",1.0
50,51,51,Si Woo Kim,31,"$2,276,114",
51,52,52,Adam Scott,21,"$2,237,641",
52,53,53,Charles Howell III,28,"$2,179,725",
53,54,54,Brian Gay,30,"$2,152,501",
54,55,55,Jimmy Walker,23,"$2,027,312",
55,56,56,Ryan Moore,22,"$1,986,608",
56,57,57,J.J. Spaun,27,"$1,978,906",
57,58,58,"Ted Potter, Jr.",28,"$1,976,198",1.0
58,59,59,Zach Johnson,25,"$1,957,635",
59,60,60,Tyrrell Hatton,16,"$1,943,360",
60,61,61,Adam Hadwin,25,"$1,932,488",
61,62,62,Whee Kim,30,"$1,920,340",
62,63,63,Stewart Cink,25,"$1,887,208",
63,64,64,Scott Piercy,26,"$1,882,337",1.0
64,65,65,C.T. Pan,30,"$1,881,787",
65,66,66,Chris Kirk,29,"$1,824,111",
66,67,67,Peter Uihlein,26,"$1,797,715",
67,68,68,Jason Kokrak,29,"$1,794,431",
68,69,69,Louis Oosthuizen,17,"$1,731,493",
69,70,70,Daniel Berger,23,"$1,721,763",
70,71,71,Matt Kuchar,24,"$1,720,097",
71,72,72,Charl Schwartzel,20,"$1,710,179",
72,73,73,Abraham Ancer,30,"$1,676,695",
73,74,74,Keith Mitchell,29,"$1,641,260",
74,75,75,Kevin Chappell,23,"$1,608,338",
75,76,76,J.B. Holmes,24,"$1,595,942",
76,77,77,Branden Grace,18,"$1,529,289",
77,78,78,Kevin Streelman,27,"$1,523,642",
78,79,79,Russell Henley,23,"$1,516,438",
79,80,80,Jason Dufner,22,"$1,497,655",
80,81,81,Kelly Kraft,31,"$1,496,253",
81,82,82,Ryan Palmer,22,"$1,484,445",
82,83,83,Joel Dahmen,28,"$1,476,838",
83,84,84,Satoshi Kodaira,18,"$1,471,462",1.0
84,85,85,Brice Garnett,30,"$1,466,224",1.0
85,86,86,Anirban Lahiri,24,"$1,441,205",
86,87,87,Russell Knox,27,"$1,424,030",
87,88,88,Nick Watney,26,"$1,402,833",
88,89,89,Charley Hoffman,25,"$1,400,637",
89,90,90,James Hahn,26,"$1,386,301",
90,91,91,Michael Kim,27,"$1,379,736",1.0
91,92,92,Kevin Tway,31,"$1,379,544",
92,93,93,Jamie Lovemark,26,"$1,377,286",
93,94,94,Tom Hoge,31,"$1,358,542",
94,95,95,Troy Merritt,27,"$1,326,989",1.0
95,96,96,Ollie Schniederjans,27,"$1,303,610",
96,97,97,Patrick Rodgers,30,"$1,287,040",
97,98,98,Danny Lee,30,"$1,269,386",
98,99,99,Sung Kang,29,"$1,243,309",
99,100,100,Harold Varner III,27,"$1,223,064",
100,101,101,Alex Cejka,24,"$1,198,541",
101,102,102,Trey Mullinax,24,"$1,184,245",
102,103,103,Bronson Burgoon,24,"$1,179,616",
103,104,104,Brandon Harkins,30,"$1,148,115",
104,105,105,Scott Stallings,30,"$1,147,573",
105,106,106,Jhonattan Vegas,27,"$1,137,444",
106,107,107,Rory Sabbatini,27,"$1,126,057",
107,108,108,Sean O'Hair,22,"$1,104,865",
108,109,109,Brian Stuard,32,"$1,089,763",
109,110,110,Richy Werenski,32,"$1,081,283",
110,111,111,Scott Brown,32,"$1,076,678",
111,112,112,Grayson Murray,22,"$1,056,628",
112,113,113,Sam Ryder,26,"$1,046,166",
113,114,114,Martin Laird,22,"$1,017,580",
