,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Dustin Johnson,20,12,3.0,2.0,3.0
1,T2,T2,Tony Finau,28,11,,3.0,
2,T2,T2,Justin Rose,18,11,2.0,3.0,1.0
3,4,4,Justin Thomas,23,10,3.0,1.0,
4,T5,T5,Bryson DeChambeau,26,9,3.0,1.0,1.0
5,T5,T5,Webb Simpson,26,9,1.0,1.0,
6,7,7,Brian Harman,25,8,,,1.0
7,T8,T8,Patrick Cantlay,23,7,1.0,,
8,T8,T8,Chesson Hadley,30,7,,1.0,1.0
9,T8,T8,Rory McIlroy,18,7,1.0,1.0,
10,T8,T8,Patrick Reed,26,7,1.0,1.0,
11,T8,T8,Xander Schauffele,27,7,,2.0,2.0
12,T8,T8,Cameron Smith,24,7,,,3.0
13,T8,T8,Tiger Woods,18,7,1.0,2.0,
14,T15,T15,Tommy Fleetwood,19,6,,1.0,
15,T15,T15,Rickie Fowler,20,6,,2.0,
16,T15,T15,Brian Gay,30,6,,,1.0
17,T15,T15,Emiliano Grillo,25,6,,,2.0
18,T15,T15,Billy Horschel,27,6,1.0,2.0,2.0
19,T15,T15,Brooks Koepka,17,6,2.0,2.0,
20,T15,T15,Marc Leishman,25,6,,2.0,
21,T15,T15,Phil Mickelson,24,6,1.0,1.0,1.0
22,T15,T15,Bubba Watson,24,6,3.0,,
23,T24,T24,Abraham Ancer,30,5,,,
24,T24,T24,Keegan Bradley,27,5,1.0,1.0,
25,T24,T24,Rafa Cabrera Bello,20,5,,,1.0
26,T24,T24,Paul Casey,20,5,1.0,1.0,
27,T24,T24,Jason Day,20,5,2.0,1.0,
28,T24,T24,Beau Hossler,28,5,,2.0,
29,T24,T24,Si Woo Kim,31,5,,1.0,1.0
30,T24,T24,Andrew Landry,27,5,1.0,1.0,
31,T24,T24,Luke List,29,5,,1.0,1.0
32,T24,T24,Francesco Molinari,20,5,2.0,1.0,
33,T24,T24,Ryan Moore,22,5,,,
34,T24,T24,Andrew Putnam,28,5,1.0,1.0,
35,T24,T24,Jon Rahm,20,5,1.0,1.0,
36,T24,T24,Jordan Spieth,23,5,,,2.0
37,T24,T24,Kyle Stanley,26,5,,2.0,
38,T24,T24,Henrik Stenson,16,5,,1.0,
39,T24,T24,Kevin Streelman,27,5,,,
40,T41,T41,Byeong Hun An,24,4,,2.0,
41,T41,T41,Kevin Chappell,23,4,,,
42,T41,T41,Tyrrell Hatton,16,4,,,1.0
43,T41,T41,Charles Howell III,28,4,,,
44,T41,T41,Chris Kirk,29,4,,,
45,T41,T41,Kevin Kisner,25,4,,2.0,
46,T41,T41,Patton Kizzire,29,4,2.0,,
47,T41,T41,Jason Kokrak,29,4,,,1.0
