,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Justin Rose,18,4.97,"$8,130,677","$163,750,000"
1,2,2,Brooks Koepka,17,4.78,"$7,094,046","$148,350,000"
2,3,3,Dustin Johnson,20,4.68,"$8,457,350","$180,550,000"
3,4,4,Justin Thomas,23,4.31,"$8,694,820","$201,750,000"
4,5,5,Bryson DeChambeau,26,3.77,"$8,094,488","$214,900,000"
5,6,6,Tiger Woods,18,3.37,"$5,443,840","$161,300,000"
6,7,7,Francesco Molinari,20,2.82,"$5,065,840","$179,450,000"
7,8,8,Bubba Watson,24,2.79,"$5,793,746","$207,400,000"
8,9,9,Jason Day,20,2.76,"$5,087,461","$184,500,000"
9,10,10,Rory McIlroy,18,2.71,"$4,410,296","$162,700,000"
10,11,11,Webb Simpson,26,2.51,"$5,376,414","$214,600,000"
11,12,12,Rickie Fowler,20,2.43,"$4,235,236","$174,000,000"
12,13,13,Tony Finau,28,2.36,"$5,620,136","$238,100,000"
13,14,14,Tommy Fleetwood,19,2.25,"$3,935,145","$175,050,000"
14,15,15,Jon Rahm,20,2.23,"$3,992,677","$178,950,000"
15,T16,T16,Phil Mickelson,24,2.2,"$4,595,184","$209,250,000"
16,T16,T16,Patrick Reed,26,2.2,"$5,006,265","$227,500,000"
17,18,18,Billy Horschel,27,2.1,"$4,315,198","$205,600,000"
18,19,19,Paul Casey,20,2.03,"$3,641,769","$179,000,000"
19,20,20,Patrick Cantlay,23,1.96,"$3,963,958","$202,750,000"
20,21,21,Henrik Stenson,16,1.86,"$2,680,485","$144,350,000"
21,22,22,Keegan Bradley,27,1.85,"$4,069,461","$219,650,000"
22,T23,T23,Xander Schauffele,27,1.75,"$4,047,535","$231,900,000"
23,T23,T23,Cameron Smith,24,1.75,"$3,622,604","$206,550,000"
24,25,25,Kyle Stanley,26,1.73,"$3,916,000","$226,400,000"
25,26,26,Marc Leishman,25,1.71,"$3,771,218","$220,300,000"
26,27,27,Kevin Na,26,1.69,"$3,578,315","$211,650,000"
27,T28,T28,Alex Noren,18,1.62,"$2,699,149","$166,450,000"
28,T28,T28,Eddie Pepperell,2,1.62,"$348,316","$21,500,000"
29,30,30,Aaron Wise,29,1.58,"$3,486,405","$220,100,000"
30,T31,T31,Sam Horsfield,1,1.55,"$137,950","$8,900,000"
31,T31,T31,Ian Poulter,20,1.55,"$2,714,447","$174,750,000"
32,33,33,Patton Kizzire,29,1.53,"$3,541,148","$231,400,000"
33,34,34,Pat Perez,23,1.46,"$2,962,638","$202,900,000"
34,T35,T35,Hideki Matsuyama,21,1.43,"$2,687,476","$187,550,000"
35,T35,T35,Thorbjørn Olesen,5,1.43,"$759,066","$53,250,000"
36,37,37,John Oda,7,1.42,"$559,685","$39,300,000"
37,T38,T38,Kevin Kisner,25,1.41,"$2,972,282","$211,100,000"
38,T38,T38,Jordan Spieth,23,1.41,"$2,793,534","$197,900,000"
39,T40,T40,Rafa Cabrera Bello,20,1.36,"$2,449,867","$179,900,000"
40,T40,T40,Gary Woodland,27,1.36,"$3,108,902","$229,250,000"
41,T42,T42,Byeong Hun An,24,1.32,"$2,599,261","$197,150,000"
42,T42,T42,Chase Seiffert,2,1.32,"$189,000","$14,300,000"
43,T44,T44,Andrew Landry,27,1.3,"$2,642,178","$203,500,000"
44,T44,T44,Tyler McCumber,1,1.3,"$39,000","$3,000,000"
45,T46,T46,Brian Harman,25,1.28,"$2,733,459","$214,300,000"
46,T46,T46,Tyrrell Hatton,16,1.28,"$1,943,359","$152,150,000"
47,48,48,Brandt Snedeker,25,1.27,"$2,448,966","$192,800,000"
48,49,49,Andrew Putnam,28,1.25,"$2,387,379","$190,400,000"
49,T50,T50,Emiliano Grillo,25,1.24,"$2,493,161","$201,150,000"
50,T50,T50,Brendan Steele,22,1.24,"$2,291,126","$185,300,000"
51,T52,T52,Joaquin Niemann,13,1.23,"$1,209,956","$98,600,000"
52,T52,T52,Scott Strohmeyer,3,1.23,"$177,733","$14,500,000"
53,54,54,Chesson Hadley,30,1.21,"$2,768,859","$227,900,000"
54,55,55,Adam Scott,21,1.2,"$2,237,639","$185,700,000"
55,56,56,Chez Reavie,28,1.18,"$2,700,016","$228,800,000"
56,T57,T57,Beau Hossler,28,1.16,"$2,449,703","$211,400,000"
57,T57,T57,Luke List,29,1.16,"$2,710,732","$233,050,000"
58,T59,T59,Adam Bland,1,1.15,"$114,500","$10,000,000"
59,T59,T59,Daisuke Kataoka,2,1.15,"$183,362","$15,950,000"
60,T59,T59,Ryan Moore,22,1.15,"$1,986,605","$173,300,000"
61,T62,T62,Graham DeLaet,3,1.12,"$251,630","$22,450,000"
62,T62,T62,Louis Oosthuizen,17,1.12,"$1,731,491","$154,400,000"
63,T64,T64,Austin Cook,29,1.1,"$2,448,916","$223,500,000"
64,T64,T64,Jimmy Walker,23,1.1,"$2,027,309","$184,700,000"
65,66,66,Alex Kang,2,1.08,"$150,733","$13,900,000"
66,67,67,Ryan Armour,32,1.05,"$2,485,201","$236,400,000"
67,68,68,Erik van Rooyen,1,1.04,"$109,714","$10,500,000"
68,69,69,J.J. Spaun,27,1.02,"$1,978,903","$194,100,000"
69,T70,T70,Stewart Cink,25,0.98,"$1,887,206","$191,950,000"
70,T70,T70,Brian Gay,30,0.98,"$2,152,499","$220,200,000"
71,T70,T70,Satoshi Kodaira,18,0.98,"$1,581,711","$162,000,000"
72,73,73,Scott Piercy,26,0.97,"$1,882,332","$193,500,000"
73,T74,T74,Kiradech Aphibarnrat,14,0.96,"$1,275,483","$133,350,000"
74,T74,T74,Charles Howell III,28,0.96,"$2,179,720","$228,000,000"
75,T74,T74,Ryan Palmer,22,0.96,"$1,484,443","$155,000,000"
76,T77,T77,Zach Johnson,25,0.95,"$1,957,632","$205,300,000"
77,T77,T77,Charl Schwartzel,20,0.95,"$1,710,178","$180,200,000"
78,T79,T79,Ashun Wu,1,0.93,"$90,250","$9,750,000"
79,T79,T79,Chris Paisley,4,0.93,"$289,900","$31,100,000"
80,T81,T81,Branden Grace,18,0.91,"$1,529,286","$167,200,000"
81,T81,T81,Adam Hadwin,25,0.91,"$1,932,485","$212,200,000"
82,T81,T81,Bernd Wiesberger,5,0.91,"$428,631","$47,350,000"
83,T84,T84,Si Woo Kim,31,0.9,"$2,276,112","$251,700,000"
84,T84,T84,"Ted Potter, Jr.",28,0.9,"$1,976,197","$220,000,000"
85,T84,T84,Ryan Yip,1,0.9,"$55,888","$6,200,000"
86,T87,T87,Whee Kim,30,0.88,"$1,920,337","$217,750,000"
87,T87,T87,Chris Kirk,29,0.88,"$1,824,106","$208,250,000"
88,T89,T89,Daniel Berger,23,0.87,"$1,721,761","$197,200,000"
89,T89,T89,C.T. Pan,30,0.87,"$1,881,783","$216,050,000"
90,T91,T91,J.B. Holmes,24,0.86,"$1,595,940","$185,350,000"
91,T91,T91,Peter Uihlein,26,0.86,"$1,797,712","$209,350,000"
92,93,93,Matt Kuchar,24,0.84,"$1,720,095","$204,450,000"
93,94,94,Jason Kokrak,29,0.83,"$1,794,426","$216,300,000"
94,T95,T95,Kevin Chappell,23,0.82,"$1,608,334","$195,700,000"
95,T95,T95,Jason Dufner,22,0.82,"$1,497,652","$182,600,000"
96,T95,T95,Thomas Pieters,11,0.82,"$813,226","$99,300,000"
97,T95,T95,Hyun-woo Ryu,1,0.82,"$79,500","$9,750,000"
98,T99,T99,Joel Dahmen,28,0.81,"$1,476,836","$181,600,000"
99,T99,T99,Keith Mitchell,29,0.81,"$1,641,257","$202,000,000"
100,101,101,Abraham Ancer,30,0.79,"$1,676,693","$212,400,000"
101,102,102,Kevin Streelman,27,0.78,"$1,523,639","$194,500,000"
102,103,103,Russell Henley,23,0.77,"$1,516,436","$196,900,000"
103,104,104,Anirban Lahiri,24,0.75,"$1,441,203","$192,850,000"
104,105,105,Nick Watney,26,0.74,"$1,402,829","$190,500,000"
105,T106,T106,Alex Cejka,24,0.73,"$1,198,540","$165,100,000"
106,T106,T106,David Lipsky,3,0.73,"$194,950","$26,750,000"
107,T106,T106,Joost Luiten,1,0.73,"$73,000","$10,000,000"
108,T106,T106,Troy Merritt,27,0.73,"$1,326,986","$181,300,000"
109,T110,T110,Bronson Burgoon,24,0.72,"$1,179,614","$162,900,000"
110,T110,T110,Oscar Fraustro,1,0.72,"$50,804","$7,100,000"
111,T110,T110,Trey Mullinax,24,0.72,"$1,184,244","$165,500,000"
112,T110,T110,Andres Romero,6,0.72,"$206,764","$28,900,000"
113,T114,T114,Bud Cauley,17,0.71,"$900,590","$126,050,000"
114,T114,T114,Michael Kim,27,0.71,"$1,379,736","$194,500,000"
115,T114,T114,Jamie Lovemark,26,0.71,"$1,377,282","$195,250,000"
116,T114,T114,Brandon Stone,5,0.71,"$364,939","$51,250,000"
117,T118,T118,James Hahn,26,0.7,"$1,386,300","$198,150,000"
118,T118,T118,Sean O'Hair,22,0.7,"$1,104,864","$157,900,000"
119,T118,T118,Julian Suri,10,0.7,"$562,165","$80,800,000"
120,121,121,Brice Garnett,30,0.69,"$1,466,220","$212,800,000"
121,T122,T122,Paul Dunne,8,0.68,"$468,937","$68,650,000"
122,T122,T122,K.T. Kim,1,0.68,"$62,900","$9,250,000"
123,T124,T124,Matthew Fitzpatrick,13,0.67,"$830,393","$123,350,000"
124,T124,T124,Sergio Garcia,15,0.67,"$878,353","$131,900,000"
125,T124,T124,Charley Hoffman,25,0.67,"$1,400,635","$210,500,000"
126,T124,T124,Russell Knox,27,0.67,"$1,424,027","$212,700,000"
127,T128,T128,Martin Laird,22,0.66,"$1,017,579","$155,000,000"
128,T128,T128,Matthieu Pavon,1,0.66,"$79,200","$12,000,000"
129,T128,T128,Haydn Porteous,1,0.66,"$64,500","$9,750,000"
130,T128,T128,J.T. Poston,22,0.66,"$940,659","$142,000,000"
