,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Justin Rose,18,28.02,"$8,130,677","$29,020,800"
1,2,2,Brooks Koepka,17,26.9,"$7,094,047","$26,374,800"
2,3,3,Dustin Johnson,20,26.24,"$8,457,351","$32,230,000"
3,4,4,Justin Thomas,23,24.23,"$8,694,821","$35,881,800"
4,5,5,Bryson DeChambeau,26,20.91,"$8,094,489","$38,708,000"
5,6,6,Tiger Woods,18,18.81,"$5,443,840","$28,934,000"
6,7,7,Francesco Molinari,20,15.88,"$5,065,841","$31,906,000"
7,8,8,Bubba Watson,24,15.76,"$5,793,747","$36,772,800"
8,9,9,Jason Day,20,15.58,"$5,087,461","$32,655,800"
9,10,10,Rory McIlroy,18,15.16,"$4,410,296","$29,086,000"
10,11,11,Webb Simpson,26,14.03,"$5,376,416","$38,328,000"
11,12,12,Rickie Fowler,20,13.55,"$4,235,236","$31,246,000"
12,13,13,Tony Finau,28,13.32,"$5,620,138","$42,203,800"
13,14,14,Tommy Fleetwood,19,12.75,"$3,935,147","$30,854,800"
14,15,15,Jon Rahm,20,12.6,"$3,992,677","$31,682,800"
15,16,16,Patrick Reed,26,12.42,"$5,006,266","$40,295,800"
16,17,17,Phil Mickelson,24,12.33,"$4,595,186","$37,270,000"
17,18,18,Billy Horschel,27,11.7,"$4,315,199","$36,874,800"
18,19,19,Paul Casey,20,11.44,"$3,641,770","$31,825,000"
19,20,20,Patrick Cantlay,23,11.02,"$3,963,962","$35,966,800"
20,21,21,Henrik Stenson,16,10.5,"$2,680,486","$25,528,800"
21,22,22,Keegan Bradley,27,10.39,"$4,069,463","$39,177,800"
22,23,23,Cameron Smith,24,9.83,"$3,622,606","$36,845,800"
23,24,24,Xander Schauffele,27,9.76,"$4,047,538","$41,473,000"
24,25,25,Kyle Stanley,26,9.67,"$3,916,001","$40,483,000"
25,26,26,Marc Leishman,25,9.58,"$3,771,220","$39,385,000"
26,27,27,Kevin Na,26,9.51,"$3,578,316","$37,637,800"
27,28,28,Alex Noren,18,9.13,"$2,699,149","$29,566,000"
28,29,29,Eddie Pepperell,2,9.0,"$348,316","$3,870,000"
29,30,30,Aaron Wise,29,8.88,"$3,486,406","$39,258,800"
30,31,31,Ian Poulter,20,8.76,"$2,714,449","$30,995,800"
31,32,32,Sam Horsfield,1,8.61,"$137,950","$1,602,000"
32,33,33,Patton Kizzire,29,8.54,"$3,541,150","$41,478,000"
33,34,34,Pat Perez,23,8.23,"$2,962,641","$35,993,800"
34,35,35,Thorbjørn Olesen,5,8.08,"$759,066","$9,390,000"
35,36,36,Hideki Matsuyama,21,8.0,"$2,687,477","$33,590,000"
36,37,37,Jordan Spieth,23,7.94,"$2,793,536","$35,188,800"
37,T38,T38,Kevin Kisner,25,7.91,"$2,972,284","$37,564,800"
38,T38,T38,John Oda,7,7.91,"$559,685","$7,074,000"
39,40,40,Rafa Cabrera Bello,20,7.72,"$2,449,868","$31,727,800"
40,41,41,Gary Woodland,27,7.64,"$3,108,906","$40,705,800"
41,42,42,Byeong Hun An,24,7.4,"$2,599,264","$35,127,800"
42,43,43,Chase Seiffert,2,7.34,"$189,000","$2,574,000"
43,44,44,Andrew Landry,27,7.28,"$2,642,178","$36,270,800"
44,45,45,Tyler McCumber,1,7.22,"$39,000","$540,000"
45,46,46,Tyrrell Hatton,16,7.2,"$1,943,359","$26,992,000"
46,47,47,Brian Harman,25,7.14,"$2,733,462","$38,305,000"
47,48,48,Brandt Snedeker,25,7.11,"$2,448,969","$34,444,800"
48,49,49,Andrew Putnam,28,7.02,"$2,387,382","$34,012,800"
49,50,50,Brendan Steele,22,6.96,"$2,291,127","$32,920,800"
50,51,51,Emiliano Grillo,25,6.95,"$2,493,163","$35,847,800"
51,52,52,Joaquin Niemann,13,6.82,"$1,209,957","$17,748,000"
52,53,53,Scott Strohmeyer,3,6.81,"$177,733","$2,610,000"
53,54,54,Chesson Hadley,30,6.79,"$2,768,863","$40,762,800"
54,55,55,Adam Bland,1,6.74,"$114,500","$1,700,000"
55,56,56,Adam Scott,21,6.73,"$2,237,641","$33,231,000"
56,57,57,Chez Reavie,28,6.65,"$2,700,018","$40,629,800"
57,58,58,Daisuke Kataoka,2,6.61,"$183,362","$2,776,000"
58,59,59,Luke List,29,6.49,"$2,710,736","$41,749,000"
59,60,60,Beau Hossler,28,6.44,"$2,449,707","$38,052,000"
60,61,61,Ryan Moore,22,6.37,"$1,986,607","$31,194,000"
