,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Dustin Johnson,22,28.99,"$9,365,184","$32,299,590"
1,2,2,Jason Day,20,27.29,"$8,045,111","$29,477,590"
2,3,3,Adam Scott,20,21.94,"$6,473,089","$29,499,590"
3,4,4,Rory McIlroy,18,21.46,"$5,790,585","$26,979,590"
4,5,5,Danny Willett,9,20.02,"$2,918,132","$14,577,590"
5,6,6,Jordan Spieth,21,17.72,"$5,538,470","$31,255,590"
6,7,7,Henrik Stenson,14,16.22,"$3,397,372","$20,949,590"
7,8,8,Patrick Reed,28,14.5,"$5,679,574","$39,157,590"
8,9,9,Sergio Garcia,15,14.31,"$3,242,155","$22,659,590"
9,10,10,Russell Knox,25,13.85,"$4,885,906","$35,287,590"
10,T11,T11,Hideki Matsuyama,23,12.63,"$4,193,954","$33,207,590"
11,T11,T11,Phil Mickelson,22,12.63,"$4,022,627","$31,861,590"
12,13,13,Kevin Chappell,27,12.46,"$4,501,050","$36,109,590"
13,14,14,Bubba Watson,19,12.14,"$3,492,841","$28,771,590"
14,15,15,Paul Casey,22,12.07,"$3,885,559","$32,199,590"
15,16,16,Jimmy Walker,25,11.89,"$4,148,546","$34,877,590"
16,17,17,Ryan Moore,23,11.62,"$3,701,034","$31,861,590"
17,18,18,Brooks Koepka,21,11.21,"$3,322,392","$29,638,000"
18,19,19,Branden Grace,18,10.86,"$2,878,867","$26,511,590"
19,20,20,Brandt Snedeker,27,10.76,"$3,960,141","$36,803,590"
20,21,21,Justin Thomas,28,10.65,"$4,126,365","$38,743,590"
21,22,22,Matt Kuchar,26,10.62,"$3,819,678","$35,983,590"
22,23,23,Charl Schwartzel,19,10.48,"$2,936,027","$28,005,590"
23,24,24,Lee Westwood,7,10.17,"$1,138,810","$11,193,590"
24,25,25,Rafa Cabrera Bello,10,10.16,"$1,609,350","$15,841,590"
25,26,26,William McGirt,28,10.1,"$3,614,972","$35,785,590"
26,27,27,Tyrrell Hatton,5,9.72,"$674,787","$6,945,590"
27,28,28,Jon Rahm,9,9.65,"$1,004,034","$10,405,590"
28,29,29,Kevin Na,26,9.64,"$3,441,290","$35,691,590"
29,30,30,Emiliano Grillo,25,9.54,"$3,371,705","$35,359,590"
30,31,31,Louis Oosthuizen,17,9.42,"$2,422,078","$25,719,590"
31,32,32,J.B. Holmes,22,9.29,"$2,969,608","$31,979,590"
32,33,33,Kevin Kisner,27,9.14,"$3,424,353","$37,465,590"
33,34,34,Graeme McDowell,21,9.07,"$2,596,169","$28,613,590"
34,35,35,Daniel Berger,26,9.03,"$3,290,764","$36,446,000"
35,36,36,Scott Piercy,24,8.53,"$2,905,349","$34,045,590"
36,37,37,Rickie Fowler,23,8.21,"$2,713,563","$33,037,590"
37,38,38,Ross Fisher,4,8.14,"$518,642","$6,369,590"
38,39,39,Matthew Southgate,1,7.88,"$122,153","$1,549,590"
39,40,40,Justin Rose,18,7.8,"$2,085,364","$26,731,590"
40,41,41,Roberto Castro,27,7.76,"$2,520,574","$32,490,000"
41,42,42,Jhonattan Vegas,27,7.62,"$2,478,979","$32,544,000"
42,43,43,Jim Furyk,14,7.59,"$1,538,204","$20,269,590"
43,44,44,Si Woo Kim,34,7.58,"$3,086,369","$40,698,000"
44,45,45,Steve Stricker,15,7.5,"$1,418,647","$18,919,590"
45,46,46,Jason Dufner,28,7.49,"$2,879,883","$38,431,590"
46,47,47,Billy Hurley III,20,7.15,"$1,770,399","$24,768,000"
47,48,48,Gary Woodland,26,7.12,"$2,392,044","$33,585,590"
48,49,49,Bill Haas,24,7.1,"$2,390,199","$33,653,590"
49,50,50,James Hahn,26,6.84,"$2,367,521","$34,589,590"
50,51,51,Michael Johnson,4,6.68,"$238,000","$3,564,000"
51,52,52,Smylie Kaufman,28,6.63,"$2,508,173","$37,847,590"
52,53,53,Charley Hoffman,26,6.55,"$2,350,239","$35,875,590"
53,54,54,Brian Stuard,20,6.54,"$1,666,014","$25,470,000"
54,55,55,Rafael Campos,2,6.47,"$114,200","$1,764,000"
55,T56,T56,Rodolfo Cazaubón,3,6.46,"$185,904","$2,880,000"
56,T56,T56,Shane Lowry,17,6.46,"$1,585,435","$24,531,590"
57,58,58,Charles Howell III,25,6.34,"$1,974,961","$31,158,000"
58,59,59,Fabián Gómez,26,6.32,"$2,227,040","$35,237,590"
59,60,60,Alex Cejka,22,6.25,"$1,566,307","$25,048,000"
60,61,61,Billy Horschel,20,6.24,"$1,744,570","$27,955,590"
61,62,62,Grégory Bourdy,3,6.21,"$257,090","$4,140,000"
62,63,63,Ryan Palmer,23,6.13,"$1,794,140","$29,251,590"
63,64,64,Byeong Hun An,14,5.93,"$1,278,796","$21,579,590"
64,65,65,HaoTong Li,3,5.82,"$173,750","$2,984,000"
65,66,66,Jamie Lovemark,27,5.78,"$1,940,890","$33,607,590"
