,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Dustin Johnson,22,"$425,690","$9,365,184"
1,2,2,Jason Day,20,"$402,255","$8,045,111"
2,3,3,Adam Scott,20,"$323,654","$6,473,089"
3,4,4,Rory McIlroy,18,"$321,699","$5,790,585"
4,5,5,Jordan Spieth,21,"$263,736","$5,538,470"
5,6,6,Henrik Stenson,14,"$242,669","$3,397,372"
6,7,7,Sergio Garcia,15,"$216,143","$3,242,155"
7,8,8,Danny Willett,9,"$215,348","$1,938,132"
8,9,9,Patrick Reed,28,"$202,841","$5,679,574"
9,10,10,Russell Knox,25,"$195,436","$4,885,906"
10,11,11,Bubba Watson,19,"$183,833","$3,492,841"
11,12,12,Phil Mickelson,22,"$182,846","$4,022,627"
12,13,13,Hideki Matsuyama,23,"$182,345","$4,193,954"
13,14,14,Paul Casey,22,"$176,616","$3,885,559"
14,15,15,Kevin Chappell,27,"$166,705","$4,501,050"
15,16,16,Jimmy Walker,25,"$165,941","$4,148,546"
16,17,17,Ryan Moore,23,"$160,914","$3,701,034"
17,18,18,Branden Grace,18,"$159,937","$2,878,867"
18,19,19,Brooks Koepka,21,"$158,209","$3,322,392"
19,20,20,Charl Schwartzel,19,"$154,527","$2,936,027"
20,21,21,Justin Thomas,28,"$147,370","$4,126,365"
21,22,22,Matt Kuchar,26,"$146,910","$3,819,678"
22,23,23,Lee Westwood,7,"$146,687","$1,026,810"
23,24,24,Brandt Snedeker,27,"$146,671","$3,960,141"
24,25,25,Louis Oosthuizen,17,"$142,475","$2,422,078"
25,26,26,J.B. Holmes,22,"$134,982","$2,969,608"
26,27,27,Emiliano Grillo,25,"$134,868","$3,371,705"
27,28,28,Kevin Na,26,"$132,357","$3,441,290"
28,29,29,William McGirt,28,"$129,106","$3,614,972"
29,30,30,Kevin Kisner,27,"$126,827","$3,424,353"
30,31,31,Daniel Berger,26,"$126,567","$3,290,764"
31,32,32,Tyrrell Hatton,5,"$125,457","$627,287"
32,33,33,Graeme McDowell,21,"$123,627","$2,596,169"
33,34,34,Matthew Southgate,1,"$122,153","$122,153"
34,35,35,Scott Piercy,24,"$121,056","$2,905,349"
35,36,36,Rickie Fowler,23,"$117,981","$2,713,563"
36,37,37,Justin Rose,18,"$115,853","$2,085,364"
37,38,38,Jon Rahm,9,"$111,559","$1,004,034"
38,39,39,Jim Furyk,14,"$109,871","$1,538,204"
39,40,40,Jason Dufner,28,"$102,852","$2,879,883"
40,41,41,Bill Haas,24,"$99,591","$2,390,199"
41,42,42,Steve Stricker,15,"$94,576","$1,418,647"
42,43,43,Roberto Castro,27,"$93,354","$2,520,574"
43,44,44,Shane Lowry,17,"$93,260","$1,585,435"
44,45,45,Gary Woodland,26,"$92,001","$2,392,044"
45,46,46,Jhonattan Vegas,27,"$91,814","$2,478,979"
46,47,47,James Hahn,26,"$91,058","$2,367,521"
47,48,48,Si Woo Kim,34,"$90,775","$3,086,369"
48,49,49,Charley Hoffman,26,"$90,393","$2,350,239"
49,50,50,Smylie Kaufman,28,"$89,577","$2,508,173"
50,51,51,Billy Hurley III,20,"$88,519","$1,770,399"
51,52,52,Billy Horschel,20,"$87,228","$1,744,570"
52,53,53,Grégory Bourdy,3,"$85,696","$257,090"
53,54,54,Fabián Gómez,26,"$85,655","$2,227,040"
54,55,55,Brian Stuard,20,"$83,300","$1,666,014"
55,56,56,Rafa Cabrera Bello,10,"$80,435","$804,350"
56,57,57,Charles Howell III,25,"$78,998","$1,974,961"
57,58,58,Ryan Palmer,23,"$78,006","$1,794,140"
58,59,59,David Lingmerth,24,"$77,657","$1,863,782"
59,60,60,Harris English,27,"$74,603","$2,014,282"
60,61,61,Daniel Summerhays,28,"$73,070","$2,045,968"
61,62,62,Webb Simpson,20,"$72,517","$1,450,355"
62,63,63,Jim Herman,29,"$72,112","$2,091,274"
63,64,64,Jamie Lovemark,27,"$71,884","$1,940,890"
64,65,65,Zach Johnson,24,"$71,612","$1,718,702"
65,66,66,Alex Cejka,22,"$71,195","$1,566,307"
66,67,67,Luke Donald,23,"$71,065","$1,634,514"
67,68,68,Jason Kokrak,28,"$69,080","$1,934,250"
68,69,69,Vaughn Taylor,24,"$68,364","$1,640,750"
69,70,70,Andrew Johnston,4,"$67,565","$270,262"
70,71,71,Byeong Hun An,14,"$66,199","$926,796"
71,72,72,Jason Bohn,21,"$65,224","$1,369,704"
72,73,73,Tony Finau,28,"$64,813","$1,814,790"
73,74,74,Brendan Steele,25,"$63,570","$1,589,265"
74,75,75,Jon Curran,30,"$63,416","$1,902,481"
75,76,76,Sean O'Hair,27,"$63,063","$1,702,713"
76,77,77,Chris Kirk,28,"$62,940","$1,762,334"
77,78,78,Marc Leishman,25,"$62,672","$1,566,824"
78,79,79,Rodolfo Cazaubón,3,"$61,968","$185,904"
79,80,80,Kevin Streelman,26,"$61,583","$1,601,177"
80,81,81,Colt Knost,26,"$61,330","$1,594,587"
81,82,82,K.J. Choi,22,"$60,383","$1,328,447"
82,83,83,Francesco Molinari,18,"$60,175","$1,083,155"
83,84,84,Michael Johnson,4,"$59,500","$238,000"
84,85,85,Bobby Wyatt,6,"$58,891","$353,348"
85,86,86,Aaron Baddeley,28,"$58,746","$1,644,914"
86,87,87,Greg Chalmers,12,"$57,932","$695,188"
87,88,88,Jerry Kelly,23,"$57,767","$1,328,656"
88,89,89,Rafael Campos,2,"$57,100","$114,200"
89,90,90,Søren Kjeldsen,12,"$55,961","$671,539"
90,91,91,Vijay Singh,22,"$55,004","$1,210,104"
91,92,92,Patton Kizzire,27,"$54,393","$1,468,624"
92,93,93,Bud Cauley,14,"$54,316","$760,430"
93,94,94,Greg Yates,1,"$52,959","$52,959"
94,95,95,Freddie Jacobson,26,"$52,084","$1,354,195"
95,96,96,Bryce Molder,26,"$52,053","$1,353,384"
96,97,97,Haydn Porteous,1,"$51,488","$51,488"
97,98,98,Martin Laird,24,"$51,028","$1,224,679"
98,99,99,Martin Flores,2,"$50,788","$101,576"
99,100,100,Danny Lee,28,"$50,204","$1,405,722"
100,101,101,Russell Henley,25,"$49,133","$1,228,346"
101,102,102,Robert Garrigus,21,"$48,804","$1,024,899"
102,103,103,Martin Kaymer,10,"$47,624","$476,240"
103,104,104,Harold Varner III,28,"$47,404","$1,327,320"
104,105,105,Retief Goosen,16,"$46,608","$745,735"
105,106,106,Patrick Rodgers,28,"$46,083","$1,290,336"
106,107,107,Miguel Angel Jiménez,2,"$45,745","$91,491"
107,108,108,Kyle Reifers,34,"$45,281","$1,539,577"
108,109,109,Wesley Bryan,4,"$44,682","$178,729"
109,110,110,Paul Peterson,1,"$44,508","$44,508"
110,111,111,Bernhard Langer,2,"$44,500","$89,000"
111,112,112,Graham DeLaet,21,"$43,264","$908,556"
112,113,113,Ben Martin,28,"$43,061","$1,205,730"
113,114,114,Jonas Blixt,26,"$42,896","$1,115,321"
114,115,115,Cameron Tringale,25,"$42,562","$1,064,065"
115,116,116,Scott Brown,27,"$42,350","$1,143,451"
116,117,117,Ryan Blaum,1,"$42,160","$42,160"
117,118,118,Brian Harman,31,"$41,929","$1,299,801"
118,119,119,David Hearn,29,"$41,776","$1,211,514"
119,120,120,Chad Campbell,28,"$41,716","$1,168,072"
120,121,121,Johnson Wagner,26,"$41,684","$1,083,787"
121,122,122,Lucas Glover,23,"$41,257","$948,927"
122,123,123,Padraig Harrington,16,"$40,933","$654,929"
123,124,124,David Toms,19,"$40,764","$774,522"
124,125,125,Peter Malnati,32,"$40,592","$1,298,944"
125,126,126,Chez Reavie,27,"$40,257","$1,086,963"
126,127,127,Jamie Donaldson,13,"$40,003","$520,051"
127,128,128,Ricky Barnes,29,"$39,958","$1,158,799"
128,129,129,Andrew Loupe,27,"$39,825","$1,075,275"
129,130,130,Anirban Lahiri,21,"$39,770","$835,171"
130,131,131,Bryson DeChambeau,12,"$39,718","$476,621"
131,132,132,Adam Hadwin,27,"$39,548","$1,067,809"
132,133,133,Ken Duke,20,"$38,651","$773,025"
133,134,134,Boo Weekley,26,"$38,140","$991,660"
134,135,135,Nick Watney,5,"$37,976","$189,880"
135,136,136,Brett Stegmaier,29,"$37,472","$1,086,714"
136,137,137,Robert Streb,27,"$37,161","$1,003,362"
137,138,138,Spencer Levin,32,"$36,871","$1,179,881"
138,139,139,Kiradech Aphibarnrat,11,"$36,777","$404,550"
139,140,140,John Huh,28,"$35,972","$1,007,218"
140,141,141,Troy Merritt,26,"$35,488","$922,706"
141,142,142,John Senden,28,"$35,351","$989,840"
142,143,143,Aaron Wise,2,"$34,800","$69,600"
143,144,144,Keegan Bradley,26,"$34,614","$899,984"
144,145,145,David Howell,2,"$34,556","$69,113"
145,146,146,Hudson Swafford,30,"$34,243","$1,027,313"
146,147,147,Sung Kang,29,"$33,778","$979,576"
147,148,148,Matthew Fitzpatrick,12,"$33,722","$404,667"
148,149,149,Tyrone Van Aswegen,31,"$33,084","$1,025,631"
149,150,150,Gonzalo Fernandez-Castaño,2,"$32,800","$65,600"
150,151,151,Ryan Armour,1,"$32,454","$32,454"
151,152,152,Tim Wilkinson,22,"$32,210","$708,622"
