,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Dustin Johnson,22,5.15,"$9,365,184","$181,700,000"
1,2,2,Jason Day,20,4.87,"$8,045,110","$165,300,000"
2,3,3,Adam Scott,20,3.88,"$6,473,088","$166,800,000"
3,4,4,Rory McIlroy,18,3.8,"$5,790,582","$152,300,000"
4,5,5,Danny Willett,9,3.5,"$2,918,132","$83,400,000"
5,6,6,Jordan Spieth,21,3.15,"$5,538,469","$175,900,000"
6,7,7,Henrik Stenson,14,2.87,"$3,397,371","$118,300,000"
7,8,8,Patrick Reed,28,2.58,"$5,679,573","$219,800,000"
8,9,9,Sergio Garcia,15,2.53,"$3,242,154","$128,300,000"
9,10,10,Russell Knox,25,2.46,"$4,885,905","$198,300,000"
10,T11,T11,Hideki Matsuyama,23,2.24,"$4,193,953","$187,400,000"
11,T11,T11,Phil Mickelson,22,2.24,"$4,022,624","$179,200,000"
12,13,13,Kevin Chappell,27,2.23,"$4,501,049","$201,800,000"
13,14,14,Bubba Watson,19,2.15,"$3,492,841","$162,100,000"
14,15,15,Paul Casey,22,2.14,"$3,885,559","$181,800,000"
15,16,16,Jimmy Walker,25,2.12,"$4,148,545","$195,300,000"
16,17,17,Ryan Moore,23,2.08,"$3,701,033","$178,200,000"
17,18,18,Brooks Koepka,21,2.01,"$3,322,391","$165,500,000"
18,T19,T19,Branden Grace,18,1.92,"$2,878,867","$150,200,000"
19,T19,T19,Brandt Snedeker,27,1.92,"$3,960,140","$206,000,000"
20,21,21,Justin Thomas,28,1.9,"$4,126,365","$217,500,000"
21,22,22,Matt Kuchar,26,1.89,"$3,819,675","$202,100,000"
22,23,23,Charl Schwartzel,19,1.85,"$2,936,023","$158,500,000"
23,24,24,William McGirt,28,1.81,"$3,614,970","$200,000,000"
24,25,25,Rafa Cabrera Bello,10,1.79,"$1,609,350","$89,700,000"
25,26,26,Lee Westwood,7,1.78,"$1,138,810","$64,100,000"
