,Total_1_Putts_-_5-10_RANK THIS WEEK,Total_1_Putts_-_5-10_RANK LAST WEEK,Total_1_Putts_-_5-10_PLAYER NAME,Total_1_Putts_-_5-10_ROUNDS,Total_1_Putts_-_5-10_TOTAL,Total_1_Putts_-_5-10_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_5-10_PCT OF ALL 1-PUTTS
0,1,1,Brendon de Jonge,115,202,691,29.2
1,2,2,Jimmy Walker,101,199,630,31.6
2,3,3,Blake Adams,107,198,581,34.1
3,4,4,Jeff Overton,101,194,695,27.9
4,5,5,David Hearn,95,190,607,31.3
5,6,6,Brian Davis,91,188,600,31.3
6,7,7,Chris Kirk,93,187,590,31.7
7,T8,T8,Bud Cauley,99,179,649,27.6
8,T8,T8,Ken Duke,104,179,679,26.4
9,T10,T10,Carl Pettersson,92,176,602,29.2
10,T10,T10,Scott Piercy,95,176,623,28.3
11,12,12,Brian Gay,91,173,589,29.4
12,13,13,Ryan Moore,89,165,577,28.6
13,14,14,Will Claxton,99,164,568,28.9
14,15,15,Brian Harman,101,163,638,25.5
15,16,16,Troy Matteson,100,161,576,28.0
16,17,17,Greg Chalmers,88,160,584,27.4
17,T18,T18,Zach Johnson,95,157,580,27.1
18,T18,T18,J.J. Killeen,101,157,629,25.0
19,T18,T18,Johnson Wagner,88,157,511,30.7
20,T21,T21,John Huh,99,156,594,26.3
21,T21,T21,Ryan Palmer,81,156,529,29.5
22,T21,T21,Nick Watney,97,156,534,29.2
23,24,24,Josh Teater,97,155,583,26.6
24,T25,T25,Tommy Gainey,98,154,653,23.6
25,T25,T25,Ryuji Imada,78,154,513,30.0
26,27,27,Chris Stroud,86,153,526,29.1
27,T28,T28,Jonas Blixt,72,151,506,29.8
28,T28,T28,Harris English,98,151,571,26.4
29,30,30,Ricky Barnes,92,150,536,28.0
30,T31,T31,Gary Christian,91,148,492,30.1
31,T31,T31,Graham DeLaet,79,148,484,30.6
32,T31,T31,Charlie Wi,86,148,536,27.6
33,34,34,Bo Van Pelt,84,147,491,29.9
34,T35,T35,James Driscoll,83,146,512,28.5
35,T35,T35,Bob Estes,78,146,486,30.0
36,T35,T35,David Mathis,83,146,518,28.2
37,T35,T35,George McNeill,85,146,510,28.6
38,T35,T35,Seung-Yul Noh,105,146,578,25.3
39,T35,T35,John Rollins,81,146,482,30.3
40,T41,T41,Keegan Bradley,90,145,515,28.2
41,T41,T41,Robert Garrigus,89,145,506,28.7
42,T41,T41,Bobby Gates,87,145,504,28.8
43,T44,T44,Tom Gillis,75,144,510,28.2
44,T44,T44,Billy Mayfair,90,144,531,27.1
45,T44,T44,William McGirt,96,144,536,26.9
46,T44,T44,Cameron Tringale,88,144,528,27.3
47,48,48,Brandt Snedeker,81,143,513,27.9
48,T49,T49,Matt Every,80,142,461,30.8
49,T49,T49,Kevin Streelman,89,142,529,26.8
50,T51,T51,Cameron Beckman,81,141,466,30.3
51,T51,T51,Roberto Castro,92,141,506,27.9
52,53,53,Charley Hoffman,88,140,515,27.2
53,T54,T54,Martin Flores,95,139,581,23.9
54,T54,T54,Rickie Fowler,84,139,474,29.3
55,T54,T54,Jerry Kelly,84,139,519,26.8
56,T54,T54,Pat Perez,81,139,506,27.5
57,58,58,Kevin Chappell,91,138,496,27.8
58,T59,T59,Chad Campbell,84,136,464,29.3
59,T59,T59,Kevin Na,80,136,489,27.8
60,T61,T61,Marc Leishman,84,135,531,25.4
61,T61,T61,Jeff Maggert,83,135,527,25.6
62,T63,T63,Charles Howell III,98,134,503,26.6
63,T63,T63,Sean O'Hair,84,134,484,27.7
64,T63,T63,Webb Simpson,77,134,486,27.6
65,T63,T63,Michael Thompson,80,134,467,28.7
66,T63,T63,Camilo Villegas,79,134,463,28.9
67,68,68,Vijay Singh,99,133,549,24.2
68,T69,T69,Aaron Baddeley,73,131,444,29.5
69,T69,T69,Jason Dufner,83,131,466,28.1
70,T69,T69,Justin Leonard,79,131,482,27.2
71,T69,T69,Bryce Molder,83,131,508,25.8
72,T73,T73,Gavin Coles,72,130,433,30.0
73,T73,T73,Rory Sabbatini,84,130,539,24.1
74,T75,T75,Tim Herron,88,129,484,26.7
75,T75,T75,Nick O'Hern,78,129,467,27.6
76,T75,T75,Brendon Todd,78,129,447,28.9
77,T78,T78,Jason Bohn,81,128,453,28.3
78,T78,T78,Colt Knost,79,128,469,27.3
79,T78,T78,Spencer Levin,81,128,487,26.3
80,81,81,Heath Slocum,93,127,477,26.6
81,82,82,J.B. Holmes,90,126,562,22.4
82,T83,T83,Erik Compton,81,125,461,27.1
83,T83,T83,Chris DiMarco,83,125,524,23.9
84,T83,T83,Jason Kokrak,79,125,469,26.7
85,T83,T83,Phil Mickelson,79,125,470,26.6
86,T83,T83,Vaughn Taylor,81,125,434,28.8
87,T83,T83,Mark Wilson,84,125,466,26.8
88,T89,T89,Ernie Els,80,123,457,26.9
89,T89,T89,Sung Kang,75,123,446,27.6
90,T89,T89,Matt Kuchar,86,123,504,24.4
91,T89,T89,Kyle Reifers,86,123,470,26.2
92,93,93,Bill Haas,79,122,415,29.4
93,T94,T94,D.A. Points,88,121,537,22.5
94,T94,T94,"Ted Potter, Jr.",77,121,440,27.5
95,96,96,Kyle Stanley,86,120,451,26.6
96,97,97,Bill Lunde,83,119,473,25.2
97,T98,T98,Kevin Stadler,85,118,461,25.6
98,T98,T98,Scott Stallings,78,118,438,26.9
99,T100,T100,Stuart Appleby,75,117,461,25.4
100,T100,T100,Martin Laird,77,117,386,30.3
101,T100,T100,Daniel Summerhays,81,117,435,26.9
102,103,103,Tommy Biershenk,74,116,421,27.6
103,T104,T104,Arjun Atwal,79,115,447,25.7
104,T104,T104,Sangmoon Bae,81,115,414,27.8
105,T104,T104,Greg Owen,90,115,498,23.1
106,T107,T107,Mark Anderson,75,114,433,26.3
107,T107,T107,Ben Crane,73,114,464,24.6
108,T107,T107,Jim Furyk,85,114,466,24.5
109,T107,T107,Derek Lamely,64,114,412,27.7
110,T107,T107,John Senden,81,114,431,26.5
111,T107,T107,Brendan Steele,77,114,404,28.2
112,113,113,Jhonattan Vegas,77,113,435,26.0
113,114,114,Chez Reavie,83,112,430,26.0
114,T115,T115,Davis Love III,64,111,370,30.0
115,T115,T115,Rocco Mediate,70,111,412,26.9
