,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Kevin Kisner,69,1.499,1754,1170
1,T2,T2,Dicky Pride,62,1.5,1566,1044
2,T2,T2,Henrik Stenson,51,1.5,1377,918
3,4,4,Jonas Blixt,72,1.506,1952,1296
4,T5,T5,Ryo Ishikawa,54,1.51,1413,936
5,T5,T5,Matt Jones,53,1.51,1441,954
6,T5,T5,David Mathis,83,1.51,2201,1458
7,T5,T5,Patrick Sheehan,58,1.51,1522,1008
8,9,9,Marco Dawson,60,1.511,1577,1044
9,T10,T10,Tommy Biershenk,74,1.5119999999999998,1959,1296
10,T10,T10,Gavin Coles,72,1.5119999999999998,1905,1260
11,12,12,Brandt Jobe,57,1.515,1554,1026
12,T13,T13,Matt Bettencourt,80,1.517,2075,1368
13,T13,T13,Brendon Todd,78,1.517,2021,1332
14,15,15,Danny Lee,74,1.518,1913,1260
15,16,16,Brian Davis,91,1.52,2489,1638
16,17,17,Rocco Mediate,70,1.521,1862,1224
17,T18,T18,Stephen Gangluff,57,1.5219999999999998,1507,990
18,T18,T18,Andres Romero,68,1.5219999999999998,1753,1152
19,20,20,James Driscoll,83,1.5230000000000001,2275,1494
20,21,21,Billy Horschel,63,1.524,1618,1062
21,T22,T22,Ben Curtis,62,1.526,1703,1116
22,T22,T22,Matt Every,80,1.526,2198,1440
23,T22,T22,J.J. Killeen,101,1.526,2664,1746
24,25,25,Erik Compton,81,1.527,2117,1386
25,26,26,Daniel Chopra,55,1.528,1458,954
26,27,27,Ángel Cabrera,54,1.5290000000000001,1486,972
27,28,28,Vaughn Taylor,81,1.53,2176,1422
28,29,29,Jeff Overton,101,1.531,2784,1818
29,T30,T30,Charlie Beljan,61,1.5319999999999998,1572,1026
30,T30,T30,Ken Duke,104,1.5319999999999998,2868,1872
31,T30,T30,Edward Loar,59,1.5319999999999998,1572,1026
32,33,33,Nathan Green,73,1.536,1908,1242
33,34,34,Mark Anderson,75,1.537,2020,1314
34,35,35,Roland Thatcher,55,1.54,1469,954
35,36,36,Billy Hurley III,70,1.5430000000000001,1889,1224
36,T37,T37,Jerry Kelly,84,1.544,2334,1512
37,T37,T37,George McNeill,85,1.544,2363,1530
38,39,39,"Ted Potter, Jr.",77,1.545,2141,1386
39,T40,T40,Miguel Angel Carballo,73,1.547,1921,1242
40,T40,T40,J.B. Holmes,90,1.547,2395,1548
41,T42,T42,Michael Bradley,63,1.5490000000000002,1757,1134
42,T42,T42,Chris DiMarco,83,1.5490000000000002,2259,1458
43,44,44,Scott Brown,65,1.55,1758,1134
44,T45,T45,Derek Lamely,64,1.551,1787,1152
45,T45,T45,Brandt Snedeker,81,1.551,2178,1404
46,47,47,Greg Chalmers,88,1.5519999999999998,2430,1566
47,48,48,Bill Lunde,83,1.5530000000000002,2209,1422
48,49,49,William McGirt,96,1.557,2690,1728
49,50,50,Aaron Baddeley,73,1.5590000000000002,2021,1296
50,T51,T51,Hunter Haas,69,1.56,1825,1170
51,T51,T51,Daniel Summerhays,81,1.56,2275,1458
52,T53,T53,Martin Flores,95,1.561,2670,1710
53,T53,T53,Rod Pampling,88,1.561,2360,1512
54,55,55,Seung-Yul Noh,105,1.5619999999999998,2840,1818
55,T56,T56,Graham DeLaet,79,1.5630000000000002,2222,1422
56,T56,T56,Brian Gay,91,1.5630000000000002,2447,1566
57,T56,T56,Troy Kelly,68,1.5630000000000002,1800,1152
58,59,59,Kevin Stadler,85,1.565,2282,1458
59,60,60,Troy Matteson,100,1.5659999999999998,2763,1764
60,61,61,Charlie Wi,86,1.569,2429,1548
61,62,62,Blake Adams,107,1.57,3023,1926
62,63,63,Sung Kang,75,1.571,2064,1314
63,64,64,Roberto Castro,92,1.5719999999999998,2547,1620
64,T65,T65,Will Claxton,99,1.5759999999999998,2808,1782
65,T65,T65,Kyle Reifers,86,1.5759999999999998,2440,1548
66,T67,T67,Stephen Ames,54,1.577,1533,972
67,T67,T67,Kevin Na,80,1.577,2243,1422
68,T67,T67,Ian Poulter,57,1.577,1590,1008
69,70,70,Padraig Harrington,67,1.578,1790,1134
70,T71,T71,Jason Day,57,1.579,1563,990
71,T71,T71,Brendon de Jonge,115,1.579,3268,2070
72,73,73,Zach Johnson,95,1.58,2674,1692
73,T74,T74,Arjun Atwal,79,1.581,2134,1350
74,T74,T74,Carl Pettersson,92,1.581,2618,1656
75,T76,T76,Jason Bohn,81,1.5830000000000002,2194,1386
76,T76,T76,Richard Lee,71,1.5830000000000002,1909,1206
77,T76,T76,Phil Mickelson,79,1.5830000000000002,2251,1422
78,T76,T76,Steve Wheatcroft,56,1.5830000000000002,1482,936
79,T76,T76,Y.E. Yang,64,1.5830000000000002,1767,1116
80,81,81,Matt Kuchar,86,1.584,2338,1476
81,82,82,Heath Slocum,93,1.585,2539,1602
82,83,83,J.J. Henry,93,1.587,2542,1602
83,84,84,Bob Estes,78,1.588,2230,1404
84,T85,T85,Luke Donald,63,1.591,1775,1116
85,T85,T85,Dustin Johnson,70,1.591,1919,1206
86,T85,T85,Spencer Levin,81,1.591,2263,1422
87,88,88,Sergio Garcia,57,1.5919999999999999,1605,1008
88,89,89,Tom Gillis,75,1.5930000000000002,2150,1350
89,T90,T90,Ryuji Imada,78,1.594,2180,1368
90,T90,T90,Kevin Streelman,89,1.594,2553,1602
91,T92,T92,Rory McIlroy,60,1.5959999999999999,1551,972
92,T92,T92,Geoff Ogilvy,73,1.5959999999999999,2069,1296
93,T92,T92,Pat Perez,81,1.5959999999999999,2269,1422
94,T92,T92,Scott Piercy,95,1.5959999999999999,2730,1710
95,T96,T96,Ben Crane,73,1.597,2070,1296
96,T96,T96,Ryan Palmer,81,1.597,2328,1458
97,T96,T96,Charl Schwartzel,56,1.597,1552,972
98,T99,T99,Sangmoon Bae,81,1.598,2215,1386
99,T99,T99,Russell Knox,72,1.598,1956,1224
100,T99,T99,Boo Weekley,74,1.598,2013,1260
101,T102,T102,Webb Simpson,77,1.599,2188,1368
102,T102,T102,Jimmy Walker,101,1.599,2907,1818
103,T104,T104,Brian Harman,101,1.6,2908,1818
104,T104,T104,Bo Van Pelt,84,1.6,2391,1494
105,T106,T106,Chris Couch,61,1.601,1700,1062
106,T106,T106,Rory Sabbatini,84,1.601,2420,1512
107,108,108,Mathew Goggin,65,1.6019999999999999,1817,1134
108,109,109,Gary Christian,91,1.6030000000000002,2510,1566
109,T110,T110,Keegan Bradley,90,1.604,2541,1584
110,T110,T110,Ryan Moore,89,1.604,2569,1602
111,T112,T112,Bud Cauley,99,1.605,2860,1782
112,T112,T112,John Daly,50,1.605,1329,828
113,T112,T112,Chris Stroud,86,1.605,2484,1548
114,T112,T112,Kyle Thompson,51,1.605,1416,882
115,T116,T116,Tommy Gainey,98,1.6059999999999999,2833,1764
116,T116,T116,Bryce Molder,83,1.6059999999999999,2284,1422
117,T116,T116,Tiger Woods,69,1.6059999999999999,1937,1206
118,119,119,Justin Leonard,79,1.607,2170,1350
119,120,120,Bobby Gates,87,1.61,2464,1530
120,121,121,Michael Thompson,80,1.611,2320,1440
121,122,122,Graeme McDowell,55,1.6119999999999999,1567,972
122,T123,T123,Jim Furyk,85,1.614,2440,1512
123,T123,T123,Steve Stricker,73,1.614,2034,1260
124,T125,T125,Jason Dufner,83,1.615,2384,1476
125,T125,T125,Scott Dunlap,57,1.615,1541,954
126,T127,T127,Stuart Appleby,75,1.6159999999999999,2065,1278
127,T127,T127,Tom Pernice Jr.,62,1.6159999999999999,1687,1044
128,T129,T129,Freddie Jacobson,61,1.617,1746,1080
129,T129,T129,Davis Love III,64,1.617,1863,1152
