,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Brandt Snedeker,81,102.4,876,42,855
1,2,2,Louis Oosthuizen,65,102.29,699,27,688
2,3,3,Ben Crane,73,102.21,859,50,828
3,4,4,William McGirt,96,101.79,1115,45,1090
4,5,5,Gavin Coles,72,101.78,786,31,769
5,6,6,Derek Lamely,64,101.42,772,35,748
6,7,7,Jonas Blixt,72,101.38,867,33,846
7,8,8,Ben Curtis,62,101.34,672,27,654
8,9,9,Phil Mickelson,79,101.33,830,34,807
9,10,10,Ian Poulter,57,101.3,538,16,529
10,11,11,Bo Van Pelt,84,101.26,870,26,855
11,12,12,Luke Donald,63,101.22,657,22,643
12,13,13,Tiger Woods,69,101.17,682,28,662
13,T14,T14,Martin Flores,95,101.16,1124,46,1091
14,T14,T14,Sergio Garcia,57,101.16,606,16,597
15,16,16,Matt Kuchar,86,100.97,932,35,906
16,17,17,Johnson Wagner,88,100.86,1044,36,1017
17,T18,T18,Jason Day,57,100.77,648,21,632
18,T18,T18,Webb Simpson,77,100.77,910,39,878
19,T20,T20,James Driscoll,83,100.71,992,40,959
20,T20,T20,Brian Harman,101,100.71,1266,52,1223
21,T22,T22,Brian Gay,91,100.65,1080,30,1057
22,T22,T22,David Hearn,95,100.65,1224,40,1192
23,24,24,Keegan Bradley,90,100.61,989,37,958
24,25,25,John Huh,99,100.59,1196,41,1162
25,26,26,Greg Chalmers,88,100.58,1038,29,1015
26,27,27,Michael Thompson,80,100.56,899,34,870
27,28,28,Jason Dufner,83,100.55,911,40,876
28,29,29,Scott Piercy,95,100.5,1190,44,1152
29,T30,T30,Edward Loar,59,100.49,608,20,591
30,T30,T30,Seung-Yul Noh,105,100.49,1223,41,1188
31,32,32,Brendon de Jonge,115,100.48,1444,57,1394
32,33,33,Jeff Overton,101,100.46,1299,43,1262
33,34,34,Ryan Palmer,81,100.41,981,31,954
34,35,35,Adam Scott,59,100.34,588,26,564
35,T36,T36,Jim Furyk,85,100.32,924,18,909
36,T36,T36,Hunter Mahan,88,100.32,939,30,912
37,38,38,Brandt Jobe,57,100.31,648,21,629
38,T39,T39,George McNeill,85,100.3,1004,38,969
39,T39,T39,Jhonattan Vegas,77,100.3,990,36,957
40,T41,T41,Billy Horschel,63,100.29,699,27,674
41,T41,T41,Charlie Wi,86,100.29,1030,38,995
42,43,43,Tim Clark,60,100.28,706,25,683
43,44,44,Martin Laird,77,100.27,749,19,732
44,45,45,Stewart Cink,71,100.26,779,30,751
45,46,46,Jonathan Byrd,69,100.25,797,30,769
46,47,47,Tommy Gainey,98,100.24,1265,52,1216
47,48,48,Brendon Todd,78,100.23,878,31,849
48,T49,T49,John Daly,50,100.2,510,17,494
49,T49,T49,Bryce Molder,83,100.2,989,34,957
50,51,51,Ryo Ishikawa,54,100.19,537,16,522
51,52,52,Troy Kelly,68,100.13,742,33,710
52,53,53,Zach Johnson,95,100.1,1026,32,995
53,T54,T54,J.B. Holmes,90,100.09,1141,40,1102
54,T54,T54,Carl Pettersson,92,100.09,1115,29,1087
55,T56,T56,Ken Duke,104,100.0,1266,50,1216
56,T56,T56,Tom Gillis,75,100.0,966,30,936
57,T56,T56,Billy Hurley III,70,100.0,793,22,771
58,T56,T56,Danny Lee,74,100.0,841,32,809
59,T56,T56,Steve Wheatcroft,56,100.0,602,18,584
60,61,61,Jimmy Walker,101,99.92,1263,32,1230
61,T62,T62,Nathan Green,73,99.88,814,26,787
62,T62,T62,Bill Haas,79,99.88,863,26,836
63,T64,T64,Michael Bradley,63,99.87,791,31,759
64,T64,T64,Steve Stricker,73,99.87,767,19,747
65,T64,T64,Bubba Watson,68,99.87,755,23,731
66,67,67,Dicky Pride,62,99.86,695,23,671
67,T68,T68,Gary Christian,91,99.81,1050,34,1014
68,T68,T68,Kyle Reifers,86,99.81,1072,31,1039
69,T68,T68,Nick Watney,97,99.81,1065,34,1029
70,71,71,Rod Pampling,88,99.8,1007,31,974
71,72,72,Spencer Levin,81,99.79,940,29,909
72,73,73,Harris English,98,99.76,1239,33,1203
73,74,74,Kevin Kisner,69,99.74,760,25,733
74,T75,T75,Charles Howell III,98,99.73,1113,34,1076
75,T75,T75,Ryan Moore,89,99.73,1124,35,1086
76,77,77,Roberto Castro,92,99.72,1089,31,1055
77,T78,T78,Bud Cauley,99,99.7,1312,34,1274
78,T78,T78,Garth Mulroy,59,99.7,660,21,637
79,80,80,Rickie Fowler,84,99.69,959,29,927
80,81,81,Will Claxton,99,99.68,1241,37,1200
81,82,82,Chris Kirk,93,99.67,1212,36,1172
82,83,83,Rocco Mediate,70,99.65,846,25,818
83,T84,T84,Tommy Biershenk,74,99.63,809,27,779
84,T84,T84,Richard Lee,71,99.63,807,17,787
85,86,86,Geoff Ogilvy,73,99.62,780,16,761
86,87,87,Justin Rose,69,99.61,773,26,744
87,88,88,J.J. Killeen,101,99.59,1230,44,1181
88,89,89,Jeff Maggert,83,99.56,1125,37,1083
