,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Ben Crane,73,"87' 8""",65202,62,"4' 11""","151' 11"""
1,2,2,Brandt Snedeker,81,"83' 7""",65189,65,"4' 9""","177' 6"""
2,3,3,Derek Lamely,64,"82' 11""",55728,56,"4' 8""","142' 5"""
3,4,4,Phil Mickelson,79,"81' 9""",58859,60,"4' 7""","146' 8"""
4,5,5,Michael Thompson,80,"81' 1""",63272,65,"4' 6""","153' 11"""
5,6,6,Jonas Blixt,72,"80' 3""",61621,64,"4' 6""","160' 11"""
6,7,7,Martin Flores,95,"79' 10""",78587,82,"4' 6""","166' 3"""
7,8,8,Tommy Gainey,98,"79' 8""",86068,90,"4' 6""","178' 8"""
8,9,9,Ken Duke,104,"79' 3""",85567,90,"4' 5""","153' 10"""
9,10,10,John Daly,50,"79' 2""",36082,38,"4' 5""","138' 4"""
10,T11,T11,Webb Simpson,77,"79' 0""",62568,66,"4' 6""","145' 7"""
11,T11,T11,Henrik Stenson,51,"79' 0""",39795,42,"4' 6""","119' 5"""
12,T13,T13,Andres Romero,68,"78' 10""",51110,54,"4' 5""","166' 1"""
13,T13,T13,Adam Scott,59,"78' 10""",38770,41,"4' 5""","130' 3"""
14,T15,T15,Keegan Bradley,90,"78' 9""",67119,71,"4' 5""","170' 0"""
15,T15,T15,Brian Davis,91,"78' 9""",74680,79,"4' 5""","142' 6"""
16,T15,T15,James Driscoll,83,"78' 9""",66127,70,"4' 5""","154' 10"""
17,18,18,Danny Lee,74,"78' 6""",55581,59,"4' 5""","154' 9"""
18,19,19,Nick Watney,97,"78' 5""",71506,76,"4' 5""","190' 5"""
19,20,20,Johnson Wagner,88,"78' 3""",71380,76,"4' 5""","174' 6"""
20,T21,T21,Luke Donald,63,"78' 1""",44957,48,"4' 5""","121' 7"""
21,T21,T21,Harrison Frazar,56,"78' 1""",44976,48,"4' 4""","166' 5"""
22,T21,T21,Brendon Todd,78,"78' 1""",59024,63,"4' 5""","138' 3"""
23,T24,T24,Gavin Coles,72,"78' 0""",53336,57,"4' 4""","197' 10"""
24,T24,T24,Jason Dufner,83,"78' 0""",59916,64,"4' 4""","147' 11"""
25,26,26,Jason Day,57,"77' 9""",43848,47,"4' 5""","140' 6"""
26,T27,T27,Zach Johnson,95,"77' 7""",68883,74,"4' 4""","161' 6"""
27,T27,T27,Ryan Moore,89,"77' 7""",75415,81,"4' 4""","127' 8"""
28,29,29,Bryce Molder,83,"77' 6""",66002,71,"4' 4""","140' 9"""
29,30,30,"Ted Potter, Jr.",77,"77' 5""",56694,61,"4' 4""","137' 4"""
30,T31,T31,Jonathan Byrd,69,"77' 3""",51915,56,"4' 4""","162' 2"""
31,T31,T31,Ben Curtis,62,"77' 3""",44484,48,"4' 4""","148' 3"""
32,T31,T31,Ryuji Imada,78,"77' 3""",63938,69,"4' 4""","171' 2"""
33,T34,T34,Jeff Overton,101,"77' 1""",85077,92,"4' 4""","160' 10"""
34,T34,T34,Tiger Woods,69,"77' 1""",44392,48,"4' 4""","122' 7"""
35,T36,T36,Robert Garrigus,89,"77' 0""",68363,74,"4' 4""","161' 8"""
36,T36,T36,David Hearn,95,"77' 0""",81280,88,"4' 4""","130' 4"""
37,T36,T36,Louis Oosthuizen,65,"77' 0""",45281,49,"4' 4""","156' 9"""
38,T39,T39,Tommy Biershenk,74,"76' 9""",53394,58,"4' 4""","142' 5"""
39,T39,T39,Bo Van Pelt,84,"76' 9""",59837,65,"4' 4""","141' 10"""
40,T41,T41,Cameron Beckman,81,"76' 8""",63448,69,"4' 3""","159' 0"""
41,T41,T41,Matt Kuchar,86,"76' 8""",60689,66,"4' 4""","135' 8"""
42,T43,T43,John Huh,99,"76' 7""",78134,85,"4' 4""","169' 3"""
43,T43,T43,William McGirt,96,"76' 7""",72613,79,"4' 3""","161' 4"""
44,T43,T43,Ryan Palmer,81,"76' 7""",65235,71,"4' 4""","129' 11"""
45,46,46,Graeme McDowell,55,"76' 6""",34873,38,"4' 3""","121' 7"""
46,T47,T47,Nathan Green,73,"76' 5""",52293,57,"4' 4""","135' 7"""
47,T47,T47,Ian Poulter,57,"76' 5""",34829,38,"4' 4""","148' 8"""
48,T47,T47,Y.E. Yang,64,"76' 5""",44014,48,"4' 3""","116' 7"""
49,50,50,Charlie Wi,86,"76' 4""",66833,73,"4' 4""","159' 3"""
50,51,51,Edward Loar,59,"76' 3""",39331,43,"4' 3""","130' 10"""
51,T52,T52,Scott Piercy,95,"76' 0""",78440,86,"4' 3""","186' 2"""
52,T52,T52,Justin Rose,69,"76' 0""",48337,53,"4' 3""","136' 5"""
53,T52,T52,Lee Westwood,60,"76' 0""",36498,40,"4' 3""","152' 1"""
54,55,55,Brian Harman,101,"75' 10""",80044,88,"4' 3""","157' 9"""
55,T56,T56,Sergio Garcia,57,"75' 9""",39984,44,"4' 3""","144' 3"""
56,T56,T56,Jhonattan Vegas,77,"75' 9""",62707,69,"4' 3""","173' 9"""
