,One-Putt_Percentage_-_Round_3_RANK THIS WEEK,One-Putt_Percentage_-_Round_3_RANK LAST WEEK,One-Putt_Percentage_-_Round_3_PLAYER NAME,One-Putt_Percentage_-_Round_3_%,One-Putt_Percentage_-_Round_3_# OF 1 PUTTS,One-Putt_Percentage_-_Round_3_# OF HOLES
0,1,1,Phil Mickelson,47.53,154,324
1,2,2,Brian Gay,46.41,142,306
2,3,3,Jeff Overton,46.21,183,396
3,4,4,Jonas Blixt,46.18,133,288
4,5,5,Derek Lamely,45.83,66,144
5,6,6,Zach Johnson,45.65,189,414
6,T7,T7,Ryan Palmer,45.42,139,306
7,T7,T7,Johnson Wagner,45.42,139,306
8,9,9,Brandt Snedeker,45.06,146,324
9,T10,T10,Cameron Beckman,44.44,112,252
10,T10,T10,Freddie Jacobson,44.44,112,252
11,12,12,Webb Simpson,44.12,135,306
12,13,13,Jonathan Byrd,44.05,111,252
13,14,14,Bryce Molder,43.79,134,306
14,15,15,Sung Kang,43.75,63,144
15,16,16,Trevor Immelman,43.7,118,270
16,17,17,Daniel Chopra,43.65,55,126
17,18,18,Jason Bohn,43.59,102,234
18,19,19,Y.E. Yang,43.52,94,216
19,20,20,Harrison Frazar,43.21,70,162
20,21,21,Padraig Harrington,42.96,116,270
21,22,22,Spencer Levin,42.71,123,288
22,T23,T23,Greg Chalmers,42.5,153,360
23,T23,T23,Matt Kuchar,42.5,153,360
24,25,25,Jerry Kelly,42.48,130,306
25,T26,T26,Gavin Coles,42.46,107,252
26,T26,T26,Ian Poulter,42.46,107,252
27,28,28,David Toms,42.42,84,198
28,29,29,Jim Furyk,42.4,145,342
29,30,30,Sangmoon Bae,42.36,122,288
30,T31,T31,Brian Davis,42.28,137,324
31,T31,T31,Josh Teater,42.28,137,324
32,33,33,Aaron Baddeley,42.22,114,270
33,34,34,Rory McIlroy,42.13,91,216
34,35,35,William McGirt,42.11,144,342
35,36,36,Stephen Ames,42.06,53,126
36,37,37,Troy Kelly,41.92,83,198
37,38,38,Ryuji Imada,41.88,98,234
38,T39,T39,Keegan Bradley,41.67,150,360
39,T39,T39,Tommy Gainey,41.67,150,360
40,T39,T39,"Ted Potter, Jr.",41.67,105,252
41,T39,T39,Rory Sabbatini,41.67,105,252
42,T39,T39,Charlie Wi,41.67,135,324
43,44,44,Luke Donald,41.48,112,270
44,45,45,Bud Cauley,41.41,164,396
45,46,46,Cameron Tringale,41.36,134,324
46,47,47,Tom Gillis,41.32,119,288
47,48,48,David Mathis,41.27,104,252
48,T49,T49,Jason Day,41.2,89,216
49,T49,T49,Hunter Haas,41.2,89,216
50,51,51,Billy Mayfair,41.18,126,306
51,52,52,Kevin Kisner,41.11,74,180
52,53,53,Dustin Johnson,40.97,118,288
53,T54,T54,Ricky Barnes,40.85,125,306
54,T54,T54,Geoff Ogilvy,40.85,125,306
55,56,56,Billy Hurley III,40.74,66,162
56,57,57,Chris Kirk,40.64,139,342
57,58,58,Matt Bettencourt,40.56,73,180
58,T59,T59,Chris DiMarco,40.48,102,252
59,T59,T59,Brian Harman,40.48,153,378
60,61,61,Garth Mulroy,40.4,80,198
61,62,62,D.A. Points,40.37,109,270
62,63,63,Scott Piercy,40.28,145,360
63,64,64,Kevin Na,40.2,123,306
64,T65,T65,Stuart Appleby,40.17,94,234
