,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Ben Crane,73,10.86,267,29
1,2,2,Derek Lamely,64,9.68,279,27
2,3,3,Jason Dufner,83,9.47,264,25
3,4,4,Adam Scott,59,9.39,181,17
4,5,5,Webb Simpson,77,8.91,258,23
5,6,6,Michael Bradley,63,8.89,270,24
6,7,7,Danny Lee,74,8.71,241,21
7,8,8,Brandt Snedeker,81,8.68,288,25
8,9,9,Graeme McDowell,55,8.64,162,14
9,10,10,Jonathan Byrd,69,8.61,244,21
10,11,11,Jonas Blixt,72,8.6,279,24
11,12,12,Phil Mickelson,79,8.59,256,22
12,13,13,Troy Kelly,68,8.3,229,19
13,14,14,Tim Clark,60,8.2,183,15
14,15,15,Henrik Stenson,51,8.1,210,17
15,16,16,Sergio Garcia,57,8.02,187,15
16,17,17,Michael Thompson,80,7.94,315,25
17,18,18,Brian Harman,101,7.9,367,29
18,19,19,Rickie Fowler,84,7.87,267,21
19,20,20,Kevin Kisner,69,7.69,221,17
20,21,21,Nick Watney,97,7.65,327,25
21,22,22,Louis Oosthuizen,65,7.52,226,17
22,23,23,Camilo Villegas,79,7.42,337,25
23,24,24,Keegan Bradley,90,7.34,327,24
24,25,25,Jason Day,57,7.25,207,15
25,T26,T26,Ian Poulter,57,7.14,154,11
26,T26,T26,Charlie Wi,86,7.14,294,21
27,28,28,D.A. Points,88,7.1,352,25
28,29,29,John Huh,99,7.07,382,27
29,30,30,Bubba Watson,68,7.05,227,16
30,31,31,Erik Compton,81,7.01,271,19
31,32,32,Jhonattan Vegas,77,7.0,343,24
32,33,33,Brendon de Jonge,115,6.95,475,33
33,34,34,Gavin Coles,72,6.93,274,19
34,35,35,Justin Rose,69,6.91,246,17
35,36,36,J.B. Holmes,90,6.84,351,24
36,37,37,James Driscoll,83,6.8,338,23
37,38,38,Seung-Yul Noh,105,6.79,427,29
38,T39,T39,Ken Duke,104,6.7,373,25
39,T39,T39,Billy Horschel,63,6.7,224,15
40,T39,T39,Garth Mulroy,59,6.7,194,13
41,T42,T42,Jeff Maggert,83,6.69,329,22
42,T42,T42,John Merrick,83,6.69,344,23
43,44,44,Brendon Todd,78,6.64,271,18
44,45,45,Rod Pampling,88,6.63,332,22
45,46,46,Jerry Kelly,84,6.62,317,21
