,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
0,1,1,Stewart Cink,71,20.73,82,17.0
1,2,2,William McGirt,96,20.63,126,26.0
2,3,3,J.J. Killeen,101,20.0,130,26.0
3,4,4,Ben Crane,73,19.81,106,21.0
4,5,5,Tiger Woods,69,19.72,71,14.0
5,6,6,Tommy Gainey,98,19.57,138,27.0
6,7,7,Martin Flores,95,19.2,125,24.0
7,8,8,Cameron Beckman,81,18.48,92,17.0
8,9,9,John Daly,50,18.37,49,9.0
9,T10,T10,James Driscoll,83,18.28,93,17.0
10,T10,T10,Bryce Molder,83,18.28,93,17.0
11,12,12,Daniel Chopra,55,18.18,55,10.0
12,13,13,Scott Piercy,95,17.88,151,27.0
13,14,14,Brandt Snedeker,81,17.78,90,16.0
14,15,15,Bo Van Pelt,84,17.65,85,15.0
15,16,16,Ken Duke,104,17.48,143,25.0
16,17,17,Harrison Frazar,56,17.19,64,11.0
17,18,18,Webb Simpson,77,17.02,94,16.0
18,T19,T19,Tommy Biershenk,74,16.67,84,14.0
19,T19,T19,Chris DiMarco,83,16.67,96,16.0
20,T19,T19,Troy Kelly,68,16.67,84,14.0
21,22,22,Brian Harman,101,16.42,134,22.0
22,23,23,Chris Couch,61,16.05,81,13.0
23,24,24,Ryan Moore,89,16.0,125,20.0
24,25,25,Matt Kuchar,86,15.65,115,18.0
25,T26,T26,Gavin Coles,72,15.38,78,12.0
26,T26,T26,Hunter Mahan,88,15.38,104,16.0
27,T26,T26,Rory McIlroy,60,15.38,52,8.0
28,29,29,Billy Horschel,63,15.19,79,12.0
29,30,30,Jeff Overton,101,15.04,113,17.0
30,T31,T31,Sung Kang,75,15.0,80,12.0
31,T31,T31,Phil Mickelson,79,15.0,80,12.0
32,T31,T31,Y.E. Yang,64,15.0,60,9.0
33,34,34,Billy Hurley III,70,14.93,67,10.0
34,T35,T35,Tom Gillis,75,14.89,94,14.0
35,T35,T35,Ryuji Imada,78,14.89,94,14.0
36,37,37,Brendon de Jonge,115,14.77,149,22.0
37,38,38,Hunter Haas,69,14.75,61,9.0
38,39,39,Kevin Na,80,14.74,95,14.0
39,40,40,Freddie Jacobson,61,14.71,68,10.0
40,41,41,J.B. Holmes,90,14.41,111,16.0
41,T42,T42,Brian Davis,91,14.29,112,16.0
42,T42,T42,Spencer Levin,81,14.29,98,14.0
43,T42,T42,George McNeill,85,14.29,126,18.0
44,T42,T42,Nick O'Hern,78,14.29,105,15.0
45,T42,T42,John Senden,81,14.29,91,13.0
46,47,47,Jason Dufner,83,14.15,106,15.0
47,48,48,Ryan Palmer,81,14.14,99,14.0
48,49,49,Daniel Summerhays,81,14.13,92,13.0
49,50,50,Luke Donald,63,14.12,85,12.0
50,51,51,Ben Curtis,62,13.89,72,10.0
51,T52,T52,Ryo Ishikawa,54,13.79,58,8.0
52,T52,T52,Jimmy Walker,101,13.79,145,20.0
53,54,54,Sean O'Hair,84,13.76,109,15.0
54,55,55,Bill Haas,79,13.64,88,12.0
55,56,56,Troy Matteson,100,13.54,96,13.0
56,57,57,Dicky Pride,62,13.51,74,10.0
57,58,58,Charlie Wi,86,13.49,126,17.0
58,59,59,Zach Johnson,95,13.48,89,12.0
59,60,60,Miguel Angel Carballo,73,13.41,82,11.0
60,61,61,Brendon Todd,78,13.4,97,13.0
61,62,62,John Mallinger,74,13.33,105,14.0
62,63,63,Mark Anderson,75,13.19,91,12.0
63,64,64,Edward Loar,59,13.11,61,8.0
64,65,65,Chez Reavie,83,12.96,108,14.0
65,66,66,Robert Allenby,76,12.77,94,12.0
66,67,67,Pat Perez,81,12.66,79,10.0
67,T68,T68,Matt Every,80,12.5,88,11.0
68,T68,T68,John Rollins,81,12.5,96,12.0
69,T68,T68,Justin Rose,69,12.5,72,9.0
70,71,71,Louis Oosthuizen,65,12.35,81,10.0
71,T72,T72,D.A. Points,88,12.2,123,15.0
72,T72,T72,Gary Woodland,70,12.2,82,10.0
73,74,74,Dustin Johnson,70,12.05,83,10.0
74,T75,T75,Ernie Els,80,11.96,92,11.0
75,T75,T75,D.J. Trahan,73,11.96,92,11.0
76,77,77,Vijay Singh,99,11.9,126,15.0
77,78,78,Kevin Streelman,89,11.85,135,16.0
78,79,79,Danny Lee,74,11.83,93,11.0
79,T80,T80,Nathan Green,73,11.76,85,10.0
80,T80,T80,David Hearn,95,11.76,136,16.0
81,T80,T80,Billy Mayfair,90,11.76,119,14.0
82,T80,T80,Tom Pernice Jr.,62,11.76,68,8.0
83,84,84,Charles Howell III,98,11.71,111,13.0
84,85,85,Ricky Barnes,92,11.59,138,16.0
85,T86,T86,Scott Brown,65,11.58,95,11.0
86,T86,T86,Bill Lunde,83,11.58,95,11.0
87,T88,T88,Chad Campbell,84,11.57,121,14.0
88,T88,T88,Kyle Stanley,86,11.57,121,14.0
89,90,90,Henrik Stenson,51,11.54,52,6.0
90,91,91,David Mathis,83,11.49,87,10.0
91,92,92,Stephen Gangluff,57,11.48,61,7.0
92,93,93,Adam Scott,59,11.39,79,9.0
93,T94,T94,Chris Kirk,93,11.36,132,15.0
94,T94,T94,Rocco Mediate,70,11.36,88,10.0
95,96,96,Brendan Steele,77,11.32,106,12.0
96,T97,T97,Keegan Bradley,90,11.3,115,13.0
97,T97,T97,Cameron Tringale,88,11.3,115,13.0
98,99,99,Tim Clark,60,11.24,89,10.0
99,T100,T100,Colt Knost,79,11.11,117,13.0
100,T100,T100,Charl Schwartzel,56,11.11,54,6.0
101,102,102,Gary Christian,91,11.02,127,14.0
102,103,103,Trevor Immelman,76,10.99,91,10.0
103,104,104,Patrick Sheehan,58,10.96,73,8.0
104,105,105,Johnson Wagner,88,10.85,129,14.0
105,T106,T106,Robert Garrigus,89,10.81,111,12.0
106,T106,T106,Padraig Harrington,67,10.81,74,8.0
107,108,108,Lee Westwood,60,10.77,65,7.0
108,109,109,Jonathan Byrd,69,10.71,84,9.0
109,110,110,Bob Estes,78,10.59,85,9.0
110,T111,T111,Kris Blanks,65,10.53,95,10.0
111,T111,T111,John Huh,99,10.53,133,14.0
112,T111,T111,Jhonattan Vegas,77,10.53,114,12.0
113,T114,T114,Jeff Maggert,83,10.45,134,14.0
114,T114,T114,Kyle Reifers,86,10.45,134,14.0
115,T114,T114,David Toms,60,10.45,67,7.0
116,117,117,Roland Thatcher,55,10.39,77,8.0
117,T118,T118,Matt Bettencourt,80,10.34,87,9.0
118,T118,T118,Carl Pettersson,92,10.34,116,12.0
119,T118,T118,Alexandre Rocha,62,10.34,87,9.0
120,121,121,Camilo Villegas,79,10.17,118,12.0
121,122,122,Greg Owen,90,10.16,128,13.0
122,123,123,Vaughn Taylor,81,10.11,89,9.0
123,T124,T124,Matt Jones,53,10.0,60,6.0
124,T124,T124,Jason Kokrak,79,10.0,110,11.0
125,T124,T124,Derek Lamely,64,10.0,80,8.0
126,T124,T124,Garth Mulroy,59,10.0,70,7.0
127,T124,T124,Bubba Watson,68,10.0,70,7.0
128,T129,T129,Sangmoon Bae,81,9.89,91,9.0
129,T129,T129,Jonas Blixt,72,9.89,91,9.0
130,T129,T129,Michael Thompson,80,9.89,91,9.0
131,132,132,Andres Romero,68,9.86,71,7.0
132,133,133,J.J. Henry,93,9.82,112,11.0
133,134,134,Jason Bohn,81,9.8,102,10.0
134,T135,T135,Kevin Kisner,69,9.76,82,8.0
135,T135,T135,Seung-Yul Noh,105,9.76,123,12.0
136,T137,T137,Stephen Ames,54,9.68,62,6.0
137,T137,T137,Roberto Castro,92,9.68,124,12.0
138,T137,T137,Jason Day,57,9.68,62,6.0
139,140,140,Blake Adams,107,9.52,126,12.0
140,T141,T141,Jim Furyk,85,9.47,95,9.0
141,T141,T141,Rory Sabbatini,84,9.47,95,9.0
142,143,143,John Merrick,83,9.42,138,13.0
143,144,144,Rod Pampling,88,9.38,96,9.0
144,145,145,Graham DeLaet,79,9.35,107,10.0
145,146,146,"Ted Potter, Jr.",77,9.28,97,9.0
146,147,147,Kevin Stadler,85,9.24,119,11.0
147,148,148,Boo Weekley,74,9.2,87,8.0
148,149,149,Justin Leonard,79,9.17,109,10.0
149,150,150,Harris English,98,9.16,131,12.0
150,151,151,Erik Compton,81,9.09,99,9.0
151,152,152,Kyle Thompson,51,8.93,56,5.0
152,153,153,Greg Chalmers,88,8.91,101,9.0
153,T154,T154,Charley Hoffman,88,8.82,102,9.0
154,T154,T154,Mark Wilson,84,8.82,102,9.0
155,156,156,Will Claxton,99,8.8,125,11.0
156,157,157,Ian Poulter,57,8.77,57,5.0
157,158,158,Brandt Jobe,57,8.57,70,6.0
158,159,159,Stuart Appleby,75,8.51,94,8.0
159,160,160,Brian Gay,91,8.47,118,10.0
160,T161,T161,Graeme McDowell,55,8.33,48,4.0
161,T161,T161,Geoff Ogilvy,73,8.33,84,7.0
162,163,163,Marc Leishman,84,8.26,109,9.0
163,164,164,Michael Bradley,63,7.87,89,7.0
164,165,165,Heath Slocum,93,7.83,115,9.0
165,166,166,Steve Stricker,73,7.79,77,6.0
166,T167,T167,Bud Cauley,99,7.69,143,11.0
167,T167,T167,Davis Love III,64,7.69,78,6.0
168,169,169,Richard Lee,71,7.62,105,8.0
169,T170,T170,Arjun Atwal,79,7.41,108,8.0
170,T170,T170,Steve Wheatcroft,56,7.41,54,4.0
171,172,172,Rickie Fowler,84,7.14,98,7.0
172,173,173,K.J. Choi,71,6.94,72,5.0
173,174,174,Chris Stroud,86,6.8,103,7.0
174,175,175,Ángel Cabrera,54,6.78,59,4.0
175,176,176,Russell Knox,72,6.74,89,6.0
176,T177,T177,Aaron Baddeley,73,6.67,75,5.0
177,T177,T177,Tim Herron,88,6.67,120,8.0
178,T177,T177,Jerry Kelly,84,6.67,105,7.0
179,T177,T177,Martin Laird,77,6.67,75,5.0
180,T177,T177,Scott Stallings,78,6.67,90,6.0
181,T177,T177,Josh Teater,97,6.67,135,9.0
182,183,183,Nick Watney,97,5.98,117,7.0
183,184,184,Marco Dawson,60,5.8,69,4.0
184,185,185,Charlie Beljan,61,5.71,70,4.0
185,186,186,Mathew Goggin,65,5.62,89,5.0
186,187,187,Kevin Chappell,91,4.72,106,5.0
187,188,188,Bobby Gates,87,3.7,108,4.0
188,189,189,Robert Karlsson,54,2.08,48,1.0
189,190,190,Sergio Garcia,57,1.56,64,1.0
190,191,191,Scott Dunlap,57,0.0,68,
