,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,T1,T1,George McNeill,85,1.7,53,9.0
1,T1,T1,Charlie Wi,86,1.7,53,9.0
2,T3,T3,Tim Clark,60,1.54,39,6.0
3,T3,T3,Padraig Harrington,67,1.54,26,4.0
4,T3,T3,Henrik Stenson,51,1.54,39,6.0
5,6,6,Jason Day,57,1.5,40,6.0
6,T7,T7,Robert Karlsson,54,1.48,27,4.0
7,T7,T7,Graeme McDowell,55,1.48,27,4.0
8,9,9,Keegan Bradley,90,1.43,56,8.0
9,10,10,Bobby Gates,87,1.29,62,8.0
10,11,11,Greg Owen,90,1.27,63,8.0
11,12,12,Danny Lee,74,1.25,48,6.0
12,T13,T13,Ben Crane,73,1.23,65,8.0
13,T13,T13,D.A. Points,88,1.23,73,9.0
14,15,15,Brendon de Jonge,115,1.2,92,11.0
15,16,16,Lee Westwood,60,1.18,34,4.0
16,17,17,Bud Cauley,99,1.16,86,10.0
17,T18,T18,Charlie Beljan,61,1.14,35,4.0
18,T18,T18,Troy Kelly,68,1.14,44,5.0
19,20,20,Daniel Summerhays,81,1.11,54,6.0
20,T21,T21,Derek Lamely,64,1.09,64,7.0
21,T21,T21,Chris Stroud,86,1.09,64,7.0
22,23,23,Kyle Thompson,51,1.07,28,3.0
23,24,24,Brandt Snedeker,81,1.05,57,6.0
24,T25,T25,Jerry Kelly,84,1.04,67,7.0
25,T25,T25,Johnson Wagner,88,1.04,67,7.0
26,T27,T27,Colt Knost,79,1.03,39,4.0
27,T27,T27,Ian Poulter,57,1.03,29,3.0
28,T29,T29,John Daly,50,1.0,20,2.0
29,T29,T29,Steve Wheatcroft,56,1.0,50,5.0
30,T31,T31,Aaron Baddeley,73,0.98,41,4.0
31,T31,T31,Brendon Todd,78,0.98,41,4.0
32,33,33,Charl Schwartzel,56,0.97,31,3.0
33,34,34,Martin Laird,77,0.96,52,5.0
34,35,35,Tiger Woods,69,0.94,32,3.0
35,36,36,Vijay Singh,99,0.92,65,6.0
36,T37,T37,Stephen Ames,54,0.91,33,3.0
37,T37,T37,Rocco Mediate,70,0.91,44,4.0
38,T39,T39,Phil Mickelson,79,0.89,45,4.0
39,T39,T39,Sean O'Hair,84,0.89,79,7.0
40,T41,T41,Graham DeLaet,79,0.85,47,4.0
41,T41,T41,J.J. Henry,93,0.85,82,7.0
42,T41,T41,Billy Hurley III,70,0.85,47,4.0
43,T41,T41,Adam Scott,59,0.85,47,4.0
44,T45,T45,Kevin Chappell,91,0.83,60,5.0
45,T45,T45,Jason Kokrak,79,0.83,60,5.0
46,T45,T45,John Mallinger,74,0.83,48,4.0
47,T45,T45,Michael Thompson,80,0.83,60,5.0
48,T49,T49,John Huh,99,0.82,73,6.0
49,T49,T49,Kevin Stadler,85,0.82,73,6.0
50,51,51,Bill Haas,79,0.81,74,6.0
51,T52,T52,Ben Curtis,62,0.8,50,4.0
52,T52,T52,Tom Gillis,75,0.8,75,6.0
53,T52,T52,Brandt Jobe,57,0.8,50,4.0
54,T52,T52,Russell Knox,72,0.8,50,4.0
55,T52,T52,"Ted Potter, Jr.",77,0.8,50,4.0
56,57,57,Brian Harman,101,0.79,63,5.0
57,T58,T58,Marco Dawson,60,0.77,39,3.0
58,T58,T58,Jason Dufner,83,0.77,52,4.0
59,T58,T58,Tommy Gainey,98,0.77,78,6.0
60,T58,T58,Seung-Yul Noh,105,0.77,91,7.0
