,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Jonas Blixt,72,27.89,1952,70,24
1,2,2,Brandt Snedeker,81,27.92,2178,78,21
2,3,3,Greg Chalmers,88,27.93,2430,87,21
3,4,4,Aaron Baddeley,73,28.07,2021,72,23
4,5,5,Brian Gay,91,28.13,2447,87,21
5,6,6,Charlie Wi,86,28.24,2429,86,21
6,T7,T7,Kevin Na,80,28.39,2243,79,23
7,T7,T7,Ian Poulter,57,28.39,1590,56,24
8,9,9,Padraig Harrington,67,28.41,1790,63,22
9,10,10,Jason Day,57,28.42,1563,55,24
10,11,11,Zach Johnson,95,28.45,2674,94,23
11,12,12,Carl Pettersson,92,28.46,2618,92,24
12,13,13,Phil Mickelson,79,28.49,2251,79,22
13,14,14,Y.E. Yang,64,28.5,1767,62,23
14,15,15,Matt Kuchar,86,28.51,2338,82,20
15,16,16,David Mathis,83,28.58,2201,77,22
16,T17,T17,Daniel Chopra,55,28.59,1458,51,23
17,T17,T17,Chris DiMarco,83,28.59,2259,79,22
18,T17,T17,Bob Estes,78,28.59,2230,78,23
19,20,20,Brian Davis,91,28.61,2489,87,23
20,21,21,Billy Hurley III,70,28.62,1889,66,23
21,22,22,Luke Donald,63,28.63,1775,62,25
22,23,23,Dustin Johnson,70,28.64,1919,67,24
23,T24,T24,J.J. Killeen,101,28.65,2664,93,23
24,T24,T24,Spencer Levin,81,28.65,2263,79,21
25,26,26,Sergio Garcia,57,28.66,1605,56,24
26,27,27,Tom Gillis,75,28.67,2150,75,24
27,T28,T28,Ken Duke,104,28.68,2868,100,22
28,T28,T28,Ryuji Imada,78,28.68,2180,76,24
29,30,30,Jeff Overton,101,28.7,2784,97,22
30,31,31,Martin Flores,95,28.71,2670,93,24
