,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Jonas Blixt,72,1.7180000000000002,1378,802,32.91,T134
1,2,2,Brandt Snedeker,81,1.725,1544,895,33.67,132
2,3,3,Zach Johnson,95,1.726,1897,1099,32.0,101
3,4,4,Greg Chalmers,88,1.733,1624,937,29.9,181
4,5,5,Webb Simpson,77,1.735,1601,923,32.72,32
5,T6,T6,Rory McIlroy,60,1.7380000000000002,1121,645,34.68,60
6,T6,T6,Bo Van Pelt,84,1.7380000000000002,1741,1002,32.46,40
7,8,8,Graeme McDowell,55,1.739,1120,644,31.26,67
8,T9,T9,Ben Crane,73,1.74,1462,840,33.29,105
9,T9,T9,Carl Pettersson,92,1.74,1841,1058,31.47,128
10,11,11,Ryan Moore,89,1.742,1852,1063,32.08,T61
11,12,12,John Daly,50,1.743,896,514,32.3,163
12,13,13,Aaron Baddeley,73,1.744,1313,753,32.67,190
13,T14,T14,Daniel Chopra,55,1.745,958,549,30.66,183
14,T14,T14,Luke Donald,63,1.745,1265,725,29.17,100
15,T14,T14,Jeff Overton,101,1.745,2021,1158,31.37,T63
16,17,17,Brian Davis,91,1.746,1736,994,29.64,138
17,T18,T18,Phil Mickelson,79,1.7469999999999999,1593,912,33.48,120
18,T18,T18,Scott Piercy,95,1.7469999999999999,1964,1124,32.2,82
19,T18,T18,Steve Stricker,73,1.7469999999999999,1504,861,30.46,19
20,21,21,Ken Duke,104,1.7480000000000002,2033,1163,30.97,111
21,T22,T22,Sangmoon Bae,81,1.749,1450,829,32.37,182
22,T22,T22,James Driscoll,83,1.749,1551,887,30.54,157
23,T22,T22,Padraig Harrington,67,1.749,1233,705,30.16,161
24,T22,T22,Y.E. Yang,64,1.749,1142,653,30.32,189
25,26,26,Tommy Gainey,98,1.75,1923,1099,30.78,158
26,27,27,Matt Kuchar,86,1.7519999999999998,1691,965,29.53,86
27,T28,T28,Kevin Na,80,1.7530000000000001,1546,882,29.89,165
28,T28,T28,Ryan Palmer,81,1.7530000000000001,1665,950,32.11,94
29,T28,T28,Charlie Wi,86,1.7530000000000001,1620,924,29.9,184
30,T31,T31,Tom Gillis,75,1.754,1512,862,31.74,T129
31,T31,T31,Brian Harman,101,1.754,2038,1162,29.83,127
32,33,33,Spencer Levin,81,1.755,1522,867,29.58,173
33,T34,T34,Jason Day,57,1.756,1066,607,32.18,169
34,T34,T34,Jason Dufner,83,1.756,1793,1021,31.4,T8
35,T34,T34,Louis Oosthuizen,65,1.756,1370,780,30.12,15
36,37,37,Matt Every,80,1.757,1592,906,31.24,68
37,T38,T38,Keegan Bradley,90,1.758,1853,1054,32.13,52
38,T38,T38,Bob Estes,78,1.758,1540,876,27.64,156
39,T40,T40,Brian Gay,91,1.76,1728,982,27.96,152
40,T40,T40,Jimmy Walker,101,1.76,2057,1169,31.05,116
41,42,42,Tiger Woods,69,1.761,1435,815,31.66,29
42,T43,T43,Ben Curtis,62,1.7619999999999998,1267,719,27.96,13
43,T43,T43,Marco Dawson,60,1.7619999999999998,1075,610,28.17,T150
44,T43,T43,Sergio Garcia,57,1.7619999999999998,1154,655,29.56,99
45,T43,T43,Dustin Johnson,70,1.7619999999999998,1397,793,31.09,81
46,47,47,Danny Lee,74,1.7630000000000001,1366,775,29.18,92
47,T48,T48,Matt Bettencourt,80,1.764,1348,764,30.28,188
48,T48,T48,Brendon de Jonge,115,1.764,2438,1382,29.69,T8
49,T48,T48,Davis Love III,64,1.764,1321,749,29.99,97
50,T48,T48,Vaughn Taylor,81,1.764,1579,895,28.54,T65
51,52,52,Ian Poulter,57,1.765,1096,621,29.89,168
52,T53,T53,Mark Anderson,75,1.767,1401,793,31.02,T129
53,T53,T53,David Mathis,83,1.767,1495,846,27.52,172
54,T55,T55,Tommy Biershenk,74,1.768,1296,733,30.68,180
55,T55,T55,Chris DiMarco,83,1.768,1522,861,28.29,175
56,T55,T55,Derek Lamely,64,1.768,1190,673,29.27,177
57,T55,T55,Garth Mulroy,59,1.768,1181,668,30.69,95
58,T59,T59,Gavin Coles,72,1.7690000000000001,1350,763,28.52,119
59,T59,T59,John Huh,99,1.7690000000000001,2094,1184,29.47,57
60,T59,T59,Pat Perez,81,1.7690000000000001,1636,925,30.95,96
61,T59,T59,Dicky Pride,62,1.7690000000000001,1109,627,27.64,113
62,T59,T59,John Senden,81,1.7690000000000001,1704,963,29.83,16
63,T64,T64,Rory Sabbatini,84,1.77,1666,941,30.46,159
64,T64,T64,Bubba Watson,68,1.77,1471,831,30.88,2
65,T64,T64,Lee Westwood,60,1.77,1200,678,30.83,3
66,T67,T67,Chris Kirk,93,1.771,1890,1067,30.04,T48
67,T67,T67,Richard Lee,71,1.771,1415,799,29.54,20
68,69,69,Bryce Molder,83,1.7719999999999998,1636,923,27.25,103
69,T70,T70,Martin Flores,95,1.7730000000000001,1899,1071,28.46,126
70,T70,T70,Rickie Fowler,84,1.7730000000000001,1722,971,29.72,98
71,T72,T72,Jim Furyk,85,1.774,1829,1031,25.88,23
72,T72,T72,Michael Thompson,80,1.774,1616,911,29.97,144
73,T74,T74,J.B. Holmes,90,1.775,1690,952,31.55,T114
74,T74,T74,Martin Laird,77,1.775,1523,858,30.92,T89
75,T74,T74,William McGirt,96,1.775,1949,1098,27.42,T65
76,T74,T74,Chris Stroud,86,1.775,1741,981,27.51,140
77,T78,T78,Edward Loar,59,1.777,1052,592,28.14,164
78,T78,T78,Nick Watney,97,1.777,1997,1124,30.15,58
79,T80,T80,Bud Cauley,99,1.778,2109,1186,28.76,51
80,T80,T80,Chris Couch,61,1.778,1202,676,30.47,T134
81,T80,T80,Ryuji Imada,78,1.778,1474,829,28.47,174
82,T83,T83,Will Claxton,99,1.7790000000000001,2101,1181,28.38,11
83,T83,T83,Hunter Haas,69,1.7790000000000001,1274,716,28.25,147
84,T85,T85,Erik Compton,81,1.78,1461,821,29.55,T154
85,T85,T85,Seung-Yul Noh,105,1.78,2095,1177,28.53,T33
86,T85,T85,Justin Rose,69,1.78,1533,861,28.52,1
87,T85,T85,Charl Schwartzel,56,1.78,1084,609,30.38,153
88,T85,T85,David Toms,60,1.78,1228,690,28.2,74
89,T90,T90,Blake Adams,107,1.781,2176,1222,29.1,T78
90,T90,T90,Stuart Appleby,75,1.781,1475,828,27.09,T106
91,T90,T90,Harris English,98,1.781,2128,1195,29.03,27
92,T90,T90,Kevin Kisner,69,1.781,1222,686,27.41,T154
93,94,94,Jerry Kelly,84,1.7819999999999998,1684,945,27.83,84
94,T95,T95,Bill Lunde,83,1.7830000000000001,1626,912,27.94,30
95,T95,T95,Daniel Summerhays,81,1.7830000000000001,1672,938,26.74,28
96,T97,T97,Jonathan Byrd,69,1.784,1390,779,29.18,136
97,T97,T97,Robert Garrigus,89,1.784,1978,1109,31.71,7
98,T97,T97,Robert Karlsson,54,1.784,1056,592,32.09,145
99,T97,T97,Jeff Maggert,83,1.784,1750,981,27.65,83
100,T97,T97,Geoff Ogilvy,73,1.784,1472,825,29.82,133
101,T102,T102,K.J. Choi,71,1.785,1430,801,27.47,137
102,T102,T102,Sean O'Hair,84,1.785,1842,1032,29.45,21
103,T102,T102,Josh Teater,97,1.785,2017,1130,30.74,31
104,T102,T102,Camilo Villegas,79,1.785,1721,964,28.87,4
105,T106,T106,Charley Hoffman,88,1.786,1877,1051,30.09,T61
106,T106,T106,Billy Horschel,63,1.786,1216,681,28.09,14
107,T106,T106,Colt Knost,79,1.786,1538,861,27.21,162
108,T106,T106,Hunter Mahan,88,1.786,1818,1018,27.14,12
109,T106,T106,Rocco Mediate,70,1.786,1334,747,27.31,104
110,T106,T106,Adam Scott,59,1.786,1241,695,30.45,50
111,T112,T112,Jason Bohn,81,1.787,1558,872,27.32,112
112,T112,T112,Gary Christian,91,1.787,1832,1025,28.08,42
113,T112,T112,Nathan Green,73,1.787,1399,783,29.37,43
114,T112,T112,David Hearn,95,1.787,2026,1134,27.51,T63
115,T112,T112,J.J. Killeen,101,1.787,1803,1009,27.14,178
116,T112,T112,Vijay Singh,99,1.787,2109,1180,29.47,T69
117,T112,T112,Johnson Wagner,88,1.787,1866,1044,28.24,T78
118,T119,T119,Arjun Atwal,79,1.788,1500,839,26.23,T129
119,T119,T119,John Rollins,81,1.788,1640,917,29.51,72
120,T121,T121,Russell Knox,72,1.7890000000000001,1474,824,26.73,6
121,T121,T121,Justin Leonard,79,1.7890000000000001,1460,816,26.9,176
122,T123,T123,Tim Clark,60,1.79,1242,694,25.87,T117
123,T123,T123,Billy Hurley III,70,1.79,1228,686,25.88,191
124,T123,T123,George McNeill,85,1.79,1645,919,28.1,148
125,T123,T123,Kevin Streelman,89,1.79,1856,1037,27.8,T69
126,T127,T127,Brandt Jobe,57,1.791,1105,617,26.79,110
127,T127,T127,John Mallinger,74,1.791,1501,838,27.03,54
128,T127,T127,D.A. Points,88,1.791,1886,1053,28.87,55
129,T130,T130,Harrison Frazar,56,1.7919999999999998,1066,595,29.8,171
130,T130,T130,Freddie Jacobson,61,1.7919999999999998,1197,668,27.59,166
131,T130,T130,Greg Owen,90,1.7919999999999998,1991,1111,29.49,17
132,T130,T130,Kevin Stadler,85,1.7919999999999998,1683,939,27.72,26
133,T130,T130,Brendon Todd,78,1.7919999999999998,1355,756,27.19,179
134,T135,T135,Charles Howell III,98,1.7930000000000001,2107,1175,27.46,47
135,T135,T135,"Ted Potter, Jr.",77,1.7930000000000001,1492,832,27.08,142
136,T135,T135,Kyle Stanley,86,1.7930000000000001,1818,1014,29.52,41
137,T138,T138,Roberto Castro,92,1.794,1900,1059,27.3,18
138,T138,T138,Roland Thatcher,55,1.794,1073,598,28.19,25
139,T140,T140,Graham DeLaet,79,1.795,1617,901,28.29,46
140,T140,T140,Andres Romero,68,1.795,1188,662,29.8,170
141,T142,T142,Troy Matteson,100,1.796,1945,1083,27.41,T124
142,T142,T142,Jhonattan Vegas,77,1.796,1602,892,28.76,75
143,T144,T144,Cameron Beckman,81,1.797,1626,905,28.76,T89
144,T144,T144,Ernie Els,80,1.797,1678,934,26.8,53
145,T144,T144,Mathew Goggin,65,1.797,1328,739,27.41,37
146,T144,T144,Nick O'Hern,78,1.797,1515,843,25.6,143
147,148,148,Chad Campbell,84,1.798,1825,1015,26.85,39
148,T149,T149,Tim Herron,88,1.7990000000000002,1920,1067,26.34,T35
149,T149,T149,Matt Jones,53,1.7990000000000002,1027,571,26.54,109
150,T149,T149,Jason Kokrak,79,1.7990000000000002,1603,891,27.61,76
151,T152,T152,Troy Kelly,68,1.8,1269,705,26.7,146
152,T152,T152,Mark Wilson,84,1.8,1618,899,25.64,122
153,T154,T154,Charlie Beljan,61,1.801,1142,634,29.75,56
154,T154,T154,Kevin Chappell,91,1.801,1808,1004,28.2,121
155,T154,T154,Rod Pampling,88,1.801,1684,935,26.8,102
156,T154,T154,Tom Pernice Jr.,62,1.801,1160,644,26.4,167
157,158,158,Bill Haas,79,1.8019999999999998,1649,915,27.93,93
158,T159,T159,Sung Kang,75,1.8030000000000002,1363,756,26.6,T186
159,T159,T159,John Merrick,83,1.8030000000000002,1772,983,28.31,10
160,T161,T161,Ryo Ishikawa,54,1.804,929,515,26.65,185
161,T161,T161,Marc Leishman,84,1.804,1712,949,27.85,T150
162,T161,T161,Kyle Reifers,86,1.804,1795,995,25.3,T33
163,T161,T161,Steve Wheatcroft,56,1.804,1075,596,25.55,T69
164,165,165,Henrik Stenson,51,1.805,998,553,28.8,87
165,T166,T166,Miguel Angel Carballo,73,1.806,1369,758,27.87,T106
166,T166,T166,Patrick Sheehan,58,1.806,1064,589,25.13,149
167,T168,T168,Michael Bradley,63,1.807,1254,694,24.71,88
168,T168,T168,Ángel Cabrera,54,1.807,1030,570,26.84,141
169,T168,T168,Heath Slocum,93,1.807,1876,1038,25.84,24
170,T168,T168,Cameron Tringale,88,1.807,1906,1055,28.02,T48
171,T172,T172,Robert Allenby,76,1.808,1627,900,25.72,80
172,T172,T172,Ricky Barnes,92,1.808,1929,1067,27.93,T35
173,T172,T172,Stephen Gangluff,57,1.808,982,543,26.34,T186
174,T172,T172,Bobby Gates,87,1.808,1766,977,28.12,85
175,T176,T176,Scott Brown,65,1.8090000000000002,1239,685,28.95,T114
176,T176,T176,J.J. Henry,93,1.8090000000000002,1889,1044,24.35,22
177,T176,T176,Scott Stallings,78,1.8090000000000002,1686,932,28.16,59
178,179,179,Stewart Cink,71,1.81,1403,775,25.87,T117
179,180,180,Kris Blanks,65,1.8130000000000002,1396,770,26.3,45
180,181,181,Gary Woodland,70,1.815,1443,795,28.5,T124
181,182,182,Chez Reavie,83,1.817,1795,988,25.38,73
182,183,183,Trevor Immelman,76,1.818,1578,868,26.76,139
183,T184,T184,Billy Mayfair,90,1.819,1803,991,26.36,123
184,T184,T184,D.J. Trahan,73,1.819,1490,819,26.86,77
185,186,186,Stephen Ames,54,1.82,1059,582,25.43,160
186,187,187,Boo Weekley,74,1.824,1507,826,24.94,5
187,188,188,Alexandre Rocha,62,1.8259999999999998,1231,674,24.33,44
188,189,189,Scott Dunlap,57,1.835,1132,617,25.04,38
189,190,190,Brendan Steele,77,1.8359999999999999,1575,858,25.38,T89
190,191,191,Kyle Thompson,51,1.841,1009,548,25.18,108
